,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,UTAH_ACTION,MEMPHIS_SCORE,UTAH_SCORE
0,1,11:45.0,J. Jackson misses 3-pt jump shot from 28 ft,,0,0
1,1,11:42.0,,Defensive rebound by B. Bogdanović,0,0
2,1,11:26.0,,Turnover by B. Bogdanović (bad pass),0,0
3,1,11:07.0,J. Jackson makes 2-pt hook shot from 7 ft,,2,0
4,1,10:49.0,,D. Mitchell makes 2-pt layup from 2 ft (assist by R. Gobert),2,2
5,1,10:32.0,J. Valančiūnas makes 2-pt jump shot from 4 ft,,4,2
6,1,10:10.0,,R. O'Neale makes 3-pt jump shot from 25 ft (assist by D. Mitchell),4,5
7,1,9:50.0,D. Brooks makes 2-pt layup from 4 ft (assist by J. Valančiūnas),,6,5
8,1,9:38.0,,Turnover by D. Mitchell (bad pass; steal by J. Crowder),6,5
9,1,9:33.0,D. Brooks makes 2-pt dunk from 1 ft (assist by J. Crowder),,8,5
10,1,9:33.0,,Utah full timeout,8,5
11,1,9:19.0,,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by J. Ingles),8,8
12,1,9:04.0,J. Crowder misses 3-pt jump shot from 28 ft,,8,8
13,1,9:01.0,,Defensive rebound by R. Gobert,8,8
14,1,8:50.0,,Shooting foul by J. Valančiūnas (drawn by R. Gobert),8,8
15,1,8:50.0,,R. Gobert makes free throw 1 of 2,8,9
16,1,8:50.0,,R. Gobert makes free throw 2 of 2,8,10
17,1,8:42.0,D. Brooks misses 3-pt jump shot from 26 ft,,8,10
18,1,8:41.0,,Defensive rebound by Team,8,10
19,1,8:41.0,Loose ball foul by J. Valančiūnas (drawn by R. Gobert),,8,10
20,1,8:41.0,S. Hill enters the game for J. Valančiūnas,,8,10
21,1,8:18.0,,D. Mitchell makes 3-pt jump shot from 25 ft (assist by R. Gobert),8,13
22,1,8:08.0,J. Jackson makes 2-pt dunk from 1 ft (assist by J. Crowder),,10,13
23,1,7:43.0,,B. Bogdanović misses 3-pt jump shot from 23 ft,10,13
24,1,7:40.0,Defensive rebound by J. Crowder,,10,13
25,1,7:35.0,Turnover by J. Crowder (lost ball; steal by J. Ingles),,10,13
26,1,7:24.0,,D. Mitchell misses 3-pt jump shot from 26 ft,10,13
27,1,7:22.0,Defensive rebound by T. Jones,,10,13
28,1,7:17.0,Personal foul by R. O'Neale (drawn by J. Jackson),,10,13
29,1,7:08.0,J. Crowder makes 2-pt layup from 3 ft,,12,13
30,1,6:50.0,,J. Ingles makes 2-pt dunk from 2 ft (assist by R. O'Neale),12,15
31,1,6:33.0,Shooting foul by R. Gobert (drawn by J. Jackson),,12,15
32,1,6:33.0,J. Jackson misses free throw 1 of 2,,12,15
33,1,6:33.0,Offensive rebound by Team,,12,15
34,1,6:33.0,G. Allen enters the game for D. Brooks,,12,15
35,1,6:33.0,D. Melton enters the game for T. Jones,,12,15
36,1,6:33.0,J. Jackson makes free throw 2 of 2,,13,15
37,1,6:13.0,,Turnover by D. Mitchell (lost ball; steal by D. Melton),13,15
38,1,6:08.0,S. Hill makes 2-pt layup from 4 ft,,15,15
39,1,5:58.0,,Personal foul by D. Melton (drawn by D. Mitchell),15,15
40,1,5:58.0,,E. Mudiay enters the game for D. Mitchell,15,15
41,1,5:48.0,,R. O'Neale makes 3-pt jump shot from 26 ft (assist by J. Ingles),15,18
42,1,5:29.0,J. Jackson makes 3-pt jump shot from 23 ft,,18,18
43,1,5:21.0,,Personal foul by J. Jackson (drawn by E. Mudiay),18,18
44,1,5:10.0,,Shooting foul by D. Melton (drawn by B. Bogdanović),18,18
45,1,5:10.0,,B. Bogdanović makes free throw 1 of 2,18,19
46,1,5:10.0,T. Jones enters the game for D. Melton,,18,19
47,1,5:10.0,,B. Bogdanović makes free throw 2 of 2,18,20
48,1,4:56.0,J. Jackson makes 2-pt jump shot from 6 ft,,20,20
49,1,4:41.0,,Shooting foul by G. Allen (drawn by R. Gobert),20,20
50,1,4:41.0,,R. Gobert misses free throw 1 of 2,20,20
51,1,4:41.0,,Offensive rebound by Team,20,20
52,1,4:41.0,,R. Gobert makes free throw 2 of 2,20,21
53,1,4:33.0,J. Jackson misses 3-pt jump shot from 23 ft,,20,21
54,1,4:30.0,,Defensive rebound by R. O'Neale,20,21
55,1,4:23.0,,J. Ingles misses 3-pt jump shot from 24 ft,20,21
56,1,4:20.0,Defensive rebound by J. Jackson,,20,21
57,1,4:11.0,J. Jackson misses 3-pt jump shot from 26 ft,,20,21
58,1,4:09.0,,Defensive rebound by B. Bogdanović,20,21
59,1,3:58.0,,R. Gobert makes 2-pt layup from 1 ft (assist by J. Ingles),20,23
60,1,3:58.0,Memphis full timeout,,20,23
61,1,3:58.0,,J. Green enters the game for R. O'Neale,20,23
62,1,3:45.0,J. Crowder makes 3-pt jump shot from 23 ft (assist by T. Jones),,23,23
63,1,3:28.0,,Turnover by B. Bogdanović (bad pass),23,23
64,1,3:18.0,Personal foul by J. Ingles (drawn by G. Allen),,23,23
65,1,3:18.0,,E. Davis enters the game for B. Bogdanović,23,23
66,1,3:18.0,,D. Mitchell enters the game for R. Gobert,23,23
67,1,3:18.0,,G. Niang enters the game for J. Ingles,23,23
68,1,3:14.0,J. Crowder makes 3-pt jump shot from 25 ft (assist by J. Jackson),,26,23
69,1,3:14.0,Shooting foul by G. Niang (drawn by J. Crowder),,26,23
70,1,3:14.0,B. Caboclo enters the game for J. Jackson,,26,23
71,1,3:14.0,J. Crowder makes free throw 1 of 1,,27,23
72,1,3:05.0,,E. Mudiay makes 2-pt layup from 3 ft,27,25
73,1,3:05.0,,Shooting foul by B. Caboclo (drawn by E. Mudiay),27,25
74,1,3:05.0,M. Guduric enters the game for J. Crowder,,27,25
75,1,3:05.0,,E. Mudiay makes free throw 1 of 1,27,26
76,1,2:51.0,B. Caboclo makes 3-pt jump shot from 24 ft (assist by T. Jones),,30,26
77,1,2:35.0,,J. Green makes 2-pt jump shot from 21 ft,30,28
78,1,2:14.0,T. Jones misses 2-pt layup from 3 ft,,30,28
79,1,2:12.0,,Defensive rebound by G. Niang,30,28
80,1,2:06.0,,E. Mudiay misses 3-pt jump shot from 22 ft,30,28
81,1,2:03.0,Defensive rebound by M. Guduric,,30,28
82,1,1:54.0,M. Guduric makes 2-pt jump shot from 20 ft,,32,28
83,1,1:32.0,,Turnover by G. Niang (bad pass; steal by S. Hill),32,28
84,1,1:27.0,T. Jones makes 3-pt jump shot from 28 ft (assist by S. Hill),,35,28
85,1,1:05.0,,Shooting foul by M. Guduric (drawn by D. Mitchell),35,28
86,1,1:05.0,,D. Mitchell makes free throw 1 of 2,35,29
87,1,1:05.0,D. Brooks enters the game for G. Allen,,35,29
88,1,1:05.0,,D. Mitchell makes free throw 2 of 2,35,30
89,1,0:52.0,Shooting foul by J. Green (drawn by S. Hill),,35,30
90,1,0:52.0,S. Hill makes free throw 1 of 2,,36,30
91,1,0:52.0,S. Hill misses free throw 2 of 2,,36,30
92,1,0:50.0,Offensive rebound by M. Guduric,,36,30
