,QUARTER,TIME_REMAINING,INDIANA_ACTION,GOLDEN STATE_ACTION,INDIANA_SCORE,GOLDEN STATE_SCORE
0,1,11:37.0,,D. Russell makes 3-pt jump shot from 29 ft,0,3
1,1,11:22.0,D. Sabonis misses 2-pt layup from 4 ft (block by M. Chriss),,0,3
2,1,11:20.0,,Defensive rebound by D. Lee,0,3
3,1,11:15.0,,D. Russell misses 3-pt jump shot from 28 ft,0,3
4,1,11:12.0,Defensive rebound by Team,,0,3
5,1,11:01.0,J. Lamb makes 2-pt jump shot from 14 ft,,2,3
6,1,10:42.0,,Turnover by G. Robinson (lost ball; steal by T. Warren),2,3
7,1,10:33.0,T. McConnell misses 2-pt jump shot from 11 ft,,2,3
8,1,10:32.0,Offensive rebound by T. Warren,,2,3
9,1,10:32.0,T. Warren misses 2-pt layup at rim,,2,3
10,1,10:31.0,,Defensive rebound by D. Green,2,3
11,1,10:20.0,,D. Russell makes 2-pt jump shot from 17 ft,2,5
12,1,10:04.0,Turnover by D. Sabonis (bad pass; steal by M. Chriss),,2,5
13,1,10:00.0,,G. Robinson makes 2-pt layup from 3 ft (assist by D. Lee),2,7
14,1,9:41.0,M. Turner misses 2-pt layup from 4 ft (block by G. Robinson),,2,7
15,1,9:39.0,,Defensive rebound by G. Robinson,2,7
16,1,9:36.0,,M. Chriss makes 2-pt layup from 3 ft (assist by D. Green),2,9
17,1,9:24.0,Shooting foul by D. Lee (drawn by T. McConnell),,2,9
18,1,9:24.0,T. McConnell makes free throw 1 of 2,,3,9
19,1,9:24.0,T. McConnell makes free throw 2 of 2,,4,9
20,1,9:11.0,,M. Chriss makes 2-pt dunk from 1 ft (assist by D. Lee),4,11
21,1,8:51.0,D. Sabonis makes 2-pt layup from 1 ft (assist by J. Lamb),,6,11
22,1,8:44.0,,Shooting foul by J. Lamb (drawn by M. Chriss),6,11
23,1,8:44.0,,M. Chriss makes free throw 1 of 2,6,12
