,QUARTER,TIME_REMAINING,DENVER_ACTION,DALLAS_ACTION,DENVER_SCORE,DALLAS_SCORE
0,1,11:52.0,,Personal foul by T. Craig (drawn by D. Wright),0,0
1,1,11:44.0,,T. Hardaway makes 3-pt jump shot from 26 ft (assist by L. Dončić),0,3
2,1,11:23.0,J. Grant misses 2-pt layup from 4 ft (block by D. Wright),,0,3
3,1,11:22.0,Offensive rebound by J. Grant,,0,3
4,1,11:19.0,J. Grant makes 2-pt layup from 2 ft,,2,3
5,1,11:11.0,,L. Dončić misses 3-pt jump shot from 26 ft,2,3
6,1,11:10.0,Defensive rebound by Team,,2,3
7,1,10:55.0,J. Murray misses 3-pt jump shot from 25 ft,,2,3
8,1,10:52.0,,Defensive rebound by L. Dončić,2,3
9,1,10:36.0,,L. Dončić makes 2-pt layup from 2 ft (assist by D. Powell),2,5
10,1,10:26.0,G. Harris makes 2-pt jump shot from 15 ft (assist by N. Jokić),,4,5
11,1,10:12.0,,L. Dončić misses 2-pt jump shot from 7 ft,4,5
12,1,10:09.0,Defensive rebound by J. Murray,,4,5
13,1,10:06.0,G. Harris misses 3-pt jump shot from 25 ft,,4,5
14,1,10:00.0,Offensive rebound by N. Jokić,,4,5
15,1,9:53.0,G. Harris makes 2-pt dunk from 1 ft (assist by N. Jokić),,6,5
16,1,9:28.0,,T. Hardaway makes 2-pt jump shot from 21 ft (assist by D. Powell),6,7
17,1,9:08.0,N. Jokić misses 2-pt jump shot from 4 ft,,6,7
18,1,9:05.0,,Defensive rebound by D. Powell,6,7
19,1,8:55.0,,D. Finney-Smith makes 3-pt jump shot from 24 ft (assist by L. Dončić),6,10
20,1,8:38.0,J. Grant makes 2-pt layup from 1 ft (assist by N. Jokić),,8,10
21,1,8:17.0,,L. Dončić misses 2-pt jump shot from 5 ft,8,10
22,1,8:15.0,,Offensive rebound by L. Dončić,8,10
23,1,8:14.0,,T. Hardaway misses 3-pt jump shot from 26 ft,8,10
24,1,8:14.0,Defensive rebound by Team,,8,10
25,1,8:00.0,Turnover by G. Harris (lost ball; steal by D. Powell),,8,10
26,1,7:56.0,,L. Dončić makes 2-pt layup at rim,8,12
27,1,7:37.0,J. Murray makes 2-pt jump shot from 4 ft,,10,12
28,1,7:21.0,,Shooting foul by J. Murray (drawn by D. Powell),10,12
29,1,7:21.0,,D. Powell makes free throw 1 of 2,10,13
30,1,7:21.0,,D. Powell makes free throw 2 of 2,10,14
31,1,7:03.0,T. Craig makes 2-pt layup from 2 ft (assist by N. Jokić),,12,14
32,1,6:48.0,,D. Powell makes 2-pt layup from 1 ft (assist by L. Dončić),12,16
33,1,6:28.0,N. Jokić misses 2-pt jump shot from 3 ft (block by D. Finney-Smith),,12,16
34,1,6:27.0,,Defensive rebound by D. Wright,12,16
35,1,6:16.0,,D. Powell makes 2-pt layup from 2 ft (assist by D. Wright),12,18
36,1,6:16.0,Denver full timeout,,12,18
37,1,6:05.0,,Violation by Team (kicked ball),12,18
38,1,5:59.0,J. Murray misses 2-pt jump shot from 2 ft,,12,18
39,1,5:57.0,,Defensive rebound by D. Finney-Smith,12,18
40,1,5:42.0,,T. Hardaway misses 3-pt jump shot from 23 ft,12,18
41,1,5:39.0,Defensive rebound by T. Craig,,12,18
42,1,5:29.0,J. Murray makes 2-pt jump shot from 8 ft (assist by N. Jokić),,14,18
43,1,5:17.0,,L. Dončić misses 2-pt jump shot from 8 ft (block by J. Grant),14,18
44,1,5:16.0,,Offensive rebound by L. Dončić,14,18
45,1,5:06.0,,L. Dončić misses 2-pt layup from 5 ft (block by J. Grant),14,18
46,1,5:04.0,Defensive rebound by T. Craig,,14,18
47,1,5:01.0,J. Grant misses 2-pt layup from 3 ft (block by D. Powell),,14,18
48,1,5:00.0,Offensive rebound by Team,,14,18
49,1,5:00.0,,S. Curry enters the game for T. Hardaway,14,18
50,1,4:52.0,N. Jokić misses 2-pt hook shot from 4 ft,,14,18
51,1,4:49.0,,Defensive rebound by D. Powell,14,18
52,1,4:41.0,,Turnover by D. Powell (off goaltending),14,18
53,1,4:28.0,Shooting foul by D. Finney-Smith (drawn by J. Grant),,14,18
54,1,4:28.0,J. Grant makes free throw 1 of 2,,15,18
55,1,4:28.0,M. Porter enters the game for T. Craig,,15,18
56,1,4:28.0,J. Grant makes free throw 2 of 2,,16,18
57,1,4:05.0,,Turnover by D. Finney-Smith (bad pass; steal by M. Porter),16,18
58,1,3:57.0,J. Murray misses 2-pt jump shot from 9 ft,,16,18
59,1,3:53.0,,Defensive rebound by D. Wright,16,18
60,1,3:47.0,,D. Powell makes 2-pt layup from 1 ft (assist by D. Wright),16,20
61,1,3:35.0,G. Harris makes 2-pt layup from 2 ft (assist by J. Murray),,18,20
62,1,3:23.0,,L. Dončić makes 2-pt layup from 2 ft,18,22
63,1,3:10.0,Personal foul by D. Powell (drawn by M. Porter),,18,22
64,1,3:10.0,M. Morris enters the game for N. Jokić,,18,22
65,1,3:10.0,M. Plumlee enters the game for J. Murray,,18,22
66,1,3:10.0,,M. Kleber enters the game for D. Powell,18,22
67,1,2:55.0,M. Morris makes 2-pt layup from 4 ft,,20,22
68,1,2:49.0,,Dallas full timeout,20,22
69,1,2:49.0,,J. Jackson enters the game for D. Finney-Smith,20,22
70,1,2:39.0,,L. Dončić misses 3-pt jump shot from 26 ft,20,22
71,1,2:37.0,Defensive rebound by M. Porter,,20,22
72,1,2:33.0,Turnover by M. Porter (bad pass; steal by M. Kleber),,20,22
73,1,2:27.0,,J. Jackson makes 2-pt layup at rim (assist by M. Kleber),20,24
74,1,2:05.0,M. Porter misses 2-pt jump shot from 13 ft,,20,24
75,1,2:01.0,,Defensive rebound by D. Wright,20,24
76,1,1:43.0,,L. Dončić makes 3-pt jump shot from 26 ft,20,27
