,QUARTER,TIME_REMAINING,DALLAS_ACTION,TORONTO_ACTION,DALLAS_SCORE,TORONTO_SCORE
0,1,11:39.0,T. Hardaway misses 2-pt jump shot from 16 ft,,0,0
1,1,11:35.0,Offensive rebound by D. Powell,,0,0
2,1,11:30.0,K. Porziņģis misses 3-pt jump shot from 25 ft,,0,0
3,1,11:27.0,,Defensive rebound by O. Anunoby,0,0
4,1,11:12.0,,S. Ibaka misses 2-pt jump shot from 16 ft,0,0
5,1,11:10.0,Defensive rebound by T. Hardaway,,0,0
6,1,11:03.0,J. Brunson misses 2-pt jump shot from 15 ft,,0,0
7,1,10:58.0,,Defensive rebound by K. Lowry,0,0
8,1,10:56.0,,P. McCaw makes 3-pt jump shot from 24 ft (assist by K. Lowry),0,3
9,1,10:39.0,Turnover by T. Hardaway (bad pass; steal by P. McCaw),,0,3
10,1,10:36.0,,O. Anunoby makes 2-pt layup from 1 ft (assist by P. McCaw),0,5
11,1,10:27.0,Turnover by T. Hardaway (back court),,0,5
12,1,10:17.0,,K. Lowry misses 3-pt jump shot from 25 ft,0,5
13,1,10:13.0,Defensive rebound by J. Brunson,,0,5
14,1,10:09.0,J. Brunson misses 3-pt jump shot from 25 ft,,0,5
15,1,10:05.0,,Defensive rebound by S. Ibaka,0,5
16,1,9:58.0,,K. Lowry misses 2-pt layup from 2 ft (block by D. Powell),0,5
17,1,9:53.0,Defensive rebound by J. Brunson,,0,5
18,1,9:50.0,T. Hardaway misses 3-pt jump shot from 22 ft,,0,5
19,1,9:47.0,,Defensive rebound by F. VanVleet,0,5
20,1,9:40.0,,Turnover by S. Ibaka (lost ball; steal by J. Brunson),0,5
21,1,9:29.0,K. Porziņģis misses 2-pt jump shot from 15 ft,,0,5
22,1,9:24.0,,Defensive rebound by S. Ibaka,0,5
23,1,9:12.0,,P. McCaw misses 3-pt jump shot from 25 ft,0,5
24,1,9:10.0,Defensive rebound by K. Porziņģis,,0,5
25,1,9:10.0,Dallas full timeout,,0,5
26,1,8:46.0,J. Brunson misses 3-pt jump shot from 22 ft,,0,5
27,1,8:44.0,,Defensive rebound by K. Lowry,0,5
28,1,8:41.0,,Turnover by F. VanVleet (bad pass; steal by K. Porziņģis),0,5
29,1,8:37.0,Turnover by T. Hardaway (bad pass),,0,5
30,1,8:23.0,,S. Ibaka makes 2-pt hook shot from 7 ft,0,7
31,1,8:05.0,D. Powell misses 3-pt jump shot from 22 ft,,0,7
32,1,8:02.0,,Defensive rebound by K. Lowry,0,7
33,1,7:46.0,,O. Anunoby misses 3-pt jump shot from 23 ft,0,7
34,1,7:43.0,Defensive rebound by D. Powell,,0,7
35,1,7:38.0,T. Hardaway misses 3-pt jump shot from 24 ft,,0,7
36,1,7:35.0,,Defensive rebound by K. Lowry,0,7
37,1,7:34.0,,Turnover by K. Lowry (bad pass),0,7
38,1,7:17.0,J. Brunson misses 2-pt jump shot from 16 ft,,0,7
39,1,7:15.0,,Defensive rebound by Team,0,7
40,1,6:59.0,,S. Ibaka makes 2-pt hook shot from 8 ft (assist by K. Lowry),0,9
