,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MILWAUKEE_ACTION,SACRAMENTO_SCORE,MILWAUKEE_SCORE
0,1,11:41.0,,E. İlyasova misses 3-pt jump shot from 24 ft,0,0
1,1,11:39.0,Defensive rebound by B. Bogdanović,,0,0
2,1,11:28.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,0,0
3,1,11:25.0,,Defensive rebound by E. İlyasova,0,0
4,1,11:11.0,,E. Bledsoe makes 2-pt layup from 3 ft (assist by E. İlyasova),0,2
5,1,10:59.0,N. Bjelica misses 2-pt jump shot from 17 ft,,0,2
6,1,10:57.0,,Defensive rebound by W. Matthews,0,2
7,1,10:48.0,,K. Middleton makes 3-pt jump shot from 27 ft (assist by W. Matthews),0,5
8,1,10:31.0,H. Giles makes 2-pt jump shot from 15 ft,,2,5
9,1,10:18.0,,W. Matthews misses 3-pt jump shot from 27 ft,2,5
10,1,10:16.0,Defensive rebound by H. Giles,,2,5
11,1,10:15.0,Turnover by H. Giles (bad pass),,2,5
12,1,9:55.0,,E. Bledsoe makes 2-pt jump shot from 4 ft (assist by K. Middleton),2,7
13,1,9:43.0,H. Giles makes 2-pt dunk from 1 ft (assist by D. Fox),,4,7
14,1,9:31.0,,B. Lopez makes 2-pt jump shot from 21 ft (assist by K. Middleton),4,9
15,1,9:20.0,H. Giles makes 2-pt layup from 1 ft (assist by H. Barnes),,6,9
16,1,9:13.0,,K. Middleton misses 3-pt jump shot from 26 ft,6,9
17,1,9:13.0,Defensive rebound by H. Giles,,6,9
18,1,8:54.0,N. Bjelica misses 3-pt jump shot from 29 ft,,6,9
19,1,8:51.0,,Defensive rebound by K. Middleton,6,9
20,1,8:45.0,,E. Bledsoe misses 3-pt jump shot from 26 ft,6,9
21,1,8:42.0,Defensive rebound by D. Fox,,6,9
22,1,8:39.0,D. Fox makes 3-pt jump shot from 28 ft,,9,9
23,1,8:21.0,,B. Lopez makes 2-pt layup from 2 ft,9,11
24,1,8:06.0,H. Barnes makes 2-pt layup from 4 ft (assist by D. Fox),,11,11
25,1,7:53.0,,Personal foul by H. Giles (drawn by B. Lopez),11,11
26,1,7:49.0,,B. Lopez makes 3-pt jump shot from 30 ft (assist by E. Bledsoe),11,14
27,1,7:37.0,D. Fox misses 3-pt jump shot from 27 ft,,11,14
28,1,7:36.0,,Defensive rebound by K. Middleton,11,14
29,1,7:31.0,,Turnover by K. Middleton (lost ball; steal by N. Bjelica),11,14
30,1,7:22.0,H. Barnes misses 2-pt layup from 4 ft,,11,14
31,1,7:19.0,Offensive rebound by N. Bjelica,,11,14
32,1,7:19.0,N. Bjelica makes 2-pt layup from 1 ft,,13,14
33,1,7:11.0,,E. İlyasova misses 2-pt jump shot from 4 ft,13,14
34,1,7:09.0,Defensive rebound by D. Fox,,13,14
35,1,7:03.0,Shooting foul by E. İlyasova (drawn by N. Bjelica),,13,14
36,1,7:03.0,,Milwaukee full timeout,13,14
37,1,7:03.0,,S. Brown enters the game for E. İlyasova,13,14
38,1,7:03.0,N. Bjelica misses free throw 1 of 2,,13,14
39,1,7:03.0,Offensive rebound by Team,,13,14
40,1,7:03.0,N. Bjelica makes free throw 2 of 2,,14,14
41,1,6:50.0,,Turnover by B. Lopez (3 sec),14,14
42,1,6:32.0,D. Fox misses 2-pt layup from 2 ft,,14,14
43,1,6:30.0,Offensive rebound by N. Bjelica,,14,14
44,1,6:29.0,N. Bjelica misses 2-pt hook shot from 4 ft,,14,14
45,1,6:29.0,,Defensive rebound by Team,14,14
46,1,6:29.0,Loose ball foul by N. Bjelica (drawn by B. Lopez),,14,14
47,1,6:29.0,B. Hield enters the game for H. Giles,,14,14
48,1,6:14.0,,E. Bledsoe makes 2-pt layup from 1 ft (assist by W. Matthews),14,16
49,1,5:59.0,N. Bjelica misses 3-pt jump shot from 28 ft,,14,16
50,1,5:56.0,,Defensive rebound by W. Matthews,14,16
