,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,ORLANDO_ACTION,BROOKLYN_SCORE,ORLANDO_SCORE
0,1,11:44.0,J. Allen misses 2-pt hook shot from 4 ft,,0,0
1,1,11:41.0,,Defensive rebound by A. Gordon,0,0
2,1,11:30.0,,M. Fultz misses 3-pt jump shot from 26 ft,0,0
3,1,11:25.0,Defensive rebound by T. Prince,,0,0
4,1,11:10.0,T. Prince misses 3-pt jump shot from 23 ft,,0,0
5,1,11:07.0,,Defensive rebound by N. Vučević,0,0
6,1,11:03.0,,Turnover by A. Gordon (out of bounds lost ball),0,0
7,1,10:52.0,Personal foul by W. Iwundu (drawn by J. Allen),,0,0
8,1,10:46.0,J. Harris makes 3-pt jump shot from 27 ft (assist by G. Temple),,3,0
9,1,10:26.0,,W. Iwundu makes 3-pt jump shot from 25 ft,3,3
10,1,10:12.0,S. Dinwiddie misses 3-pt jump shot from 27 ft,,3,3
11,1,10:10.0,,Defensive rebound by M. Fultz,3,3
12,1,10:04.0,,M. Fultz makes 2-pt layup from 3 ft,3,5
13,1,9:48.0,J. Harris makes 2-pt layup from 2 ft (assist by J. Allen),,5,5
14,1,9:34.0,,A. Gordon misses 3-pt jump shot from 26 ft,5,5
15,1,9:31.0,Defensive rebound by G. Temple,,5,5
16,1,9:24.0,G. Temple misses 2-pt jump shot from 11 ft,,5,5
17,1,9:21.0,Offensive rebound by J. Allen,,5,5
18,1,9:19.0,S. Dinwiddie misses 3-pt jump shot from 26 ft,,5,5
19,1,9:16.0,,Defensive rebound by N. Vučević,5,5
20,1,9:10.0,,M. Fultz makes 2-pt layup from 3 ft,5,7
21,1,9:01.0,T. Prince makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie),,8,7
22,1,8:47.0,,M. Fultz makes 2-pt jump shot from 17 ft,8,9
23,1,8:35.0,G. Temple misses 3-pt jump shot from 25 ft,,8,9
24,1,8:35.0,,Defensive rebound by N. Vučević,8,9
25,1,8:22.0,,M. Fultz makes 3-pt jump shot from 25 ft (assist by N. Vučević),8,12
26,1,8:05.0,J. Allen misses 2-pt layup from 4 ft,,8,12
27,1,8:02.0,,Defensive rebound by N. Vučević,8,12
28,1,7:56.0,,W. Iwundu misses 3-pt jump shot from 25 ft,8,12
29,1,7:54.0,Defensive rebound by J. Allen,,8,12
30,1,7:42.0,T. Prince misses 3-pt jump shot from 25 ft,,8,12
31,1,7:40.0,,Defensive rebound by N. Vučević,8,12
32,1,7:33.0,,Turnover by M. Fultz (lost ball; steal by J. Allen),8,12
33,1,7:22.0,G. Temple misses 3-pt jump shot from 23 ft,,8,12
34,1,7:17.0,,Defensive rebound by W. Iwundu,8,12
35,1,7:05.0,,Turnover by N. Vučević (bad pass; steal by J. Allen),8,12
36,1,7:02.0,Shooting foul by E. Fournier (drawn by G. Temple),,8,12
37,1,7:02.0,G. Temple makes free throw 1 of 2,,9,12
38,1,7:02.0,G. Temple misses free throw 2 of 2,,9,12
39,1,6:59.0,,Defensive rebound by N. Vučević,9,12
40,1,6:48.0,,Personal foul by T. Prince (drawn by A. Gordon),9,12
41,1,6:48.0,,Orlando full timeout,9,12
42,1,6:36.0,,M. Fultz misses 2-pt jump shot from 13 ft,9,12
43,1,6:33.0,Defensive rebound by J. Allen,,9,12
44,1,6:20.0,T. Prince misses 3-pt jump shot from 25 ft,,9,12
45,1,6:17.0,,Defensive rebound by N. Vučević,9,12
46,1,6:10.0,,E. Fournier misses 2-pt jump shot from 20 ft,9,12
47,1,6:07.0,Defensive rebound by J. Harris,,9,12
48,1,5:59.0,S. Dinwiddie misses 2-pt jump shot from 9 ft,,9,12
49,1,5:56.0,,Defensive rebound by A. Gordon,9,12
50,1,5:52.0,,A. Gordon makes 2-pt layup from 2 ft,9,14
51,1,5:26.0,S. Dinwiddie makes 3-pt jump shot from 28 ft (assist by G. Temple),,12,14
52,1,5:00.0,,N. Vučević misses 2-pt jump shot from 15 ft,12,14
53,1,4:57.0,Defensive rebound by T. Prince,,12,14
54,1,4:49.0,J. Allen misses 2-pt hook shot from 7 ft,,12,14
55,1,4:45.0,,Defensive rebound by N. Vučević,12,14
56,1,4:39.0,,W. Iwundu makes 2-pt layup from 2 ft (assist by M. Fultz),12,16
57,1,4:23.0,J. Harris makes 2-pt layup from 2 ft,,14,16
58,1,4:23.0,Shooting foul by N. Vučević (drawn by J. Harris),,14,16
59,1,4:23.0,W. Chandler enters the game for J. Allen,,14,16
60,1,4:23.0,D. Jordan enters the game for T. Prince,,14,16
61,1,4:23.0,T. Luwawu-Cabarrot enters the game for G. Temple,,14,16
62,1,4:23.0,,D. Augustin enters the game for M. Fultz,14,16
63,1,4:23.0,,T. Ross enters the game for W. Iwundu,14,16
64,1,4:23.0,J. Harris makes free throw 1 of 1,,15,16
65,1,4:07.0,,Shooting foul by W. Chandler (drawn by A. Gordon),15,16
66,1,4:07.0,,A. Gordon makes free throw 1 of 2,15,17
67,1,4:07.0,,A. Gordon misses free throw 2 of 2,15,17
68,1,4:04.0,Defensive rebound by D. Jordan,,15,17
69,1,3:50.0,Turnover by W. Chandler (bad pass; steal by T. Ross),,15,17
70,1,3:48.0,,Shooting foul by S. Dinwiddie (drawn by T. Ross),15,17
71,1,3:48.0,Brooklyn full timeout,,15,17
72,1,3:48.0,,M. Bamba enters the game for N. Vučević,15,17
73,1,3:48.0,,T. Ross makes free throw 1 of 2,15,18
