,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,WASHINGTON_ACTION,MINNESOTA_SCORE,WASHINGTON_SCORE
0,1,11:42.0,,R. Hachimura misses 3-pt jump shot from 23 ft,0,0
1,1,11:37.0,Defensive rebound by A. Wiggins,,0,0
2,1,11:34.0,J. Teague misses 3-pt jump shot from 28 ft,,0,0
3,1,11:30.0,,Defensive rebound by T. Bryant,0,0
4,1,11:23.0,,B. Beal misses 2-pt layup from 5 ft (block by R. Covington),0,0
5,1,11:19.0,Defensive rebound by J. Teague,,0,0
6,1,11:17.0,T. Graham makes 2-pt layup from 2 ft (assist by J. Teague),,2,0
7,1,11:07.0,,T. Bryant misses 2-pt jump shot from 20 ft,2,0
8,1,11:04.0,Defensive rebound by J. Teague,,2,0
9,1,10:52.0,T. Graham misses 3-pt jump shot from 27 ft,,2,0
10,1,10:48.0,,Defensive rebound by I. Bonga,2,0
11,1,10:38.0,,R. Hachimura misses 2-pt layup from 3 ft (block by A. Wiggins),2,0
12,1,10:38.0,,Offensive rebound by Team,2,0
13,1,10:27.0,,I. Bonga misses 3-pt jump shot from 25 ft,2,0
14,1,10:27.0,,Offensive rebound by I. Smith,2,0
15,1,10:24.0,,Personal foul by R. Covington (drawn by I. Smith),2,0
16,1,10:13.0,,I. Bonga misses 2-pt hook shot from 3 ft,2,0
17,1,10:10.0,Defensive rebound by A. Wiggins,,2,0
18,1,10:05.0,A. Wiggins makes 2-pt jump shot from 12 ft,,4,0
19,1,9:52.0,,I. Smith makes 2-pt jump shot from 15 ft,4,2
20,1,9:41.0,G. Dieng makes 2-pt layup from 3 ft (assist by A. Wiggins),,6,2
21,1,9:41.0,Shooting foul by I. Smith (drawn by G. Dieng),,6,2
22,1,9:41.0,G. Dieng makes free throw 1 of 1,,7,2
23,1,9:32.0,,Shooting foul by T. Graham (drawn by B. Beal),7,2
24,1,9:32.0,,Instant Replay (Request: Ruling Stands),7,2
25,1,9:32.0,,B. Beal makes free throw 1 of 3,7,3
26,1,9:32.0,,B. Beal makes free throw 2 of 3,7,4
27,1,9:32.0,,B. Beal makes free throw 3 of 3,7,5
28,1,9:18.0,Def 3 sec tech foul by Team,,7,5
29,1,9:18.0,J. Teague makes technical free throw,,8,5
30,1,9:11.0,G. Dieng misses 2-pt jump shot from 5 ft,,8,5
31,1,9:08.0,,Defensive rebound by T. Bryant,8,5
32,1,9:06.0,,Offensive foul by B. Beal (drawn by T. Graham),8,5
33,1,9:06.0,,Turnover by B. Beal (offensive foul),8,5
34,1,8:52.0,R. Covington makes 2-pt hook shot from 5 ft (assist by A. Wiggins),,10,5
35,1,8:37.0,,T. Bryant misses 3-pt jump shot from 27 ft,10,5
36,1,8:33.0,Defensive rebound by T. Graham,,10,5
37,1,8:26.0,A. Wiggins makes 3-pt jump shot from 29 ft (assist by J. Teague),,13,5
38,1,8:25.0,,Washington full timeout,13,5
39,1,8:15.0,,Shooting foul by T. Graham (drawn by B. Beal),13,5
40,1,8:15.0,,B. Beal misses free throw 1 of 2,13,5
41,1,8:15.0,,Offensive rebound by Team,13,5
42,1,8:15.0,,B. Beal makes free throw 2 of 2,13,6
43,1,8:06.0,T. Graham misses 2-pt layup from 2 ft (block by I. Smith),,13,6
44,1,8:06.0,Offensive rebound by Team,,13,6
45,1,8:06.0,J. Okogie enters the game for T. Graham,,13,6
46,1,8:01.0,A. Wiggins misses 3-pt jump shot from 27 ft,,13,6
47,1,7:58.0,,Defensive rebound by T. Bryant,13,6
48,1,7:49.0,,B. Beal makes 2-pt jump shot from 18 ft (assist by T. Bryant),13,8
49,1,7:31.0,R. Covington makes 3-pt jump shot from 27 ft (assist by A. Wiggins),,16,8
50,1,7:23.0,,R. Hachimura misses 2-pt layup from 3 ft (block by R. Covington),16,8
51,1,7:20.0,,Offensive rebound by Team,16,8
52,1,7:13.0,,B. Beal misses 2-pt layup from 4 ft (block by G. Dieng),16,8
53,1,7:09.0,,Offensive rebound by R. Hachimura,16,8
54,1,7:05.0,,R. Hachimura makes 2-pt jump shot from 19 ft,16,10
55,1,6:50.0,R. Covington makes 2-pt layup from 6 ft (assist by J. Okogie),,18,10
56,1,6:43.0,,I. Smith makes 2-pt layup from 1 ft,18,12
57,1,6:35.0,Shooting foul by I. Bonga (drawn by R. Covington),,18,12
58,1,6:35.0,R. Covington makes free throw 1 of 3,,19,12
59,1,6:35.0,R. Covington makes free throw 2 of 3,,20,12
60,1,6:35.0,N. Vonleh enters the game for G. Dieng,,20,12
61,1,6:35.0,,T. Brown enters the game for I. Bonga,20,12
62,1,6:35.0,R. Covington makes free throw 3 of 3,,21,12
63,1,6:16.0,,R. Hachimura misses 2-pt hook shot from 6 ft,21,12
64,1,6:14.0,,Offensive rebound by T. Bryant,21,12
65,1,6:13.0,,T. Bryant makes 2-pt jump shot from 9 ft,21,14
66,1,6:03.0,N. Vonleh makes 2-pt dunk from 4 ft (assist by J. Teague),,23,14
67,1,5:51.0,,R. Hachimura misses 3-pt jump shot from 29 ft,23,14
68,1,5:48.0,Defensive rebound by R. Covington,,23,14
69,1,5:44.0,Personal foul by R. Hachimura (drawn by R. Covington),,23,14
70,1,5:44.0,,I. Thomas enters the game for T. Bryant,23,14
71,1,5:44.0,,M. Wagner enters the game for I. Smith,23,14
72,1,5:38.0,J. Teague makes 2-pt jump shot from 8 ft,,25,14
73,1,5:26.0,,Turnover by B. Beal (bad pass),25,14
74,1,5:21.0,Turnover by J. Teague (bad pass),,25,14
75,1,5:21.0,J. Layman enters the game for R. Covington,,25,14
76,1,5:21.0,S. Napier enters the game for J. Teague,,25,14
77,1,5:06.0,,I. Thomas misses 3-pt jump shot from 27 ft,25,14
78,1,5:03.0,Defensive rebound by J. Layman,,25,14
79,1,4:55.0,J. Layman misses 2-pt jump shot from 10 ft,,25,14
80,1,4:53.0,Offensive rebound by N. Vonleh,,25,14
81,1,4:48.0,J. Layman makes 3-pt jump shot from 23 ft (assist by A. Wiggins),,28,14
82,1,4:41.0,,Shooting foul by J. Okogie (drawn by B. Beal),28,14
83,1,4:41.0,,B. Beal makes free throw 1 of 2,28,15
84,1,4:41.0,,B. Beal makes free throw 2 of 2,28,16
85,1,4:33.0,Shooting foul by M. Wagner (drawn by A. Wiggins),,28,16
86,1,4:33.0,A. Wiggins makes free throw 1 of 2,,29,16
87,1,4:33.0,,D. Bertāns enters the game for R. Hachimura,29,16
88,1,4:33.0,A. Wiggins makes free throw 2 of 2,,30,16
89,1,4:25.0,,Shooting foul by N. Vonleh (drawn by M. Wagner),30,16
90,1,4:25.0,,M. Wagner makes free throw 1 of 2,30,17
91,1,4:25.0,,M. Wagner makes free throw 2 of 2,30,18
92,1,4:18.0,A. Wiggins makes 3-pt jump shot from 27 ft (assist by S. Napier),,33,18
93,1,4:06.0,,D. Bertāns misses 3-pt jump shot from 29 ft,33,18
94,1,4:03.0,Defensive rebound by J. Okogie,,33,18
95,1,3:58.0,J. Okogie makes 2-pt layup from 5 ft,,35,18
96,1,3:58.0,,Washington full timeout,35,18
97,1,3:48.0,,I. Thomas makes 2-pt jump shot from 17 ft,35,20
98,1,3:19.0,J. Layman makes 2-pt jump shot from 13 ft,,37,20
99,1,3:14.0,,Shooting foul by N. Vonleh (drawn by B. Beal),37,20
100,1,3:14.0,,B. Beal makes free throw 1 of 2,37,21
101,1,3:14.0,J. Bell enters the game for N. Vonleh,,37,21
102,1,3:14.0,J. Culver enters the game for A. Wiggins,,37,21
103,1,3:14.0,,B. Beal makes free throw 2 of 2,37,22
104,1,2:55.0,Turnover by J. Bell (bad pass; steal by M. Wagner),,37,22
105,1,2:47.0,,B. Beal misses 3-pt jump shot from 27 ft,37,22
106,1,2:43.0,Defensive rebound by J. Bell,,37,22
107,1,2:37.0,Offensive foul by J. Okogie (drawn by B. Beal),,37,22
108,1,2:37.0,Turnover by J. Okogie (offensive foul),,37,22
109,1,2:37.0,,I. Smith enters the game for B. Beal,37,22
110,1,2:23.0,,I. Smith makes 3-pt jump shot from 23 ft (assist by I. Thomas),37,25
111,1,2:09.0,J. Bell makes 2-pt dunk from 5 ft (assist by J. Okogie),,39,25
112,1,1:56.0,,I. Thomas makes 2-pt jump shot from 16 ft,39,27
113,1,1:35.0,J. Okogie misses 3-pt jump shot from 24 ft,,39,27
114,1,1:31.0,,Defensive rebound by M. Wagner,39,27
115,1,1:22.0,,I. Thomas makes 2-pt jump shot from 20 ft (assist by D. Bertāns),39,29
116,1,1:05.0,Turnover by J. Bell (bad pass; steal by T. Brown),,39,29
117,1,0:58.0,,M. Wagner misses 3-pt jump shot from 27 ft,39,29
118,1,0:55.0,Defensive rebound by J. Culver,,39,29
119,1,0:48.0,J. Culver misses 3-pt jump shot from 27 ft,,39,29
120,1,0:43.0,,Defensive rebound by M. Wagner,39,29
121,1,0:40.0,,I. Thomas makes 3-pt jump shot from 26 ft,39,32
122,1,0:35.0,S. Napier misses 3-pt jump shot from 25 ft,,39,32
123,1,0:33.0,,Defensive rebound by Team,39,32
124,1,0:33.0,J. Teague enters the game for J. Okogie,,39,32
125,1,0:33.0,,Personal foul by J. Layman (drawn by D. Bertāns),39,32
126,1,0:33.0,,D. Bertāns makes free throw 1 of 2,39,33
127,1,0:33.0,,D. Bertāns makes free throw 2 of 2,39,34
128,1,0:23.0,J. Culver makes 3-pt jump shot from 28 ft (assist by J. Teague),,42,34
129,1,0:03.0,,Turnover by I. Thomas (bad pass),42,34
130,1,0:00.0,J. Teague misses 3-pt jump shot from 31 ft,,42,34
131,1,0:00.0,,Defensive rebound by Team,42,34
132,2,11:48.0,J. Culver makes 2-pt dunk from 7 ft (assist by J. Bell),,44,34
133,2,11:27.0,,M. Wagner makes 2-pt layup from 3 ft (assist by I. Thomas),44,36
134,2,11:14.0,S. Napier misses 3-pt jump shot from 24 ft,,44,36
135,2,11:10.0,,Defensive rebound by T. Brown,44,36
136,2,11:06.0,,D. Bertāns misses 2-pt layup from 9 ft (block by J. Bell),44,36
137,2,11:00.0,Defensive rebound by S. Napier,,44,36
138,2,10:52.0,J. Layman misses 3-pt jump shot from 27 ft,,44,36
139,2,10:49.0,,Defensive rebound by I. Smith,44,36
140,2,10:46.0,,M. Wagner makes 2-pt layup from 5 ft (assist by I. Smith),44,38
141,2,10:31.0,Turnover by J. Bell (lost ball; steal by T. Brown),,44,38
142,2,10:23.0,,Turnover by I. Thomas (bad pass),44,38
143,2,10:14.0,J. Culver misses 3-pt jump shot from 27 ft,,44,38
144,2,10:11.0,,Defensive rebound by D. Bertāns,44,38
145,2,9:58.0,,I. Thomas misses 2-pt layup from 3 ft,44,38
146,2,9:55.0,Defensive rebound by J. Bell,,44,38
147,2,9:50.0,S. Napier makes 2-pt layup from 1 ft (assist by J. Teague),,46,38
148,2,9:36.0,,T. Brown makes 2-pt jump shot from 9 ft,46,40
149,2,9:18.0,Offensive foul by J. Culver (drawn by M. Wagner),,46,40
150,2,9:18.0,Turnover by J. Culver (offensive foul),,46,40
151,2,9:18.0,G. Dieng enters the game for J. Bell,,46,40
152,2,9:18.0,,B. Beal enters the game for I. Smith,46,40
153,2,9:09.0,,I. Thomas misses 2-pt jump shot from 18 ft,46,40
154,2,9:05.0,,Offensive rebound by M. Wagner,46,40
155,2,9:03.0,,T. Brown misses 2-pt jump shot from 16 ft,46,40
156,2,9:01.0,Defensive rebound by G. Dieng,,46,40
157,2,8:51.0,J. Teague makes 2-pt jump shot from 7 ft,,48,40
158,2,8:42.0,,Offensive foul by M. Wagner (drawn by J. Layman),48,40
159,2,8:42.0,,Turnover by M. Wagner (offensive foul),48,40
160,2,8:42.0,T. Graham enters the game for S. Napier,,48,40
161,2,8:30.0,G. Dieng makes 2-pt jump shot from 12 ft (assist by J. Teague),,50,40
162,2,8:16.0,,Turnover by B. Beal (bad pass; steal by J. Culver),50,40
163,2,8:12.0,J. Layman misses 2-pt layup from 3 ft (block by I. Thomas),,50,40
164,2,8:12.0,Offensive rebound by Team,,50,40
165,2,8:12.0,,R. Hachimura enters the game for T. Brown,50,40
166,2,8:09.0,G. Dieng makes 2-pt dunk at rim (assist by J. Teague),,52,40
167,2,8:09.0,,Washington full timeout,52,40
168,2,8:09.0,,T. Bryant enters the game for M. Wagner,52,40
169,2,7:44.0,,R. Hachimura misses 2-pt jump shot from 15 ft,52,40
170,2,7:41.0,Defensive rebound by T. Graham,,52,40
171,2,7:38.0,J. Teague misses 2-pt layup from 3 ft,,52,40
172,2,7:36.0,,Defensive rebound by T. Bryant,52,40
173,2,7:34.0,,Shooting foul by J. Culver (drawn by I. Thomas),52,40
174,2,7:34.0,,I. Thomas makes free throw 1 of 2,52,41
175,2,7:34.0,,I. Thomas makes free throw 2 of 2,52,42
176,2,7:24.0,G. Dieng makes 2-pt jump shot from 13 ft (assist by J. Teague),,54,42
177,2,7:09.0,,B. Beal misses 2-pt jump shot from 10 ft,54,42
178,2,7:06.0,Defensive rebound by G. Dieng,,54,42
179,2,7:02.0,J. Teague makes 2-pt layup from 3 ft,,56,42
180,2,6:55.0,,Personal foul by T. Graham (drawn by B. Beal),56,42
181,2,6:55.0,J. Okogie enters the game for T. Graham,,56,42
182,2,6:46.0,,B. Beal makes 2-pt jump shot from 14 ft (assist by I. Thomas),56,44
183,2,6:36.0,J. Teague makes 3-pt jump shot from 27 ft,,59,44
184,2,6:25.0,,I. Thomas misses 2-pt jump shot from 8 ft,59,44
185,2,6:24.0,Defensive rebound by Team,,59,44
186,2,6:23.0,,Loose ball foul by T. Bryant (drawn by G. Dieng),59,44
187,2,6:23.0,,I. Smith enters the game for I. Thomas,59,44
188,2,6:13.0,Shooting foul by D. Bertāns (drawn by G. Dieng),,59,44
189,2,6:13.0,G. Dieng misses free throw 1 of 2,,59,44
190,2,6:13.0,Offensive rebound by Team,,59,44
191,2,6:13.0,R. Covington enters the game for J. Culver,,59,44
192,2,6:13.0,A. Wiggins enters the game for J. Layman,,59,44
193,2,6:13.0,G. Dieng makes free throw 2 of 2,,60,44
194,2,6:01.0,,R. Hachimura misses 2-pt jump shot from 12 ft (block by G. Dieng),60,44
195,2,6:00.0,,Offensive rebound by Team,60,44
196,2,5:53.0,,Shooting foul by R. Covington (drawn by B. Beal),60,44
197,2,5:53.0,,B. Beal makes free throw 1 of 2,60,45
198,2,5:53.0,,B. Beal misses free throw 2 of 2,60,45
199,2,5:50.0,Defensive rebound by G. Dieng,,60,45
200,2,5:42.0,A. Wiggins misses 3-pt jump shot from 28 ft,,60,45
201,2,5:41.0,,Defensive rebound by Team,60,45
202,2,5:33.0,,B. Beal makes 3-pt jump shot from 28 ft,60,48
203,2,5:30.0,Minnesota full timeout,,60,48
204,2,5:13.0,J. Okogie misses 3-pt jump shot from 25 ft,,60,48
205,2,5:10.0,,Defensive rebound by T. Bryant,60,48
206,2,4:53.0,,R. Hachimura misses 2-pt layup from 4 ft (block by G. Dieng),60,48
207,2,4:50.0,Defensive rebound by J. Okogie,,60,48
208,2,4:35.0,A. Wiggins makes 3-pt jump shot from 23 ft,,63,48
209,2,4:22.0,,D. Bertāns misses 3-pt jump shot from 27 ft,63,48
210,2,4:19.0,Defensive rebound by J. Teague,,63,48
211,2,4:12.0,J. Teague misses 2-pt jump shot from 8 ft,,63,48
212,2,4:10.0,,Defensive rebound by T. Bryant,63,48
213,2,4:10.0,,Personal foul by J. Teague (drawn by T. Bryant),63,48
214,2,3:54.0,,B. Beal misses 3-pt jump shot from 26 ft,63,48
215,2,3:50.0,Defensive rebound by A. Wiggins,,63,48
216,2,3:44.0,A. Wiggins misses 2-pt jump shot from 17 ft,,63,48
217,2,3:38.0,,Defensive rebound by D. Bertāns,63,48
218,2,3:37.0,,Turnover by D. Bertāns (bad pass),63,48
219,2,3:23.0,J. Teague misses 3-pt jump shot from 26 ft,,63,48
220,2,3:20.0,,Defensive rebound by D. Bertāns,63,48
221,2,3:12.0,,R. Hachimura misses 2-pt layup from 3 ft,63,48
222,2,3:08.0,Defensive rebound by R. Covington,,63,48
223,2,3:08.0,Personal foul by D. Bertāns (drawn by R. Covington),,63,48
224,2,3:08.0,,T. Brown enters the game for D. Bertāns,63,48
225,2,3:03.0,A. Wiggins misses 2-pt jump shot from 15 ft,,63,48
226,2,2:59.0,,Defensive rebound by T. Brown,63,48
227,2,2:53.0,,Offensive foul by T. Bryant (drawn by J. Okogie),63,48
