,QUARTER,TIME_REMAINING,DETROIT_ACTION,SACRAMENTO_ACTION,DETROIT_SCORE,SACRAMENTO_SCORE
0,1,11:37.0,J. Henson makes 2-pt dunk from 2 ft (assist by T. Snell),,2,0
1,1,11:21.0,,Shooting foul by D. Rose (drawn by D. Fox),2,0
2,1,11:21.0,,D. Fox misses free throw 1 of 2,2,0
3,1,11:21.0,,Offensive rebound by Team,2,0
4,1,11:21.0,,D. Fox makes free throw 2 of 2,2,1
5,1,11:01.0,T. Snell misses 3-pt jump shot from 25 ft,,2,1
6,1,10:57.0,,Defensive rebound by N. Bjelica,2,1
7,1,10:42.0,,H. Barnes misses 2-pt jump shot from 6 ft,2,1
8,1,10:40.0,Defensive rebound by C. Wood,,2,1
9,1,10:39.0,Shooting foul by B. Bogdanović (drawn by D. Rose),,2,1
10,1,10:39.0,D. Rose makes free throw 1 of 2,,3,1
11,1,10:39.0,D. Rose makes free throw 2 of 2,,4,1
12,1,10:16.0,,H. Giles misses 2-pt hook shot from 6 ft,4,1
13,1,10:13.0,Defensive rebound by C. Wood,,4,1
14,1,9:59.0,D. Rose makes 2-pt layup from 2 ft (assist by J. Henson),,6,1
15,1,9:49.0,,H. Giles misses 2-pt layup from 2 ft,6,1
16,1,9:46.0,Defensive rebound by J. Henson,,6,1
17,1,9:40.0,C. Wood makes 3-pt jump shot from 26 ft (assist by T. Snell),,9,1
18,1,9:25.0,,N. Bjelica misses 2-pt layup from 4 ft (block by T. Snell),9,1
19,1,9:22.0,Defensive rebound by D. Rose,,9,1
20,1,9:19.0,S. Mykhailiuk misses 2-pt layup from 2 ft,,9,1
21,1,9:18.0,Offensive rebound by C. Wood,,9,1
22,1,9:17.0,C. Wood misses 2-pt layup from 2 ft (block by D. Fox),,9,1
23,1,9:13.0,Offensive rebound by S. Mykhailiuk,,9,1
24,1,9:11.0,D. Rose makes 3-pt jump shot from 25 ft,,12,1
25,1,9:10.0,,Sacramento full timeout,12,1
26,1,8:54.0,,B. Bogdanović misses 3-pt jump shot from 24 ft,12,1
27,1,8:50.0,Defensive rebound by S. Mykhailiuk,,12,1
28,1,8:43.0,J. Henson makes 2-pt dunk from 2 ft (assist by S. Mykhailiuk),,14,1
29,1,8:35.0,,N. Bjelica misses 3-pt jump shot from 26 ft,14,1
30,1,8:31.0,Defensive rebound by D. Rose,,14,1
31,1,8:20.0,S. Mykhailiuk misses 3-pt jump shot from 26 ft,,14,1
32,1,8:17.0,,Defensive rebound by H. Barnes,14,1
33,1,8:13.0,,Turnover by D. Fox (bad pass),14,1
34,1,8:00.0,J. Henson makes 2-pt dunk from 1 ft (assist by D. Rose),,16,1
35,1,7:43.0,,Turnover by B. Bogdanović (bad pass; steal by J. Henson),16,1
36,1,7:39.0,D. Rose makes 2-pt layup from 1 ft,,18,1
37,1,7:38.0,,Sacramento full timeout,18,1
38,1,7:38.0,,K. Bazemore enters the game for N. Bjelica,18,1
39,1,7:38.0,,B. Hield enters the game for B. Bogdanović,18,1
40,1,7:38.0,,C. Joseph enters the game for D. Fox,18,1
41,1,7:38.0,,A. Len enters the game for H. Giles,18,1
42,1,7:24.0,,H. Barnes misses 2-pt layup from 3 ft (block by J. Henson),18,1
43,1,7:21.0,Defensive rebound by S. Mykhailiuk,,18,1
44,1,7:08.0,S. Mykhailiuk misses 3-pt jump shot from 26 ft,,18,1
45,1,7:05.0,,Defensive rebound by H. Barnes,18,1
46,1,7:01.0,,B. Hield misses 3-pt jump shot from 26 ft,18,1
47,1,6:57.0,,Offensive rebound by C. Joseph,18,1
48,1,6:45.0,,C. Joseph makes 3-pt jump shot from 26 ft (assist by B. Hield),18,4
49,1,6:28.0,S. Mykhailiuk misses 2-pt layup from 5 ft (block by A. Len),,18,4
50,1,6:28.0,Offensive rebound by Team,,18,4
51,1,6:18.0,T. Snell misses 2-pt jump shot from 15 ft,,18,4
52,1,6:18.0,Offensive rebound by Team,,18,4
53,1,6:18.0,Turnover by Team (shot clock),,18,4
54,1,6:03.0,,B. Hield misses 3-pt jump shot from 25 ft,18,4
55,1,6:00.0,Defensive rebound by C. Wood,,18,4
56,1,5:52.0,C. Wood misses 2-pt layup from 5 ft,,18,4
57,1,5:51.0,Offensive rebound by C. Wood,,18,4
58,1,5:51.0,Shooting foul by A. Len (drawn by C. Wood),,18,4
59,1,5:51.0,C. Wood misses free throw 1 of 2,,18,4
60,1,5:51.0,Offensive rebound by Team,,18,4
61,1,5:51.0,B. Knight enters the game for D. Rose,,18,4
62,1,5:51.0,C. Wood makes free throw 2 of 2,,19,4
63,1,5:40.0,,Personal foul by B. Knight (drawn by C. Joseph),19,4
64,1,5:29.0,,Turnover by B. Hield (bad pass; steal by J. Henson),19,4
65,1,5:21.0,C. Wood makes 2-pt dunk from 2 ft (assist by J. Henson),,21,4
66,1,5:11.0,,A. Len misses 2-pt jump shot from 5 ft,21,4
67,1,5:08.0,Defensive rebound by C. Wood,,21,4
68,1,5:01.0,J. Henson misses 3-pt jump shot from 24 ft,,21,4
69,1,4:58.0,,Defensive rebound by B. Hield,21,4
70,1,4:48.0,,B. Hield makes 2-pt jump shot from 17 ft,21,6
71,1,4:29.0,S. Mykhailiuk makes 3-pt jump shot from 27 ft (assist by J. Henson),,24,6
72,1,4:20.0,,H. Barnes misses 3-pt jump shot from 25 ft,24,6
73,1,4:17.0,Defensive rebound by S. Mykhailiuk,,24,6
74,1,4:06.0,B. Knight makes 3-pt jump shot from 27 ft (assist by T. Snell),,27,6
75,1,3:53.0,,Turnover by K. Bazemore (bad pass; steal by T. Snell),27,6
76,1,3:48.0,T. Snell misses 2-pt layup from 6 ft,,27,6
77,1,3:46.0,,Defensive rebound by H. Barnes,27,6
78,1,3:45.0,,Personal take foul by S. Mykhailiuk (drawn by B. Hield),27,6
79,1,3:45.0,S. Doumbouya enters the game for J. Henson,,27,6
80,1,3:45.0,L. Galloway enters the game for T. Snell,,27,6
81,1,3:45.0,,N. Bjelica enters the game for H. Barnes,27,6
82,1,3:31.0,,B. Hield misses 2-pt jump shot from 12 ft,27,6
83,1,3:26.0,Defensive rebound by C. Wood,,27,6
84,1,3:21.0,Turnover by B. Knight (bad pass; steal by N. Bjelica),,27,6
85,1,3:15.0,,C. Joseph makes 2-pt layup from 1 ft (assist by N. Bjelica),27,8
86,1,2:56.0,B. Knight misses 3-pt jump shot from 26 ft,,27,8
87,1,2:53.0,,Defensive rebound by K. Bazemore,27,8
88,1,2:46.0,,K. Bazemore misses 2-pt jump shot from 6 ft,27,8
89,1,2:40.0,,Offensive rebound by N. Bjelica,27,8
90,1,2:40.0,,N. Bjelica makes 2-pt layup at rim,27,10
91,1,2:35.0,Detroit full timeout,,27,10
92,1,2:18.0,S. Doumbouya misses 3-pt jump shot from 23 ft,,27,10
93,1,2:13.0,,Defensive rebound by B. Hield,27,10
94,1,2:07.0,,A. Len makes 2-pt hook shot from 5 ft (assist by N. Bjelica),27,12
95,1,1:53.0,C. Wood misses 3-pt jump shot from 27 ft,,27,12
96,1,1:49.0,,Defensive rebound by N. Bjelica,27,12
97,1,1:31.0,,B. Hield misses 3-pt jump shot from 25 ft,27,12
98,1,1:26.0,,Offensive rebound by N. Bjelica,27,12
99,1,1:26.0,,N. Bjelica makes 2-pt layup at rim,27,14
100,1,1:10.0,C. Wood makes 2-pt dunk from 2 ft (assist by L. Galloway),,29,14
101,1,0:50.0,,Shooting foul by S. Doumbouya (drawn by K. Bazemore),29,14
102,1,0:50.0,,K. Bazemore makes free throw 1 of 2,29,15
103,1,0:50.0,D. Hall enters the game for C. Wood,,29,15
104,1,0:50.0,,K. Bazemore makes free throw 2 of 2,29,16
105,1,0:32.0,Shooting foul by N. Bjelica (drawn by S. Doumbouya),,29,16
106,1,0:32.0,S. Doumbouya makes free throw 1 of 2,,30,16
107,1,0:32.0,K. Thomas enters the game for S. Mykhailiuk,,30,16
108,1,0:32.0,S. Doumbouya makes free throw 2 of 2,,31,16
109,1,0:21.0,,B. Hield misses 2-pt layup from 4 ft,31,16
110,1,0:18.0,,Offensive rebound by C. Joseph,31,16
111,1,0:08.0,,K. Bazemore misses 2-pt jump shot from 6 ft,31,16
112,1,0:07.0,,Offensive rebound by A. Len,31,16
113,1,0:07.0,,A. Len misses 2-pt layup at rim,31,16
114,1,0:06.0,,Offensive rebound by N. Bjelica,31,16
115,1,0:06.0,,Turnover by Team (shot clock),31,16
116,1,0:06.0,,H. Barnes enters the game for N. Bjelica,31,16
117,1,0:01.0,L. Galloway misses 3-pt jump shot from 27 ft,,31,16
118,1,0:01.0,Offensive rebound by Team,,31,16
119,2,11:40.0,,K. Bazemore misses 3-pt jump shot from 26 ft,31,16
120,2,11:33.0,,Offensive rebound by H. Barnes,31,16
121,2,11:33.0,,Turnover by H. Barnes (bad pass; steal by K. Thomas),31,16
122,2,11:25.0,L. Galloway makes 3-pt jump shot from 26 ft (assist by D. Rose),,34,16
123,2,11:13.0,,B. Bogdanović misses 3-pt jump shot from 23 ft,34,16
124,2,11:10.0,Defensive rebound by D. Rose,,34,16
125,2,11:02.0,Personal foul by H. Giles (drawn by D. Hall),,34,16
126,2,10:56.0,D. Rose misses 2-pt jump shot from 17 ft,,34,16
127,2,10:52.0,,Defensive rebound by H. Barnes,34,16
128,2,10:43.0,,H. Giles makes 2-pt layup from 1 ft (assist by H. Barnes),34,18
129,2,10:26.0,K. Thomas misses 3-pt jump shot from 22 ft,,34,18
130,2,10:26.0,Offensive rebound by Team,,34,18
131,2,10:25.0,,Loose ball foul by H. Giles (drawn by D. Hall),34,18
132,2,10:14.0,S. Doumbouya misses 2-pt jump shot from 6 ft,,34,18
133,2,10:13.0,,Defensive rebound by Team,34,18
134,2,10:13.0,Loose ball foul by D. Hall (drawn by H. Giles),,34,18
135,2,9:59.0,,K. Bazemore misses 2-pt layup from 4 ft,34,18
136,2,9:59.0,,Offensive rebound by Team,34,18
137,2,9:59.0,Loose ball foul by L. Galloway (drawn by H. Giles),,34,18
138,2,9:53.0,,D. Fox misses 3-pt jump shot from 25 ft,34,18
139,2,9:49.0,,Offensive rebound by H. Giles,34,18
140,2,9:46.0,,H. Barnes makes 3-pt jump shot from 24 ft (assist by K. Bazemore),34,21
141,2,9:29.0,Turnover by D. Rose (lost ball; steal by B. Bogdanović),,34,21
142,2,9:23.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,34,21
143,2,9:23.0,,Offensive rebound by H. Giles,34,21
144,2,9:23.0,,Personal foul by L. Galloway (drawn by H. Giles),34,21
145,2,9:14.0,,H. Giles misses 2-pt jump shot from 10 ft,34,21
146,2,9:10.0,Defensive rebound by S. Doumbouya,,34,21
147,2,9:00.0,D. Rose misses 2-pt jump shot from 5 ft,,34,21
148,2,8:56.0,,Defensive rebound by H. Giles,34,21
149,2,8:53.0,,D. Fox makes 2-pt layup from 2 ft,34,23
150,2,8:46.0,Detroit full timeout,,34,23
151,2,8:46.0,J. Henson enters the game for D. Hall,,34,23
152,2,8:46.0,B. Knight enters the game for D. Rose,,34,23
153,2,8:46.0,T. Snell enters the game for K. Thomas,,34,23
154,2,8:37.0,L. Galloway misses 3-pt jump shot from 25 ft,,34,23
155,2,8:33.0,,Defensive rebound by H. Giles,34,23
156,2,8:22.0,,Personal foul by J. Henson (drawn by H. Giles),34,23
157,2,8:09.0,,H. Giles makes 2-pt hook shot from 6 ft,34,25
158,2,7:51.0,B. Knight misses 3-pt jump shot from 26 ft,,34,25
159,2,7:48.0,,Defensive rebound by K. Bazemore,34,25
160,2,7:45.0,,Shooting foul by S. Doumbouya (drawn by K. Bazemore),34,25
161,2,7:45.0,,K. Bazemore makes free throw 1 of 2,34,26
162,2,7:45.0,,K. Bazemore makes free throw 2 of 2,34,27
163,2,7:34.0,Personal foul by K. Bazemore (drawn by L. Galloway),,34,27
164,2,7:34.0,C. Wood enters the game for S. Doumbouya,,34,27
165,2,7:24.0,Shooting foul by K. Bazemore (drawn by C. Wood),,34,27
166,2,7:24.0,C. Wood makes free throw 1 of 2,,35,27
167,2,7:24.0,S. Mykhailiuk enters the game for L. Galloway,,35,27
168,2,7:24.0,C. Wood makes free throw 2 of 2,,36,27
169,2,7:06.0,,H. Giles misses 2-pt hook shot from 6 ft,36,27
170,2,7:04.0,Defensive rebound by T. Snell,,36,27
171,2,6:57.0,Turnover by J. Henson (bad pass; steal by B. Bogdanović),,36,27
172,2,6:54.0,,Shooting foul by T. Snell (drawn by B. Bogdanović),36,27
173,2,6:54.0,,B. Bogdanović misses free throw 1 of 2,36,27
174,2,6:54.0,,Offensive rebound by Team,36,27
175,2,6:54.0,,N. Bjelica enters the game for H. Barnes,36,27
176,2,6:54.0,,B. Bogdanović makes free throw 2 of 2,36,28
177,2,6:39.0,Shooting foul by N. Bjelica (drawn by J. Henson),,36,28
178,2,6:39.0,J. Henson misses free throw 1 of 2,,36,28
179,2,6:39.0,Offensive rebound by Team,,36,28
180,2,6:39.0,J. Henson misses free throw 2 of 2,,36,28
181,2,6:37.0,,Defensive rebound by H. Giles,36,28
182,2,6:28.0,,H. Giles makes 2-pt dunk from 1 ft (assist by D. Fox),36,30
183,2,6:12.0,Turnover by B. Knight (lost ball),,36,30
184,2,6:12.0,Loose ball foul by B. Knight (drawn by H. Giles),,36,30
185,2,6:12.0,,H. Giles makes free throw 1 of 2,36,31
186,2,6:12.0,,H. Giles makes free throw 2 of 2,36,32
187,2,6:01.0,Personal foul by H. Giles (drawn by J. Henson),,36,32
188,2,6:01.0,Technical foul by H. Giles,,36,32
189,2,6:01.0,T. Snell makes technical free throw,,37,32
190,2,6:01.0,,A. Len enters the game for H. Giles,37,32
191,2,6:01.0,J. Henson misses free throw 1 of 2,,37,32
192,2,6:01.0,Offensive rebound by Team,,37,32
193,2,6:01.0,J. Henson misses free throw 2 of 2,,37,32
194,2,5:59.0,,Defensive rebound by A. Len,37,32
195,2,5:52.0,,Shooting foul by B. Knight (drawn by D. Fox),37,32
196,2,5:52.0,,D. Fox makes free throw 1 of 2,37,33
197,2,5:52.0,D. Walton enters the game for B. Knight,,37,33
198,2,5:52.0,,D. Fox makes free throw 2 of 2,37,34
199,2,5:38.0,S. Mykhailiuk makes 3-pt jump shot from 26 ft,,40,34
200,2,5:24.0,,D. Fox misses 2-pt jump shot from 11 ft,40,34
201,2,5:24.0,Defensive rebound by S. Mykhailiuk,,40,34
202,2,5:01.0,T. Snell misses 2-pt jump shot from 9 ft,,40,34
203,2,5:00.0,Offensive rebound by J. Henson,,40,34
204,2,5:00.0,J. Henson makes 2-pt layup from 1 ft,,42,34
205,2,5:00.0,,Sacramento full timeout,42,34
206,2,5:00.0,,B. Hield enters the game for K. Bazemore,42,34
207,2,4:46.0,,N. Bjelica misses 3-pt jump shot from 28 ft,42,34
208,2,4:42.0,Defensive rebound by C. Wood,,42,34
209,2,4:32.0,Personal foul by B. Bogdanović (drawn by S. Mykhailiuk),,42,34
210,2,4:32.0,S. Mykhailiuk makes free throw 1 of 2,,43,34
211,2,4:32.0,S. Mykhailiuk makes free throw 2 of 2,,44,34
