,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,WASHINGTON_ACTION,SAN ANTONIO_SCORE,WASHINGTON_SCORE
0,1,11:38.0,,Offensive foul by T. Bryant (drawn by P. Mills),0,0
1,1,11:38.0,,Turnover by T. Bryant (offensive foul),0,0
2,1,11:25.0,Def 3 sec tech foul by Team,,0,0
3,1,11:25.0,D. DeRozan misses technical free throw,,0,0
4,1,11:25.0,Offensive rebound by Team,,0,0
5,1,11:15.0,Turnover by D. DeRozan (lost ball; steal by T. Brown),,0,0
6,1,11:04.0,,I. Thomas makes 3-pt jump shot from 26 ft (assist by T. Brown),0,3
7,1,10:47.0,Personal foul by B. Beal (drawn by B. Forbes),,0,3
8,1,10:37.0,L. Aldridge makes 2-pt layup from 1 ft (assist by J. Poeltl),,2,3
9,1,10:16.0,,T. Brown misses 2-pt jump shot from 19 ft,2,3
10,1,10:14.0,Defensive rebound by J. Poeltl,,2,3
11,1,10:07.0,B. Forbes makes 2-pt jump shot from 18 ft (assist by L. Aldridge),,4,3
12,1,9:54.0,,R. Hachimura misses 2-pt jump shot from 4 ft,4,3
13,1,9:52.0,Defensive rebound by J. Poeltl,,4,3
14,1,9:44.0,L. Aldridge misses 3-pt jump shot from 25 ft,,4,3
15,1,9:40.0,,Defensive rebound by T. Bryant,4,3
16,1,9:31.0,,T. Bryant makes 2-pt jump shot from 16 ft (assist by I. Thomas),4,5
17,1,9:19.0,Shooting foul by R. Hachimura (drawn by D. DeRozan),,4,5
18,1,9:19.0,D. DeRozan misses free throw 1 of 2,,4,5
19,1,9:19.0,Offensive rebound by Team,,4,5
20,1,9:19.0,D. DeRozan makes free throw 2 of 2,,5,5
21,1,9:03.0,,Shooting foul by D. DeRozan (drawn by R. Hachimura),5,5
22,1,9:03.0,,R. Hachimura makes free throw 1 of 2,5,6
23,1,9:03.0,,R. Hachimura makes free throw 2 of 2,5,7
24,1,8:49.0,Shooting foul by R. Hachimura (drawn by D. DeRozan),,5,7
25,1,8:49.0,D. DeRozan makes free throw 1 of 2,,6,7
26,1,8:49.0,,D. Bertāns enters the game for R. Hachimura,6,7
27,1,8:49.0,D. DeRozan makes free throw 2 of 2,,7,7
28,1,8:32.0,,I. Thomas makes 3-pt jump shot from 27 ft (assist by T. Bryant),7,10
29,1,8:21.0,B. Forbes makes 3-pt jump shot from 27 ft (assist by P. Mills),,10,10
30,1,8:10.0,,Offensive foul by B. Beal (drawn by P. Mills),10,10
31,1,8:10.0,,Turnover by B. Beal (offensive foul),10,10
32,1,8:10.0,,Washington full timeout,10,10
33,1,8:01.0,Offensive foul by P. Mills (drawn by I. Thomas),,10,10
34,1,8:01.0,Turnover by P. Mills (offensive foul),,10,10
35,1,7:52.0,,B. Beal makes 2-pt dunk from 2 ft (assist by T. Bryant),10,12
