,QUARTER,TIME_REMAINING,ORLANDO_ACTION,BROOKLYN_ACTION,ORLANDO_SCORE,BROOKLYN_SCORE
0,1,11:41.0,,J. Harris misses 2-pt layup from 4 ft (block by J. Ennis),0,0
1,1,11:39.0,Defensive rebound by J. Ennis,,0,0
2,1,11:26.0,A. Gordon makes 2-pt layup from 1 ft (assist by N. Vučević),,2,0
3,1,11:13.0,,Personal foul by E. Fournier (drawn by J. Allen),2,0
4,1,11:01.0,,C. LeVert makes 2-pt jump shot from 9 ft,2,2
5,1,10:39.0,E. Fournier makes 3-pt jump shot from 25 ft (assist by M. Fultz),,5,2
6,1,10:27.0,,C. LeVert misses 2-pt jump shot from 4 ft,5,2
7,1,10:24.0,,Offensive rebound by J. Allen,5,2
8,1,10:24.0,,J. Allen makes 2-pt layup at rim,5,4
9,1,10:14.0,E. Fournier misses 2-pt jump shot from 15 ft,,5,4
10,1,10:12.0,,Defensive rebound by C. LeVert,5,4
11,1,9:54.0,,J. Harris misses 3-pt jump shot from 26 ft,5,4
12,1,9:51.0,Defensive rebound by M. Fultz,,5,4
13,1,9:42.0,A. Gordon misses 3-pt jump shot from 26 ft,,5,4
14,1,9:39.0,,Defensive rebound by J. Harris,5,4
15,1,9:27.0,,T. Prince misses 2-pt layup from 3 ft,5,4
16,1,9:24.0,Defensive rebound by A. Gordon,,5,4
17,1,9:19.0,A. Gordon misses 2-pt layup from 4 ft,,5,4
18,1,9:16.0,Offensive rebound by A. Gordon,,5,4
19,1,9:13.0,A. Gordon makes 2-pt layup from 4 ft,,7,4
20,1,8:55.0,,J. Harris makes 2-pt layup from 1 ft (assist by J. Allen),7,6
21,1,8:46.0,E. Fournier misses 3-pt jump shot from 26 ft,,7,6
22,1,8:44.0,,Defensive rebound by J. Allen,7,6
23,1,8:34.0,,T. Prince makes 3-pt jump shot from 25 ft (assist by C. LeVert),7,9
24,1,8:16.0,E. Fournier makes 2-pt layup from 2 ft (assist by N. Vučević),,9,9
25,1,8:04.0,,T. Prince misses 2-pt layup from 4 ft,9,9
26,1,8:03.0,Defensive rebound by N. Vučević,,9,9
27,1,7:56.0,Turnover by M. Fultz (lost ball; steal by T. Prince),,9,9
28,1,7:50.0,,J. Allen makes 2-pt layup from 1 ft (assist by J. Harris),9,11
29,1,7:34.0,Personal foul by S. Dinwiddie (drawn by E. Fournier),,9,11
30,1,7:31.0,J. Ennis makes 2-pt layup from 1 ft (assist by E. Fournier),,11,11
31,1,7:13.0,,C. LeVert misses 2-pt jump shot from 4 ft,11,11
32,1,7:11.0,Defensive rebound by N. Vučević,,11,11
33,1,6:58.0,M. Fultz misses 3-pt jump shot from 27 ft,,11,11
34,1,6:56.0,,Defensive rebound by J. Allen,11,11
35,1,6:46.0,,Turnover by S. Dinwiddie (bad pass),11,11
36,1,6:46.0,,Brooklyn full timeout,11,11
37,1,6:46.0,,G. Temple enters the game for C. LeVert,11,11
38,1,6:31.0,M. Fultz misses 3-pt jump shot from 25 ft,,11,11
39,1,6:25.0,Offensive rebound by A. Gordon,,11,11
40,1,6:25.0,A. Gordon misses 2-pt layup from 1 ft,,11,11
41,1,6:25.0,,Defensive rebound by G. Temple,11,11
42,1,6:21.0,,G. Temple makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),11,14
43,1,6:08.0,E. Fournier makes 2-pt layup from 2 ft (assist by A. Gordon),,13,14
44,1,5:45.0,,G. Temple makes 2-pt layup from 1 ft (assist by S. Dinwiddie),13,16
45,1,5:26.0,N. Vučević misses 2-pt hook shot from 5 ft,,13,16
46,1,5:23.0,Offensive rebound by M. Fultz,,13,16
47,1,5:21.0,E. Fournier misses 3-pt jump shot from 26 ft,,13,16
48,1,5:18.0,,Defensive rebound by T. Prince,13,16
49,1,5:02.0,,T. Prince makes 2-pt jump shot from 12 ft,13,18
50,1,4:47.0,A. Gordon makes 2-pt jump shot from 19 ft (assist by M. Fultz),,15,18
51,1,4:28.0,,S. Dinwiddie makes 2-pt layup at rim,15,20
52,1,4:15.0,Personal foul by J. Allen (drawn by N. Vučević),,15,20
53,1,4:15.0,T. Ross enters the game for J. Ennis,,15,20
54,1,4:15.0,,W. Chandler enters the game for J. Allen,15,20
