,QUARTER,TIME_REMAINING,TORONTO_ACTION,UTAH_ACTION,TORONTO_SCORE,UTAH_SCORE
0,1,11:43.0,,M. Conley misses 3-pt jump shot from 28 ft,0,0
1,1,11:40.0,Defensive rebound by S. Ibaka,,0,0
2,1,11:36.0,K. Lowry misses 3-pt jump shot from 28 ft,,0,0
3,1,11:33.0,,Defensive rebound by R. O'Neale,0,0
4,1,11:25.0,,D. Mitchell misses 2-pt layup from 5 ft,0,0
5,1,11:23.0,Defensive rebound by S. Ibaka,,0,0
6,1,11:05.0,S. Ibaka makes 2-pt hook shot from 3 ft (assist by K. Lowry),,2,0
7,1,10:51.0,,Turnover by B. Bogdanović (bad pass; steal by O. Anunoby),2,0
8,1,10:45.0,N. Powell misses 3-pt jump shot from 26 ft,,2,0
9,1,10:42.0,,Defensive rebound by R. O'Neale,2,0
10,1,10:30.0,,D. Mitchell makes 3-pt jump shot from 25 ft (assist by M. Conley),2,3
11,1,10:25.0,Toronto full timeout,,2,3
12,1,10:25.0,P. McCaw enters the game for N. Powell,,2,3
13,1,10:14.0,Turnover by P. Siakam (turnover),,2,3
14,1,9:56.0,,R. O'Neale makes 2-pt jump shot from 8 ft (assist by B. Bogdanović),2,5
15,1,9:33.0,S. Ibaka misses 2-pt jump shot from 6 ft,,2,5
16,1,9:32.0,,Defensive rebound by B. Bogdanović,2,5
17,1,9:12.0,,M. Conley misses 2-pt jump shot from 19 ft,2,5
18,1,9:09.0,Defensive rebound by P. McCaw,,2,5
19,1,8:58.0,P. Siakam makes 2-pt jump shot from 10 ft,,4,5
20,1,8:31.0,,Offensive foul by M. Conley (drawn by O. Anunoby),4,5
21,1,8:31.0,,Turnover by M. Conley (offensive foul),4,5
22,1,8:31.0,R. Hollis-Jefferson enters the game for O. Anunoby,,4,5
23,1,8:24.0,S. Ibaka makes 3-pt jump shot from 25 ft (assist by P. Siakam),,7,5
24,1,8:08.0,,D. Mitchell misses 2-pt jump shot from 8 ft,7,5
25,1,8:05.0,Defensive rebound by S. Ibaka,,7,5
26,1,8:00.0,Personal foul by B. Bogdanović (drawn by S. Ibaka),,7,5
