,QUARTER,TIME_REMAINING,DALLAS_ACTION,PORTLAND_ACTION,DALLAS_SCORE,PORTLAND_SCORE
0,1,11:42.0,K. Porziņģis makes 2-pt dunk from 1 ft,,2,0
1,1,11:15.0,,D. Lillard makes 3-pt jump shot from 39 ft,2,3
2,1,11:01.0,K. Porziņģis makes 3-pt jump shot from 26 ft (assist by S. Curry),,5,3
3,1,10:44.0,,Turnover by C. Anthony (bad pass; steal by K. Porziņģis),5,3
4,1,10:38.0,L. Dončić misses 3-pt jump shot from 27 ft,,5,3
5,1,10:34.0,,Defensive rebound by T. Ariza,5,3
6,1,10:24.0,,Turnover by H. Whiteside (lost ball; steal by L. Dončić),5,3
7,1,10:17.0,L. Dončić makes 2-pt layup from 2 ft (assist by T. Hardaway),,7,3
8,1,9:50.0,,C. Anthony makes 2-pt jump shot from 11 ft,7,5
9,1,9:31.0,K. Porziņģis misses 2-pt jump shot from 19 ft,,7,5
10,1,9:30.0,,Defensive rebound by C. Anthony,7,5
11,1,9:24.0,,T. Ariza misses 3-pt jump shot from 25 ft,7,5
12,1,9:21.0,Defensive rebound by L. Dončić,,7,5
13,1,9:17.0,S. Curry makes 3-pt jump shot from 26 ft (assist by L. Dončić),,10,5
14,1,9:03.0,,Personal foul by T. Hardaway (drawn by D. Lillard),10,5
15,1,8:57.0,,D. Lillard makes 3-pt jump shot from 25 ft (assist by A. Simons),10,8
16,1,8:41.0,D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by T. Hardaway),,13,8
17,1,8:26.0,,D. Lillard makes 3-pt jump shot from 25 ft,13,11
18,1,8:09.0,L. Dončić makes 3-pt jump shot from 25 ft,,16,11
19,1,7:49.0,,C. Anthony misses 2-pt jump shot from 19 ft,16,11
20,1,7:46.0,Defensive rebound by D. Finney-Smith,,16,11
21,1,7:40.0,S. Curry makes 2-pt layup from 1 ft,,18,11
22,1,7:23.0,,A. Simons misses 3-pt jump shot from 23 ft,18,11
23,1,7:22.0,Defensive rebound by D. Finney-Smith,,18,11
24,1,7:13.0,Shooting foul by C. Anthony (drawn by D. Finney-Smith),,18,11
25,1,7:13.0,,Portland full timeout,18,11
26,1,7:13.0,J. Jackson enters the game for T. Hardaway,,18,11
27,1,7:13.0,D. Finney-Smith makes free throw 1 of 2,,19,11
28,1,7:13.0,D. Finney-Smith misses free throw 2 of 2,,19,11
29,1,7:10.0,,Defensive rebound by Team,19,11
30,1,7:00.0,,H. Whiteside makes 2-pt dunk from 1 ft (assist by D. Lillard),19,13
31,1,6:41.0,L. Dončić makes 3-pt jump shot from 25 ft,,22,13
32,1,6:29.0,,D. Lillard misses 3-pt jump shot from 28 ft,22,13
33,1,6:26.0,Defensive rebound by D. Finney-Smith,,22,13
34,1,6:20.0,L. Dončić misses 3-pt jump shot from 29 ft,,22,13
35,1,6:17.0,,Defensive rebound by C. Anthony,22,13
36,1,6:05.0,,D. Lillard misses 2-pt layup from 1 ft,22,13
37,1,6:03.0,Defensive rebound by K. Porziņģis,,22,13
38,1,5:55.0,K. Porziņģis misses 3-pt jump shot from 28 ft,,22,13
39,1,5:50.0,Offensive rebound by L. Dončić,,22,13
40,1,5:47.0,L. Dončić makes 2-pt layup from 1 ft,,24,13
41,1,5:33.0,,Turnover by A. Simons (lost ball; steal by S. Curry),24,13
42,1,5:30.0,S. Curry makes 3-pt jump shot from 25 ft,,27,13
43,1,5:07.0,,H. Whiteside makes 2-pt hook shot from 3 ft (assist by C. Anthony),27,15
44,1,4:49.0,K. Porziņģis misses 2-pt dunk from 1 ft,,27,15
45,1,4:48.0,,Defensive rebound by D. Lillard,27,15
46,1,4:42.0,,D. Lillard makes 2-pt layup from 1 ft,27,17
47,1,4:34.0,Dallas full timeout,,27,17
48,1,4:34.0,M. Kleber enters the game for K. Porziņģis,,27,17
49,1,4:34.0,,G. Trent enters the game for A. Simons,27,17
50,1,4:23.0,L. Dončić makes 2-pt layup from 2 ft,,29,17
51,1,4:07.0,,C. Anthony makes 3-pt jump shot from 25 ft (assist by D. Lillard),29,20
52,1,3:52.0,L. Dončić makes 2-pt jump shot from 5 ft,,31,20
53,1,3:41.0,,T. Ariza makes 2-pt layup from 1 ft,31,22
54,1,3:41.0,,Shooting foul by M. Kleber (drawn by T. Ariza),31,22
55,1,3:41.0,T. Hardaway enters the game for S. Curry,,31,22
56,1,3:41.0,D. Wright enters the game for D. Finney-Smith,,31,22
57,1,3:41.0,,C. Swanigan enters the game for C. Anthony,31,22
58,1,3:41.0,,T. Ariza makes free throw 1 of 1,31,23
59,1,3:34.0,J. Jackson makes 3-pt jump shot from 25 ft (assist by T. Hardaway),,34,23
60,1,3:19.0,,T. Ariza misses 2-pt layup from 3 ft,34,23
61,1,3:16.0,Defensive rebound by L. Dončić,,34,23
62,1,3:13.0,T. Hardaway makes 3-pt jump shot from 22 ft (assist by D. Wright),,37,23
63,1,2:58.0,,G. Trent makes 2-pt jump shot from 6 ft,37,25
64,1,2:44.0,T. Hardaway makes 3-pt jump shot from 25 ft (assist by L. Dončić),,40,25
65,1,2:32.0,,D. Lillard makes 2-pt layup from 3 ft,40,27
66,1,2:32.0,,Shooting foul by L. Dončić (drawn by D. Lillard),40,27
67,1,2:32.0,,D. Lillard makes free throw 1 of 1,40,28
68,1,2:08.0,L. Dončić misses 3-pt jump shot from 31 ft,,40,28
69,1,2:06.0,,Defensive rebound by T. Ariza,40,28
70,1,2:03.0,,Turnover by D. Lillard (bad pass),40,28
71,1,1:59.0,T. Hardaway misses 3-pt jump shot from 25 ft,,40,28
72,1,1:56.0,Offensive rebound by J. Jackson,,40,28
73,1,1:53.0,J. Jackson misses 2-pt jump shot from 3 ft,,40,28
74,1,1:52.0,Offensive rebound by J. Jackson,,40,28
75,1,1:49.0,M. Kleber makes 3-pt jump shot from 25 ft (assist by J. Jackson),,43,28
76,1,1:24.0,,T. Ariza makes 3-pt jump shot from 23 ft (assist by G. Trent),43,31
77,1,1:08.0,L. Dončić makes 2-pt jump shot from 6 ft,,45,31
78,1,1:01.0,,T. Ariza makes 3-pt jump shot from 26 ft (assist by D. Lillard),45,34
79,1,0:55.0,T. Hardaway misses 3-pt jump shot from 25 ft,,45,34
80,1,0:53.0,,Defensive rebound by C. Swanigan,45,34
81,1,0:31.0,,G. Trent misses 2-pt jump shot from 15 ft,45,34
82,1,0:30.0,,Offensive rebound by H. Whiteside,45,34
83,1,0:29.0,,H. Whiteside makes 2-pt jump shot from 1 ft,45,36
84,1,0:07.0,Turnover by L. Dončić (bad pass; steal by D. Lillard),,45,36
85,1,0:05.0,,Shooting foul by M. Kleber (drawn by T. Ariza),45,36
86,1,0:05.0,,T. Ariza misses free throw 1 of 2,45,36
87,1,0:05.0,,Offensive rebound by Team,45,36
88,1,0:05.0,J. Brunson enters the game for L. Dončić,,45,36
89,1,0:05.0,K. Porziņģis enters the game for M. Kleber,,45,36
90,1,0:05.0,,M. Hezonja enters the game for H. Whiteside,45,36
91,1,0:05.0,,T. Ariza makes free throw 2 of 2,45,37
92,1,0:00.0,D. Wright misses 2-pt jump shot from 8 ft,,45,37
93,1,0:00.0,Offensive rebound by Team,,45,37
94,2,11:46.0,,A. Simons misses 2-pt layup from 2 ft (block by K. Porziņģis),45,37
95,2,11:44.0,Defensive rebound by D. Wright,,45,37
96,2,11:41.0,J. Brunson makes 3-pt jump shot from 23 ft (assist by J. Jackson),,48,37
97,2,11:25.0,,M. Hezonja misses 3-pt jump shot from 25 ft,48,37
98,2,11:23.0,,Offensive rebound by C. Swanigan,48,37
99,2,11:11.0,,C. Anthony makes 2-pt jump shot from 11 ft,48,39
100,2,11:03.0,Offensive foul by K. Porziņģis (drawn by C. Swanigan),,48,39
101,2,11:03.0,Turnover by K. Porziņģis (offensive foul),,48,39
102,2,10:48.0,,C. Anthony misses 2-pt jump shot from 9 ft,48,39
103,2,10:46.0,Defensive rebound by D. Wright,,48,39
104,2,10:38.0,J. Brunson misses 2-pt layup from 3 ft (block by A. Simons),,48,39
105,2,10:37.0,Offensive rebound by J. Brunson,,48,39
106,2,10:29.0,J. Brunson makes 3-pt jump shot from 26 ft (assist by K. Porziņģis),,51,39
107,2,10:14.0,,A. Simons makes 3-pt jump shot from 25 ft (assist by C. Anthony),51,42
108,2,10:03.0,Turnover by T. Hardaway (bad pass),,51,42
