,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,LA CLIPPERS_ACTION,MEMPHIS_SCORE,LA CLIPPERS_SCORE
0,1,11:36.0,,K. Leonard misses 2-pt layup from 2 ft,0,0
1,1,11:32.0,,Offensive rebound by I. Zubac,0,0
2,1,11:32.0,,I. Zubac makes 2-pt layup at rim,0,2
3,1,11:18.0,J. Crowder makes 3-pt jump shot from 23 ft (assist by J. Morant),,3,2
4,1,11:10.0,,Personal foul by J. Crowder (drawn by K. Leonard),3,2
5,1,10:58.0,,K. Leonard misses 2-pt jump shot from 16 ft,3,2
6,1,10:56.0,Defensive rebound by J. Crowder,,3,2
7,1,10:50.0,Personal foul by D. Walton (drawn by J. Crowder),,3,2
8,1,10:41.0,Shooting foul by I. Zubac (drawn by J. Morant),,3,2
9,1,10:41.0,J. Morant makes free throw 1 of 2,,4,2
10,1,10:41.0,J. Morant misses free throw 2 of 2,,4,2
11,1,10:36.0,Offensive rebound by J. Valančiūnas,,4,2
12,1,10:26.0,D. Brooks misses 2-pt layup from 1 ft,,4,2
13,1,10:24.0,,Defensive rebound by I. Zubac,4,2
14,1,10:16.0,,L. Shamet makes 2-pt jump shot from 2 ft,4,4
15,1,10:06.0,D. Brooks makes 3-pt jump shot from 25 ft (assist by J. Valančiūnas),,7,4
16,1,9:50.0,,I. Zubac makes 2-pt jump shot from 19 ft (assist by K. Leonard),7,6
17,1,9:25.0,J. Crowder makes 3-pt jump shot from 25 ft (assist by J. Morant),,10,6
18,1,9:16.0,,K. Leonard misses 3-pt jump shot from 27 ft,10,6
19,1,9:12.0,Defensive rebound by J. Valančiūnas,,10,6
20,1,9:05.0,J. Valančiūnas misses 3-pt jump shot from 27 ft,,10,6
21,1,9:02.0,,Defensive rebound by K. Leonard,10,6
22,1,8:58.0,,K. Leonard misses 2-pt jump shot from 17 ft,10,6
23,1,8:54.0,Defensive rebound by J. Valančiūnas,,10,6
24,1,8:49.0,Turnover by D. Brooks (lost ball),,10,6
25,1,8:49.0,Loose ball foul by D. Brooks (drawn by L. Shamet),,10,6
26,1,8:39.0,,K. Leonard misses 2-pt jump shot from 14 ft,10,6
27,1,8:36.0,Defensive rebound by J. Jackson,,10,6
28,1,8:30.0,D. Brooks misses 3-pt jump shot from 25 ft,,10,6
29,1,8:27.0,,Defensive rebound by K. Leonard,10,6
30,1,8:22.0,,L. Shamet misses 3-pt jump shot from 23 ft,10,6
31,1,8:17.0,,Offensive rebound by I. Zubac,10,6
32,1,8:15.0,,M. Harkless misses 3-pt jump shot from 25 ft,10,6
33,1,8:11.0,Defensive rebound by J. Valančiūnas,,10,6
34,1,8:00.0,J. Jackson makes 2-pt hook shot from 4 ft,,12,6
35,1,7:43.0,,D. Walton misses 3-pt jump shot from 26 ft,12,6
36,1,7:43.0,Defensive rebound by J. Valančiūnas,,12,6
37,1,7:39.0,J. Morant makes 2-pt dunk from 1 ft (assist by J. Crowder),,14,6
38,1,7:19.0,,Shooting foul by J. Morant (drawn by K. Leonard),14,6
39,1,7:19.0,,K. Leonard makes free throw 1 of 2,14,7
40,1,7:19.0,,K. Leonard makes free throw 2 of 2,14,8
41,1,7:11.0,Shooting foul by M. Harkless (drawn by J. Morant),,14,8
42,1,7:11.0,J. Morant makes free throw 1 of 2,,15,8
43,1,7:11.0,J. Morant makes free throw 2 of 2,,16,8
44,1,7:01.0,,K. Leonard makes 2-pt layup from 2 ft,16,10
45,1,6:41.0,Turnover by J. Morant (bad pass; steal by K. Leonard),,16,10
46,1,6:29.0,,L. Shamet makes 2-pt jump shot from 10 ft,16,12
47,1,6:28.0,Memphis full timeout,,16,12
48,1,6:28.0,B. Clarke enters the game for J. Morant,,16,12
49,1,6:28.0,T. Jones enters the game for J. Valančiūnas,,16,12
50,1,6:14.0,J. Crowder makes 3-pt jump shot from 28 ft (assist by T. Jones),,19,12
51,1,5:57.0,,L. Shamet misses 3-pt jump shot from 25 ft,19,12
52,1,5:54.0,,Offensive rebound by M. Harkless,19,12
