,QUARTER,TIME_REMAINING,BOSTON_ACTION,BROOKLYN_ACTION,BOSTON_SCORE,BROOKLYN_SCORE
0,1,11:46.0,,J. Allen makes 2-pt dunk from 3 ft (assist by J. Harris),0,2
1,1,11:23.0,Turnover by K. Walker (lost ball; steal by S. Dinwiddie),,0,2
2,1,11:18.0,,G. Temple makes 2-pt layup from 2 ft (assist by S. Dinwiddie),0,4
3,1,11:04.0,Shooting foul by J. Allen (drawn by K. Walker),,0,4
4,1,11:04.0,K. Walker makes free throw 1 of 2,,1,4
5,1,11:04.0,K. Walker makes free throw 2 of 2,,2,4
6,1,10:45.0,,S. Dinwiddie makes 3-pt jump shot from 26 ft (assist by G. Temple),2,7
7,1,10:26.0,J. Tatum misses 2-pt layup from 8 ft (block by J. Harris),,2,7
8,1,10:23.0,,Defensive rebound by J. Allen,2,7
9,1,10:20.0,,T. Prince misses 3-pt jump shot from 26 ft,2,7
10,1,10:15.0,Defensive rebound by K. Walker,,2,7
11,1,10:06.0,J. Tatum makes 2-pt jump shot from 17 ft (assist by J. Brown),,4,7
12,1,9:54.0,,J. Allen makes 2-pt dunk from 2 ft (assist by S. Dinwiddie),4,9
13,1,9:40.0,J. Brown misses 2-pt jump shot from 14 ft,,4,9
14,1,9:36.0,,Defensive rebound by J. Allen,4,9
15,1,9:30.0,,J. Harris makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),4,12
16,1,9:29.0,Boston full timeout,,4,12
17,1,9:11.0,M. Smart misses 3-pt jump shot from 26 ft,,4,12
18,1,9:06.0,,Defensive rebound by S. Dinwiddie,4,12
19,1,8:59.0,,S. Dinwiddie misses 2-pt layup from 5 ft,4,12
20,1,8:51.0,,Offensive rebound by J. Allen,4,12
21,1,8:51.0,,J. Allen misses 2-pt layup at rim,4,12
22,1,8:51.0,Defensive rebound by D. Theis,,4,12
23,1,8:50.0,J. Brown makes 2-pt layup from 2 ft,,6,12
24,1,8:50.0,Shooting foul by T. Prince (drawn by J. Brown),,6,12
25,1,8:50.0,J. Brown misses free throw 1 of 1,,6,12
26,1,8:46.0,,Defensive rebound by J. Allen,6,12
27,1,8:28.0,,T. Prince misses 3-pt jump shot from 27 ft,6,12
28,1,8:25.0,Defensive rebound by J. Tatum,,6,12
29,1,8:21.0,Turnover by J. Tatum (bad pass; steal by S. Dinwiddie),,6,12
30,1,8:10.0,,S. Dinwiddie makes 2-pt layup from 2 ft,6,14
31,1,8:04.0,K. Walker makes 2-pt jump shot from 14 ft,,8,14
32,1,7:43.0,,J. Harris misses 3-pt jump shot from 23 ft,8,14
33,1,7:42.0,Defensive rebound by Team,,8,14
34,1,7:42.0,R. Williams enters the game for D. Theis,,8,14
35,1,7:34.0,M. Smart misses 3-pt jump shot from 24 ft,,8,14
36,1,7:29.0,,Defensive rebound by G. Temple,8,14
37,1,7:26.0,,S. Dinwiddie makes 3-pt jump shot from 27 ft (assist by G. Temple),8,17
38,1,7:08.0,K. Walker makes 3-pt jump shot from 26 ft,,11,17
