,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MINNESOTA_ACTION,SACRAMENTO_SCORE,MINNESOTA_SCORE
0,1,11:48.0,,Turnover by (8 sec),0,0
1,1,11:24.0,Turnover by Team (shot clock),,0,0
2,1,11:08.0,,K. Towns makes 3-pt jump shot from 24 ft (assist by S. Napier),0,3
3,1,10:47.0,H. Barnes makes 2-pt layup from 1 ft (assist by N. Bjelica),,2,3
4,1,10:28.0,,R. Covington misses 3-pt jump shot from 25 ft,2,3
5,1,10:25.0,,Offensive rebound by S. Napier,2,3
6,1,10:22.0,,A. Wiggins makes 3-pt jump shot from 26 ft (assist by S. Napier),2,6
7,1,10:01.0,H. Barnes makes 2-pt layup from 1 ft (assist by N. Bjelica),,4,6
8,1,9:40.0,,J. Culver misses 2-pt layup from 4 ft (block by N. Bjelica),4,6
9,1,9:39.0,,Offensive rebound by Team,4,6
10,1,9:36.0,,R. Covington misses 3-pt jump shot from 25 ft,4,6
11,1,9:36.0,,Offensive rebound by Team,4,6
12,1,9:36.0,,Turnover by Team (shot clock),4,6
13,1,9:24.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,4,6
14,1,9:21.0,,Defensive rebound by K. Towns,4,6
15,1,8:59.0,,S. Napier misses 2-pt jump shot from 15 ft,4,6
16,1,8:55.0,Defensive rebound by N. Bjelica,,4,6
17,1,8:47.0,D. Fox misses 2-pt jump shot from 10 ft,,4,6
18,1,8:42.0,Offensive rebound by D. Dedmon,,4,6
19,1,8:42.0,D. Dedmon makes 2-pt layup from 1 ft,,6,6
20,1,8:29.0,,K. Towns misses 2-pt jump shot from 10 ft (block by D. Dedmon),6,6
21,1,8:28.0,,Offensive rebound by Team,6,6
22,1,8:25.0,,A. Wiggins misses 2-pt jump shot from 16 ft,6,6
23,1,8:23.0,Defensive rebound by H. Barnes,,6,6
24,1,8:21.0,Shooting foul by R. Covington (drawn by D. Fox),,6,6
25,1,8:21.0,D. Fox makes free throw 1 of 2,,7,6
26,1,8:21.0,D. Fox misses free throw 2 of 2,,7,6
27,1,8:18.0,Offensive rebound by N. Bjelica,,7,6
28,1,8:13.0,H. Barnes misses 2-pt jump shot from 11 ft,,7,6
29,1,8:10.0,,Defensive rebound by J. Culver,7,6
30,1,7:55.0,,R. Covington makes 2-pt layup from 1 ft (assist by K. Towns),7,8
31,1,7:45.0,Turnover by D. Fox (lost ball; steal by J. Culver),,7,8
32,1,7:40.0,,Personal foul by D. Dedmon (drawn by J. Culver),7,8
33,1,7:34.0,,A. Wiggins misses 2-pt layup from 4 ft,7,8
34,1,7:32.0,Defensive rebound by N. Bjelica,,7,8
35,1,7:22.0,D. Dedmon misses 3-pt jump shot from 23 ft,,7,8
36,1,7:19.0,,Defensive rebound by A. Wiggins,7,8
37,1,7:13.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by S. Napier),7,11
38,1,7:02.0,N. Bjelica makes 3-pt jump shot from 25 ft (assist by D. Fox),,10,11
39,1,6:51.0,,A. Wiggins makes 3-pt jump shot from 25 ft,10,14
40,1,6:35.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,10,14
41,1,6:32.0,,Defensive rebound by A. Wiggins,10,14
42,1,6:24.0,,J. Culver misses 3-pt jump shot from 25 ft,10,14
43,1,6:22.0,,Offensive rebound by K. Towns,10,14
44,1,6:10.0,,S. Napier makes 3-pt jump shot from 23 ft,10,17
45,1,6:10.0,Sacramento full timeout,,10,17
46,1,6:10.0,,K. Bates-Diop enters the game for R. Covington,10,17
47,1,5:49.0,D. Fox misses 2-pt jump shot from 21 ft,,10,17
48,1,5:47.0,,Defensive rebound by Team,10,17
49,1,5:31.0,,K. Towns makes 2-pt dunk from 1 ft (assist by K. Bates-Diop),10,19
50,1,5:12.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,10,19
51,1,5:09.0,,Defensive rebound by A. Wiggins,10,19
52,1,5:04.0,,K. Bates-Diop misses 3-pt jump shot from 23 ft,10,19
53,1,5:01.0,,Offensive rebound by S. Napier,10,19
54,1,4:54.0,,K. Towns misses 2-pt hook shot from 2 ft,10,19
55,1,4:51.0,Defensive rebound by H. Barnes,,10,19
56,1,4:38.0,Turnover by N. Bjelica (bad pass; steal by J. Culver),,10,19
57,1,4:38.0,,Personal foul by D. Dedmon (drawn by K. Bates-Diop),10,19
58,1,4:38.0,K. Bazemore enters the game for H. Barnes,,10,19
59,1,4:38.0,H. Giles enters the game for B. Bogdanović,,10,19
60,1,4:38.0,B. Hield enters the game for D. Dedmon,,10,19
61,1,4:38.0,,J. Okogie enters the game for A. Wiggins,10,19
62,1,4:25.0,,Shooting foul by H. Giles (drawn by K. Towns),10,19
63,1,4:25.0,,K. Towns makes free throw 1 of 2,10,20
64,1,4:25.0,,K. Towns misses free throw 2 of 2,10,20
65,1,4:22.0,Defensive rebound by K. Bazemore,,10,20
66,1,4:09.0,B. Hield makes 3-pt jump shot from 25 ft (assist by D. Fox),,13,20
67,1,4:00.0,,Offensive foul by K. Towns (drawn by D. Fox),13,20
68,1,4:00.0,,Turnover by K. Towns (offensive foul),13,20
69,1,3:49.0,D. Fox makes 2-pt dunk from 1 ft,,15,20
70,1,3:39.0,,Minnesota full timeout,15,20
71,1,3:39.0,,J. McLaughlin enters the game for S. Napier,15,20
72,1,3:21.0,,K. Towns makes 2-pt hook shot from 8 ft (assist by J. Culver),15,22
73,1,3:04.0,B. Hield makes 2-pt jump shot from 15 ft (assist by K. Bazemore),,17,22
74,1,2:44.0,,K. Towns makes 2-pt layup at rim,17,24
75,1,2:31.0,D. Fox misses 2-pt layup from 2 ft (block by K. Towns),,17,24
76,1,2:30.0,,Defensive rebound by J. McLaughlin,17,24
77,1,2:27.0,,K. Bates-Diop makes 2-pt layup from 2 ft (assist by J. McLaughlin),17,26
78,1,2:07.0,B. Hield makes 2-pt jump shot from 17 ft,,19,26
79,1,1:58.0,,Personal foul by K. Bazemore (drawn by J. Culver),19,26
80,1,1:58.0,C. Joseph enters the game for N. Bjelica,,19,26
81,1,1:58.0,A. Tolliver enters the game for D. Fox,,19,26
