,QUARTER,TIME_REMAINING,ORLANDO_ACTION,SACRAMENTO_ACTION,ORLANDO_SCORE,SACRAMENTO_SCORE
0,1,11:45.0,,Turnover by B. Hield (out of bounds lost ball),0,0
1,1,11:26.0,M. Fultz misses 2-pt jump shot from 9 ft,,0,0
2,1,11:22.0,,Defensive rebound by H. Giles,0,0
3,1,11:12.0,,N. Bjelica makes 2-pt hook shot from 6 ft,0,2
4,1,10:59.0,N. Vučević misses 3-pt jump shot from 25 ft,,0,2
5,1,10:55.0,,Defensive rebound by D. Fox,0,2
6,1,10:44.0,,N. Bjelica makes 2-pt layup from 3 ft,0,4
7,1,10:26.0,E. Fournier makes 2-pt layup from 2 ft,,2,4
8,1,10:21.0,,Turnover by D. Fox (bad pass),2,4
9,1,10:01.0,Turnover by E. Fournier (lost ball; steal by B. Hield),,2,4
10,1,9:56.0,,B. Hield makes 2-pt layup from 2 ft,2,6
11,1,9:39.0,K. Birch misses 2-pt jump shot from 9 ft,,2,6
12,1,9:36.0,Offensive rebound by N. Vučević,,2,6
13,1,9:35.0,N. Vučević makes 2-pt layup from 2 ft,,4,6
14,1,9:29.0,,N. Bjelica makes 3-pt jump shot from 25 ft (assist by D. Fox),4,9
15,1,9:13.0,N. Vučević makes 3-pt jump shot from 25 ft (assist by M. Fultz),,7,9
16,1,9:00.0,,H. Giles misses 2-pt layup from 4 ft (block by N. Vučević),7,9
17,1,9:00.0,,Offensive rebound by Team,7,9
18,1,8:53.0,,N. Bjelica makes 2-pt jump shot from 19 ft (assist by D. Fox),7,11
19,1,8:42.0,E. Fournier misses 2-pt jump shot from 7 ft,,7,11
20,1,8:38.0,Offensive rebound by N. Vučević,,7,11
21,1,8:38.0,N. Vučević misses 2-pt layup from 1 ft,,7,11
22,1,8:37.0,,Defensive rebound by D. Fox,7,11
23,1,8:32.0,,H. Giles makes 2-pt layup at rim (assist by D. Fox),7,13
24,1,8:19.0,Orlando full timeout,,7,13
25,1,8:07.0,N. Vučević makes 2-pt jump shot from 8 ft (assist by E. Fournier),,9,13
26,1,7:52.0,,D. Fox misses 2-pt jump shot from 7 ft,9,13
27,1,7:50.0,Defensive rebound by N. Vučević,,9,13
