,QUARTER,TIME_REMAINING,DENVER_ACTION,ORLANDO_ACTION,DENVER_SCORE,ORLANDO_SCORE
0,1,11:36.0,G. Harris misses 2-pt layup from 2 ft,,0,0
1,1,11:33.0,,Defensive rebound by N. Vučević,0,0
2,1,11:14.0,,N. Vučević makes 2-pt jump shot from 10 ft,0,2
3,1,10:51.0,G. Harris makes 2-pt jump shot from 21 ft,,2,2
4,1,10:37.0,,M. Fultz makes 2-pt layup from 1 ft,2,4
5,1,10:25.0,J. Murray makes 2-pt jump shot from 16 ft,,4,4
6,1,10:02.0,,N. Vučević makes 2-pt hook shot from 7 ft (assist by E. Fournier),4,6
7,1,9:50.0,P. Millsap misses 3-pt jump shot from 26 ft,,4,6
8,1,9:46.0,,Defensive rebound by A. Gordon,4,6
9,1,9:41.0,,J. Isaac misses 2-pt jump shot from 12 ft,4,6
10,1,9:38.0,Defensive rebound by P. Millsap,,4,6
11,1,9:21.0,Turnover by P. Millsap (lost ball; steal by J. Isaac),,4,6
12,1,9:16.0,,A. Gordon makes 3-pt jump shot from 26 ft,4,9
13,1,8:49.0,J. Murray makes 3-pt jump shot from 28 ft (assist by T. Craig),,7,9
14,1,8:32.0,,J. Isaac misses 3-pt jump shot from 26 ft,7,9
15,1,8:30.0,Defensive rebound by J. Murray,,7,9
16,1,8:21.0,G. Harris makes 2-pt jump shot from 10 ft,,9,9
17,1,8:04.0,,N. Vučević makes 2-pt layup from 2 ft (assist by E. Fournier),9,11
18,1,7:50.0,T. Craig misses 3-pt jump shot from 25 ft,,9,11
19,1,7:49.0,,Defensive rebound by Team,9,11
20,1,7:49.0,Loose ball foul by P. Millsap (drawn by A. Gordon),,9,11
21,1,7:37.0,,Personal foul by N. Jokić (drawn by E. Fournier),9,11
22,1,7:29.0,,E. Fournier misses 2-pt jump shot from 18 ft,9,11
23,1,7:26.0,,Offensive rebound by J. Isaac,9,11
24,1,7:24.0,,J. Isaac misses 2-pt layup from 3 ft,9,11
25,1,7:21.0,Defensive rebound by P. Millsap,,9,11
26,1,7:10.0,Turnover by P. Millsap (bad pass; steal by J. Isaac),,9,11
27,1,7:01.0,,J. Isaac misses 2-pt jump shot from 15 ft,9,11
28,1,7:00.0,Defensive rebound by G. Harris,,9,11
29,1,6:49.0,Shooting foul by M. Fultz (drawn by J. Murray),,9,11
30,1,6:49.0,,Orlando full timeout,9,11
31,1,6:49.0,J. Murray makes free throw 1 of 2,,10,11
32,1,6:49.0,J. Murray makes free throw 2 of 2,,11,11
33,1,6:32.0,,A. Gordon misses 3-pt jump shot from 23 ft,11,11
34,1,6:30.0,Defensive rebound by G. Harris,,11,11
35,1,6:21.0,Turnover by G. Harris (out of bounds lost ball),,11,11
36,1,6:21.0,,A. Aminu enters the game for A. Gordon,11,11
37,1,6:02.0,,J. Isaac makes 3-pt jump shot from 23 ft (assist by N. Vučević),11,14
38,1,5:39.0,J. Murray makes 3-pt jump shot from 26 ft,,14,14
39,1,5:16.0,,N. Vučević makes 2-pt layup from 2 ft (assist by E. Fournier),14,16
40,1,5:00.0,P. Millsap misses 3-pt jump shot from 23 ft,,14,16
41,1,4:57.0,,Defensive rebound by N. Vučević,14,16
42,1,4:45.0,,E. Fournier makes 2-pt jump shot from 19 ft,14,18
43,1,4:29.0,J. Murray misses 2-pt jump shot from 15 ft,,14,18
44,1,4:27.0,,Defensive rebound by N. Vučević,14,18
45,1,4:17.0,,Personal foul by J. Murray (drawn by J. Isaac),14,18
46,1,4:17.0,J. Grant enters the game for T. Craig,,14,18
47,1,4:17.0,M. Porter enters the game for P. Millsap,,14,18
48,1,4:17.0,,D. Augustin enters the game for E. Fournier,14,18
49,1,4:17.0,,T. Ross enters the game for M. Fultz,14,18
50,1,4:06.0,,J. Isaac misses 3-pt jump shot from 25 ft,14,18
51,1,4:04.0,,Offensive rebound by N. Vučević,14,18
52,1,4:03.0,,N. Vučević makes 2-pt hook shot from 3 ft,14,20
53,1,4:03.0,Denver full timeout,,14,20
54,1,4:03.0,,M. Bamba enters the game for N. Vučević,14,20
55,1,3:52.0,Turnover by M. Porter (bad pass),,14,20
56,1,3:41.0,,Offensive foul by M. Bamba (drawn by N. Jokić),14,20
57,1,3:41.0,,Turnover by M. Bamba (offensive foul),14,20
58,1,3:41.0,M. Plumlee enters the game for N. Jokić,,14,20
59,1,3:27.0,Turnover by J. Grant (lost ball; steal by T. Ross),,14,20
60,1,3:24.0,,J. Isaac makes 2-pt dunk from 1 ft (assist by T. Ross),14,22
61,1,3:22.0,Denver full timeout,,14,22
62,1,3:05.0,J. Murray misses 2-pt jump shot from 14 ft,,14,22
63,1,3:02.0,,Defensive rebound by J. Isaac,14,22
64,1,2:58.0,,Turnover by J. Isaac (out of bounds lost ball),14,22
65,1,2:58.0,M. Beasley enters the game for G. Harris,,14,22
66,1,2:58.0,M. Morris enters the game for J. Murray,,14,22
67,1,2:58.0,,A. Gordon enters the game for J. Isaac,14,22
68,1,2:40.0,M. Morris makes 2-pt jump shot from 13 ft,,16,22
69,1,2:15.0,,A. Gordon misses 2-pt jump shot from 17 ft,16,22
70,1,2:13.0,Defensive rebound by M. Porter,,16,22
71,1,2:03.0,M. Beasley misses 3-pt jump shot from 25 ft,,16,22
72,1,2:01.0,,Defensive rebound by T. Ross,16,22
73,1,1:54.0,,M. Bamba misses 3-pt jump shot from 25 ft,16,22
74,1,1:53.0,,Offensive rebound by A. Gordon,16,22
75,1,1:52.0,,A. Gordon makes 2-pt layup from 2 ft,16,24
76,1,1:52.0,,Shooting foul by M. Plumlee (drawn by A. Gordon),16,24
77,1,1:52.0,,A. Gordon misses free throw 1 of 1,16,24
78,1,1:49.0,Defensive rebound by M. Porter,,16,24
79,1,1:41.0,J. Grant misses 3-pt jump shot from 27 ft,,16,24
80,1,1:38.0,Offensive rebound by Team,,16,24
81,1,1:23.0,M. Beasley misses 2-pt jump shot from 21 ft,,16,24
82,1,1:21.0,,Defensive rebound by M. Bamba,16,24
83,1,1:07.0,,D. Augustin makes 2-pt layup from 2 ft (assist by A. Gordon),16,26
84,1,0:51.0,Shooting foul by T. Ross (drawn by M. Porter),,16,26
85,1,0:51.0,M. Porter makes free throw 1 of 2,,17,26
86,1,0:51.0,M. Porter misses free throw 2 of 2,,17,26
87,1,0:49.0,,Defensive rebound by A. Aminu,17,26
88,1,0:31.0,,Turnover by M. Bamba (bad pass; steal by M. Morris),17,26
89,1,0:27.0,Personal foul by M. Bamba (drawn by J. Grant),,17,26
90,1,0:27.0,J. Hernangómez enters the game for M. Porter,,17,26
91,1,0:27.0,J. Grant misses free throw 1 of 2,,17,26
92,1,0:27.0,Offensive rebound by Team,,17,26
93,1,0:27.0,J. Grant misses free throw 2 of 2,,17,26
94,1,0:25.0,,Defensive rebound by M. Bamba,17,26
95,1,0:07.0,,Turnover by T. Ross (traveling),17,26
96,1,0:02.0,M. Morris misses 2-pt jump shot from 23 ft,,17,26
97,1,0:00.0,,Defensive rebound by T. Ross,17,26
98,1,0:00.0,,T. Ross misses 3-pt jump shot from 63 ft,17,26
99,1,0:00.0,,Offensive rebound by Team,17,26
100,2,11:40.0,,D. Augustin misses 2-pt layup from 2 ft (block by J. Hernangómez),17,26
101,2,11:39.0,,Offensive rebound by Team,17,26
102,2,11:36.0,,Shooting foul by M. Plumlee (drawn by A. Gordon),17,26
103,2,11:36.0,,A. Gordon misses free throw 1 of 2,17,26
104,2,11:36.0,,Offensive rebound by Team,17,26
105,2,11:36.0,,A. Gordon makes free throw 2 of 2,17,27
106,2,11:23.0,Turnover by M. Beasley (bad pass; steal by T. Ross),,17,27
107,2,11:19.0,,A. Gordon makes 2-pt dunk from 1 ft (assist by T. Ross),17,29
108,2,11:06.0,Turnover by M. Plumlee (lost ball; steal by A. Aminu),,17,29
109,2,11:01.0,,Turnover by A. Aminu (bad pass; steal by J. Grant),17,29
110,2,10:51.0,M. Beasley misses 2-pt layup from 3 ft (block by M. Bamba),,17,29
111,2,10:47.0,,Defensive rebound by M. Bamba,17,29
112,2,10:37.0,,Turnover by D. Augustin (bad pass; steal by M. Plumlee),17,29
113,2,10:31.0,M. Beasley misses 3-pt jump shot from 25 ft,,17,29
114,2,10:28.0,,Defensive rebound by A. Gordon,17,29
115,2,10:14.0,,A. Aminu misses 3-pt jump shot from 25 ft,17,29
116,2,10:12.0,Defensive rebound by M. Morris,,17,29
117,2,9:59.0,M. Morris misses 3-pt jump shot from 24 ft,,17,29
118,2,9:56.0,,Defensive rebound by A. Aminu,17,29
119,2,9:46.0,,D. Augustin misses 3-pt jump shot from 26 ft,17,29
120,2,9:44.0,Defensive rebound by Team,,17,29
121,2,9:33.0,Shooting foul by M. Bamba (drawn by M. Plumlee),,17,29
122,2,9:33.0,M. Plumlee makes free throw 1 of 2,,18,29
123,2,9:33.0,,N. Vučević enters the game for M. Bamba,18,29
124,2,9:33.0,M. Plumlee misses free throw 2 of 2,,18,29
125,2,9:30.0,Offensive rebound by M. Plumlee,,18,29
126,2,9:28.0,J. Hernangómez makes 3-pt jump shot from 24 ft (assist by M. Plumlee),,21,29
127,2,9:03.0,,N. Vučević misses 2-pt jump shot from 10 ft,21,29
128,2,9:01.0,Defensive rebound by J. Grant,,21,29
129,2,8:56.0,Shooting foul by D. Augustin (drawn by M. Morris),,21,29
130,2,8:56.0,M. Morris makes free throw 1 of 2,,22,29
131,2,8:56.0,,J. Isaac enters the game for A. Gordon,22,29
132,2,8:56.0,M. Morris makes free throw 2 of 2,,23,29
133,2,8:38.0,,N. Vučević makes 2-pt jump shot from 8 ft (assist by T. Ross),23,31
