,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,ORLANDO_ACTION,PHILADELPHIA_SCORE,ORLANDO_SCORE
0,1,11:39.0,B. Simmons misses 2-pt hook shot from 10 ft,,0,0
1,1,11:37.0,,Defensive rebound by N. Vučević,0,0
2,1,11:32.0,,A. Gordon misses 3-pt jump shot from 25 ft,0,0
3,1,11:29.0,Defensive rebound by A. Horford,,0,0
4,1,11:25.0,Turnover by T. Harris (bad pass),,0,0
5,1,11:15.0,,M. Fultz makes 3-pt jump shot from 24 ft,0,3
6,1,10:51.0,J. Embiid makes 3-pt jump shot from 25 ft (assist by A. Horford),,3,3
7,1,10:36.0,,J. Isaac misses 2-pt jump shot from 20 ft,3,3
8,1,10:33.0,Defensive rebound by B. Simmons,,3,3
9,1,10:30.0,J. Richardson misses 2-pt layup from 3 ft (block by J. Isaac),,3,3
10,1,10:29.0,,Defensive rebound by E. Fournier,3,3
11,1,10:20.0,,E. Fournier misses 3-pt jump shot from 26 ft,3,3
12,1,10:17.0,,Offensive rebound by A. Gordon,3,3
13,1,10:13.0,,N. Vučević misses 3-pt jump shot from 25 ft,3,3
14,1,10:10.0,Defensive rebound by T. Harris,,3,3
15,1,9:55.0,J. Embiid misses 2-pt jump shot from 17 ft,,3,3
16,1,9:52.0,Offensive rebound by T. Harris,,3,3
17,1,9:44.0,J. Embiid makes 2-pt jump shot from 17 ft,,5,3
18,1,9:24.0,,N. Vučević misses 2-pt hook shot from 8 ft,5,3
19,1,9:22.0,Defensive rebound by J. Embiid,,5,3
20,1,9:16.0,J. Embiid misses 3-pt jump shot from 27 ft,,5,3
21,1,9:14.0,,Defensive rebound by E. Fournier,5,3
22,1,9:09.0,,A. Gordon makes 3-pt jump shot from 26 ft (assist by E. Fournier),5,6
23,1,8:51.0,B. Simmons makes 2-pt jump shot from 5 ft (assist by J. Embiid),,7,6
24,1,8:30.0,,M. Fultz misses 2-pt jump shot from 14 ft,7,6
25,1,8:28.0,Defensive rebound by T. Harris,,7,6
26,1,8:14.0,T. Harris misses 2-pt jump shot from 17 ft,,7,6
27,1,8:11.0,,Defensive rebound by A. Gordon,7,6
28,1,8:02.0,,M. Fultz misses 3-pt jump shot from 26 ft,7,6
29,1,7:59.0,Defensive rebound by J. Embiid,,7,6
30,1,7:40.0,J. Embiid makes 2-pt jump shot from 13 ft (assist by J. Richardson),,9,6
31,1,7:20.0,,E. Fournier makes 2-pt jump shot from 16 ft (assist by N. Vučević),9,8
32,1,6:59.0,Personal foul by A. Gordon (drawn by J. Embiid),,9,8
33,1,6:59.0,,Orlando full timeout,9,8
34,1,6:59.0,J. Ennis enters the game for J. Embiid,,9,8
35,1,6:59.0,F. Korkmaz enters the game for J. Richardson,,9,8
36,1,6:47.0,T. Harris misses 3-pt jump shot from 27 ft,,9,8
37,1,6:45.0,,Defensive rebound by N. Vučević,9,8
38,1,6:34.0,,J. Isaac misses 2-pt jump shot from 12 ft,9,8
39,1,6:32.0,Defensive rebound by B. Simmons,,9,8
40,1,6:17.0,A. Horford misses 3-pt jump shot from 26 ft,,9,8
41,1,6:13.0,,Defensive rebound by N. Vučević,9,8
42,1,6:09.0,,A. Gordon misses 2-pt layup from 3 ft,9,8
43,1,6:09.0,,Offensive rebound by Team,9,8
44,1,6:09.0,Loose ball foul by T. Harris (drawn by J. Isaac),,9,8
45,1,6:09.0,,T. Ross enters the game for J. Isaac,9,8
46,1,6:01.0,,A. Gordon makes 2-pt jump shot from 9 ft (assist by N. Vučević),9,10
47,1,5:49.0,Personal foul by E. Fournier (drawn by F. Korkmaz),,9,10
48,1,5:44.0,Turnover by F. Korkmaz (step out of bounds),,9,10
49,1,5:27.0,,M. Fultz makes 2-pt layup from 1 ft (assist by N. Vučević),9,12
50,1,5:09.0,F. Korkmaz makes 2-pt jump shot from 13 ft (assist by B. Simmons),,11,12
51,1,4:56.0,,M. Fultz makes 2-pt layup from 2 ft,11,14
52,1,4:50.0,Shooting foul by A. Gordon (drawn by B. Simmons),,11,14
53,1,4:50.0,B. Simmons makes free throw 1 of 2,,12,14
54,1,4:50.0,,D. Augustin enters the game for E. Fournier,12,14
55,1,4:50.0,,J. Isaac enters the game for M. Fultz,12,14
56,1,4:50.0,,W. Iwundu enters the game for A. Gordon,12,14
57,1,4:50.0,B. Simmons makes free throw 2 of 2,,13,14
58,1,4:39.0,,D. Augustin misses 2-pt jump shot from 10 ft,13,14
59,1,4:36.0,Defensive rebound by A. Horford,,13,14
60,1,4:32.0,A. Horford misses 3-pt jump shot from 26 ft,,13,14
61,1,4:30.0,Offensive rebound by T. Harris,,13,14
62,1,4:30.0,T. Harris makes 2-pt layup at rim,,15,14
63,1,4:12.0,,T. Ross makes 3-pt jump shot from 26 ft,15,17
64,1,3:54.0,Turnover by B. Simmons (traveling),,15,17
65,1,3:54.0,M. Scott enters the game for T. Harris,,15,17
66,1,3:54.0,,K. Birch enters the game for N. Vučević,15,17
67,1,3:40.0,,Turnover by T. Ross (lost ball; steal by A. Horford),15,17
68,1,3:32.0,B. Simmons misses 2-pt layup from 3 ft,,15,17
69,1,3:32.0,Offensive rebound by Team,,15,17
70,1,3:32.0,,Loose ball foul by W. Iwundu (drawn by J. Ennis),15,17
71,1,3:32.0,Philadelphia full timeout,,15,17
72,1,3:25.0,F. Korkmaz misses 3-pt jump shot from 25 ft,,15,17
73,1,3:23.0,,Defensive rebound by T. Ross,15,17
74,1,3:05.0,,D. Augustin misses 2-pt jump shot from 16 ft,15,17
75,1,3:03.0,,Offensive rebound by K. Birch,15,17
76,1,2:58.0,,Shooting foul by A. Horford (drawn by K. Birch),15,17
77,1,2:58.0,,K. Birch misses free throw 1 of 2,15,17
78,1,2:58.0,,Offensive rebound by Team,15,17
79,1,2:58.0,T. Burke enters the game for J. Ennis,,15,17
80,1,2:58.0,J. Embiid enters the game for A. Horford,,15,17
81,1,2:58.0,J. Richardson enters the game for B. Simmons,,15,17
82,1,2:58.0,,K. Birch misses free throw 2 of 2,15,17
83,1,2:56.0,Defensive rebound by F. Korkmaz,,15,17
84,1,2:47.0,Turnover by J. Richardson (traveling),,15,17
85,1,2:34.0,,J. Isaac misses 2-pt hook shot from 9 ft (block by J. Embiid),15,17
86,1,2:34.0,,Offensive rebound by Team,15,17
87,1,2:34.0,,Turnover by (5 sec),15,17
88,1,2:22.0,Turnover by M. Scott (bad pass),,15,17
89,1,2:22.0,Loose ball foul by J. Embiid (drawn by K. Birch),,15,17
90,1,2:03.0,,W. Iwundu misses 2-pt jump shot from 16 ft,15,17
91,1,2:01.0,Defensive rebound by M. Scott,,15,17
92,1,1:49.0,J. Embiid misses 2-pt jump shot from 14 ft,,15,17
93,1,1:47.0,,Defensive rebound by T. Ross,15,17
94,1,1:38.0,,D. Augustin misses 2-pt layup from 17 ft,15,17
95,1,1:36.0,Defensive rebound by J. Embiid,,15,17
96,1,1:32.0,Shooting foul by J. Isaac (drawn by T. Burke),,15,17
97,1,1:32.0,T. Burke makes free throw 1 of 2,,16,17
98,1,1:32.0,T. Burke makes free throw 2 of 2,,17,17
99,1,1:14.0,,T. Ross misses 3-pt jump shot from 24 ft,17,17
100,1,1:12.0,,Offensive rebound by J. Isaac,17,17
101,1,1:11.0,,J. Isaac makes 2-pt dunk from 4 ft,17,19
102,1,0:52.0,J. Embiid misses 2-pt jump shot from 23 ft (block by W. Iwundu),,17,19
103,1,0:47.0,Offensive rebound by J. Embiid,,17,19
104,1,0:45.0,J. Richardson misses 2-pt jump shot from 16 ft,,17,19
105,1,0:43.0,,Defensive rebound by W. Iwundu,17,19
106,1,0:38.0,,T. Ross misses 3-pt jump shot from 27 ft,17,19
107,1,0:36.0,,Offensive rebound by J. Isaac,17,19
108,1,0:29.0,,D. Augustin misses 2-pt jump shot from 18 ft,17,19
109,1,0:28.0,Defensive rebound by Team,,17,19
110,1,0:28.0,,Loose ball foul by K. Birch (drawn by J. Embiid),17,19
111,1,0:28.0,J. Embiid makes free throw 1 of 2,,18,19
112,1,0:28.0,J. Embiid makes free throw 2 of 2,,19,19
113,1,0:05.0,,Turnover by D. Augustin (bad pass; steal by J. Richardson),19,19
114,1,0:02.0,Shooting foul by J. Isaac (drawn by J. Richardson),,19,19
115,1,0:02.0,J. Richardson makes free throw 1 of 2,,20,19
116,1,0:02.0,J. Richardson makes free throw 2 of 2,,21,19
117,2,11:34.0,,J. Isaac misses 3-pt jump shot from 24 ft,21,19
118,2,11:31.0,Defensive rebound by J. Embiid,,21,19
119,2,11:24.0,J. Richardson makes 2-pt jump shot from 16 ft,,23,19
120,2,11:06.0,,T. Ross misses 2-pt jump shot from 17 ft (block by J. Richardson),23,19
121,2,11:03.0,Defensive rebound by M. Scott,,23,19
122,2,10:57.0,T. Harris misses 2-pt jump shot from 18 ft,,23,19
123,2,10:55.0,,Defensive rebound by K. Birch,23,19
124,2,10:36.0,,K. Birch misses 2-pt jump shot from 10 ft,23,19
125,2,10:34.0,Defensive rebound by J. Embiid,,23,19
126,2,10:23.0,J. Embiid misses 2-pt jump shot from 18 ft,,23,19
127,2,10:19.0,,Defensive rebound by J. Isaac,23,19
128,2,10:05.0,,T. Ross makes 3-pt jump shot from 25 ft (assist by K. Birch),23,22
129,2,9:52.0,T. Burke makes 2-pt layup from 1 ft,,25,22
130,2,9:52.0,Shooting foul by D. Augustin (drawn by T. Burke),,25,22
131,2,9:52.0,T. Burke makes free throw 1 of 1,,26,22
132,2,9:43.0,,Personal foul by J. Richardson (drawn by T. Ross),26,22
133,2,9:38.0,,Shooting foul by J. Richardson (drawn by T. Ross),26,22
134,2,9:38.0,,Technical foul by J. Richardson,26,22
135,2,9:38.0,,D. Augustin makes technical free throw,26,23
136,2,9:38.0,,T. Ross makes free throw 1 of 3,26,24
137,2,9:38.0,,T. Ross makes free throw 2 of 3,26,25
138,2,9:38.0,,T. Ross makes free throw 3 of 3,26,26
139,2,9:24.0,T. Harris makes 2-pt jump shot from 16 ft (assist by J. Richardson),,28,26
140,2,9:10.0,,T. Ross makes 2-pt jump shot from 16 ft (assist by W. Iwundu),28,28
141,2,8:46.0,Offensive foul by J. Embiid (drawn by K. Birch),,28,28
142,2,8:46.0,Turnover by J. Embiid (offensive foul),,28,28
143,2,8:46.0,J. Ennis enters the game for T. Burke,,28,28
144,2,8:46.0,A. Horford enters the game for J. Embiid,,28,28
145,2,8:46.0,B. Simmons enters the game for M. Scott,,28,28
146,2,8:46.0,,A. Gordon enters the game for J. Isaac,28,28
147,2,8:36.0,,Personal foul by B. Simmons (drawn by D. Augustin),28,28
148,2,8:28.0,,D. Augustin misses 2-pt jump shot from 17 ft,28,28
149,2,8:25.0,Defensive rebound by T. Harris,,28,28
150,2,8:16.0,J. Ennis misses 2-pt jump shot from 6 ft,,28,28
151,2,8:14.0,,Defensive rebound by T. Ross,28,28
152,2,8:11.0,,Turnover by T. Ross (bad pass; steal by J. Richardson),28,28
153,2,8:06.0,Shooting foul by K. Birch (drawn by B. Simmons),,28,28
154,2,8:06.0,B. Simmons misses free throw 1 of 2,,28,28
155,2,8:06.0,Offensive rebound by Team,,28,28
156,2,8:06.0,F. Korkmaz enters the game for J. Richardson,,28,28
157,2,8:06.0,,E. Fournier enters the game for K. Birch,28,28
158,2,8:06.0,,N. Vučević enters the game for W. Iwundu,28,28
159,2,8:06.0,B. Simmons makes free throw 2 of 2,,29,28
160,2,7:52.0,,N. Vučević makes 2-pt layup from 2 ft (assist by E. Fournier),29,30
161,2,7:39.0,F. Korkmaz misses 2-pt jump shot from 15 ft,,29,30
162,2,7:38.0,,Defensive rebound by Team,29,30
163,2,7:38.0,Loose ball foul by A. Horford (drawn by N. Vučević),,29,30
164,2,7:26.0,,E. Fournier misses 2-pt jump shot from 18 ft,29,30
165,2,7:23.0,Defensive rebound by T. Harris,,29,30
166,2,7:18.0,T. Harris makes 2-pt layup from 2 ft,,31,30
167,2,7:04.0,,N. Vučević misses 3-pt jump shot from 25 ft,31,30
168,2,7:02.0,Defensive rebound by B. Simmons,,31,30
169,2,6:58.0,T. Harris misses 3-pt jump shot from 26 ft,,31,30
170,2,6:55.0,,Defensive rebound by A. Gordon,31,30
171,2,6:50.0,,T. Ross misses 2-pt jump shot from 16 ft,31,30
172,2,6:48.0,,Offensive rebound by N. Vučević,31,30
173,2,6:46.0,,N. Vučević misses 2-pt layup from 1 ft,31,30
174,2,6:46.0,Defensive rebound by Team,,31,30
175,2,6:46.0,,Orlando full timeout,31,30
176,2,6:46.0,,M. Fultz enters the game for T. Ross,31,30
177,2,6:35.0,T. Harris makes 2-pt jump shot from 4 ft (assist by A. Horford),,33,30
178,2,6:15.0,,N. Vučević makes 2-pt hook shot from 6 ft (assist by M. Fultz),33,32
179,2,5:54.0,T. Harris misses 2-pt jump shot from 10 ft,,33,32
180,2,5:52.0,,Defensive rebound by N. Vučević,33,32
181,2,5:44.0,,E. Fournier makes 2-pt jump shot from 13 ft,33,34
182,2,5:23.0,T. Harris makes 3-pt jump shot from 26 ft (assist by A. Horford),,36,34
183,2,5:03.0,,E. Fournier misses 3-pt jump shot from 26 ft,36,34
184,2,5:01.0,Defensive rebound by B. Simmons,,36,34
185,2,4:57.0,F. Korkmaz makes 3-pt jump shot from 25 ft (assist by B. Simmons),,39,34
186,2,4:34.0,,A. Gordon makes 2-pt layup from 5 ft (assist by E. Fournier),39,36
187,2,4:17.0,F. Korkmaz misses 2-pt jump shot from 15 ft,,39,36
188,2,4:17.0,,Defensive rebound by A. Gordon,39,36
189,2,4:07.0,,A. Gordon misses 2-pt jump shot from 17 ft,39,36
190,2,4:03.0,,Offensive rebound by Team,39,36
191,2,4:03.0,J. Embiid enters the game for J. Ennis,,39,36
192,2,4:03.0,J. Richardson enters the game for A. Horford,,39,36
193,2,4:03.0,,J. Isaac enters the game for D. Augustin,39,36
194,2,3:54.0,,M. Fultz makes 3-pt jump shot from 26 ft,39,39
195,2,3:39.0,T. Harris misses 2-pt layup from 9 ft (block by J. Isaac),,39,39
196,2,3:39.0,Offensive rebound by Team,,39,39
197,2,3:37.0,F. Korkmaz misses 2-pt layup from 2 ft,,39,39
198,2,3:34.0,,Defensive rebound by N. Vučević,39,39
199,2,3:23.0,,J. Isaac misses 2-pt jump shot from 17 ft,39,39
200,2,3:21.0,Defensive rebound by F. Korkmaz,,39,39
201,2,3:02.0,B. Simmons makes 2-pt hook shot from 8 ft,,41,39
202,2,2:41.0,,E. Fournier makes 2-pt layup from 1 ft,41,41
203,2,2:41.0,Philadelphia full timeout,,41,41
204,2,2:41.0,M. Scott enters the game for T. Harris,,41,41
205,2,2:41.0,,T. Ross enters the game for J. Isaac,41,41
206,2,2:22.0,B. Simmons misses 2-pt hook shot from 11 ft,,41,41
207,2,2:20.0,,Defensive rebound by N. Vučević,41,41
208,2,2:16.0,,M. Fultz misses 2-pt layup from 2 ft,41,41
209,2,2:15.0,,Offensive rebound by A. Gordon,41,41
210,2,2:15.0,,A. Gordon misses 2-pt dunk from 1 ft,41,41
211,2,2:13.0,Defensive rebound by Team,,41,41
212,2,2:13.0,,Loose ball foul by M. Fultz (drawn by J. Richardson),41,41
213,2,1:54.0,Turnover by J. Embiid (back court),,41,41
214,2,1:51.0,,Turnover by A. Gordon (bad pass; steal by F. Korkmaz),41,41
215,2,1:50.0,Turnover by F. Korkmaz (traveling),,41,41
216,2,1:37.0,,Turnover by M. Fultz (bad pass; steal by F. Korkmaz),41,41
217,2,1:35.0,F. Korkmaz makes 2-pt layup at rim,,43,41
