,QUARTER,TIME_REMAINING,NEW YORK_ACTION,DETROIT_ACTION,NEW YORK_SCORE,DETROIT_SCORE
0,1,11:37.0,,T. Maker makes 3-pt jump shot from 26 ft (assist by R. Jackson),0,3
1,1,11:16.0,T. Gibson makes 2-pt jump shot from 11 ft (assist by R. Barrett),,2,3
2,1,10:57.0,,C. Wood makes 3-pt jump shot from 27 ft (assist by R. Jackson),2,6
3,1,10:32.0,E. Payton makes 2-pt jump shot from 16 ft,,4,6
4,1,10:09.0,,T. Maker makes 2-pt dunk from 1 ft,4,8
5,1,9:58.0,R. Barrett misses 2-pt jump shot from 19 ft,,4,8
6,1,9:56.0,Offensive rebound by T. Gibson,,4,8
7,1,9:52.0,T. Gibson misses 2-pt hook shot from 5 ft,,4,8
8,1,9:51.0,Offensive rebound by Team,,4,8
9,1,9:47.0,J. Randle misses 2-pt jump shot from 11 ft,,4,8
10,1,9:42.0,Offensive rebound by E. Payton,,4,8
11,1,9:41.0,R. Barrett misses 3-pt jump shot from 26 ft,,4,8
12,1,9:36.0,,Defensive rebound by B. Brown,4,8
13,1,9:22.0,,R. Jackson misses 3-pt jump shot from 30 ft,4,8
14,1,9:17.0,Defensive rebound by R. Bullock,,4,8
15,1,9:08.0,J. Randle misses 2-pt jump shot from 10 ft,,4,8
16,1,9:03.0,Offensive rebound by T. Gibson,,4,8
17,1,9:03.0,T. Gibson makes 2-pt layup at rim,,6,8
18,1,8:50.0,,T. Maker makes 2-pt layup from 2 ft (assist by C. Wood),6,10
19,1,8:40.0,Turnover by E. Payton (bad pass),,6,10
20,1,8:25.0,,Turnover by T. Maker (bad pass),6,10
21,1,8:12.0,J. Randle misses 2-pt jump shot from 15 ft,,6,10
22,1,8:08.0,,Defensive rebound by R. Jackson,6,10
23,1,7:58.0,,Turnover by R. Jackson (lost ball; steal by R. Bullock),6,10
24,1,7:54.0,J. Randle makes 2-pt dunk from 1 ft (assist by R. Barrett),,8,10
25,1,7:43.0,,C. Wood makes 2-pt layup at rim (assist by T. Snell),8,12
26,1,7:33.0,Shooting foul by B. Brown (drawn by R. Barrett),,8,12
27,1,7:33.0,R. Barrett misses free throw 1 of 2,,8,12
28,1,7:33.0,Offensive rebound by Team,,8,12
29,1,7:33.0,R. Barrett makes free throw 2 of 2,,9,12
30,1,7:10.0,,Shooting foul by R. Barrett (drawn by B. Brown),9,12
31,1,7:10.0,,B. Brown makes free throw 1 of 2,9,13
32,1,7:10.0,,B. Brown makes free throw 2 of 2,9,14
33,1,6:56.0,R. Bullock misses 2-pt jump shot from 17 ft,,9,14
34,1,6:54.0,,Defensive rebound by Team,9,14
35,1,6:54.0,,Detroit full timeout,9,14
36,1,6:54.0,M. Robinson enters the game for T. Gibson,,9,14
37,1,6:54.0,,L. Galloway enters the game for B. Brown,9,14
38,1,6:42.0,,Turnover by T. Snell (bad pass; steal by E. Payton),9,14
39,1,6:39.0,Shooting foul by R. Jackson (drawn by E. Payton),,9,14
40,1,6:39.0,E. Payton makes free throw 1 of 2,,10,14
41,1,6:39.0,E. Payton misses free throw 2 of 2,,10,14
42,1,6:37.0,,Defensive rebound by T. Maker,10,14
43,1,6:18.0,,C. Wood misses 2-pt jump shot from 5 ft,10,14
44,1,6:15.0,Defensive rebound by J. Randle,,10,14
45,1,6:11.0,E. Payton misses 2-pt layup from 3 ft (block by T. Maker),,10,14
46,1,6:07.0,,Defensive rebound by C. Wood,10,14
47,1,6:05.0,,C. Wood makes 2-pt dunk at rim (assist by R. Jackson),10,16
48,1,5:45.0,Turnover by J. Randle (lost ball; steal by C. Wood),,10,16
49,1,5:42.0,,T. Snell misses 3-pt jump shot from 25 ft,10,16
50,1,5:38.0,Defensive rebound by E. Payton,,10,16
51,1,5:23.0,R. Barrett misses 2-pt layup from 2 ft,,10,16
52,1,5:21.0,,Defensive rebound by C. Wood,10,16
53,1,5:17.0,,Shooting foul by M. Robinson (drawn by R. Jackson),10,16
54,1,5:17.0,,R. Jackson makes free throw 1 of 2,10,17
55,1,5:17.0,,B. Brown enters the game for T. Snell,10,17
56,1,5:17.0,,R. Jackson makes free throw 2 of 2,10,18
57,1,4:58.0,M. Robinson makes 2-pt layup at rim (assist by E. Payton),,12,18
58,1,4:46.0,,R. Jackson misses 3-pt jump shot from 27 ft,12,18
59,1,4:43.0,Defensive rebound by E. Payton,,12,18
60,1,4:38.0,Offensive foul by M. Robinson (drawn by C. Wood),,12,18
