,QUARTER,TIME_REMAINING,INDIANA_ACTION,CHICAGO_ACTION,INDIANA_SCORE,CHICAGO_SCORE
0,1,11:40.0,,Personal foul by A. Holiday (drawn by L. Markkanen),0,0
1,1,11:32.0,,L. Markkanen misses 3-pt jump shot from 24 ft,0,0
2,1,11:28.0,Defensive rebound by B. Bowen,,0,0
3,1,11:15.0,D. Sabonis makes 2-pt hook shot from 3 ft,,2,0
4,1,11:01.0,,D. Valentine makes 3-pt jump shot from 26 ft (assist by T. Satoranský),2,3
5,1,10:41.0,Personal foul by D. Valentine (drawn by D. Sabonis),,2,3
6,1,10:27.0,V. Oladipo misses 2-pt layup from 1 ft,,2,3
7,1,10:25.0,,Defensive rebound by W. Carter,2,3
8,1,10:19.0,,W. Carter misses 2-pt jump shot from 21 ft,2,3
9,1,10:14.0,,Offensive rebound by S. Harrison,2,3
10,1,10:10.0,,D. Valentine makes 2-pt layup from 2 ft (assist by S. Harrison),2,5
11,1,9:55.0,M. Turner misses 3-pt jump shot from 26 ft,,2,5
12,1,9:51.0,,Defensive rebound by T. Satoranský,2,5
13,1,9:44.0,,S. Harrison makes 3-pt jump shot from 23 ft (assist by T. Satoranský),2,8
14,1,9:21.0,Turnover by A. Holiday (bad pass; steal by L. Markkanen),,2,8
15,1,9:17.0,,T. Satoranský makes 2-pt dunk from 1 ft,2,10
16,1,9:09.0,Indiana full timeout,,2,10
17,1,8:58.0,D. Sabonis makes 2-pt dunk from 1 ft (assist by V. Oladipo),,4,10
18,1,8:38.0,,D. Valentine misses 3-pt jump shot from 26 ft,4,10
19,1,8:35.0,Defensive rebound by D. Sabonis,,4,10
20,1,8:30.0,V. Oladipo makes 3-pt jump shot from 25 ft,,7,10
21,1,8:16.0,,Turnover by L. Markkanen (lost ball; steal by V. Oladipo),7,10
22,1,8:13.0,V. Oladipo misses 2-pt layup from 1 ft (block by S. Harrison),,7,10
23,1,8:13.0,Offensive rebound by Team,,7,10
24,1,8:13.0,,D. Gafford enters the game for W. Carter,7,10
25,1,8:13.0,,C. White enters the game for S. Harrison,7,10
