,QUARTER,TIME_REMAINING,DETROIT_ACTION,INDIANA_ACTION,DETROIT_SCORE,INDIANA_SCORE
0,1,11:39.0,M. Morris makes 3-pt jump shot from 27 ft (assist by A. Drummond),,3,0
1,1,11:16.0,,D. Sabonis makes 2-pt hook shot from 8 ft,3,2
2,1,11:02.0,L. Kennard misses 2-pt jump shot from 16 ft,,3,2
3,1,10:59.0,,Defensive rebound by T. Warren,3,2
4,1,10:49.0,,A. Holiday misses 3-pt jump shot from 26 ft,3,2
5,1,10:47.0,Defensive rebound by Team,,3,2
6,1,10:27.0,T. Snell makes 2-pt jump shot from 13 ft (assist by B. Brown),,5,2
7,1,10:16.0,,M. Brogdon misses 2-pt jump shot from 18 ft,5,2
8,1,10:13.0,Defensive rebound by A. Drummond,,5,2
9,1,10:05.0,L. Kennard makes 2-pt layup from 2 ft (assist by A. Drummond),,7,2
10,1,9:51.0,,Shooting foul by T. Snell (drawn by T. Warren),7,2
11,1,9:51.0,,T. Warren makes free throw 1 of 2,7,3
12,1,9:51.0,,T. Warren makes free throw 2 of 2,7,4
13,1,9:35.0,B. Brown misses 2-pt hook shot from 10 ft,,7,4
14,1,9:30.0,,Defensive rebound by M. Brogdon,7,4
15,1,9:15.0,,Turnover by A. Holiday (bad pass; steal by T. Snell),7,4
16,1,9:06.0,A. Drummond misses 3-pt jump shot from 25 ft,,7,4
17,1,9:03.0,,Defensive rebound by D. Sabonis,7,4
18,1,8:56.0,,M. Brogdon misses 2-pt layup from 3 ft,7,4
19,1,8:53.0,Defensive rebound by A. Drummond,,7,4
20,1,8:47.0,Personal foul by J. Sampson (drawn by A. Drummond),,7,4
21,1,8:40.0,A. Drummond makes 2-pt jump shot from 10 ft (assist by L. Kennard),,9,4
22,1,8:19.0,,M. Brogdon makes 2-pt jump shot from 15 ft,9,6
23,1,8:00.0,L. Kennard makes 2-pt jump shot from 17 ft (assist by M. Morris),,11,6
24,1,7:44.0,,D. Sabonis misses 3-pt jump shot from 27 ft,11,6
25,1,7:41.0,Defensive rebound by M. Morris,,11,6
26,1,7:31.0,M. Morris misses 2-pt jump shot from 12 ft (block by D. Sabonis),,11,6
27,1,7:29.0,Offensive rebound by Team,,11,6
28,1,7:24.0,A. Drummond misses 2-pt hook shot from 7 ft,,11,6
29,1,7:21.0,,Defensive rebound by A. Holiday,11,6
30,1,7:09.0,,M. Brogdon makes 2-pt layup from 1 ft (assist by A. Holiday),11,8
31,1,6:53.0,L. Kennard makes 2-pt jump shot from 17 ft,,13,8
32,1,6:44.0,,Indiana full timeout,13,8
