,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MIAMI_ACTION,PHILADELPHIA_SCORE,MIAMI_SCORE
0,1,11:46.0,,J. Butler misses 3-pt jump shot from 24 ft,0,0
1,1,11:44.0,Defensive rebound by A. Horford,,0,0
2,1,11:26.0,B. Simmons misses 2-pt jump shot from 8 ft,,0,0
3,1,11:23.0,,Defensive rebound by D. Robinson,0,0
4,1,11:04.0,,B. Adebayo makes 2-pt layup from 4 ft (assist by J. Butler),0,2
5,1,10:51.0,T. Harris misses 3-pt jump shot from 26 ft,,0,2
6,1,10:48.0,,Defensive rebound by J. Butler,0,2
7,1,10:34.0,,K. Nunn makes 2-pt jump shot from 16 ft (assist by J. Butler),0,4
8,1,10:10.0,T. Harris makes 2-pt jump shot from 8 ft (assist by B. Simmons),,2,4
9,1,9:41.0,,K. Nunn misses 2-pt layup from 8 ft,2,4
10,1,9:39.0,Defensive rebound by J. Richardson,,2,4
11,1,9:28.0,Shooting foul by D. Robinson (drawn by T. Harris),,2,4
12,1,9:28.0,T. Harris makes free throw 1 of 2,,3,4
13,1,9:28.0,T. Harris makes free throw 2 of 2,,4,4
14,1,9:20.0,,D. Robinson makes 2-pt layup from 3 ft (assist by B. Adebayo),4,6
15,1,8:53.0,Turnover by Team (shot clock),,4,6
16,1,8:26.0,,B. Adebayo misses 2-pt jump shot from 16 ft,4,6
17,1,8:20.0,Defensive rebound by T. Harris,,4,6
18,1,8:10.0,B. Simmons misses 2-pt jump shot from 8 ft,,4,6
19,1,8:06.0,,Defensive rebound by K. Nunn,4,6
20,1,8:01.0,,M. Leonard makes 3-pt jump shot from 30 ft (assist by K. Nunn),4,9
21,1,7:46.0,J. Embiid makes 2-pt jump shot from 16 ft,,6,9
22,1,7:28.0,,D. Robinson makes 2-pt jump shot from 20 ft (assist by J. Butler),6,11
23,1,7:19.0,J. Embiid misses 3-pt jump shot from 26 ft,,6,11
24,1,7:15.0,,Defensive rebound by B. Adebayo,6,11
25,1,7:08.0,,B. Adebayo misses 2-pt jump shot from 8 ft,6,11
26,1,7:06.0,Defensive rebound by A. Horford,,6,11
27,1,7:05.0,Shooting foul by M. Leonard (drawn by B. Simmons),,6,11
28,1,7:05.0,B. Simmons misses free throw 1 of 2,,6,11
29,1,7:05.0,Offensive rebound by Team,,6,11
30,1,7:05.0,B. Simmons makes free throw 2 of 2,,7,11
31,1,6:56.0,,Shooting foul by J. Embiid (drawn by K. Nunn),7,11
32,1,6:56.0,,Miami full timeout,7,11
33,1,6:56.0,J. Ennis enters the game for J. Embiid,,7,11
34,1,6:56.0,F. Korkmaz enters the game for J. Richardson,,7,11
35,1,6:56.0,,K. Nunn makes free throw 1 of 2,7,12
36,1,6:56.0,,K. Nunn makes free throw 2 of 2,7,13
37,1,6:40.0,B. Simmons makes 2-pt layup from 2 ft (assist by F. Korkmaz),,9,13
38,1,6:21.0,,D. Robinson makes 3-pt jump shot from 26 ft (assist by K. Nunn),9,16
39,1,6:08.0,Personal foul by D. Robinson (drawn by F. Korkmaz),,9,16
40,1,6:08.0,,T. Herro enters the game for B. Adebayo,9,16
41,1,6:08.0,,D. Jones enters the game for D. Robinson,9,16
42,1,6:03.0,A. Horford makes 2-pt jump shot from 20 ft (assist by B. Simmons),,11,16
43,1,5:46.0,,K. Nunn makes 2-pt jump shot from 15 ft (assist by J. Butler),11,18
44,1,5:23.0,A. Horford misses 2-pt jump shot from 13 ft,,11,18
45,1,5:20.0,,Defensive rebound by K. Nunn,11,18
46,1,5:08.0,,T. Herro misses 2-pt layup from 5 ft,11,18
47,1,5:05.0,Defensive rebound by T. Harris,,11,18
48,1,5:02.0,B. Simmons misses 2-pt jump shot from 5 ft,,11,18
49,1,4:55.0,Offensive rebound by J. Ennis,,11,18
50,1,4:55.0,J. Ennis makes 2-pt layup at rim,,13,18
51,1,4:36.0,,Shooting foul by T. Harris (drawn by J. Butler),13,18
52,1,4:36.0,,J. Butler makes free throw 1 of 2,13,19
53,1,4:36.0,,G. Dragić enters the game for K. Nunn,13,19
54,1,4:36.0,,J. Butler makes free throw 2 of 2,13,20
55,1,4:25.0,A. Horford makes 3-pt jump shot from 26 ft (assist by B. Simmons),,16,20
56,1,4:13.0,,G. Dragić makes 2-pt jump shot from 14 ft,16,22
57,1,3:49.0,T. Harris misses 2-pt jump shot from 13 ft,,16,22
58,1,3:47.0,,Defensive rebound by M. Leonard,16,22
