,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,LA LAKERS_ACTION,PHILADELPHIA_SCORE,LA LAKERS_SCORE
0,1,11:40.0,A. Horford misses 2-pt jump shot from 14 ft,,0,0
1,1,11:37.0,,Defensive rebound by A. Davis,0,0
2,1,11:21.0,,D. Green misses 3-pt jump shot from 27 ft,0,0
3,1,11:18.0,,Offensive rebound by D. Green,0,0
4,1,11:17.0,,D. Green misses 3-pt jump shot from 23 ft,0,0
5,1,11:15.0,Defensive rebound by T. Harris,,0,0
6,1,11:07.0,T. Harris makes 2-pt jump shot from 10 ft,,2,0
7,1,10:50.0,,J. McGee makes 2-pt dunk from 1 ft (assist by L. James),2,2
8,1,10:29.0,S. Milton misses 3-pt jump shot from 26 ft,,2,2
9,1,10:26.0,,Defensive rebound by J. McGee,2,2
10,1,10:22.0,,A. Bradley misses 2-pt jump shot from 21 ft,2,2
11,1,10:17.0,Defensive rebound by M. Thybulle,,2,2
12,1,10:15.0,M. Scott misses 3-pt jump shot from 26 ft,,2,2
13,1,10:12.0,Offensive rebound by M. Thybulle,,2,2
14,1,10:10.0,T. Harris misses 3-pt jump shot from 26 ft,,2,2
15,1,10:05.0,Offensive rebound by A. Horford,,2,2
16,1,10:03.0,M. Scott makes 3-pt jump shot from 23 ft (assist by S. Milton),,5,2
17,1,9:45.0,,L. James makes 2-pt layup from 4 ft,5,4
18,1,9:31.0,T. Harris misses 2-pt jump shot from 8 ft,,5,4
19,1,9:28.0,,Defensive rebound by J. McGee,5,4
20,1,9:15.0,,A. Davis misses 2-pt jump shot from 15 ft,5,4
21,1,9:11.0,Defensive rebound by T. Harris,,5,4
22,1,9:07.0,M. Scott makes 3-pt jump shot from 28 ft (assist by T. Harris),,8,4
23,1,8:44.0,,A. Davis misses 2-pt layup from 3 ft,8,4
24,1,8:43.0,Defensive rebound by A. Horford,,8,4
25,1,8:39.0,M. Scott misses 3-pt jump shot from 26 ft,,8,4
26,1,8:33.0,Offensive rebound by M. Thybulle,,8,4
27,1,8:29.0,M. Thybulle misses 3-pt jump shot from 27 ft,,8,4
28,1,8:25.0,,Defensive rebound by A. Davis,8,4
29,1,8:18.0,,A. Davis misses 2-pt hook shot from 6 ft,8,4
30,1,8:16.0,Defensive rebound by M. Scott,,8,4
31,1,8:10.0,T. Harris makes 2-pt jump shot from 7 ft (assist by S. Milton),,10,4
32,1,7:53.0,,D. Green makes 2-pt jump shot from 8 ft (assist by A. Davis),10,6
33,1,7:33.0,S. Milton misses 2-pt layup from 2 ft,,10,6
34,1,7:33.0,,Defensive rebound by L. James,10,6
35,1,7:30.0,,L. James makes 2-pt layup from 2 ft,10,8
36,1,7:30.0,,Shooting foul by M. Scott (drawn by L. James),10,8
37,1,7:30.0,,L. James makes free throw 1 of 1,10,9
38,1,7:19.0,T. Harris makes 2-pt dunk from 1 ft (assist by A. Horford),,12,9
39,1,7:19.0,Shooting foul by D. Green (drawn by T. Harris),,12,9
40,1,7:19.0,T. Harris misses free throw 1 of 1,,12,9
41,1,7:17.0,,Defensive rebound by J. McGee,12,9
42,1,7:03.0,,A. Davis makes 2-pt layup from 1 ft,12,11
43,1,6:59.0,,LA Lakers full timeout,12,11
44,1,6:46.0,T. Harris makes 2-pt jump shot from 19 ft,,14,11
45,1,6:28.0,,A. Davis makes 2-pt jump shot from 8 ft (assist by L. James),14,13
46,1,6:28.0,,Shooting foul by A. Horford (drawn by A. Davis),14,13
47,1,6:28.0,F. Korkmaz enters the game for M. Scott,,14,13
48,1,6:28.0,G. Robinson enters the game for M. Thybulle,,14,13
49,1,6:28.0,,A. Davis makes free throw 1 of 1,14,14
50,1,6:17.0,T. Harris misses 3-pt jump shot from 26 ft,,14,14
51,1,6:14.0,,Defensive rebound by A. Bradley,14,14
52,1,6:03.0,,A. Davis misses 2-pt jump shot from 18 ft,14,14
53,1,6:01.0,,Offensive rebound by A. Davis,14,14
54,1,6:01.0,,Turnover by A. Davis (step out of bounds),14,14
55,1,5:47.0,G. Robinson makes 2-pt jump shot from 4 ft (assist by A. Horford),,16,14
56,1,5:25.0,,J. McGee misses 2-pt hook shot from 4 ft,16,14
57,1,5:24.0,Defensive rebound by A. Horford,,16,14
58,1,5:12.0,F. Korkmaz misses 2-pt layup from 3 ft,,16,14
59,1,5:08.0,Offensive rebound by A. Horford,,16,14
60,1,5:08.0,A. Horford makes 2-pt layup at rim,,18,14
61,1,4:49.0,,A. Davis misses 3-pt jump shot from 26 ft,18,14
62,1,4:46.0,,Offensive rebound by J. McGee,18,14
63,1,4:45.0,,Turnover by J. McGee (lost ball; steal by S. Milton),18,14
64,1,4:39.0,S. Milton makes 2-pt layup from 2 ft,,20,14
65,1,4:39.0,,LA Lakers full timeout,20,14
66,1,4:39.0,,K. Caldwell-Pope enters the game for D. Green,20,14
67,1,4:39.0,,K. Kuzma enters the game for L. James,20,14
68,1,4:39.0,,R. Rondo enters the game for J. McGee,20,14
69,1,4:30.0,,A. Bradley makes 3-pt jump shot from 23 ft (assist by R. Rondo),20,17
70,1,4:07.0,F. Korkmaz makes 3-pt jump shot from 23 ft (assist by G. Robinson),,23,17
71,1,4:00.0,,Shooting foul by T. Harris (drawn by K. Caldwell-Pope),23,17
72,1,4:00.0,,K. Caldwell-Pope makes free throw 1 of 2,23,18
73,1,4:00.0,,K. Caldwell-Pope misses free throw 2 of 2,23,18
74,1,3:58.0,Defensive rebound by A. Horford,,23,18
75,1,3:44.0,G. Robinson misses 3-pt jump shot from 23 ft,,23,18
76,1,3:40.0,,Defensive rebound by K. Kuzma,23,18
77,1,3:26.0,,K. Kuzma misses 2-pt jump shot from 19 ft,23,18
78,1,3:23.0,Defensive rebound by A. Horford,,23,18
79,1,3:14.0,Personal foul by R. Rondo (drawn by A. Horford),,23,18
80,1,3:14.0,,M. Morris enters the game for A. Bradley,23,18
81,1,3:10.0,T. Harris misses 3-pt jump shot from 23 ft,,23,18
82,1,3:08.0,Offensive rebound by Team,,23,18
83,1,3:08.0,Philadelphia full timeout,,23,18
84,1,3:05.0,G. Robinson misses 2-pt layup from 2 ft (block by M. Morris),,23,18
85,1,3:02.0,Offensive rebound by T. Harris,,23,18
