,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,PHILADELPHIA_ACTION,CHARLOTTE_SCORE,PHILADELPHIA_SCORE
0,1,11:48.0,,J. Embiid misses 2-pt layup from 2 ft,0,0
1,1,11:46.0,Defensive rebound by Team,,0,0
2,1,11:23.0,D. Bacon misses 2-pt jump shot from 15 ft,,0,0
3,1,11:21.0,,Defensive rebound by A. Horford,0,0
4,1,11:12.0,,J. Embiid makes 2-pt jump shot from 12 ft (assist by J. Richardson),0,2
5,1,10:59.0,Offensive foul by M. Bridges (drawn by R. Neto),,0,2
6,1,10:59.0,Turnover by M. Bridges (offensive foul),,0,2
7,1,10:50.0,,T. Harris makes 2-pt jump shot from 11 ft (assist by A. Horford),0,4
8,1,10:31.0,T. Rozier makes 2-pt jump shot from 11 ft,,2,4
9,1,10:19.0,,Turnover by A. Horford (bad pass),2,4
10,1,10:12.0,Personal foul by R. Neto (drawn by T. Rozier),,2,4
11,1,10:04.0,C. Zeller makes 3-pt jump shot from 23 ft (assist by M. Bridges),,5,4
12,1,10:00.0,,Personal foul by T. Rozier (drawn by R. Neto),5,4
13,1,9:45.0,,R. Neto misses 2-pt jump shot from 12 ft,5,4
14,1,9:43.0,,Offensive rebound by Team,5,4
15,1,9:43.0,Loose ball foul by C. Zeller (drawn by J. Embiid),,5,4
16,1,9:38.0,,Turnover by T. Harris (traveling),5,4
17,1,9:27.0,C. Zeller misses 2-pt layup from 3 ft (block by J. Embiid),,5,4
18,1,9:25.0,,Defensive rebound by T. Harris,5,4
19,1,9:19.0,,A. Horford makes 2-pt layup from 2 ft (assist by R. Neto),5,6
20,1,9:10.0,M. Bridges makes 3-pt jump shot from 26 ft (assist by T. Rozier),,8,6
21,1,8:55.0,,J. Embiid makes 2-pt layup from 3 ft (assist by T. Harris),8,8
22,1,8:55.0,,Shooting foul by D. Bacon (drawn by J. Embiid),8,8
23,1,8:55.0,,J. Embiid makes free throw 1 of 1,8,9
24,1,8:40.0,P. Washington misses 2-pt jump shot from 17 ft,,8,9
25,1,8:36.0,Offensive rebound by C. Zeller,,8,9
26,1,8:32.0,T. Rozier misses 2-pt jump shot from 16 ft,,8,9
27,1,8:28.0,,Defensive rebound by T. Harris,8,9
28,1,8:20.0,,J. Richardson misses 2-pt jump shot from 9 ft,8,9
29,1,8:16.0,,Offensive rebound by J. Richardson,8,9
30,1,8:15.0,,Turnover by J. Richardson (lost ball; steal by P. Washington),8,9
31,1,8:07.0,D. Bacon misses 3-pt jump shot from 26 ft,,8,9
32,1,8:04.0,,Defensive rebound by A. Horford,8,9
33,1,7:59.0,,Shooting foul by C. Zeller (drawn by J. Embiid),8,9
34,1,7:59.0,,J. Embiid makes free throw 1 of 2,8,10
35,1,7:59.0,B. Biyombo enters the game for C. Zeller,,8,10
36,1,7:59.0,,J. Embiid makes free throw 2 of 2,8,11
37,1,7:47.0,P. Washington misses 3-pt jump shot from 27 ft,,8,11
38,1,7:43.0,,Defensive rebound by J. Embiid,8,11
39,1,7:35.0,,A. Horford makes 2-pt jump shot from 14 ft (assist by T. Harris),8,13
40,1,7:09.0,P. Washington makes 2-pt dunk from 1 ft (assist by T. Rozier),,10,13
41,1,6:49.0,,T. Harris makes 2-pt layup from 2 ft,10,15
42,1,6:35.0,T. Rozier makes 2-pt jump shot from 9 ft (assist by B. Biyombo),,12,15
43,1,6:12.0,,Shooting foul by B. Biyombo (drawn by J. Embiid),12,15
44,1,6:12.0,,Philadelphia full timeout,12,15
45,1,6:12.0,D. Graham enters the game for D. Bacon,,12,15
46,1,6:12.0,,J. Ennis enters the game for A. Horford,12,15
47,1,6:12.0,,F. Korkmaz enters the game for J. Richardson,12,15
48,1,6:12.0,,J. Embiid makes free throw 1 of 2,12,16
49,1,6:12.0,,J. Embiid makes free throw 2 of 2,12,17
50,1,5:57.0,Offensive foul by T. Rozier (drawn by R. Neto),,12,17
51,1,5:57.0,Turnover by T. Rozier (offensive foul),,12,17
52,1,5:57.0,M. Williams enters the game for B. Biyombo,,12,17
53,1,5:57.0,,A. Horford enters the game for J. Embiid,12,17
54,1,5:35.0,,A. Horford misses 2-pt jump shot from 4 ft,12,17
55,1,5:33.0,Defensive rebound by P. Washington,,12,17
56,1,5:24.0,T. Rozier misses 2-pt jump shot from 8 ft,,12,17
57,1,5:21.0,,Defensive rebound by T. Harris,12,17
58,1,5:20.0,,Turnover by T. Harris (bad pass; steal by T. Rozier),12,17
59,1,5:16.0,T. Rozier misses 3-pt jump shot from 25 ft,,12,17
60,1,5:13.0,,Defensive rebound by J. Ennis,12,17
61,1,5:10.0,,T. Harris misses 2-pt jump shot from 7 ft,12,17
62,1,5:06.0,Defensive rebound by M. Bridges,,12,17
63,1,4:57.0,M. Williams misses 2-pt hook shot from 11 ft,,12,17
64,1,4:54.0,,Defensive rebound by R. Neto,12,17
65,1,4:36.0,,R. Neto makes 3-pt jump shot from 26 ft (assist by F. Korkmaz),12,20
66,1,4:20.0,P. Washington misses 2-pt layup from 5 ft,,12,20
67,1,4:18.0,,Defensive rebound by A. Horford,12,20
