,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,LA CLIPPERS_ACTION,NEW ORLEANS_SCORE,LA CLIPPERS_SCORE
0,1,11:47.0,B. Ingram misses 2-pt jump shot from 21 ft,,0,0
1,1,11:45.0,,Defensive rebound by Team,0,0
2,1,11:29.0,,I. Zubac makes 2-pt hook shot from 5 ft (assist by K. Leonard),0,2
3,1,11:10.0,J. Redick misses 3-pt jump shot from 25 ft,,0,2
4,1,11:08.0,,Defensive rebound by I. Zubac,0,2
5,1,10:53.0,,P. Beverley makes 2-pt layup from 1 ft,0,4
6,1,10:41.0,J. Hayes misses 2-pt layup from 3 ft,,0,4
7,1,10:39.0,,Defensive rebound by P. Beverley,0,4
8,1,10:30.0,,P. George misses 3-pt jump shot from 26 ft,0,4
9,1,10:25.0,Defensive rebound by B. Ingram,,0,4
10,1,10:23.0,Shooting foul by I. Zubac (drawn by B. Ingram),,0,4
11,1,10:23.0,B. Ingram makes free throw 1 of 2,,1,4
12,1,10:23.0,B. Ingram makes free throw 2 of 2,,2,4
13,1,10:07.0,,K. Leonard makes 2-pt jump shot from 11 ft,2,6
14,1,9:54.0,B. Ingram makes 2-pt layup from 3 ft (assist by J. Hayes),,4,6
15,1,9:35.0,,P. George misses 2-pt jump shot from 15 ft,4,6
16,1,9:34.0,Defensive rebound by J. Redick,,4,6
17,1,9:27.0,J. Holiday makes 3-pt jump shot from 24 ft (assist by J. Hayes),,7,6
18,1,9:13.0,,K. Leonard misses 3-pt jump shot from 25 ft,7,6
19,1,9:12.0,Defensive rebound by Team,,7,6
20,1,8:58.0,J. Redick makes 3-pt jump shot from 25 ft (assist by J. Hayes),,10,6
21,1,8:39.0,,K. Leonard makes 3-pt jump shot from 25 ft (assist by P. Beverley),10,9
22,1,8:22.0,J. Holiday makes 2-pt jump shot from 12 ft (assist by K. Williams),,12,9
23,1,8:09.0,,M. Harkless makes 3-pt jump shot from 23 ft (assist by K. Leonard),12,12
24,1,8:01.0,B. Ingram misses 3-pt jump shot from 28 ft,,12,12
25,1,7:57.0,,Defensive rebound by P. George,12,12
26,1,7:51.0,,Shooting foul by J. Hayes (drawn by K. Leonard),12,12
27,1,7:51.0,,K. Leonard misses free throw 1 of 2,12,12
28,1,7:51.0,,Offensive rebound by Team,12,12
29,1,7:51.0,,K. Leonard makes free throw 2 of 2,12,13
30,1,7:40.0,J. Redick makes 2-pt jump shot from 23 ft (assist by J. Holiday),,14,13
31,1,7:23.0,,P. George makes 3-pt jump shot from 24 ft (assist by K. Leonard),14,16
32,1,7:13.0,B. Ingram misses 2-pt jump shot from 15 ft,,14,16
33,1,7:13.0,,Defensive rebound by I. Zubac,14,16
34,1,6:57.0,,K. Leonard misses 2-pt jump shot from 10 ft,14,16
35,1,6:55.0,,Offensive rebound by I. Zubac,14,16
36,1,6:55.0,,I. Zubac misses 2-pt layup from 1 ft,14,16
37,1,6:55.0,,Offensive rebound by I. Zubac,14,16
38,1,6:55.0,,Shooting foul by K. Williams (drawn by I. Zubac),14,16
39,1,6:55.0,,LA Clippers full timeout,14,16
40,1,6:55.0,,I. Zubac makes free throw 1 of 2,14,17
41,1,6:55.0,,I. Zubac misses free throw 2 of 2,14,17
42,1,6:53.0,,Offensive rebound by Team,14,17
43,1,6:45.0,,Shooting foul by B. Ingram (drawn by K. Leonard),14,17
44,1,6:45.0,,K. Leonard makes free throw 1 of 2,14,18
45,1,6:45.0,,K. Leonard misses free throw 2 of 2,14,18
46,1,6:42.0,Defensive rebound by J. Holiday,,14,18
47,1,6:32.0,J. Holiday misses 2-pt jump shot from 10 ft,,14,18
48,1,6:30.0,,Defensive rebound by P. George,14,18
49,1,6:24.0,,K. Leonard misses 3-pt jump shot from 26 ft,14,18
50,1,6:19.0,Defensive rebound by J. Holiday,,14,18
51,1,6:11.0,J. Redick misses 2-pt jump shot from 8 ft,,14,18
52,1,6:09.0,,Defensive rebound by M. Harkless,14,18
53,1,6:00.0,,K. Leonard misses 2-pt jump shot from 15 ft,14,18
54,1,5:58.0,Defensive rebound by B. Ingram,,14,18
55,1,5:43.0,B. Ingram misses 2-pt jump shot from 21 ft,,14,18
56,1,5:41.0,,Defensive rebound by I. Zubac,14,18
57,1,5:34.0,,Personal foul by J. Redick (drawn by P. George),14,18
58,1,5:34.0,,L. Williams enters the game for K. Leonard,14,18
59,1,5:28.0,,L. Williams misses 3-pt jump shot from 26 ft,14,18
60,1,5:25.0,Defensive rebound by K. Williams,,14,18
61,1,5:16.0,J. Holiday misses 3-pt jump shot from 26 ft,,14,18
62,1,5:13.0,,Defensive rebound by P. George,14,18
63,1,5:01.0,,I. Zubac misses 2-pt hook shot from 5 ft,14,18
64,1,4:58.0,,Offensive rebound by I. Zubac,14,18
