,QUARTER,TIME_REMAINING,DENVER_ACTION,NEW YORK_ACTION,DENVER_SCORE,NEW YORK_SCORE
0,1,11:45.0,J. Murray makes 3-pt jump shot from 24 ft (assist by G. Harris),,3,0
1,1,11:17.0,,J. Randle misses 2-pt jump shot from 9 ft,3,0
2,1,11:15.0,Defensive rebound by N. Jokić,,3,0
3,1,10:57.0,N. Jokić misses 2-pt jump shot from 12 ft,,3,0
4,1,10:55.0,,Defensive rebound by J. Randle,3,0
5,1,10:50.0,,R. Barrett misses 3-pt jump shot from 26 ft,3,0
6,1,10:48.0,Defensive rebound by G. Harris,,3,0
7,1,10:42.0,W. Barton misses 2-pt layup from 4 ft (block by M. Morris),,3,0
8,1,10:38.0,Offensive rebound by Team,,3,0
9,1,10:30.0,Turnover by J. Murray (lost ball; steal by R. Barrett),,3,0
10,1,10:27.0,,R. Barrett makes 2-pt dunk at rim,3,2
11,1,10:05.0,G. Harris makes 2-pt jump shot from 23 ft (assist by W. Barton),,5,2
12,1,9:52.0,,J. Randle misses 3-pt jump shot from 24 ft,5,2
13,1,9:50.0,,Offensive rebound by T. Gibson,5,2
14,1,9:39.0,,T. Gibson makes 2-pt jump shot from 5 ft (assist by R. Barrett),5,4
15,1,9:29.0,N. Jokić misses 3-pt jump shot from 25 ft,,5,4
16,1,9:27.0,,Defensive rebound by J. Randle,5,4
17,1,9:17.0,,T. Gibson misses 3-pt jump shot from 25 ft,5,4
18,1,9:15.0,Defensive rebound by W. Barton,,5,4
19,1,9:05.0,P. Millsap misses 2-pt jump shot from 8 ft,,5,4
20,1,9:03.0,,Defensive rebound by M. Morris,5,4
21,1,8:48.0,,M. Morris misses 2-pt jump shot from 15 ft,5,4
22,1,8:46.0,Defensive rebound by N. Jokić,,5,4
23,1,8:29.0,Turnover by G. Harris (bad pass; steal by R. Barrett),,5,4
24,1,8:22.0,,F. Ntilikina makes 3-pt jump shot from 25 ft (assist by T. Gibson),5,7
25,1,8:04.0,W. Barton makes 3-pt jump shot from 26 ft (assist by N. Jokić),,8,7
26,1,8:02.0,,Technical foul by N. Jokić,8,7
27,1,8:02.0,Technical foul by M. Morris,,8,7
28,1,7:49.0,,T. Gibson makes 2-pt layup from 2 ft (assist by F. Ntilikina),8,9
29,1,7:26.0,J. Murray makes 2-pt jump shot from 20 ft,,10,9
30,1,7:09.0,,M. Morris misses 3-pt jump shot from 25 ft,10,9
31,1,7:07.0,Defensive rebound by P. Millsap,,10,9
32,1,6:54.0,P. Millsap misses 3-pt jump shot from 26 ft,,10,9
33,1,6:52.0,,Defensive rebound by R. Barrett,10,9
34,1,6:41.0,,M. Morris makes 3-pt jump shot from 23 ft (assist by J. Randle),10,12
35,1,6:41.0,Denver full timeout,,10,12
36,1,6:24.0,N. Jokić makes 2-pt hook shot from 9 ft,,12,12
37,1,6:05.0,,R. Barrett misses 2-pt layup from 2 ft (block by P. Millsap),12,12
38,1,6:03.0,,Offensive rebound by R. Barrett,12,12
39,1,6:00.0,,M. Morris makes 3-pt jump shot from 23 ft (assist by R. Barrett),12,15
40,1,5:41.0,P. Millsap misses 3-pt jump shot from 24 ft,,12,15
41,1,5:40.0,,Defensive rebound by Team,12,15
42,1,5:29.0,,R. Barrett makes 3-pt jump shot from 24 ft (assist by T. Gibson),12,18
43,1,5:17.0,J. Murray misses 2-pt layup from 3 ft,,12,18
44,1,5:15.0,Offensive rebound by J. Murray,,12,18
45,1,5:15.0,Shooting foul by R. Barrett (drawn by J. Murray),,12,18
46,1,5:15.0,,M. Robinson enters the game for T. Gibson,12,18
47,1,5:15.0,J. Murray makes free throw 1 of 2,,13,18
48,1,5:15.0,J. Murray makes free throw 2 of 2,,14,18
49,1,4:58.0,,J. Randle misses 2-pt jump shot from 10 ft,14,18
50,1,4:56.0,Defensive rebound by N. Jokić,,14,18
51,1,4:51.0,J. Murray makes 2-pt jump shot from 15 ft (assist by P. Millsap),,16,18
52,1,4:32.0,,R. Barrett misses 2-pt layup from 5 ft (block by P. Millsap),16,18
53,1,4:31.0,,Offensive rebound by Team,16,18
54,1,4:31.0,,D. Smith enters the game for F. Ntilikina,16,18
55,1,4:23.0,,J. Randle makes 2-pt layup from 1 ft,16,20
56,1,4:01.0,W. Barton makes 3-pt jump shot from 24 ft (assist by N. Jokić),,19,20
57,1,4:01.0,J. Grant enters the game for P. Millsap,,19,20
58,1,4:01.0,,E. Payton enters the game for R. Barrett,19,20
59,1,3:50.0,,Violation by Team (delay of game),19,20
60,1,3:38.0,,Shooting foul by J. Grant (drawn by J. Randle),19,20
61,1,3:38.0,,J. Randle misses free throw 1 of 2,19,20
62,1,3:38.0,,Offensive rebound by Team,19,20
63,1,3:38.0,,J. Randle makes free throw 2 of 2,19,21
64,1,3:16.0,J. Grant misses 3-pt jump shot from 24 ft,,19,21
65,1,3:14.0,,Defensive rebound by D. Smith,19,21
66,1,3:05.0,,M. Morris misses 3-pt jump shot from 23 ft,19,21
67,1,3:03.0,Defensive rebound by N. Jokić,,19,21
68,1,3:00.0,Shooting foul by D. Smith (drawn by J. Grant),,19,21
69,1,3:00.0,J. Hernangómez enters the game for W. Barton,,19,21
70,1,3:00.0,M. Morris enters the game for J. Murray,,19,21
71,1,3:00.0,,B. Portis enters the game for J. Randle,19,21
72,1,3:00.0,J. Grant misses free throw 1 of 2,,19,21
73,1,3:00.0,Offensive rebound by Team,,19,21
74,1,3:00.0,J. Grant misses free throw 2 of 2,,19,21
75,1,2:58.0,,Defensive rebound by B. Portis,19,21
76,1,2:48.0,,D. Smith misses 2-pt layup from 1 ft (block by N. Jokić),19,21
77,1,2:46.0,,Offensive rebound by M. Robinson,19,21
78,1,2:46.0,,M. Robinson makes 2-pt dunk from 1 ft,19,23
79,1,2:27.0,J. Hernangómez makes 3-pt jump shot from 24 ft (assist by G. Harris),,22,23
80,1,2:16.0,,M. Robinson makes 2-pt dunk from 1 ft (assist by E. Payton),22,25
81,1,2:03.0,M. Morris makes 2-pt layup from 1 ft (assist by N. Jokić),,24,25
82,1,1:55.0,,New York full timeout,24,25
83,1,1:55.0,M. Beasley enters the game for G. Harris,,24,25
84,1,1:55.0,M. Plumlee enters the game for N. Jokić,,24,25
85,1,1:55.0,,K. Knox enters the game for M. Morris,24,25
86,1,1:47.0,,E. Payton makes 2-pt jump shot from 14 ft,24,27
87,1,1:29.0,M. Plumlee makes 2-pt layup from 2 ft (assist by J. Hernangómez),,26,27
88,1,1:16.0,,D. Smith misses 3-pt jump shot from 25 ft,26,27
89,1,1:14.0,Defensive rebound by M. Morris,,26,27
90,1,1:06.0,J. Hernangómez makes 3-pt jump shot from 23 ft (assist by J. Grant),,29,27
91,1,0:56.0,,K. Knox misses 3-pt jump shot from 26 ft,29,27
92,1,0:53.0,Defensive rebound by M. Morris,,29,27
93,1,0:41.0,J. Grant makes 3-pt jump shot from 24 ft (assist by M. Plumlee),,32,27
94,1,0:41.0,Shooting foul by B. Portis (drawn by J. Grant),,32,27
95,1,0:41.0,J. Grant misses free throw 1 of 1,,32,27
96,1,0:39.0,,Defensive rebound by M. Robinson,32,27
97,1,0:32.0,,Personal foul by J. Hernangómez (drawn by E. Payton),32,27
98,1,0:27.0,,Turnover by B. Portis (traveling),32,27
99,1,0:04.0,Shooting foul by E. Payton (drawn by M. Plumlee),,32,27
100,1,0:04.0,M. Plumlee misses free throw 1 of 2,,32,27
101,1,0:04.0,Offensive rebound by Team,,32,27
102,1,0:04.0,M. Plumlee makes free throw 2 of 2,,33,27
103,1,0:00.0,,D. Smith misses 2-pt layup at rim (block by M. Morris),33,27
104,1,0:00.0,,Offensive rebound by Team,33,27
105,2,11:44.0,,Turnover by E. Payton (traveling),33,27
106,2,11:35.0,M. Morris misses 2-pt jump shot from 19 ft,,33,27
107,2,11:34.0,,Defensive rebound by E. Payton,33,27
108,2,11:21.0,,Turnover by E. Payton (bad pass; steal by M. Morris),33,27
109,2,11:17.0,J. Grant makes 2-pt dunk from 1 ft (assist by J. Hernangómez),,35,27
110,2,11:08.0,,Shooting foul by M. Plumlee (drawn by B. Portis),35,27
111,2,11:08.0,,D. Dotson enters the game for E. Payton,35,27
112,2,11:08.0,,B. Portis makes free throw 1 of 2,35,28
113,2,11:08.0,,B. Portis makes free throw 2 of 2,35,29
114,2,10:57.0,M. Beasley misses 2-pt jump shot from 22 ft,,35,29
115,2,10:55.0,,Defensive rebound by M. Robinson,35,29
116,2,10:40.0,,B. Portis misses 3-pt jump shot from 23 ft,35,29
117,2,10:38.0,Defensive rebound by M. Beasley,,35,29
118,2,10:29.0,J. Hernangómez misses 3-pt jump shot from 24 ft,,35,29
119,2,10:27.0,,Defensive rebound by M. Robinson,35,29
120,2,10:20.0,,M. Robinson makes 2-pt dunk from 1 ft (assist by D. Dotson),35,31
121,2,10:02.0,M. Beasley makes 3-pt jump shot from 25 ft (assist by M. Plumlee),,38,31
122,2,9:51.0,,D. Dotson makes 3-pt jump shot from 25 ft (assist by D. Smith),38,34
123,2,9:21.0,,Instant Replay (Request: Ruling Stands),38,34
124,2,9:21.0,Turnover by Team (shot clock),,38,34
125,2,9:00.0,,K. Knox misses 2-pt layup from 7 ft,38,34
126,2,8:58.0,Defensive rebound by M. Plumlee,,38,34
127,2,8:55.0,Turnover by M. Plumlee (bad pass),,38,34
128,2,8:39.0,,D. Smith misses 3-pt jump shot from 26 ft,38,34
129,2,8:37.0,Defensive rebound by J. Hernangómez,,38,34
