,QUARTER,TIME_REMAINING,PORTLAND_ACTION,MIAMI_ACTION,PORTLAND_SCORE,MIAMI_SCORE
0,1,11:42.0,,K. Nunn misses 3-pt jump shot from 25 ft,0,0
1,1,11:40.0,Defensive rebound by H. Whiteside,,0,0
2,1,11:25.0,H. Whiteside misses 2-pt jump shot from 17 ft,,0,0
3,1,11:23.0,,Defensive rebound by D. Robinson,0,0
4,1,11:13.0,,D. Robinson misses 3-pt jump shot from 29 ft,0,0
5,1,11:10.0,Defensive rebound by H. Whiteside,,0,0
6,1,11:04.0,K. Bazemore misses 3-pt jump shot from 24 ft,,0,0
7,1,11:02.0,,Defensive rebound by M. Leonard,0,0
8,1,10:52.0,,K. Nunn makes 3-pt jump shot from 23 ft (assist by D. Jones),0,3
9,1,10:37.0,D. Lillard misses 2-pt jump shot from 18 ft,,0,3
10,1,10:35.0,,Defensive rebound by B. Adebayo,0,3
11,1,10:23.0,,M. Leonard misses 3-pt jump shot from 28 ft,0,3
12,1,10:21.0,Defensive rebound by Team,,0,3
13,1,10:00.0,H. Whiteside makes 2-pt hook shot from 7 ft (assist by D. Lillard),,2,3
14,1,9:50.0,,D. Robinson misses 3-pt jump shot from 26 ft,2,3
15,1,9:47.0,Defensive rebound by H. Whiteside,,2,3
16,1,9:39.0,D. Lillard misses 2-pt jump shot from 18 ft,,2,3
17,1,9:36.0,,Defensive rebound by D. Robinson,2,3
18,1,9:31.0,,D. Jones misses 3-pt jump shot from 23 ft,2,3
19,1,9:28.0,,Offensive rebound by B. Adebayo,2,3
20,1,9:18.0,,K. Nunn makes 2-pt jump shot from 5 ft,2,5
21,1,8:51.0,G. Trent misses 3-pt jump shot from 26 ft,,2,5
22,1,8:48.0,,Defensive rebound by D. Jones,2,5
23,1,8:29.0,,K. Nunn makes 2-pt layup from 2 ft,2,7
24,1,8:29.0,,Shooting foul by K. Bazemore (drawn by K. Nunn),2,7
25,1,8:29.0,,K. Nunn makes free throw 1 of 1,2,8
26,1,8:24.0,Personal foul by B. Adebayo (drawn by C. Anthony),,2,8
27,1,8:10.0,H. Whiteside misses 2-pt layup from 2 ft (block by B. Adebayo),,2,8
28,1,8:07.0,,Defensive rebound by M. Leonard,2,8
29,1,8:06.0,,Turnover by K. Nunn (bad pass),2,8
30,1,7:55.0,C. Anthony makes 2-pt jump shot from 20 ft (assist by D. Lillard),,4,8
31,1,7:43.0,,M. Leonard makes 3-pt jump shot from 27 ft (assist by K. Nunn),4,11
32,1,7:25.0,G. Trent misses 2-pt jump shot from 14 ft,,4,11
33,1,7:23.0,,Defensive rebound by M. Leonard,4,11
34,1,7:09.0,,M. Leonard makes 3-pt jump shot from 25 ft (assist by B. Adebayo),4,14
35,1,7:08.0,Portland full timeout,,4,14
36,1,6:48.0,Shooting foul by M. Leonard (drawn by K. Bazemore),,4,14
37,1,6:48.0,K. Bazemore makes free throw 1 of 2,,5,14
38,1,6:48.0,K. Bazemore makes free throw 2 of 2,,6,14
39,1,6:36.0,,D. Robinson makes 3-pt jump shot from 27 ft (assist by K. Nunn),6,17
40,1,6:26.0,D. Lillard misses 2-pt layup from 2 ft (block by D. Jones),,6,17
41,1,6:25.0,Offensive rebound by Team,,6,17
42,1,6:25.0,A. Simons enters the game for G. Trent,,6,17
43,1,6:18.0,C. Anthony misses 3-pt jump shot from 26 ft,,6,17
44,1,6:16.0,Offensive rebound by K. Bazemore,,6,17
45,1,6:09.0,K. Bazemore misses 2-pt jump shot from 6 ft,,6,17
46,1,6:08.0,,Defensive rebound by M. Leonard,6,17
47,1,6:02.0,,K. Nunn misses 2-pt layup from 2 ft (block by H. Whiteside),6,17
48,1,6:00.0,Defensive rebound by K. Bazemore,,6,17
49,1,5:52.0,C. Anthony misses 2-pt jump shot from 15 ft,,6,17
50,1,5:49.0,Offensive rebound by H. Whiteside,,6,17
51,1,5:46.0,K. Bazemore makes 3-pt jump shot from 25 ft (assist by A. Simons),,9,17
52,1,5:27.0,,D. Robinson misses 3-pt jump shot from 25 ft,9,17
53,1,5:25.0,Defensive rebound by H. Whiteside,,9,17
54,1,5:10.0,D. Lillard makes 2-pt jump shot from 17 ft,,11,17
55,1,5:04.0,,Miami full timeout,11,17
56,1,5:04.0,,G. Dragić enters the game for B. Adebayo,11,17
57,1,5:04.0,,J. Johnson enters the game for D. Robinson,11,17
58,1,4:49.0,,J. Johnson makes 3-pt jump shot from 23 ft (assist by M. Leonard),11,20
59,1,4:37.0,Offensive foul by C. Anthony (drawn by K. Nunn),,11,20
60,1,4:37.0,Turnover by C. Anthony (offensive foul),,11,20
61,1,4:37.0,M. Hezonja enters the game for C. Anthony,,11,20
62,1,4:37.0,A. Tolliver enters the game for H. Whiteside,,11,20
63,1,4:28.0,,K. Nunn misses 3-pt jump shot from 26 ft,11,20
64,1,4:25.0,Defensive rebound by A. Simons,,11,20
65,1,4:17.0,D. Lillard misses 2-pt jump shot from 7 ft (block by D. Jones),,11,20
66,1,4:14.0,,Defensive rebound by M. Leonard,11,20
67,1,3:50.0,,D. Jones makes 2-pt jump shot from 15 ft,11,22
68,1,3:31.0,A. Tolliver misses 3-pt jump shot from 26 ft,,11,22
69,1,3:28.0,,Defensive rebound by K. Nunn,11,22
70,1,3:06.0,,Turnover by J. Johnson (lost ball; steal by D. Lillard),11,22
71,1,2:56.0,D. Lillard makes 2-pt layup from 2 ft,,13,22
72,1,2:37.0,,G. Dragić makes 2-pt layup from 1 ft (assist by J. Johnson),13,24
73,1,2:14.0,D. Lillard makes 2-pt jump shot from 19 ft,,15,24
74,1,1:49.0,,G. Dragić makes 3-pt jump shot from 26 ft (assist by M. Leonard),15,27
75,1,1:24.0,A. Simons misses 3-pt jump shot from 23 ft,,15,27
76,1,1:22.0,,Defensive rebound by D. Jones,15,27
77,1,1:12.0,,K. Nunn makes 2-pt jump shot from 11 ft (assist by D. Jones),15,29
78,1,1:12.0,Portland full timeout,,15,29
79,1,1:12.0,N. Little enters the game for K. Bazemore,,15,29
80,1,1:12.0,,B. Adebayo enters the game for D. Jones,15,29
81,1,1:12.0,,T. Herro enters the game for M. Leonard,15,29
82,1,1:12.0,,D. Robinson enters the game for K. Nunn,15,29
83,1,0:58.0,D. Lillard misses 3-pt jump shot from 29 ft,,15,29
84,1,0:57.0,Offensive rebound by N. Little,,15,29
85,1,0:54.0,A. Simons misses 3-pt jump shot from 26 ft,,15,29
86,1,0:51.0,Offensive rebound by Team,,15,29
87,1,0:51.0,,Loose ball foul by T. Herro (drawn by N. Little),15,29
88,1,0:51.0,H. Whiteside enters the game for A. Tolliver,,15,29
89,1,0:38.0,N. Little misses 2-pt layup from 3 ft,,15,29
90,1,0:37.0,Offensive rebound by H. Whiteside,,15,29
91,1,0:37.0,H. Whiteside makes 2-pt dunk from 1 ft,,17,29
92,1,0:25.0,,T. Herro makes 2-pt jump shot from 10 ft (assist by G. Dragić),17,31
93,1,0:10.0,D. Lillard makes 2-pt layup from 1 ft,,19,31
94,1,0:01.0,,G. Dragić misses 2-pt jump shot from 12 ft,19,31
95,1,0:00.0,Defensive rebound by D. Lillard,,19,31
96,2,12:00.0,Violation by Team (delay of game),,19,31
97,2,11:43.0,M. Hezonja misses 2-pt jump shot from 7 ft,,19,31
98,2,11:41.0,,Defensive rebound by D. Robinson,19,31
99,2,11:30.0,,G. Dragić misses 3-pt jump shot from 26 ft,19,31
100,2,11:27.0,Defensive rebound by N. Little,,19,31
101,2,11:20.0,N. Little misses 2-pt layup from 2 ft (block by J. Johnson),,19,31
102,2,11:18.0,,Defensive rebound by T. Herro,19,31
103,2,11:15.0,,T. Herro makes 3-pt jump shot from 26 ft,19,34
104,2,11:02.0,A. Simons misses 2-pt jump shot from 16 ft,,19,34
105,2,10:59.0,,Defensive rebound by J. Johnson,19,34
106,2,10:50.0,,B. Adebayo makes 2-pt layup from 2 ft (assist by G. Dragić),19,36
107,2,10:47.0,Portland full timeout,,19,36
108,2,10:47.0,G. Trent enters the game for N. Little,,19,36
109,2,10:29.0,A. Simons makes 3-pt jump shot from 28 ft (assist by C. Anthony),,22,36
110,2,10:09.0,,B. Adebayo makes 2-pt jump shot from 12 ft (assist by G. Dragić),22,38
111,2,9:56.0,C. Anthony makes 2-pt jump shot from 18 ft (assist by A. Simons),,24,38
112,2,9:37.0,,Turnover by B. Adebayo (bad pass; steal by M. Hezonja),24,38
113,2,9:34.0,Turnover by M. Hezonja (out of bounds lost ball),,24,38
114,2,9:12.0,,B. Adebayo makes 2-pt layup from 2 ft (assist by G. Dragić),24,40
115,2,9:04.0,Personal foul by J. Johnson (drawn by C. Anthony),,24,40
116,2,8:54.0,Shooting foul by J. Johnson (drawn by C. Anthony),,24,40
117,2,8:54.0,C. Anthony makes free throw 1 of 2,,25,40
118,2,8:54.0,C. Anthony makes free throw 2 of 2,,26,40
119,2,8:45.0,,J. Johnson makes 3-pt jump shot from 25 ft (assist by G. Dragić),26,43
120,2,8:23.0,Turnover by A. Simons (bad pass; steal by D. Robinson),,26,43
121,2,8:08.0,,Shooting foul by H. Whiteside (drawn by J. Johnson),26,43
122,2,8:08.0,,J. Johnson misses free throw 1 of 2,26,43
123,2,8:08.0,,Offensive rebound by Team,26,43
124,2,8:08.0,A. Tolliver enters the game for H. Whiteside,,26,43
125,2,8:08.0,,D. Jones enters the game for B. Adebayo,26,43
126,2,8:08.0,,J. Johnson misses free throw 2 of 2,26,43
127,2,8:06.0,Defensive rebound by A. Tolliver,,26,43
128,2,7:55.0,G. Trent makes 3-pt jump shot from 23 ft (assist by M. Hezonja),,29,43
129,2,7:40.0,,D. Jones makes 2-pt layup from 1 ft (assist by G. Dragić),29,45
130,2,7:17.0,A. Simons makes 2-pt jump shot from 5 ft,,31,45
131,2,7:17.0,Shooting foul by D. Jones (drawn by A. Simons),,31,45
132,2,7:17.0,D. Lillard enters the game for G. Trent,,31,45
133,2,7:17.0,,M. Leonard enters the game for G. Dragić,31,45
134,2,7:17.0,,K. Nunn enters the game for J. Johnson,31,45
135,2,7:17.0,A. Simons makes free throw 1 of 1,,32,45
136,2,7:01.0,,K. Nunn misses 2-pt jump shot from 9 ft,32,45
137,2,6:57.0,Defensive rebound by C. Anthony,,32,45
138,2,6:49.0,C. Anthony misses 2-pt jump shot from 6 ft,,32,45
139,2,6:47.0,,Defensive rebound by D. Robinson,32,45
140,2,6:34.0,,T. Herro misses 2-pt jump shot from 20 ft,32,45
141,2,6:32.0,Defensive rebound by A. Simons,,32,45
142,2,6:32.0,K. Bazemore enters the game for M. Hezonja,,32,45
143,2,6:32.0,G. Trent enters the game for A. Simons,,32,45
144,2,6:18.0,C. Anthony makes 2-pt layup from 1 ft,,34,45
145,2,6:18.0,Violation by Team (delay of game),,34,45
146,2,6:18.0,Violation by Team (delay of game),,34,45
147,2,6:18.0,,T. Herro makes technical free throw,34,46
148,2,6:03.0,,D. Jones makes 2-pt dunk from 1 ft (assist by K. Nunn),34,48
149,2,5:42.0,C. Anthony misses 2-pt jump shot from 18 ft,,34,48
150,2,5:42.0,,Defensive rebound by D. Robinson,34,48
151,2,5:29.0,,M. Leonard misses 3-pt jump shot from 27 ft,34,48
152,2,5:26.0,Defensive rebound by K. Bazemore,,34,48
153,2,5:10.0,K. Bazemore makes 2-pt layup from 1 ft,,36,48
154,2,5:10.0,,Miami full timeout,36,48
155,2,4:44.0,,D. Jones makes 2-pt layup from 1 ft (assist by M. Leonard),36,50
156,2,4:30.0,A. Tolliver misses 3-pt jump shot from 25 ft,,36,50
157,2,4:30.0,,Defensive rebound by D. Jones,36,50
158,2,4:07.0,,T. Herro misses 3-pt jump shot from 25 ft,36,50
159,2,4:05.0,Defensive rebound by K. Bazemore,,36,50
160,2,4:01.0,K. Bazemore misses 2-pt layup from 1 ft,,36,50
161,2,3:58.0,,Defensive rebound by M. Leonard,36,50
162,2,3:52.0,,Shooting foul by D. Lillard (drawn by K. Nunn),36,50
163,2,3:52.0,,K. Nunn makes free throw 1 of 2,36,51
164,2,3:52.0,H. Whiteside enters the game for C. Anthony,,36,51
165,2,3:52.0,,B. Adebayo enters the game for M. Leonard,36,51
166,2,3:52.0,,G. Dragić enters the game for D. Robinson,36,51
167,2,3:52.0,,K. Nunn makes free throw 2 of 2,36,52
168,2,3:37.0,G. Trent misses 3-pt jump shot from 26 ft,,36,52
169,2,3:35.0,,Defensive rebound by G. Dragić,36,52
170,2,3:26.0,,B. Adebayo makes 2-pt hook shot from 4 ft (assist by G. Dragić),36,54
171,2,3:13.0,Shooting foul by K. Nunn (drawn by D. Lillard),,36,54
172,2,3:13.0,D. Lillard makes free throw 1 of 3,,37,54
173,2,3:13.0,D. Lillard makes free throw 2 of 3,,38,54
174,2,3:13.0,A. Simons enters the game for G. Trent,,38,54
175,2,3:13.0,D. Lillard makes free throw 3 of 3,,39,54
176,2,3:01.0,,G. Dragić makes 3-pt jump shot from 25 ft,39,57
177,2,2:44.0,Turnover by D. Lillard (lost ball; steal by K. Nunn),,39,57
178,2,2:41.0,,D. Jones misses 2-pt dunk from 1 ft,39,57
179,2,2:38.0,Defensive rebound by H. Whiteside,,39,57
180,2,2:36.0,Shooting foul by T. Herro (drawn by H. Whiteside),,39,57
181,2,2:36.0,C. Anthony enters the game for A. Tolliver,,39,57
182,2,2:36.0,,J. Johnson enters the game for D. Jones,39,57
183,2,2:36.0,H. Whiteside makes free throw 1 of 2,,40,57
184,2,2:36.0,H. Whiteside makes free throw 2 of 2,,41,57
185,2,2:25.0,,G. Dragić makes 2-pt jump shot from 5 ft,41,59
186,2,2:14.0,D. Lillard misses 3-pt jump shot from 26 ft,,41,59
187,2,2:14.0,,Defensive rebound by T. Herro,41,59
188,2,2:05.0,,G. Dragić makes 2-pt layup from 1 ft (assist by B. Adebayo),41,61
189,2,2:05.0,Portland full timeout,,41,61
190,2,2:05.0,,D. Jones enters the game for J. Johnson,41,61
191,2,1:58.0,Personal foul by K. Nunn (drawn by D. Lillard),,41,61
192,2,1:58.0,D. Lillard misses free throw 1 of 2,,41,61
193,2,1:58.0,Offensive rebound by Team,,41,61
194,2,1:58.0,D. Lillard makes free throw 2 of 2,,42,61
195,2,1:44.0,,B. Adebayo makes 2-pt dunk from 1 ft (assist by G. Dragić),42,63
196,2,1:25.0,K. Bazemore misses 3-pt jump shot from 23 ft,,42,63
197,2,1:22.0,,Defensive rebound by D. Jones,42,63
198,2,1:13.0,,T. Herro misses 3-pt jump shot from 28 ft,42,63
199,2,1:10.0,,Offensive rebound by B. Adebayo,42,63
200,2,1:03.0,,Shooting foul by K. Bazemore (drawn by B. Adebayo),42,63
201,2,1:03.0,,B. Adebayo misses free throw 1 of 2,42,63
202,2,1:03.0,,Offensive rebound by Team,42,63
203,2,1:03.0,,D. Robinson enters the game for K. Nunn,42,63
204,2,1:03.0,,B. Adebayo misses free throw 2 of 2,42,63
205,2,1:01.0,Defensive rebound by H. Whiteside,,42,63
206,2,0:52.0,H. Whiteside makes 2-pt dunk at rim (assist by D. Lillard),,44,63
