,QUARTER,TIME_REMAINING,ATLANTA_ACTION,DENVER_ACTION,ATLANTA_SCORE,DENVER_SCORE
0,1,11:45.0,,N. Jokić misses 3-pt jump shot from 25 ft,0,0
1,1,11:42.0,,Offensive rebound by P. Millsap,0,0
2,1,11:40.0,,G. Harris misses 3-pt jump shot from 25 ft,0,0
3,1,11:38.0,,Offensive rebound by Team,0,0
4,1,11:29.0,,P. Millsap makes 2-pt dunk from 1 ft (assist by N. Jokić),0,2
5,1,11:10.0,J. Parker misses 2-pt jump shot from 22 ft,,0,2
6,1,11:08.0,,Defensive rebound by N. Jokić,0,2
7,1,10:50.0,,W. Barton makes 3-pt jump shot from 23 ft (assist by P. Millsap),0,5
8,1,10:33.0,D. Jones misses 2-pt layup from 2 ft (block by G. Harris),,0,5
9,1,10:33.0,,Defensive rebound by Team,0,5
10,1,10:26.0,,G. Harris misses 3-pt jump shot from 25 ft,0,5
11,1,10:21.0,,Offensive rebound by P. Millsap,0,5
12,1,10:13.0,,P. Millsap makes 2-pt jump shot from 16 ft (assist by W. Barton),0,7
13,1,9:54.0,J. Parker misses 3-pt jump shot from 22 ft,,0,7
14,1,9:52.0,,Defensive rebound by W. Barton,0,7
15,1,9:41.0,,G. Harris misses 2-pt jump shot from 6 ft,0,7
16,1,9:39.0,,Offensive rebound by P. Millsap,0,7
17,1,9:36.0,,P. Millsap makes 2-pt jump shot from 10 ft,0,9
18,1,9:36.0,Atlanta full timeout,,0,9
19,1,9:18.0,Turnover by J. Parker (lost ball; steal by G. Harris),,0,9
20,1,9:11.0,,W. Barton makes 3-pt jump shot from 25 ft (assist by N. Jokić),0,12
21,1,8:59.0,K. Huerter makes 3-pt jump shot from 26 ft (assist by T. Young),,3,12
22,1,8:38.0,,G. Harris misses 3-pt jump shot from 24 ft,3,12
23,1,8:36.0,Defensive rebound by K. Huerter,,3,12
24,1,8:27.0,D. Hunter misses 2-pt jump shot from 4 ft,,3,12
25,1,8:26.0,Offensive rebound by J. Parker,,3,12
26,1,8:24.0,J. Parker makes 2-pt dunk from 1 ft,,5,12
27,1,8:11.0,,J. Murray makes 2-pt dunk at rim (assist by N. Jokić),5,14
28,1,8:00.0,T. Young makes 2-pt layup from 2 ft,,7,14
29,1,7:46.0,,J. Murray makes 2-pt jump shot from 16 ft,7,16
30,1,7:33.0,D. Jones makes 2-pt dunk from 1 ft (assist by T. Young),,9,16
31,1,7:16.0,,N. Jokić misses 2-pt jump shot from 22 ft,9,16
32,1,7:12.0,Defensive rebound by D. Jones,,9,16
33,1,7:09.0,Shooting foul by W. Barton (drawn by J. Parker),,9,16
34,1,7:09.0,J. Parker makes free throw 1 of 2,,10,16
35,1,7:09.0,A. Len enters the game for D. Jones,,10,16
36,1,7:09.0,J. Parker makes free throw 2 of 2,,11,16
37,1,6:56.0,,N. Jokić makes 2-pt jump shot from 22 ft,11,18
38,1,6:34.0,K. Huerter makes 3-pt jump shot from 26 ft (assist by A. Len),,14,18
39,1,6:13.0,,N. Jokić makes 2-pt layup from 2 ft (assist by J. Murray),14,20
40,1,5:58.0,A. Len makes 2-pt dunk at rim (assist by J. Parker),,16,20
41,1,5:44.0,,J. Murray misses 2-pt jump shot from 5 ft,16,20
42,1,5:42.0,Defensive rebound by T. Young,,16,20
43,1,5:39.0,T. Young misses 3-pt jump shot from 25 ft,,16,20
44,1,5:37.0,,Defensive rebound by W. Barton,16,20
