,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,MEMPHIS_ACTION,MINNESOTA_SCORE,MEMPHIS_SCORE
0,1,11:45.0,K. Towns misses 3-pt jump shot from 27 ft,,0,0
1,1,11:41.0,,Defensive rebound by J. Valančiūnas,0,0
2,1,11:25.0,,J. Jackson misses 2-pt layup from 6 ft,0,0
3,1,11:21.0,Defensive rebound by K. Towns,,0,0
4,1,11:11.0,K. Towns makes 3-pt jump shot from 25 ft (assist by J. Culver),,3,0
5,1,11:00.0,,J. Morant misses 2-pt jump shot from 9 ft (block by K. Towns),3,0
6,1,10:59.0,,Offensive rebound by J. Morant,3,0
7,1,10:53.0,,D. Brooks makes 3-pt jump shot from 24 ft (assist by J. Morant),3,3
8,1,10:42.0,J. Okogie makes 2-pt layup from 2 ft (assist by J. Culver),,5,3
9,1,10:31.0,,J. Jackson misses 3-pt jump shot from 23 ft,5,3
10,1,10:28.0,Defensive rebound by K. Towns,,5,3
11,1,10:22.0,Personal foul by J. Valančiūnas (drawn by K. Towns),,5,3
12,1,10:17.0,A. Wiggins makes 2-pt jump shot from 14 ft,,7,3
13,1,9:55.0,,J. Morant makes 2-pt layup from 1 ft,7,5
14,1,9:46.0,J. Culver makes 2-pt layup from 2 ft,,9,5
15,1,9:30.0,,J. Morant misses 2-pt jump shot from 16 ft,9,5
16,1,9:27.0,Defensive rebound by J. Okogie,,9,5
17,1,9:24.0,J. Culver misses 3-pt jump shot from 25 ft,,9,5
18,1,9:22.0,Offensive rebound by J. Culver,,9,5
19,1,9:19.0,J. Culver misses 2-pt layup from 3 ft,,9,5
20,1,9:16.0,,Defensive rebound by D. Brooks,9,5
21,1,9:12.0,,D. Brooks makes 3-pt jump shot from 25 ft (assist by J. Jackson),9,8
22,1,9:03.0,A. Wiggins makes 2-pt layup from 3 ft,,11,8
23,1,9:03.0,Shooting foul by D. Brooks (drawn by A. Wiggins),,11,8
24,1,9:03.0,,Memphis full timeout,11,8
25,1,9:03.0,A. Wiggins makes free throw 1 of 1,,12,8
26,1,8:48.0,,J. Valančiūnas makes 2-pt hook shot from 5 ft (assist by J. Jackson),12,10
27,1,8:35.0,R. Covington misses 3-pt jump shot from 25 ft,,12,10
28,1,8:32.0,,Defensive rebound by J. Valančiūnas,12,10
29,1,8:14.0,,J. Valančiūnas misses 2-pt hook shot from 7 ft,12,10
30,1,8:09.0,Defensive rebound by J. Okogie,,12,10
31,1,8:07.0,Personal foul by J. Jackson (drawn by R. Covington),,12,10
32,1,7:58.0,A. Wiggins makes 3-pt jump shot from 27 ft (assist by J. Culver),,15,10
33,1,7:40.0,,Offensive foul by J. Jackson (drawn by J. Okogie),15,10
34,1,7:40.0,,Turnover by J. Jackson (offensive foul),15,10
35,1,7:40.0,,B. Clarke enters the game for J. Jackson,15,10
36,1,7:26.0,Turnover by A. Wiggins (lost ball; steal by J. Crowder),,15,10
37,1,7:15.0,,J. Valančiūnas makes 2-pt layup from 5 ft (assist by J. Crowder),15,12
38,1,7:06.0,K. Towns misses 2-pt layup from 5 ft,,15,12
39,1,7:02.0,,Defensive rebound by D. Brooks,15,12
40,1,6:57.0,,D. Brooks misses 3-pt jump shot from 25 ft,15,12
41,1,6:54.0,,Offensive rebound by J. Valančiūnas,15,12
42,1,6:54.0,,Personal foul by R. Covington (drawn by J. Valančiūnas),15,12
43,1,6:54.0,T. Graham enters the game for R. Covington,,15,12
44,1,6:54.0,J. Layman enters the game for J. Culver,,15,12
45,1,6:54.0,,T. Jones enters the game for J. Morant,15,12
46,1,6:46.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by D. Brooks),15,15
47,1,6:32.0,K. Towns misses 3-pt jump shot from 26 ft,,15,15
48,1,6:30.0,,Defensive rebound by J. Valančiūnas,15,15
49,1,6:27.0,,B. Clarke makes 2-pt dunk from 2 ft (assist by T. Jones),15,17
50,1,6:27.0,Minnesota full timeout,,15,17
51,1,6:14.0,Turnover by A. Wiggins (back court),,15,17
52,1,5:59.0,,J. Valančiūnas misses 2-pt jump shot from 6 ft,15,17
53,1,5:56.0,Defensive rebound by K. Towns,,15,17
54,1,5:48.0,A. Wiggins makes 2-pt jump shot from 10 ft (assist by J. Okogie),,17,17
55,1,5:33.0,,J. Crowder makes 2-pt jump shot from 16 ft (assist by J. Valančiūnas),17,19
56,1,5:12.0,J. Layman misses 2-pt layup from 3 ft,,17,19
57,1,5:09.0,,Defensive rebound by J. Valančiūnas,17,19
58,1,5:05.0,,J. Crowder makes 3-pt jump shot from 24 ft,17,22
59,1,5:05.0,,Shooting foul by A. Wiggins (drawn by J. Crowder),17,22
60,1,5:05.0,,J. Crowder makes free throw 1 of 1,17,23
61,1,4:55.0,A. Wiggins misses 3-pt jump shot from 25 ft,,17,23
62,1,4:52.0,,Defensive rebound by J. Valančiūnas,17,23
63,1,4:46.0,,Shooting foul by T. Graham (drawn by B. Clarke),17,23
64,1,4:46.0,,B. Clarke makes free throw 1 of 2,17,24
65,1,4:46.0,,B. Caboclo enters the game for D. Brooks,17,24
66,1,4:46.0,,M. Guduric enters the game for J. Valančiūnas,17,24
67,1,4:46.0,,B. Clarke makes free throw 2 of 2,17,25
68,1,4:31.0,K. Towns misses 2-pt hook shot from 7 ft,,17,25
69,1,4:29.0,,Defensive rebound by B. Clarke,17,25
70,1,4:23.0,,Shooting foul by J. Okogie (drawn by T. Jones),17,25
71,1,4:23.0,,T. Jones makes free throw 1 of 2,17,26
72,1,4:23.0,J. McLaughlin enters the game for J. Okogie,,17,26
73,1,4:23.0,N. Vonleh enters the game for K. Towns,,17,26
74,1,4:23.0,,T. Jones makes free throw 2 of 2,17,27
75,1,4:12.0,T. Graham misses 2-pt layup from 4 ft,,17,27
76,1,4:08.0,,Defensive rebound by B. Clarke,17,27
77,1,4:08.0,,Turnover by M. Guduric (traveling),17,27
78,1,3:47.0,T. Graham misses 2-pt layup from 3 ft,,17,27
79,1,3:45.0,Offensive rebound by N. Vonleh,,17,27
