,QUARTER,TIME_REMAINING,PHOENIX_ACTION,MEMPHIS_ACTION,PHOENIX_SCORE,MEMPHIS_SCORE
0,1,11:35.0,,Turnover by Team (shot clock),0,0
1,1,11:25.0,Turnover by (8 sec),,0,0
2,1,11:19.0,,D. Brooks makes 2-pt jump shot from 13 ft (assist by J. Morant),0,2
3,1,11:02.0,D. Booker misses 2-pt jump shot from 7 ft,,0,2
4,1,11:01.0,,Defensive rebound by K. Anderson,0,2
5,1,10:52.0,,J. Jackson misses 3-pt jump shot from 29 ft,0,2
6,1,10:49.0,Defensive rebound by D. Ayton,,0,2
7,1,10:48.0,Turnover by K. Oubre (step out of bounds),,0,2
8,1,10:41.0,,Turnover by D. Brooks (traveling),0,2
9,1,10:30.0,D. Booker makes 2-pt jump shot from 12 ft (assist by D. Šarić),,2,2
10,1,10:10.0,,D. Brooks misses 3-pt jump shot from 26 ft,2,2
11,1,10:07.0,Defensive rebound by D. Ayton,,2,2
12,1,9:56.0,R. Rubio misses 2-pt layup at rim,,2,2
13,1,9:55.0,Offensive rebound by Team,,2,2
14,1,9:52.0,D. Booker makes 2-pt layup from 1 ft (assist by R. Rubio),,4,2
15,1,9:39.0,,J. Morant misses 2-pt jump shot from 21 ft,4,2
16,1,9:36.0,Defensive rebound by Team,,4,2
17,1,9:18.0,D. Šarić misses 3-pt jump shot from 25 ft,,4,2
18,1,9:16.0,,Defensive rebound by K. Anderson,4,2
19,1,9:10.0,,Turnover by J. Jackson (lost ball; steal by D. Šarić),4,2
20,1,9:03.0,Shooting foul by K. Anderson (drawn by D. Booker),,4,2
21,1,9:03.0,D. Booker makes free throw 1 of 2,,5,2
22,1,9:03.0,D. Booker makes free throw 2 of 2,,6,2
23,1,8:44.0,,Turnover by D. Brooks (lost ball),6,2
24,1,8:44.0,,Loose ball foul by D. Brooks (drawn by K. Oubre),6,2
25,1,8:35.0,D. Booker misses 2-pt jump shot from 19 ft,,6,2
26,1,8:35.0,Offensive rebound by Team,,6,2
27,1,8:35.0,,Loose ball foul by J. Morant (drawn by D. Šarić),6,2
28,1,8:28.0,Turnover by K. Oubre (bad pass; steal by D. Brooks),,6,2
29,1,8:22.0,,K. Anderson misses 3-pt jump shot from 23 ft,6,2
30,1,8:18.0,Defensive rebound by K. Oubre,,6,2
31,1,8:06.0,D. Ayton misses 2-pt jump shot from 11 ft,,6,2
32,1,8:05.0,,Defensive rebound by J. Jackson,6,2
33,1,7:54.0,,J. Jackson makes 2-pt layup from 1 ft (assist by J. Morant),6,4
34,1,7:38.0,R. Rubio misses 2-pt jump shot from 21 ft,,6,4
35,1,7:36.0,,Defensive rebound by K. Anderson,6,4
36,1,7:33.0,,J. Morant makes 2-pt dunk from 1 ft (assist by D. Brooks),6,6
37,1,7:09.0,K. Oubre misses 3-pt jump shot from 27 ft,,6,6
38,1,7:07.0,,Defensive rebound by J. Jackson,6,6
39,1,6:57.0,,J. Morant misses 2-pt layup from 2 ft (block by D. Booker),6,6
40,1,6:54.0,Defensive rebound by D. Ayton,,6,6
41,1,6:53.0,,Memphis full timeout,6,6
42,1,6:50.0,D. Šarić misses 3-pt jump shot from 24 ft,,6,6
43,1,6:48.0,,Defensive rebound by J. Valančiūnas,6,6
44,1,6:37.0,,J. Valančiūnas makes 2-pt layup from 2 ft (assist by D. Brooks),6,8
45,1,6:22.0,K. Oubre makes 2-pt jump shot from 13 ft,,8,8
46,1,6:11.0,,J. Valančiūnas makes 2-pt dunk from 1 ft (assist by K. Anderson),8,10
47,1,5:56.0,K. Oubre misses 2-pt jump shot from 22 ft,,8,10
48,1,5:55.0,,Defensive rebound by K. Anderson,8,10
49,1,5:52.0,,J. Morant makes 2-pt dunk at rim (assist by K. Anderson),8,12
50,1,5:33.0,D. Ayton misses 2-pt jump shot from 19 ft,,8,12
51,1,5:30.0,,Defensive rebound by J. Jackson,8,12
52,1,5:18.0,,J. Jackson makes 2-pt hook shot from 7 ft,8,14
53,1,5:18.0,M. Bridges enters the game for D. Šarić,,8,14
54,1,5:18.0,,B. Clarke enters the game for K. Anderson,8,14
55,1,5:18.0,,D. Melton enters the game for J. Valančiūnas,8,14
56,1,5:05.0,R. Rubio misses 2-pt jump shot from 11 ft,,8,14
57,1,5:03.0,,Defensive rebound by D. Melton,8,14
58,1,4:58.0,,J. Morant misses 2-pt jump shot from 5 ft,8,14
59,1,4:58.0,,Offensive rebound by Team,8,14
60,1,4:58.0,J. Carter enters the game for K. Oubre,,8,14
61,1,4:58.0,E. Okobo enters the game for R. Rubio,,8,14
62,1,4:58.0,,T. Jones enters the game for J. Morant,8,14
63,1,4:54.0,,Turnover by D. Brooks (bad pass; steal by D. Ayton),8,14
64,1,4:44.0,D. Ayton makes 2-pt jump shot from 8 ft,,10,14
65,1,4:25.0,,Turnover by D. Brooks (lost ball; steal by E. Okobo),10,14
66,1,4:14.0,Turnover by D. Booker (bad pass),,10,14
67,1,4:14.0,Loose ball foul by J. Carter (drawn by J. Jackson),,10,14
68,1,4:07.0,,Personal foul by M. Bridges (drawn by B. Clarke),10,14
69,1,4:04.0,,Shooting foul by D. Booker (drawn by B. Clarke),10,14
70,1,4:04.0,,B. Clarke makes free throw 1 of 2,10,15
71,1,4:04.0,,B. Clarke makes free throw 2 of 2,10,16
72,1,3:54.0,D. Booker misses 2-pt layup from 2 ft,,10,16
73,1,3:52.0,,Defensive rebound by B. Clarke,10,16
74,1,3:52.0,,S. Hill enters the game for D. Brooks,10,16
75,1,3:42.0,,J. Jackson misses 2-pt jump shot from 3 ft,10,16
76,1,3:40.0,Defensive rebound by E. Okobo,,10,16
77,1,3:29.0,Turnover by E. Okobo (bad pass; steal by B. Clarke),,10,16
78,1,3:26.0,,Personal foul by E. Okobo (drawn by D. Melton),10,16
79,1,3:16.0,,B. Clarke makes 2-pt layup from 1 ft (assist by S. Hill),10,18
80,1,3:00.0,J. Carter makes 3-pt jump shot from 25 ft (assist by D. Booker),,13,18
81,1,2:49.0,,J. Jackson misses 3-pt jump shot from 26 ft,13,18
82,1,2:44.0,,Offensive rebound by D. Melton,13,18
83,1,2:44.0,,D. Melton makes 2-pt layup from 1 ft,13,20
84,1,2:29.0,D. Booker misses 2-pt jump shot from 7 ft (block by J. Jackson),,13,20
85,1,2:26.0,,Defensive rebound by S. Hill,13,20
86,1,2:25.0,,T. Jones makes 2-pt layup from 1 ft (assist by S. Hill),13,22
87,1,2:25.0,Phoenix full timeout,,13,22
88,1,2:25.0,D. Šarić enters the game for D. Ayton,,13,22
89,1,2:25.0,,J. Valančiūnas enters the game for J. Jackson,13,22
90,1,2:04.0,M. Bridges makes 2-pt jump shot from 15 ft (assist by J. Carter),,15,22
91,1,1:50.0,,J. Valančiūnas makes 2-pt jump shot from 12 ft (assist by T. Jones),15,24
92,1,1:37.0,Shooting foul by S. Hill (drawn by D. Šarić),,15,24
93,1,1:37.0,D. Šarić misses free throw 1 of 2,,15,24
94,1,1:37.0,Offensive rebound by Team,,15,24
95,1,1:37.0,K. Oubre enters the game for D. Booker,,15,24
96,1,1:37.0,R. Rubio enters the game for E. Okobo,,15,24
97,1,1:37.0,D. Šarić makes free throw 2 of 2,,16,24
98,1,1:23.0,,Turnover by J. Valančiūnas (palming),16,24
99,1,1:11.0,M. Bridges misses 2-pt jump shot from 7 ft (block by B. Clarke),,16,24
100,1,1:08.0,,Defensive rebound by T. Jones,16,24
101,1,1:05.0,,B. Clarke misses 2-pt jump shot from 6 ft,16,24
102,1,1:04.0,,Offensive rebound by J. Valančiūnas,16,24
103,1,1:04.0,,Shooting foul by M. Bridges (drawn by J. Valančiūnas),16,24
104,1,1:04.0,,J. Valančiūnas makes free throw 1 of 2,16,25
105,1,1:04.0,C. Diallo enters the game for M. Bridges,,16,25
106,1,1:04.0,,J. Valančiūnas makes free throw 2 of 2,16,26
107,1,0:54.0,K. Oubre makes 2-pt layup from 1 ft (assist by R. Rubio),,18,26
108,1,0:41.0,,J. Valančiūnas makes 2-pt layup from 1 ft (assist by S. Hill),18,28
109,1,0:32.0,C. Diallo misses 2-pt layup from 1 ft,,18,28
110,1,0:30.0,,Defensive rebound by J. Valančiūnas,18,28
111,1,0:13.0,,T. Jones misses 2-pt jump shot from 15 ft,18,28
112,1,0:11.0,,Offensive rebound by T. Jones,18,28
113,1,0:11.0,,T. Jones makes 2-pt layup from 1 ft,18,30
114,1,0:00.0,R. Rubio misses 2-pt jump shot from 14 ft,,18,30
115,1,0:00.0,Offensive rebound by Team,,18,30
116,2,11:46.0,D. Ayton makes 2-pt jump shot from 11 ft (assist by K. Oubre),,20,30
117,2,11:31.0,,S. Hill misses 3-pt jump shot from 28 ft,20,30
118,2,11:28.0,Defensive rebound by C. Diallo,,20,30
119,2,11:19.0,D. Ayton misses 2-pt jump shot from 17 ft,,20,30
120,2,11:16.0,,Defensive rebound by J. Valančiūnas,20,30
121,2,11:04.0,,Turnover by J. Valančiūnas (bad pass),20,30
122,2,10:48.0,R. Rubio misses 2-pt layup from 2 ft,,20,30
123,2,10:45.0,Offensive rebound by D. Ayton,,20,30
124,2,10:44.0,J. Carter misses 3-pt jump shot from 25 ft,,20,30
125,2,10:39.0,,Defensive rebound by K. Anderson,20,30
126,2,10:30.0,,Turnover by M. Guduric (bad pass; steal by R. Rubio),20,30
127,2,10:29.0,Personal foul by M. Guduric (drawn by J. Carter),,20,30
128,2,10:14.0,Turnover by R. Rubio (bad pass; steal by J. Valančiūnas),,20,30
129,2,10:12.0,,M. Guduric misses 2-pt layup at rim (block by J. Carter),20,30
130,2,10:12.0,Defensive rebound by Team,,20,30
131,2,9:56.0,Shooting foul by J. Valančiūnas (drawn by K. Oubre),,20,30
132,2,9:56.0,K. Oubre makes free throw 1 of 2,,21,30
133,2,9:56.0,K. Oubre makes free throw 2 of 2,,22,30
134,2,9:44.0,,S. Hill makes 3-pt jump shot from 23 ft (assist by J. Morant),22,33
135,2,9:26.0,D. Ayton misses 2-pt hook shot from 6 ft,,22,33
