,QUARTER,TIME_REMAINING,PORTLAND_ACTION,DENVER_ACTION,PORTLAND_SCORE,DENVER_SCORE
0,1,11:41.0,C. McCollum misses 3-pt jump shot from 25 ft,,0,0
1,1,11:38.0,,Defensive rebound by J. Grant,0,0
2,1,11:30.0,,J. Murray misses 3-pt jump shot from 25 ft,0,0
3,1,11:26.0,Defensive rebound by C. Anthony,,0,0
4,1,11:20.0,D. Lillard misses 2-pt layup from 3 ft,,0,0
5,1,11:18.0,,Defensive rebound by W. Barton,0,0
6,1,11:07.0,,W. Barton misses 2-pt jump shot from 6 ft,0,0
7,1,11:06.0,,Offensive rebound by W. Barton,0,0
8,1,11:05.0,,W. Barton misses 2-pt layup from 2 ft,0,0
9,1,11:05.0,Defensive rebound by Team,,0,0
10,1,11:05.0,,Loose ball foul by W. Barton (drawn by H. Whiteside),0,0
11,1,10:54.0,H. Whiteside makes 2-pt dunk at rim (assist by D. Lillard),,2,0
12,1,10:34.0,,G. Harris makes 2-pt dunk from 1 ft (assist by J. Murray),2,2
13,1,10:17.0,C. Anthony misses 3-pt jump shot from 23 ft,,2,2
14,1,10:14.0,,Defensive rebound by J. Murray,2,2
15,1,9:59.0,,N. Jokić misses 2-pt layup from 2 ft,2,2
16,1,9:56.0,,Offensive rebound by N. Jokić,2,2
17,1,9:56.0,,N. Jokić misses 2-pt layup from 1 ft,2,2
18,1,9:55.0,,Offensive rebound by N. Jokić,2,2
19,1,9:55.0,,N. Jokić makes 2-pt layup from 1 ft,2,4
20,1,9:51.0,D. Lillard misses 3-pt jump shot from 27 ft,,2,4
21,1,9:49.0,,Defensive rebound by N. Jokić,2,4
22,1,9:38.0,,Turnover by N. Jokić (bad pass),2,4
23,1,9:26.0,Offensive foul by T. Ariza (drawn by J. Murray),,2,4
24,1,9:26.0,Turnover by T. Ariza (offensive foul),,2,4
25,1,9:12.0,,Turnover by N. Jokić (out of bounds lost ball),2,4
26,1,8:56.0,D. Lillard misses 2-pt layup from 2 ft,,2,4
27,1,8:52.0,Offensive rebound by H. Whiteside,,2,4
28,1,8:52.0,H. Whiteside makes 2-pt dunk at rim,,4,4
29,1,8:39.0,,Def 3 sec tech foul by Team,4,4
30,1,8:39.0,,J. Murray makes technical free throw,4,5
31,1,8:33.0,,J. Grant makes 3-pt jump shot from 23 ft (assist by G. Harris),4,8
32,1,8:11.0,T. Ariza misses 3-pt jump shot from 22 ft,,4,8
33,1,8:08.0,,Defensive rebound by W. Barton,4,8
34,1,8:03.0,,Personal foul by C. Anthony (drawn by J. Grant),4,8
35,1,7:55.0,,N. Jokić makes 2-pt layup from 2 ft (assist by W. Barton),4,10
36,1,7:44.0,Def 3 sec tech foul by Team,,4,10
37,1,7:44.0,D. Lillard makes technical free throw,,5,10
38,1,7:31.0,Shooting foul by J. Grant (drawn by C. Anthony),,5,10
39,1,7:31.0,C. Anthony makes free throw 1 of 2,,6,10
40,1,7:31.0,C. Anthony makes free throw 2 of 2,,7,10
41,1,7:20.0,,W. Barton makes 2-pt layup from 3 ft (assist by N. Jokić),7,12
42,1,7:10.0,D. Lillard makes 2-pt layup from 1 ft,,9,12
43,1,6:44.0,,W. Barton misses 2-pt jump shot from 6 ft,9,12
44,1,6:42.0,Defensive rebound by T. Ariza,,9,12
45,1,6:29.0,H. Whiteside makes 2-pt hook shot from 7 ft (assist by D. Lillard),,11,12
46,1,6:16.0,,J. Murray makes 2-pt dunk from 1 ft (assist by N. Jokić),11,14
47,1,5:56.0,T. Ariza makes 3-pt jump shot from 23 ft (assist by C. McCollum),,14,14
48,1,5:43.0,,N. Jokić misses 3-pt jump shot from 25 ft,14,14
49,1,5:41.0,Defensive rebound by T. Ariza,,14,14
50,1,5:35.0,Shooting foul by N. Jokić (drawn by T. Ariza),,14,14
51,1,5:35.0,,Denver full timeout,14,14
52,1,5:35.0,,M. Morris enters the game for J. Murray,14,14
53,1,5:35.0,T. Ariza makes free throw 1 of 2,,15,14
54,1,5:35.0,T. Ariza makes free throw 2 of 2,,16,14
55,1,5:21.0,,N. Jokić misses 2-pt jump shot from 7 ft,16,14
56,1,5:18.0,Defensive rebound by C. Anthony,,16,14
57,1,5:12.0,D. Lillard makes 2-pt layup from 2 ft,,18,14
58,1,5:03.0,,N. Jokić makes 3-pt jump shot from 24 ft (assist by M. Morris),18,17
