,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MIAMI_ACTION,SACRAMENTO_SCORE,MIAMI_SCORE
0,1,11:34.0,,M. Leonard misses 3-pt jump shot from 25 ft,0,0
1,1,11:31.0,,Offensive rebound by B. Adebayo,0,0
2,1,11:21.0,,M. Leonard makes 2-pt dunk from 1 ft (assist by K. Nunn),0,2
3,1,11:02.0,D. Fox misses 2-pt jump shot from 10 ft,,0,2
4,1,10:59.0,,Defensive rebound by B. Adebayo,0,2
5,1,10:54.0,,M. Leonard makes 3-pt jump shot from 27 ft (assist by K. Nunn),0,5
6,1,10:42.0,H. Barnes makes 2-pt layup from 1 ft (assist by D. Fox),,2,5
7,1,10:28.0,,Turnover by K. Nunn (bad pass),2,5
8,1,10:19.0,B. Hield misses 3-pt jump shot from 28 ft,,2,5
9,1,10:17.0,,Defensive rebound by M. Leonard,2,5
10,1,10:03.0,,K. Nunn misses 2-pt jump shot from 16 ft,2,5
11,1,10:00.0,Defensive rebound by B. Hield,,2,5
12,1,9:51.0,B. Hield makes 3-pt jump shot from 25 ft (assist by N. Bjelica),,5,5
13,1,9:36.0,,Turnover by B. Adebayo (out of bounds lost ball),5,5
14,1,9:25.0,H. Barnes misses 2-pt jump shot from 5 ft,,5,5
15,1,9:22.0,,Defensive rebound by M. Leonard,5,5
16,1,9:12.0,,D. Jones makes 2-pt layup from 1 ft (assist by M. Leonard),5,7
17,1,8:59.0,M. Bagley makes 2-pt dunk from 1 ft (assist by B. Hield),,7,7
18,1,8:43.0,,Offensive foul by M. Leonard (drawn by H. Barnes),7,7
19,1,8:43.0,,Turnover by M. Leonard (offensive foul),7,7
20,1,8:43.0,Sacramento full timeout,,7,7
21,1,8:27.0,B. Hield misses 3-pt jump shot from 26 ft,,7,7
22,1,8:24.0,,Defensive rebound by M. Leonard,7,7
23,1,8:04.0,,B. Adebayo misses 2-pt jump shot from 2 ft (block by B. Hield),7,7
24,1,8:01.0,,Offensive rebound by B. Adebayo,7,7
25,1,7:59.0,,B. Adebayo makes 2-pt hook shot from 3 ft,7,9
26,1,7:56.0,Shooting foul by B. Adebayo (drawn by N. Bjelica),,7,9
27,1,7:56.0,N. Bjelica makes free throw 1 of 2,,8,9
28,1,7:56.0,N. Bjelica makes free throw 2 of 2,,9,9
29,1,7:37.0,,Turnover by K. Nunn (lost ball; steal by D. Fox),9,9
30,1,7:28.0,H. Barnes misses 3-pt jump shot from 24 ft,,9,9
31,1,7:25.0,,Defensive rebound by B. Adebayo,9,9
32,1,7:19.0,,Turnover by B. Adebayo (bad pass; steal by B. Hield),9,9
33,1,7:08.0,Turnover by N. Bjelica (bad pass; steal by M. Leonard),,9,9
34,1,6:54.0,,M. Leonard misses 3-pt jump shot from 27 ft,9,9
35,1,6:51.0,Defensive rebound by M. Bagley,,9,9
36,1,6:47.0,Turnover by D. Fox (lost ball; steal by B. Adebayo),,9,9
37,1,6:43.0,,Turnover by K. Nunn (bad pass; steal by B. Hield),9,9
38,1,6:36.0,D. Fox makes 2-pt layup from 1 ft (assist by B. Hield),,11,9
39,1,6:36.0,,Miami full timeout,11,9
40,1,6:36.0,B. Bogdanović enters the game for H. Barnes,,11,9
