,QUARTER,TIME_REMAINING,TORONTO_ACTION,MIAMI_ACTION,TORONTO_SCORE,MIAMI_SCORE
0,1,11:43.0,,D. Robinson makes 3-pt jump shot from 26 ft (assist by J. Butler),0,3
1,1,11:15.0,F. VanVleet misses 2-pt layup from 2 ft,,0,3
2,1,11:13.0,Offensive rebound by Team,,0,3
3,1,11:12.0,Turnover by Team (shot clock),,0,3
4,1,11:02.0,,J. Butler misses 2-pt jump shot from 15 ft,0,3
5,1,11:00.0,Defensive rebound by S. Ibaka,,0,3
6,1,10:58.0,Shooting foul by D. Robinson (drawn by K. Lowry),,0,3
7,1,10:58.0,K. Lowry makes free throw 1 of 2,,1,3
8,1,10:58.0,K. Lowry makes free throw 2 of 2,,2,3
9,1,10:38.0,,M. Leonard misses 2-pt jump shot from 9 ft,2,3
10,1,10:35.0,Defensive rebound by K. Lowry,,2,3
11,1,10:33.0,F. VanVleet misses 2-pt layup from 3 ft (block by B. Adebayo),,2,3
12,1,10:33.0,,Defensive rebound by B. Adebayo,2,3
13,1,10:32.0,,Turnover by B. Adebayo (step out of bounds),2,3
14,1,10:18.0,K. Lowry misses 3-pt jump shot from 26 ft,,2,3
15,1,10:16.0,,Defensive rebound by M. Leonard,2,3
16,1,10:09.0,,M. Leonard makes 2-pt layup from 2 ft (assist by K. Nunn),2,5
17,1,10:09.0,,Shooting foul by K. Lowry (drawn by M. Leonard),2,5
18,1,10:09.0,,M. Leonard makes free throw 1 of 1,2,6
19,1,9:55.0,S. Ibaka misses 3-pt jump shot from 23 ft,,2,6
20,1,9:52.0,,Defensive rebound by J. Butler,2,6
21,1,9:44.0,,K. Nunn misses 3-pt jump shot from 24 ft,2,6
22,1,9:41.0,Defensive rebound by S. Ibaka,,2,6
23,1,9:33.0,F. VanVleet makes 2-pt layup from 1 ft,,4,6
24,1,9:20.0,,M. Leonard makes 2-pt dunk from 1 ft (assist by K. Nunn),4,8
25,1,9:00.0,S. Ibaka misses 3-pt jump shot from 25 ft,,4,8
26,1,8:56.0,,Defensive rebound by J. Butler,4,8
27,1,8:42.0,,B. Adebayo makes 2-pt hook shot from 1 ft (assist by J. Butler),4,10
28,1,8:28.0,F. VanVleet makes 3-pt jump shot from 24 ft (assist by K. Lowry),,7,10
29,1,8:04.0,,Turnover by D. Robinson (lost ball; steal by F. VanVleet),7,10
30,1,7:58.0,F. VanVleet makes 2-pt layup from 1 ft,,9,10
31,1,7:39.0,,K. Nunn makes 2-pt layup from 1 ft,9,12
32,1,7:19.0,S. Ibaka makes 2-pt hook shot from 3 ft (assist by F. VanVleet),,11,12
33,1,7:06.0,,K. Nunn misses 2-pt layup from 2 ft (block by S. Ibaka),11,12
34,1,7:03.0,Defensive rebound by O. Anunoby,,11,12
35,1,6:56.0,S. Ibaka misses 2-pt layup from 1 ft,,11,12
36,1,6:54.0,,Defensive rebound by D. Robinson,11,12
37,1,6:45.0,,Turnover by B. Adebayo (bad pass; steal by O. Anunoby),11,12
38,1,6:37.0,F. VanVleet misses 3-pt jump shot from 27 ft,,11,12
39,1,6:34.0,,Defensive rebound by D. Robinson,11,12
40,1,6:27.0,,Personal foul by S. Ibaka (drawn by B. Adebayo),11,12
41,1,6:27.0,,Miami full timeout,11,12
