,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,DETROIT_ACTION,SAN ANTONIO_SCORE,DETROIT_SCORE
0,1,12:00.0,,Violation by Team (jump ball),0,0
1,1,11:49.0,R. Gay misses 2-pt jump shot from 16 ft,,0,0
2,1,11:44.0,,Defensive rebound by A. Drummond,0,0
3,1,11:42.0,,L. Kennard makes 3-pt jump shot from 24 ft (assist by A. Drummond),0,3
4,1,11:26.0,B. Forbes misses 3-pt jump shot from 26 ft,,0,3
5,1,11:22.0,,Defensive rebound by A. Drummond,0,3
6,1,11:08.0,,A. Drummond makes 2-pt hook shot from 7 ft (assist by T. Snell),0,5
7,1,10:44.0,R. Gay misses 2-pt jump shot from 9 ft,,0,5
8,1,10:38.0,,Defensive rebound by T. Snell,0,5
9,1,10:34.0,,T. Snell makes 3-pt jump shot from 25 ft,0,8
10,1,10:09.0,D. White makes 3-pt jump shot from 24 ft (assist by D. DeRozan),,3,8
11,1,9:51.0,,Turnover by A. Drummond (lost ball; steal by J. Poeltl),3,8
12,1,9:46.0,Shooting foul by T. Snell (drawn by D. DeRozan),,3,8
13,1,9:46.0,D. DeRozan makes free throw 1 of 2,,4,8
14,1,9:46.0,D. DeRozan makes free throw 2 of 2,,5,8
15,1,9:23.0,,T. Snell misses 3-pt jump shot from 23 ft,5,8
16,1,9:20.0,,Offensive rebound by A. Drummond,5,8
17,1,9:17.0,,L. Kennard makes 3-pt jump shot from 26 ft (assist by A. Drummond),5,11
18,1,9:15.0,San Antonio full timeout,,5,11
19,1,8:57.0,R. Gay misses 2-pt dunk from 1 ft (block by A. Drummond),,5,11
20,1,8:55.0,,Defensive rebound by L. Kennard,5,11
21,1,8:50.0,,A. Drummond misses 2-pt hook shot from 6 ft,5,11
22,1,8:49.0,Defensive rebound by D. DeRozan,,5,11
23,1,8:41.0,Shooting foul by B. Brown (drawn by D. DeRozan),,5,11
24,1,8:41.0,D. DeRozan makes free throw 1 of 2,,6,11
25,1,8:41.0,D. DeRozan makes free throw 2 of 2,,7,11
26,1,8:28.0,Violation by Team (kicked ball),,7,11
27,1,8:22.0,,B. Griffin misses 3-pt jump shot from 25 ft,7,11
28,1,8:18.0,Defensive rebound by D. DeRozan,,7,11
29,1,8:11.0,R. Gay misses 3-pt jump shot from 23 ft,,7,11
30,1,8:08.0,Offensive rebound by J. Poeltl,,7,11
31,1,8:03.0,J. Poeltl makes 2-pt layup from 3 ft (assist by D. White),,9,11
32,1,7:49.0,,Turnover by B. Griffin (bad pass; steal by J. Poeltl),9,11
33,1,7:45.0,Turnover by B. Forbes (traveling),,9,11
34,1,7:29.0,,L. Kennard makes 2-pt jump shot from 19 ft (assist by B. Griffin),9,13
35,1,7:12.0,D. DeRozan misses 3-pt jump shot from 27 ft,,9,13
36,1,7:09.0,,Defensive rebound by A. Drummond,9,13
37,1,6:49.0,,L. Kennard misses 2-pt jump shot from 5 ft,9,13
38,1,6:49.0,,Offensive rebound by A. Drummond,9,13
39,1,6:47.0,,A. Drummond misses 2-pt layup from 2 ft,9,13
40,1,6:45.0,Defensive rebound by J. Poeltl,,9,13
41,1,6:38.0,B. Forbes makes 2-pt jump shot from 22 ft,,11,13
42,1,6:17.0,,A. Drummond makes 2-pt layup from 3 ft (assist by L. Kennard),11,15
43,1,5:56.0,J. Poeltl makes 2-pt layup from 3 ft (assist by D. White),,13,15
44,1,5:44.0,,L. Kennard makes 3-pt jump shot from 26 ft (assist by B. Griffin),13,18
45,1,5:28.0,D. DeRozan makes 3-pt jump shot from 24 ft (assist by D. White),,16,18
46,1,5:14.0,,T. Snell misses 2-pt jump shot from 10 ft,16,18
47,1,5:11.0,Defensive rebound by D. DeRozan,,16,18
48,1,5:05.0,D. DeRozan makes 2-pt jump shot from 20 ft,,18,18
49,1,5:05.0,,Detroit full timeout,18,18
50,1,5:05.0,T. Lyles enters the game for B. Forbes,,18,18
51,1,5:05.0,P. Mills enters the game for R. Gay,,18,18
52,1,5:05.0,D. Murray enters the game for D. White,,18,18
53,1,5:05.0,,L. Galloway enters the game for T. Snell,18,18
54,1,4:57.0,,B. Griffin makes 2-pt layup from 8 ft,18,20
55,1,4:44.0,D. DeRozan misses 3-pt jump shot from 26 ft,,18,20
56,1,4:42.0,,Defensive rebound by B. Griffin,18,20
57,1,4:32.0,,L. Kennard misses 3-pt jump shot from 23 ft,18,20
58,1,4:29.0,Defensive rebound by T. Lyles,,18,20
59,1,4:16.0,D. DeRozan makes 2-pt jump shot from 5 ft (assist by D. Murray),,20,20
60,1,3:56.0,,B. Griffin misses 3-pt jump shot from 25 ft,20,20
61,1,3:55.0,,Offensive rebound by Team,20,20
62,1,3:55.0,Loose ball foul by J. Poeltl (drawn by A. Drummond),,20,20
63,1,3:55.0,,D. Rose enters the game for B. Brown,20,20
64,1,3:45.0,,B. Griffin makes 2-pt layup from 3 ft,20,22
65,1,3:45.0,,Shooting foul by T. Lyles (drawn by B. Griffin),20,22
66,1,3:45.0,,B. Griffin makes free throw 1 of 1,20,23
67,1,3:45.0,D. Eubanks enters the game for J. Poeltl,,20,23
68,1,3:45.0,,M. Morris enters the game for B. Griffin,20,23
69,1,3:23.0,Turnover by T. Lyles (traveling),,20,23
70,1,3:01.0,,L. Galloway makes 2-pt jump shot from 6 ft,20,25
71,1,2:49.0,D. Murray misses 2-pt layup from 5 ft,,20,25
72,1,2:47.0,,Defensive rebound by A. Drummond,20,25
73,1,2:43.0,,M. Morris misses 3-pt jump shot from 26 ft,20,25
74,1,2:39.0,Defensive rebound by D. Murray,,20,25
75,1,2:30.0,T. Lyles misses 3-pt jump shot from 27 ft,,20,25
76,1,2:26.0,Offensive rebound by D. Eubanks,,20,25
77,1,2:19.0,T. Lyles misses 2-pt jump shot from 13 ft,,20,25
78,1,2:19.0,,Defensive rebound by Team,20,25
79,1,2:19.0,M. Belinelli enters the game for D. DeRozan,,20,25
80,1,2:07.0,,D. Rose misses 2-pt jump shot from 9 ft,20,25
81,1,2:05.0,Defensive rebound by D. Murray,,20,25
82,1,1:55.0,P. Mills misses 2-pt layup from 1 ft,,20,25
83,1,1:54.0,,Defensive rebound by M. Morris,20,25
84,1,1:48.0,,Turnover by D. Rose (bad pass; steal by D. Murray),20,25
85,1,1:45.0,Shooting foul by M. Morris (drawn by D. Murray),,20,25
86,1,1:45.0,D. Murray makes free throw 1 of 2,,21,25
87,1,1:45.0,,S. Mykhailiuk enters the game for L. Kennard,21,25
88,1,1:45.0,D. Murray makes free throw 2 of 2,,22,25
89,1,1:33.0,,Turnover by A. Drummond (traveling),22,25
90,1,1:24.0,P. Mills makes 2-pt layup from 1 ft (assist by D. Eubanks),,24,25
91,1,1:07.0,,A. Drummond makes 2-pt layup from 3 ft (assist by D. Rose),24,27
92,1,0:54.0,T. Lyles misses 2-pt layup from 4 ft,,24,27
93,1,0:52.0,,Defensive rebound by M. Morris,24,27
94,1,0:49.0,,S. Mykhailiuk makes 2-pt layup from 2 ft (assist by M. Morris),24,29
95,1,0:33.0,D. Murray makes 3-pt jump shot from 23 ft (assist by P. Mills),,27,29
96,1,0:27.0,,Turnover by D. Rose (lost ball; steal by D. Murray),27,29
97,1,0:24.0,Turnover by D. Murray (lost ball; steal by A. Drummond),,27,29
98,1,0:04.0,,L. Galloway makes 3-pt jump shot from 26 ft (assist by D. Rose),27,32
99,1,0:01.0,T. Lyles misses 3-pt jump shot from 34 ft,,27,32
100,1,0:01.0,Offensive rebound by Team,,27,32
101,2,11:45.0,,L. Galloway misses 3-pt jump shot from 26 ft,27,32
102,2,11:43.0,Defensive rebound by D. Eubanks,,27,32
103,2,11:38.0,Personal foul by S. Mykhailiuk (drawn by D. Eubanks),,27,32
104,2,11:29.0,P. Mills misses 2-pt jump shot from 5 ft,,27,32
105,2,11:26.0,,Defensive rebound by C. Wood,27,32
106,2,11:14.0,,D. Rose misses 2-pt layup from 2 ft,27,32
107,2,11:11.0,Defensive rebound by D. Eubanks,,27,32
108,2,11:04.0,D. Murray misses 3-pt jump shot from 27 ft,,27,32
109,2,11:02.0,,Defensive rebound by Team,27,32
110,2,10:41.0,,C. Wood makes 2-pt jump shot from 6 ft (assist by D. Rose),27,34
111,2,10:21.0,D. Eubanks makes 2-pt dunk from 1 ft (assist by M. Belinelli),,29,34
112,2,10:21.0,Shooting foul by M. Morris (drawn by D. Eubanks),,29,34
113,2,10:21.0,D. White enters the game for D. Murray,,29,34
114,2,10:21.0,D. Eubanks makes free throw 1 of 1,,30,34
115,2,10:09.0,,D. Rose makes 2-pt layup from 3 ft,30,36
116,2,9:48.0,P. Mills misses 3-pt jump shot from 25 ft,,30,36
117,2,9:43.0,,Defensive rebound by M. Morris,30,36
118,2,9:41.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by D. Rose),30,39
119,2,9:40.0,San Antonio full timeout,,30,39
120,2,9:25.0,D. Eubanks misses 2-pt layup from 3 ft,,30,39
121,2,9:22.0,,Defensive rebound by L. Galloway,30,39
122,2,9:05.0,,C. Wood misses 2-pt layup from 3 ft,30,39
123,2,9:03.0,Defensive rebound by D. Eubanks,,30,39
124,2,8:58.0,Turnover by D. White (bad pass; steal by D. Rose),,30,39
125,2,8:55.0,,S. Mykhailiuk makes 2-pt dunk from 1 ft (assist by C. Wood),30,41
126,2,8:42.0,Shooting foul by S. Mykhailiuk (drawn by M. Belinelli),,30,41
127,2,8:42.0,M. Belinelli makes free throw 1 of 3,,31,41
128,2,8:42.0,M. Belinelli makes free throw 2 of 3,,32,41
129,2,8:42.0,B. Forbes enters the game for D. Eubanks,,32,41
130,2,8:42.0,R. Gay enters the game for T. Lyles,,32,41
131,2,8:42.0,J. Poeltl enters the game for P. Mills,,32,41
132,2,8:42.0,M. Belinelli makes free throw 3 of 3,,33,41
133,2,8:30.0,,Shooting foul by D. White (drawn by D. Rose),33,41
134,2,8:30.0,,D. Rose makes free throw 1 of 3,33,42
