,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,INDIANA_ACTION,BROOKLYN_SCORE,INDIANA_SCORE
0,1,11:46.0,T. Prince makes 3-pt jump shot from 27 ft (assist by J. Harris),,3,0
1,1,11:22.0,,D. Sabonis makes 2-pt layup from 3 ft (assist by M. Brogdon),3,2
2,1,10:55.0,Turnover by C. LeVert (lost ball; steal by M. Turner),,3,2
3,1,10:38.0,,D. Sabonis makes 2-pt hook shot from 6 ft,3,4
4,1,10:19.0,T. Prince misses 2-pt layup from 3 ft,,3,4
5,1,10:16.0,,Defensive rebound by D. Sabonis,3,4
6,1,10:11.0,,M. Brogdon misses 3-pt jump shot from 28 ft,3,4
7,1,10:07.0,Defensive rebound by J. Allen,,3,4
8,1,9:56.0,C. LeVert makes 2-pt jump shot from 8 ft,,5,4
9,1,9:35.0,,Turnover by M. Turner (lost ball; steal by C. LeVert),5,4
10,1,9:18.0,S. Dinwiddie misses 3-pt jump shot from 26 ft,,5,4
11,1,9:15.0,,Defensive rebound by D. Sabonis,5,4
12,1,9:04.0,,M. Turner makes 3-pt jump shot from 24 ft (assist by D. Sabonis),5,7
13,1,8:49.0,Shooting foul by T. Warren (drawn by C. LeVert),,5,7
14,1,8:49.0,C. LeVert makes free throw 1 of 2,,6,7
15,1,8:49.0,C. LeVert makes free throw 2 of 2,,7,7
16,1,8:39.0,,T. Warren misses 2-pt jump shot from 13 ft,7,7
17,1,8:37.0,Defensive rebound by C. LeVert,,7,7
18,1,8:31.0,J. Allen makes 2-pt dunk from 1 ft (assist by J. Harris),,9,7
19,1,8:13.0,,V. Oladipo makes 2-pt jump shot from 22 ft,9,9
20,1,8:00.0,J. Allen makes 2-pt dunk from 2 ft (assist by S. Dinwiddie),,11,9
21,1,7:49.0,,V. Oladipo makes 3-pt jump shot from 29 ft,11,12
22,1,7:34.0,T. Prince makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),,14,12
23,1,7:19.0,,D. Sabonis makes 2-pt dunk from 3 ft (assist by V. Oladipo),14,14
24,1,7:01.0,Personal foul by M. Brogdon (drawn by J. Allen),,14,14
25,1,6:53.0,T. Prince misses 3-pt jump shot from 25 ft,,14,14
26,1,6:51.0,Offensive rebound by Team,,14,14
27,1,6:51.0,,Indiana full timeout,14,14
28,1,6:51.0,,Instant Replay (Challenge: Ruling Stands),14,14
29,1,6:51.0,G. Temple enters the game for C. LeVert,,14,14
30,1,6:51.0,,J. Holiday enters the game for D. Sabonis,14,14
31,1,6:37.0,Shooting foul by M. Turner (drawn by J. Harris),,14,14
32,1,6:37.0,J. Harris makes free throw 1 of 2,,15,14
33,1,6:37.0,J. Harris misses free throw 2 of 2,,15,14
34,1,6:36.0,,Defensive rebound by M. Brogdon,15,14
35,1,6:23.0,,M. Turner makes 2-pt layup from 2 ft (assist by V. Oladipo),15,16
36,1,6:23.0,,Shooting foul by G. Temple (drawn by M. Turner),15,16
37,1,6:23.0,,M. Turner makes free throw 1 of 1,15,17
38,1,6:13.0,J. Allen makes 2-pt dunk from 2 ft (assist by S. Dinwiddie),,17,17
39,1,5:57.0,,M. Turner misses 3-pt jump shot from 29 ft,17,17
40,1,5:54.0,Defensive rebound by S. Dinwiddie,,17,17
41,1,5:44.0,J. Harris misses 2-pt layup from 3 ft (block by J. Holiday),,17,17
42,1,5:44.0,Offensive rebound by Team,,17,17
43,1,5:35.0,T. Prince misses 2-pt layup at rim,,17,17
44,1,5:31.0,,Defensive rebound by M. Brogdon,17,17
45,1,5:24.0,,M. Turner misses 3-pt jump shot from 23 ft,17,17
46,1,5:21.0,Defensive rebound by J. Harris,,17,17
47,1,5:15.0,S. Dinwiddie misses 3-pt jump shot from 27 ft,,17,17
48,1,5:12.0,,Defensive rebound by J. Holiday,17,17
49,1,5:07.0,,V. Oladipo misses 2-pt jump shot from 7 ft,17,17
50,1,5:04.0,Defensive rebound by S. Dinwiddie,,17,17
