,QUARTER,TIME_REMAINING,ATLANTA_ACTION,CHICAGO_ACTION,ATLANTA_SCORE,CHICAGO_SCORE
0,1,11:49.0,Turnover by K. Huerter (bad pass),,0,0
1,1,11:24.0,,W. Carter misses 2-pt jump shot from 20 ft,0,0
2,1,11:21.0,Defensive rebound by K. Huerter,,0,0
3,1,11:13.0,D. Jones makes 2-pt layup from 2 ft (assist by K. Huerter),,2,0
4,1,10:55.0,,K. Dunn makes 2-pt layup from 2 ft,2,2
5,1,10:49.0,Turnover by T. Young (bad pass; steal by K. Dunn),,2,2
6,1,10:49.0,,Personal foul by T. Young (drawn by K. Dunn),2,2
7,1,10:49.0,,Instant Replay (Request: Ruling Stands),2,2
8,1,10:42.0,,Personal foul by D. Jones (drawn by T. Satoranský),2,2
9,1,10:28.0,,L. Markkanen makes 2-pt layup from 1 ft,2,4
10,1,10:10.0,T. Young misses 2-pt jump shot from 12 ft,,2,4
11,1,10:07.0,,Defensive rebound by W. Carter,2,4
12,1,9:57.0,,K. Dunn misses 3-pt jump shot from 27 ft,2,4
13,1,9:54.0,Defensive rebound by D. Jones,,2,4
14,1,9:46.0,D. Jones makes 2-pt dunk at rim (assist by T. Young),,4,4
15,1,9:31.0,,Z. LaVine makes 2-pt layup from 3 ft (assist by T. Satoranský),4,6
16,1,9:19.0,J. Parker misses 2-pt jump shot from 14 ft,,4,6
17,1,9:17.0,,Defensive rebound by T. Satoranský,4,6
18,1,9:05.0,,Turnover by T. Satoranský (lost ball; steal by J. Parker),4,6
19,1,9:00.0,J. Parker makes 2-pt dunk from 1 ft (assist by T. Young),,6,6
20,1,8:43.0,,Z. LaVine makes 2-pt layup from 2 ft,6,8
21,1,8:27.0,Turnover by J. Parker (lost ball; steal by Z. LaVine),,6,8
22,1,8:17.0,,K. Dunn makes 2-pt layup from 1 ft,6,10
23,1,8:03.0,J. Parker misses 3-pt jump shot from 25 ft,,6,10
24,1,8:00.0,Offensive rebound by K. Huerter,,6,10
25,1,7:58.0,K. Huerter makes 2-pt jump shot from 10 ft,,8,10
26,1,7:52.0,,Shooting foul by J. Parker (drawn by L. Markkanen),8,10
27,1,7:52.0,,L. Markkanen makes free throw 1 of 2,8,11
28,1,7:52.0,A. Len enters the game for K. Huerter,,8,11
29,1,7:52.0,C. Reddish enters the game for D. Jones,,8,11
30,1,7:52.0,,L. Markkanen misses free throw 2 of 2,8,11
31,1,7:48.0,Defensive rebound by J. Parker,,8,11
32,1,7:35.0,J. Parker makes 2-pt layup from 1 ft,,10,11
33,1,7:25.0,,Z. LaVine misses 2-pt layup from 2 ft (block by D. Hunter),10,11
34,1,7:21.0,Defensive rebound by C. Reddish,,10,11
35,1,7:08.0,T. Young misses 3-pt jump shot from 26 ft,,10,11
36,1,7:06.0,,Defensive rebound by W. Carter,10,11
37,1,6:57.0,,K. Dunn misses 2-pt jump shot from 5 ft,10,11
38,1,6:55.0,Defensive rebound by J. Parker,,10,11
39,1,6:51.0,C. Reddish makes 3-pt jump shot from 23 ft (assist by T. Young),,13,11
40,1,6:37.0,,Turnover by L. Markkanen (lost ball; steal by T. Young),13,11
41,1,6:32.0,A. Len makes 2-pt dunk at rim (assist by T. Young),,15,11
42,1,6:32.0,,Chicago full timeout,15,11
43,1,6:32.0,V. Carter enters the game for J. Parker,,15,11
44,1,6:18.0,,Z. LaVine makes 3-pt jump shot from 25 ft (assist by L. Markkanen),15,14
45,1,6:09.0,Personal foul by L. Markkanen (drawn by V. Carter),,15,14
46,1,6:09.0,,C. White enters the game for K. Dunn,15,14
47,1,6:00.0,A. Len makes 2-pt dunk from 1 ft (assist by T. Young),,17,14
48,1,5:51.0,,T. Satoranský makes 2-pt layup from 2 ft,17,16
49,1,5:39.0,C. Reddish makes 2-pt jump shot from 18 ft,,19,16
50,1,5:22.0,,T. Satoranský misses 2-pt jump shot from 5 ft,19,16
51,1,5:18.0,,Offensive rebound by W. Carter,19,16
52,1,5:18.0,,W. Carter misses 2-pt layup at rim,19,16
53,1,5:17.0,Defensive rebound by A. Len,,19,16
54,1,5:07.0,A. Len makes 2-pt jump shot from 6 ft (assist by D. Hunter),,21,16
55,1,4:54.0,,T. Satoranský misses 2-pt jump shot from 21 ft,21,16
56,1,4:51.0,Defensive rebound by C. Reddish,,21,16
57,1,4:38.0,Turnover by T. Young (bad pass),,21,16
58,1,4:38.0,A. Crabbe enters the game for D. Hunter,,21,16
59,1,4:38.0,,D. Gafford enters the game for W. Carter,21,16
60,1,4:38.0,,T. Young enters the game for L. Markkanen,21,16
61,1,4:32.0,,Z. LaVine makes 3-pt jump shot from 28 ft,21,19
62,1,4:18.0,V. Carter makes 3-pt jump shot from 26 ft (assist by A. Len),,24,19
63,1,4:07.0,,Z. LaVine makes 2-pt dunk from 1 ft (assist by T. Satoranský),24,21
64,1,3:52.0,T. Young misses 3-pt jump shot from 25 ft,,24,21
65,1,3:52.0,Offensive rebound by A. Crabbe,,24,21
66,1,3:48.0,Personal foul by D. Gafford (drawn by A. Len),,24,21
67,1,3:41.0,A. Len makes 2-pt dunk at rim (assist by T. Young),,26,21
68,1,3:27.0,,C. White misses 2-pt jump shot from 21 ft,26,21
69,1,3:26.0,Defensive rebound by Team,,26,21
70,1,3:26.0,,Loose ball foul by D. Gafford (drawn by A. Len),26,21
71,1,3:26.0,K. Huerter enters the game for T. Young,,26,21
72,1,3:26.0,,R. Arcidiacono enters the game for Z. LaVine,26,21
73,1,3:26.0,,D. Valentine enters the game for T. Satoranský,26,21
74,1,3:26.0,,Violation by Team (delay of game),26,21
75,1,3:14.0,C. Reddish makes 3-pt jump shot from 26 ft (assist by A. Len),,29,21
76,1,2:59.0,,D. Valentine makes 2-pt jump shot from 10 ft (assist by D. Gafford),29,23
77,1,2:46.0,A. Len makes 2-pt layup from 1 ft (assist by A. Crabbe),,31,23
78,1,2:36.0,,D. Valentine makes 2-pt jump shot from 13 ft (assist by T. Young),31,25
79,1,2:23.0,K. Huerter misses 3-pt jump shot from 25 ft,,31,25
80,1,2:20.0,,Defensive rebound by R. Arcidiacono,31,25
81,1,2:13.0,,D. Valentine makes 2-pt jump shot from 16 ft,31,27
82,1,1:54.0,A. Len misses 2-pt layup from 1 ft (block by C. White),,31,27
83,1,1:47.0,Offensive rebound by A. Len,,31,27
84,1,1:47.0,A. Len misses 2-pt layup from 1 ft (block by D. Gafford),,31,27
85,1,1:45.0,,Defensive rebound by T. Young,31,27
86,1,1:45.0,,C. White makes 2-pt dunk from 1 ft (assist by T. Young),31,29
87,1,1:45.0,,Shooting foul by A. Len (drawn by C. White),31,29
88,1,1:45.0,Atlanta full timeout,,31,29
89,1,1:45.0,D. Jones enters the game for V. Carter,,31,29
90,1,1:45.0,J. Parker enters the game for A. Len,,31,29
91,1,1:45.0,E. Turner enters the game for C. Reddish,,31,29
92,1,1:45.0,,C. White makes free throw 1 of 1,31,30
93,1,1:44.0,Personal foul by D. Valentine (drawn by E. Turner),,31,30
94,1,1:33.0,A. Crabbe misses 3-pt jump shot from 25 ft,,31,30
95,1,1:29.0,Offensive rebound by D. Jones,,31,30
96,1,1:22.0,D. Jones misses 2-pt layup from 2 ft (block by D. Valentine),,31,30
97,1,1:19.0,,Defensive rebound by D. Valentine,31,30
98,1,1:13.0,,D. Valentine makes 2-pt jump shot from 16 ft,31,32
99,1,0:59.0,K. Huerter misses 3-pt jump shot from 25 ft,,31,32
100,1,0:55.0,,Defensive rebound by T. Young,31,32
101,1,0:46.0,,T. Young makes 2-pt hook shot from 2 ft (assist by D. Valentine),31,34
102,1,0:41.0,Turnover by E. Turner (bad pass; steal by T. Young),,31,34
103,1,0:35.0,,T. Young makes 3-pt jump shot from 25 ft,31,37
104,1,0:19.0,K. Huerter makes 2-pt layup from 2 ft,,33,37
105,1,0:00.0,,T. Young misses 3-pt jump shot from 25 ft,33,37
106,1,0:00.0,,Offensive rebound by Team,33,37
107,2,11:49.0,,D. Gafford misses 2-pt dunk from 1 ft,33,37
108,2,11:49.0,Defensive rebound by Team,,33,37
109,2,11:36.0,Turnover by T. Young (bad pass),,33,37
110,2,11:17.0,,R. Arcidiacono misses 2-pt layup from 2 ft (block by D. Jones),33,37
111,2,11:14.0,Defensive rebound by E. Turner,,33,37
112,2,11:07.0,T. Young makes 2-pt jump shot from 9 ft,,35,37
113,2,11:07.0,Shooting foul by D. Gafford (drawn by T. Young),,35,37
114,2,11:07.0,,W. Carter enters the game for D. Gafford,35,37
115,2,11:07.0,T. Young makes free throw 1 of 1,,36,37
116,2,10:48.0,,W. Carter makes 2-pt layup from 3 ft (assist by C. White),36,39
117,2,10:48.0,,Shooting foul by D. Jones (drawn by W. Carter),36,39
118,2,10:48.0,,W. Carter makes free throw 1 of 1,36,40
119,2,10:22.0,J. Parker misses 2-pt layup from 1 ft,,36,40
120,2,10:20.0,,Defensive rebound by W. Carter,36,40
121,2,10:15.0,,T. Young misses 3-pt jump shot from 25 ft,36,40
122,2,10:11.0,Defensive rebound by J. Parker,,36,40
123,2,10:03.0,D. Jones makes 2-pt dunk from 1 ft (assist by T. Young),,38,40
