,QUARTER,TIME_REMAINING,UTAH_ACTION,BOSTON_ACTION,UTAH_SCORE,BOSTON_SCORE
0,1,11:46.0,D. Mitchell makes 3-pt jump shot from 23 ft (assist by R. O'Neale),,3,0
1,1,11:27.0,,J. Tatum misses 2-pt jump shot from 13 ft,3,0
2,1,11:25.0,Defensive rebound by D. Mitchell,,3,0
3,1,11:19.0,Turnover by B. Bogdanović (out of bounds lost ball),,3,0
4,1,11:07.0,,S. Ojeleye makes 3-pt jump shot from 26 ft (assist by D. Theis),3,3
5,1,10:47.0,M. Conley makes 3-pt jump shot from 27 ft (assist by B. Bogdanović),,6,3
6,1,10:35.0,,J. Tatum makes 3-pt jump shot from 23 ft (assist by K. Walker),6,6
7,1,10:17.0,D. Mitchell makes 3-pt jump shot from 26 ft (assist by R. Gobert),,9,6
8,1,10:00.0,,S. Ojeleye makes 2-pt jump shot from 18 ft (assist by K. Walker),9,8
9,1,9:43.0,B. Bogdanović misses 2-pt jump shot from 13 ft,,9,8
10,1,9:41.0,,Defensive rebound by D. Theis,9,8
11,1,9:36.0,,K. Walker makes 2-pt jump shot from 15 ft,9,10
12,1,9:21.0,D. Mitchell misses 3-pt jump shot from 26 ft,,9,10
13,1,9:19.0,,Defensive rebound by S. Ojeleye,9,10
14,1,9:03.0,,Turnover by J. Tatum (bad pass; steal by D. Mitchell),9,10
15,1,9:00.0,Turnover by D. Mitchell (bad pass),,9,10
16,1,8:52.0,,K. Walker misses 3-pt jump shot from 27 ft,9,10
17,1,8:49.0,Defensive rebound by R. Gobert,,9,10
18,1,8:36.0,Turnover by M. Conley (bad pass),,9,10
19,1,8:25.0,,M. Smart makes 3-pt jump shot from 23 ft (assist by K. Walker),9,13
20,1,8:11.0,M. Conley makes 3-pt jump shot from 26 ft,,12,13
21,1,7:51.0,,M. Smart makes 3-pt jump shot from 24 ft (assist by D. Theis),12,16
22,1,7:35.0,Shooting foul by J. Tatum (drawn by B. Bogdanović),,12,16
23,1,7:35.0,B. Bogdanović makes free throw 1 of 2,,13,16
24,1,7:35.0,B. Bogdanović makes free throw 2 of 2,,14,16
25,1,7:17.0,,M. Smart makes 3-pt jump shot from 25 ft (assist by J. Tatum),14,19
26,1,6:55.0,D. Mitchell misses 3-pt jump shot from 25 ft,,14,19
27,1,6:52.0,,Defensive rebound by J. Tatum,14,19
28,1,6:41.0,,J. Tatum makes 2-pt layup from 4 ft,14,21
29,1,6:41.0,Utah full timeout,,14,21
30,1,6:41.0,J. Ingles enters the game for M. Conley,,14,21
31,1,6:32.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by J. Ingles),,16,21
32,1,6:15.0,,K. Walker makes 2-pt layup from 2 ft (assist by D. Theis),16,23
33,1,6:04.0,Personal foul by J. Tatum (drawn by R. Gobert),,16,23
34,1,6:04.0,,G. Williams enters the game for K. Walker,16,23
35,1,6:00.0,Offensive foul by R. Gobert (drawn by D. Theis),,16,23
