,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,SACRAMENTO_ACTION,MILWAUKEE_SCORE,SACRAMENTO_SCORE
0,1,11:44.0,K. Middleton makes 2-pt jump shot from 17 ft (assist by G. Antetokounmpo),,2,0
1,1,11:22.0,,H. Giles misses 2-pt jump shot from 14 ft,2,0
2,1,11:19.0,Defensive rebound by G. Antetokounmpo,,2,0
3,1,11:06.0,B. Lopez misses 3-pt jump shot from 25 ft,,2,0
4,1,11:03.0,,Defensive rebound by N. Bjelica,2,0
5,1,10:56.0,,Shooting foul by G. Antetokounmpo (drawn by H. Giles),2,0
6,1,10:56.0,,H. Giles makes free throw 1 of 2,2,1
7,1,10:56.0,,H. Giles makes free throw 2 of 2,2,2
8,1,10:47.0,,Violation by Team (kicked ball),2,2
9,1,10:44.0,G. Antetokounmpo misses 2-pt dunk from 2 ft,,2,2
10,1,10:41.0,,Defensive rebound by D. Fox,2,2
11,1,10:38.0,,D. Fox misses 3-pt jump shot from 26 ft,2,2
12,1,10:33.0,Defensive rebound by K. Middleton,,2,2
13,1,10:26.0,G. Antetokounmpo misses 2-pt jump shot from 16 ft,,2,2
14,1,10:24.0,,Defensive rebound by N. Bjelica,2,2
15,1,10:16.0,,B. Hield makes 2-pt jump shot from 12 ft,2,4
16,1,10:00.0,G. Antetokounmpo makes 3-pt jump shot from 25 ft (assist by W. Matthews),,5,4
17,1,9:48.0,,H. Barnes misses 3-pt jump shot from 26 ft,5,4
18,1,9:44.0,Defensive rebound by G. Antetokounmpo,,5,4
19,1,9:37.0,W. Matthews misses 3-pt jump shot from 28 ft,,5,4
20,1,9:33.0,,Defensive rebound by N. Bjelica,5,4
21,1,9:29.0,,H. Barnes makes 2-pt layup from 2 ft (assist by D. Fox),5,6
22,1,9:19.0,B. Lopez misses 3-pt jump shot from 30 ft,,5,6
23,1,9:13.0,,Defensive rebound by H. Barnes,5,6
24,1,9:06.0,,H. Giles makes 2-pt layup from 3 ft (assist by H. Barnes),5,8
25,1,8:46.0,Turnover by G. Antetokounmpo (bad pass; steal by D. Fox),,5,8
26,1,8:43.0,,D. Fox makes 2-pt layup from 2 ft,5,10
27,1,8:22.0,W. Matthews misses 3-pt jump shot from 25 ft,,5,10
28,1,8:20.0,,Defensive rebound by H. Giles,5,10
29,1,8:14.0,,H. Barnes misses 3-pt jump shot from 23 ft,5,10
30,1,8:10.0,Defensive rebound by W. Matthews,,5,10
31,1,8:05.0,Turnover by K. Middleton (lost ball; steal by D. Fox),,5,10
32,1,8:04.0,,Personal take foul by K. Middleton (drawn by D. Fox),5,10
33,1,7:57.0,,Offensive foul by H. Giles (drawn by W. Matthews),5,10
34,1,7:57.0,,Turnover by H. Giles (offensive foul),5,10
35,1,7:46.0,B. Lopez makes 2-pt layup from 2 ft (assist by E. Bledsoe),,7,10
36,1,7:38.0,,D. Fox makes 2-pt layup from 2 ft,7,12
37,1,7:23.0,E. Bledsoe makes 3-pt jump shot from 24 ft (assist by W. Matthews),,10,12
38,1,7:01.0,,H. Giles misses 2-pt jump shot from 20 ft,10,12
39,1,6:58.0,Defensive rebound by E. Bledsoe,,10,12
40,1,6:53.0,W. Matthews makes 2-pt layup from 2 ft (assist by E. Bledsoe),,12,12
41,1,6:45.0,,Turnover by D. Fox (lost ball; steal by E. Bledsoe),12,12
42,1,6:42.0,E. Bledsoe makes 2-pt dunk from 1 ft (assist by K. Middleton),,14,12
43,1,6:42.0,,Sacramento full timeout,14,12
44,1,6:42.0,P. Connaughton enters the game for G. Antetokounmpo,,14,12
45,1,6:42.0,,T. Ariza enters the game for H. Barnes,14,12
46,1,6:29.0,,B. Hield misses 3-pt jump shot from 26 ft,14,12
47,1,6:26.0,Defensive rebound by K. Middleton,,14,12
48,1,6:10.0,E. Bledsoe makes 2-pt jump shot from 10 ft,,16,12
49,1,6:02.0,,T. Ariza misses 3-pt jump shot from 25 ft,16,12
50,1,6:00.0,Defensive rebound by K. Middleton,,16,12
51,1,5:54.0,E. Bledsoe makes 2-pt layup from 2 ft,,18,12
52,1,5:34.0,,B. Hield makes 2-pt jump shot from 13 ft,18,14
53,1,5:24.0,Personal foul by D. Fox (drawn by E. Bledsoe),,18,14
54,1,5:24.0,D. DiVincenzo enters the game for W. Matthews,,18,14
55,1,5:24.0,,D. Dedmon enters the game for D. Fox,18,14
56,1,5:24.0,,C. Joseph enters the game for H. Giles,18,14
57,1,5:17.0,B. Lopez makes 2-pt jump shot from 10 ft (assist by E. Bledsoe),,20,14
58,1,5:05.0,,N. Bjelica misses 3-pt jump shot from 30 ft,20,14
59,1,5:02.0,Defensive rebound by K. Middleton,,20,14
60,1,4:51.0,K. Middleton makes 2-pt layup from 2 ft (assist by E. Bledsoe),,22,14
61,1,4:40.0,,C. Joseph misses 2-pt jump shot from 7 ft,22,14
62,1,4:37.0,Defensive rebound by K. Middleton,,22,14
63,1,4:25.0,B. Lopez misses 3-pt jump shot from 30 ft,,22,14
64,1,4:21.0,Offensive rebound by P. Connaughton,,22,14
65,1,4:19.0,Turnover by P. Connaughton (bad pass; steal by T. Ariza),,22,14
66,1,4:14.0,,T. Ariza makes 2-pt layup from 3 ft (assist by B. Hield),22,16
67,1,3:56.0,E. Bledsoe makes 2-pt layup from 2 ft,,24,16
68,1,3:48.0,,Offensive foul by D. Dedmon (drawn by P. Connaughton),24,16
69,1,3:48.0,,Turnover by D. Dedmon (offensive foul),24,16
70,1,3:48.0,G. Hill enters the game for E. Bledsoe,,24,16
71,1,3:48.0,R. Lopez enters the game for B. Lopez,,24,16
72,1,3:40.0,Shooting foul by T. Ariza (drawn by K. Middleton),,24,16
73,1,3:40.0,K. Middleton misses free throw 1 of 3,,24,16
74,1,3:40.0,Offensive rebound by Team,,24,16
75,1,3:40.0,K. Middleton makes free throw 2 of 3,,25,16
76,1,3:40.0,K. Middleton makes free throw 3 of 3,,26,16
77,1,3:22.0,,D. Dedmon misses 3-pt jump shot from 26 ft,26,16
78,1,3:19.0,Defensive rebound by P. Connaughton,,26,16
79,1,3:15.0,D. DiVincenzo makes 3-pt jump shot from 24 ft (assist by K. Middleton),,29,16
80,1,3:14.0,,Sacramento full timeout,29,16
81,1,3:14.0,G. Antetokounmpo enters the game for K. Middleton,,29,16
