,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,MEMPHIS_ACTION,LA CLIPPERS_SCORE,MEMPHIS_SCORE
0,1,11:35.0,,Shooting foul by M. Harkless (drawn by J. Jackson),0,0
1,1,11:35.0,,J. Jackson makes free throw 1 of 3,0,1
2,1,11:35.0,,J. Jackson misses free throw 2 of 3,0,1
3,1,11:35.0,,Offensive rebound by Team,0,1
4,1,11:35.0,,J. Jackson makes free throw 3 of 3,0,2
5,1,11:24.0,Personal foul by J. Crowder (drawn by P. George),,0,2
6,1,11:17.0,P. George makes 2-pt jump shot from 14 ft (assist by P. Beverley),,2,2
7,1,11:11.0,,Personal foul by P. George (drawn by J. Crowder),2,2
8,1,11:01.0,,J. Jackson misses 3-pt jump shot from 24 ft,2,2
9,1,11:01.0,,Offensive rebound by Team,2,2
10,1,10:55.0,,J. Valančiūnas makes 2-pt jump shot from 10 ft (assist by J. Morant),2,4
11,1,10:42.0,I. Zubac misses 2-pt jump shot from 16 ft,,2,4
12,1,10:40.0,,Defensive rebound by J. Jackson,2,4
13,1,10:33.0,,J. Crowder makes 2-pt layup from 1 ft (assist by J. Valančiūnas),2,6
14,1,10:26.0,P. George misses 3-pt jump shot from 25 ft,,2,6
15,1,10:23.0,,Defensive rebound by J. Valančiūnas,2,6
16,1,10:16.0,,J. Valančiūnas makes 3-pt jump shot from 25 ft (assist by J. Morant),2,9
17,1,10:15.0,LA Clippers full timeout,,2,9
18,1,10:03.0,M. Harkless misses 3-pt jump shot from 26 ft,,2,9
19,1,9:59.0,,Defensive rebound by J. Valančiūnas,2,9
20,1,9:46.0,,Turnover by J. Jackson (bad pass; steal by I. Zubac),2,9
21,1,9:41.0,P. George makes 2-pt layup from 1 ft (assist by P. Beverley),,4,9
22,1,9:28.0,,D. Brooks misses 2-pt layup from 3 ft,4,9
23,1,9:25.0,Defensive rebound by I. Zubac,,4,9
24,1,9:20.0,P. George makes 2-pt jump shot from 7 ft,,6,9
25,1,9:03.0,,J. Valančiūnas misses 3-pt jump shot from 24 ft,6,9
26,1,9:01.0,Defensive rebound by M. Harkless,,6,9
27,1,8:50.0,P. George makes 2-pt jump shot from 1 ft,,8,9
28,1,8:36.0,,J. Valančiūnas makes 2-pt dunk at rim (assist by J. Morant),8,11
29,1,8:18.0,P. George misses 3-pt jump shot from 23 ft,,8,11
30,1,8:14.0,Offensive rebound by I. Zubac,,8,11
31,1,8:13.0,I. Zubac makes 2-pt layup from 2 ft,,10,11
32,1,7:52.0,,J. Jackson makes 2-pt hook shot from 7 ft (assist by D. Brooks),10,13
33,1,7:39.0,M. Harkless makes 3-pt jump shot from 26 ft (assist by P. Beverley),,13,13
34,1,7:24.0,,Turnover by J. Valančiūnas (lost ball; steal by P. Beverley),13,13
35,1,7:00.0,P. George misses 3-pt jump shot from 25 ft,,13,13
36,1,6:57.0,,Defensive rebound by J. Crowder,13,13
37,1,6:51.0,,J. Crowder misses 3-pt jump shot from 26 ft,13,13
38,1,6:47.0,Defensive rebound by P. Beverley,,13,13
39,1,6:43.0,I. Zubac makes 2-pt layup from 1 ft (assist by P. Beverley),,15,13
40,1,6:43.0,,Memphis full timeout,15,13
41,1,6:43.0,L. Williams enters the game for P. George,,15,13
42,1,6:43.0,,G. Allen enters the game for D. Brooks,15,13
43,1,6:43.0,,T. Jones enters the game for J. Morant,15,13
44,1,6:33.0,,J. Jackson misses 2-pt layup from 1 ft (block by M. Harkless),15,13
45,1,6:33.0,,Offensive rebound by J. Jackson,15,13
46,1,6:33.0,,J. Jackson makes 2-pt layup at rim,15,15
47,1,6:33.0,,Shooting foul by I. Zubac (drawn by J. Jackson),15,15
48,1,6:33.0,,J. Jackson makes free throw 1 of 1,15,16
49,1,6:20.0,I. Zubac makes 2-pt layup from 2 ft (assist by L. Williams),,17,16
50,1,6:06.0,,J. Crowder misses 2-pt layup from 3 ft (block by I. Zubac),17,16
51,1,6:02.0,Defensive rebound by R. McGruder,,17,16
52,1,5:55.0,Turnover by L. Williams (bad pass; steal by J. Valančiūnas),,17,16
53,1,5:51.0,,T. Jones misses 2-pt layup from 2 ft (block by P. Beverley),17,16
54,1,5:47.0,Defensive rebound by R. McGruder,,17,16
55,1,5:42.0,P. Beverley misses 2-pt jump shot from 11 ft,,17,16
56,1,5:41.0,,Defensive rebound by Team,17,16
57,1,5:22.0,,J. Jackson misses 2-pt hook shot from 4 ft,17,16
58,1,5:19.0,,Offensive rebound by J. Valančiūnas,17,16
59,1,5:19.0,,J. Valančiūnas makes 2-pt layup at rim,17,18
60,1,5:09.0,L. Williams misses 2-pt jump shot from 13 ft,,17,18
61,1,5:08.0,Offensive rebound by Team,,17,18
62,1,5:08.0,J. Green enters the game for P. Beverley,,17,18
63,1,5:08.0,M. Harrell enters the game for M. Harkless,,17,18
64,1,5:08.0,T. Mann enters the game for I. Zubac,,17,18
65,1,5:08.0,,B. Clarke enters the game for J. Valančiūnas,17,18
66,1,5:01.0,L. Williams misses 2-pt jump shot from 19 ft,,17,18
67,1,4:58.0,,Defensive rebound by B. Clarke,17,18
68,1,4:41.0,,Turnover by T. Jones (bad pass; steal by R. McGruder),17,18
69,1,4:34.0,R. McGruder misses 3-pt jump shot from 23 ft,,17,18
70,1,4:31.0,,Defensive rebound by J. Crowder,17,18
71,1,4:22.0,,B. Clarke misses 2-pt jump shot from 12 ft,17,18
72,1,4:20.0,Defensive rebound by J. Green,,17,18
73,1,4:10.0,R. McGruder makes 2-pt jump shot from 8 ft (assist by L. Williams),,19,18
74,1,4:02.0,,J. Jackson makes 3-pt jump shot from 26 ft (assist by G. Allen),19,21
75,1,3:50.0,Shooting foul by G. Allen (drawn by L. Williams),,19,21
76,1,3:50.0,L. Williams misses free throw 1 of 3,,19,21
77,1,3:50.0,Offensive rebound by Team,,19,21
78,1,3:50.0,L. Williams makes free throw 2 of 3,,20,21
79,1,3:50.0,J. Robinson enters the game for R. McGruder,,20,21
80,1,3:50.0,,M. Guduric enters the game for J. Crowder,20,21
81,1,3:50.0,L. Williams makes free throw 3 of 3,,21,21
82,1,3:34.0,,G. Allen makes 2-pt jump shot from 7 ft (assist by T. Jones),21,23
83,1,3:21.0,M. Harrell makes 2-pt layup from 2 ft (assist by J. Green),,23,23
84,1,3:21.0,Shooting foul by B. Clarke (drawn by M. Harrell),,23,23
85,1,3:21.0,M. Harrell makes free throw 1 of 1,,24,23
86,1,3:13.0,,Turnover by B. Clarke (bad pass),24,23
87,1,3:00.0,Shooting foul by J. Jackson (drawn by T. Mann),,24,23
88,1,3:00.0,T. Mann makes free throw 1 of 2,,25,23
89,1,3:00.0,T. Mann makes free throw 2 of 2,,26,23
90,1,2:39.0,,G. Allen misses 3-pt jump shot from 29 ft,26,23
91,1,2:36.0,Defensive rebound by J. Robinson,,26,23
92,1,2:19.0,J. Green misses 2-pt layup from 1 ft (block by J. Jackson),,26,23
93,1,2:16.0,,Defensive rebound by B. Clarke,26,23
94,1,2:14.0,,G. Allen misses 2-pt layup from 1 ft,26,23
95,1,2:14.0,,Offensive rebound by Team,26,23
96,1,2:14.0,Loose ball foul by J. Green (drawn by M. Guduric),,26,23
97,1,2:14.0,,J. Valančiūnas enters the game for J. Jackson,26,23
98,1,2:08.0,,M. Guduric misses 3-pt jump shot from 26 ft,26,23
99,1,2:04.0,Defensive rebound by J. Green,,26,23
100,1,1:57.0,M. Harrell makes 2-pt layup from 3 ft (assist by L. Williams),,28,23
101,1,1:42.0,,G. Allen misses 2-pt hook shot from 9 ft,28,23
102,1,1:37.0,,Offensive rebound by J. Valančiūnas,28,23
103,1,1:37.0,,J. Valančiūnas makes 2-pt layup at rim,28,25
104,1,1:31.0,Shooting foul by M. Guduric (drawn by L. Williams),,28,25
105,1,1:31.0,L. Williams makes free throw 1 of 2,,29,25
106,1,1:31.0,,D. Brooks enters the game for G. Allen,29,25
107,1,1:31.0,,J. Morant enters the game for T. Jones,29,25
108,1,1:31.0,L. Williams makes free throw 2 of 2,,30,25
109,1,1:23.0,,Turnover by D. Brooks (bad pass; steal by J. Green),30,25
110,1,1:10.0,M. Harrell misses 2-pt jump shot from 10 ft (block by J. Valančiūnas),,30,25
111,1,1:07.0,,Defensive rebound by J. Valančiūnas,30,25
112,1,1:05.0,,M. Guduric makes 2-pt layup from 1 ft (assist by J. Morant),30,27
113,1,0:42.0,M. Harrell makes 2-pt layup from 2 ft (assist by L. Williams),,32,27
114,1,0:38.0,,Personal foul by T. Mann (drawn by M. Guduric),32,27
115,1,0:38.0,,M. Guduric makes free throw 1 of 2,32,28
116,1,0:38.0,,M. Guduric makes free throw 2 of 2,32,29
117,1,0:31.0,L. Williams makes 3-pt jump shot from 26 ft,,35,29
118,1,0:09.0,,B. Clarke makes 2-pt layup from 2 ft,35,31
119,1,0:00.0,L. Williams misses 3-pt jump shot from 27 ft,,35,31
120,1,0:00.0,Offensive rebound by Team,,35,31
121,2,11:52.0,T. Mann misses 3-pt jump shot from 22 ft,,35,31
122,2,11:49.0,,Defensive rebound by J. Morant,35,31
123,2,11:38.0,,Turnover by J. Morant (lost ball; steal by T. Mann),35,31
124,2,11:34.0,T. Mann makes 2-pt layup from 1 ft,,37,31
125,2,11:15.0,,D. Brooks makes 2-pt jump shot from 11 ft (assist by J. Valančiūnas),37,33
126,2,11:04.0,Turnover by L. Williams (bad pass; steal by M. Guduric),,37,33
127,2,11:00.0,,J. Valančiūnas makes 2-pt dunk at rim (assist by J. Morant),37,35
128,2,10:45.0,M. Harrell misses 2-pt hook shot from 4 ft,,37,35
129,2,10:43.0,,Defensive rebound by S. Hill,37,35
130,2,10:33.0,,Turnover by M. Guduric (traveling),37,35
131,2,10:33.0,P. George enters the game for T. Mann,,37,35
132,2,10:21.0,J. Robinson misses 2-pt layup from 4 ft (block by J. Morant),,37,35
133,2,10:21.0,Offensive rebound by Team,,37,35
134,2,10:21.0,,J. Crowder enters the game for M. Guduric,37,35
135,2,10:19.0,L. Williams misses 2-pt jump shot from 15 ft,,37,35
136,2,10:14.0,,Defensive rebound by S. Hill,37,35
137,2,10:01.0,,J. Crowder makes 2-pt jump shot from 20 ft,37,37
138,2,9:40.0,Turnover by M. Harrell (bad pass; steal by S. Hill),,37,37
