,QUARTER,TIME_REMAINING,TORONTO_ACTION,LA LAKERS_ACTION,TORONTO_SCORE,LA LAKERS_SCORE
0,1,11:53.0,,Turnover by L. James (bad pass; steal by F. VanVleet),0,0
1,1,11:34.0,M. Gasol misses 3-pt jump shot from 28 ft,,0,0
2,1,11:30.0,,Defensive rebound by A. Bradley,0,0
3,1,11:24.0,,A. Bradley makes 3-pt jump shot from 25 ft (assist by L. James),0,3
4,1,11:04.0,Turnover by M. Gasol (bad pass),,0,3
5,1,10:41.0,,J. McGee misses 2-pt layup from 3 ft,0,3
6,1,10:38.0,Defensive rebound by F. VanVleet,,0,3
7,1,10:29.0,P. Siakam misses 3-pt jump shot from 27 ft,,0,3
8,1,10:25.0,,Defensive rebound by J. McGee,0,3
9,1,10:14.0,,Turnover by A. Davis (traveling),0,3
10,1,9:54.0,M. Gasol makes 2-pt hook shot from 7 ft,,2,3
11,1,9:37.0,,Turnover by A. Davis (bad pass; steal by F. VanVleet),2,3
12,1,9:32.0,P. Siakam misses 3-pt jump shot from 25 ft,,2,3
13,1,9:28.0,,Defensive rebound by A. Davis,2,3
14,1,9:26.0,,D. Green misses 3-pt jump shot from 28 ft,2,3
15,1,9:24.0,Defensive rebound by Team,,2,3
16,1,9:24.0,,Loose ball foul by J. McGee (drawn by M. Gasol),2,3
17,1,9:12.0,P. Siakam misses 2-pt jump shot from 9 ft (block by A. Davis),,2,3
18,1,9:11.0,Offensive rebound by M. Gasol,,2,3
19,1,9:11.0,Turnover by M. Gasol (step out of bounds),,2,3
20,1,9:02.0,,A. Bradley makes 2-pt layup from 2 ft (assist by A. Davis),2,5
21,1,8:52.0,Shooting foul by A. Bradley (drawn by F. VanVleet),,2,5
22,1,8:52.0,F. VanVleet misses free throw 1 of 2,,2,5
23,1,8:52.0,Offensive rebound by Team,,2,5
24,1,8:52.0,F. VanVleet makes free throw 2 of 2,,3,5
25,1,8:43.0,,A. Bradley makes 2-pt jump shot from 18 ft (assist by L. James),3,7
26,1,8:29.0,Turnover by F. VanVleet (lost ball; steal by A. Bradley),,3,7
27,1,8:25.0,,Shooting foul by O. Anunoby (drawn by L. James),3,7
28,1,8:25.0,,L. James misses free throw 1 of 2,3,7
29,1,8:25.0,,Offensive rebound by Team,3,7
30,1,8:25.0,,L. James makes free throw 2 of 2,3,8
31,1,8:10.0,Turnover by M. Gasol (traveling),,3,8
32,1,7:51.0,,J. McGee makes 2-pt dunk from 1 ft,3,10
33,1,7:36.0,O. Anunoby misses 3-pt jump shot from 23 ft,,3,10
34,1,7:31.0,,Defensive rebound by L. James,3,10
35,1,7:28.0,,D. Green misses 3-pt jump shot from 25 ft,3,10
36,1,7:27.0,Defensive rebound by Team,,3,10
37,1,7:08.0,N. Powell makes 2-pt layup from 2 ft (assist by F. VanVleet),,5,10
38,1,6:52.0,,Personal foul by O. Anunoby (drawn by J. McGee),5,10
39,1,6:52.0,,LA Lakers full timeout,5,10
40,1,6:45.0,,A. Davis makes 2-pt layup from 3 ft (assist by L. James),5,12
41,1,6:29.0,N. Powell misses 2-pt layup from 4 ft (block by D. Green),,5,12
42,1,6:28.0,,Defensive rebound by D. Green,5,12
43,1,6:13.0,,L. James makes 2-pt layup from 1 ft (assist by A. Davis),5,14
44,1,5:57.0,Shooting foul by J. McGee (drawn by N. Powell),,5,14
45,1,5:57.0,N. Powell makes free throw 1 of 2,,6,14
46,1,5:57.0,N. Powell makes free throw 2 of 2,,7,14
47,1,5:46.0,,J. McGee misses 2-pt jump shot from 7 ft,7,14
48,1,5:40.0,,Offensive rebound by J. McGee,7,14
49,1,5:40.0,,J. McGee makes 2-pt layup from 1 ft,7,16
50,1,5:26.0,N. Powell makes 3-pt jump shot from 26 ft (assist by M. Gasol),,10,16
51,1,5:15.0,,A. Bradley makes 2-pt jump shot from 10 ft (assist by L. James),10,18
52,1,5:12.0,Personal foul by J. McGee (drawn by F. VanVleet),,10,18
53,1,5:12.0,C. Boucher enters the game for O. Anunoby,,10,18
54,1,5:12.0,,K. Kuzma enters the game for J. McGee,10,18
55,1,4:55.0,P. Siakam makes 2-pt layup from 2 ft,,12,18
56,1,4:47.0,,A. Davis makes 2-pt dunk from 1 ft (assist by L. James),12,20
57,1,4:35.0,F. VanVleet makes 3-pt jump shot from 26 ft,,15,20
58,1,4:23.0,,L. James makes 2-pt layup from 2 ft,15,22
59,1,4:15.0,Toronto full timeout,,15,22
60,1,4:07.0,P. Siakam misses 2-pt jump shot from 19 ft,,15,22
61,1,4:04.0,,Defensive rebound by L. James,15,22
62,1,3:58.0,,L. James misses 2-pt layup from 2 ft,15,22
63,1,3:52.0,,Offensive rebound by A. Davis,15,22
64,1,3:52.0,,A. Davis makes 2-pt layup from 1 ft,15,24
65,1,3:42.0,N. Powell misses 2-pt jump shot from 19 ft,,15,24
66,1,3:39.0,,Defensive rebound by L. James,15,24
67,1,3:38.0,,Personal foul by F. VanVleet (drawn by A. Davis),15,24
68,1,3:38.0,T. Davis enters the game for N. Powell,,15,24
