,QUARTER,TIME_REMAINING,NEW YORK_ACTION,ATLANTA_ACTION,NEW YORK_SCORE,ATLANTA_SCORE
0,1,11:41.0,,K. Huerter makes 2-pt jump shot from 11 ft (assist by J. Collins),0,2
1,1,11:24.0,R. Barrett misses 2-pt jump shot from 18 ft,,0,2
2,1,11:22.0,Offensive rebound by T. Gibson,,0,2
3,1,11:20.0,T. Gibson makes 2-pt hook shot from 2 ft,,2,2
4,1,11:02.0,,J. Collins misses 2-pt layup from 3 ft,2,2
5,1,10:58.0,,Offensive rebound by J. Collins,2,2
6,1,10:58.0,,J. Collins misses 2-pt dunk from 1 ft,2,2
7,1,10:57.0,Defensive rebound by T. Gibson,,2,2
8,1,10:44.0,J. Randle misses 3-pt jump shot from 26 ft,,2,2
9,1,10:42.0,,Defensive rebound by K. Huerter,2,2
10,1,10:32.0,,D. Hunter misses 2-pt jump shot from 21 ft,2,2
11,1,10:28.0,,Offensive rebound by D. Jones,2,2
12,1,10:27.0,,T. Young makes 3-pt jump shot from 26 ft (assist by J. Collins),2,5
13,1,10:05.0,E. Payton misses 2-pt jump shot from 13 ft,,2,5
14,1,10:02.0,,Defensive rebound by D. Jones,2,5
15,1,10:01.0,,Personal foul by R. Barrett (drawn by J. Collins),2,5
16,1,10:01.0,,J. Collins makes free throw 1 of 2,2,6
17,1,10:01.0,,J. Collins makes free throw 2 of 2,2,7
18,1,9:45.0,J. Randle makes 2-pt jump shot from 19 ft (assist by E. Payton),,4,7
19,1,9:23.0,,J. Collins makes 2-pt layup from 4 ft (assist by K. Huerter),4,9
20,1,9:00.0,R. Barrett misses 2-pt jump shot from 11 ft,,4,9
21,1,8:56.0,,Defensive rebound by D. Jones,4,9
22,1,8:49.0,,T. Young misses 2-pt jump shot from 10 ft,4,9
23,1,8:45.0,Defensive rebound by J. Randle,,4,9
24,1,8:39.0,R. Bullock makes 3-pt jump shot from 24 ft (assist by R. Barrett),,7,9
25,1,8:19.0,,K. Huerter misses 2-pt jump shot from 17 ft,7,9
26,1,8:17.0,Defensive rebound by T. Gibson,,7,9
27,1,8:12.0,R. Bullock misses 3-pt jump shot from 26 ft,,7,9
28,1,8:12.0,,Defensive rebound by J. Collins,7,9
29,1,8:03.0,,D. Hunter misses 3-pt jump shot from 22 ft,7,9
30,1,7:59.0,Defensive rebound by R. Bullock,,7,9
31,1,7:51.0,R. Barrett misses 2-pt jump shot from 6 ft,,7,9
32,1,7:48.0,Offensive rebound by J. Randle,,7,9
33,1,7:46.0,J. Randle misses 2-pt layup from 2 ft,,7,9
34,1,7:44.0,Offensive rebound by J. Randle,,7,9
35,1,7:41.0,J. Randle makes 2-pt layup from 2 ft,,9,9
36,1,7:26.0,,T. Young misses 2-pt jump shot from 20 ft,9,9
37,1,7:25.0,Defensive rebound by Team,,9,9
38,1,7:25.0,,Loose ball foul by D. Jones (drawn by T. Gibson),9,9
39,1,7:25.0,,D. Dedmon enters the game for D. Jones,9,9
40,1,7:11.0,R. Barrett misses 2-pt layup from 2 ft (block by D. Dedmon),,9,9
41,1,7:04.0,Offensive rebound by E. Payton,,9,9
42,1,7:04.0,E. Payton makes 2-pt layup at rim,,11,9
43,1,6:58.0,,D. Dedmon makes 2-pt dunk from 1 ft (assist by T. Young),11,11
44,1,6:45.0,R. Bullock makes 3-pt jump shot from 26 ft (assist by E. Payton),,14,11
45,1,6:28.0,,D. Dedmon makes 2-pt layup from 1 ft (assist by T. Young),14,13
46,1,6:22.0,New York full timeout,,14,13
47,1,6:22.0,F. Ntilikina enters the game for R. Barrett,,14,13
48,1,6:22.0,M. Robinson enters the game for T. Gibson,,14,13
49,1,6:12.0,J. Randle makes 2-pt jump shot from 13 ft,,16,13
50,1,5:44.0,,Turnover by D. Dedmon (bad pass; steal by F. Ntilikina),16,13
51,1,5:40.0,E. Payton misses 2-pt layup from 1 ft (block by D. Dedmon),,16,13
52,1,5:38.0,,Defensive rebound by J. Collins,16,13
53,1,5:36.0,,T. Young misses 3-pt jump shot from 26 ft,16,13
54,1,5:36.0,Defensive rebound by Team,,16,13
55,1,5:26.0,J. Randle makes 2-pt jump shot from 6 ft,,18,13
56,1,5:10.0,,K. Huerter misses 3-pt jump shot from 23 ft,18,13
57,1,5:08.0,Defensive rebound by J. Randle,,18,13
58,1,5:01.0,R. Bullock makes 2-pt jump shot from 22 ft (assist by J. Randle),,20,13
59,1,4:46.0,,D. Dedmon misses 3-pt jump shot from 26 ft,20,13
60,1,4:43.0,Defensive rebound by J. Randle,,20,13
61,1,4:33.0,R. Bullock makes 3-pt jump shot from 23 ft (assist by F. Ntilikina),,23,13
62,1,4:17.0,,T. Young misses 2-pt jump shot from 12 ft,23,13
63,1,4:14.0,Defensive rebound by J. Randle,,23,13
64,1,4:09.0,Turnover by J. Randle (out of bounds lost ball),,23,13
65,1,4:09.0,,J. Teague enters the game for T. Young,23,13
66,1,3:55.0,,D. Dedmon misses 2-pt hook shot from 12 ft,23,13
67,1,3:53.0,Defensive rebound by J. Randle,,23,13
68,1,3:47.0,J. Randle misses 2-pt layup from 2 ft,,23,13
69,1,3:43.0,,Defensive rebound by D. Dedmon,23,13
70,1,3:39.0,,J. Collins makes 2-pt layup from 1 ft (assist by J. Teague),23,15
71,1,3:26.0,R. Bullock misses 3-pt jump shot from 29 ft,,23,15
72,1,3:24.0,,Defensive rebound by D. Hunter,23,15
73,1,3:14.0,,J. Collins misses 3-pt jump shot from 26 ft,23,15
74,1,3:10.0,Defensive rebound by E. Payton,,23,15
75,1,3:03.0,E. Payton misses 2-pt layup from 3 ft,,23,15
76,1,2:59.0,Offensive rebound by M. Robinson,,23,15
77,1,2:59.0,M. Robinson misses 2-pt layup at rim,,23,15
78,1,2:58.0,,Defensive rebound by D. Dedmon,23,15
79,1,2:40.0,,D. Dedmon misses 2-pt jump shot from 12 ft,23,15
80,1,2:37.0,Defensive rebound by J. Randle,,23,15
81,1,2:32.0,J. Randle makes 2-pt jump shot from 6 ft,,25,15
82,1,2:32.0,Shooting foul by J. Collins (drawn by J. Randle),,25,15
83,1,2:32.0,,Atlanta full timeout,25,15
84,1,2:32.0,K. Knox enters the game for R. Bullock,,25,15
85,1,2:32.0,D. Smith enters the game for E. Payton,,25,15
