,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,DENVER_ACTION,BROOKLYN_SCORE,DENVER_SCORE
0,1,11:42.0,K. Irving makes 2-pt jump shot from 15 ft,,2,0
1,1,11:28.0,,Personal foul by K. Irving (drawn by N. Jokić),2,0
2,1,11:23.0,,J. Murray misses 2-pt layup from 1 ft,2,0
3,1,11:20.0,Defensive rebound by T. Prince,,2,0
4,1,11:18.0,K. Irving makes 3-pt jump shot from 25 ft,,5,0
5,1,11:01.0,,W. Barton makes 2-pt jump shot from 20 ft (assist by N. Jokić),5,2
6,1,10:45.0,G. Temple misses 3-pt jump shot from 23 ft,,5,2
7,1,10:43.0,,Defensive rebound by N. Jokić,5,2
8,1,10:26.0,,J. Murray misses 2-pt layup from 3 ft,5,2
9,1,10:26.0,Defensive rebound by Team,,5,2
10,1,10:02.0,T. Prince misses 3-pt jump shot from 24 ft,,5,2
11,1,9:56.0,,Defensive rebound by G. Harris,5,2
12,1,9:49.0,,P. Millsap makes 2-pt jump shot from 10 ft,5,4
13,1,9:35.0,Personal foul by N. Jokić (drawn by J. Allen),,5,4
14,1,9:26.0,J. Allen makes 2-pt dunk from 2 ft (assist by K. Irving),,7,4
15,1,9:26.0,Shooting foul by W. Barton (drawn by J. Allen),,7,4
16,1,9:26.0,J. Allen makes free throw 1 of 1,,8,4
17,1,9:08.0,,P. Millsap makes 2-pt jump shot from 13 ft (assist by G. Harris),8,6
18,1,8:55.0,J. Harris makes 2-pt layup from 2 ft (assist by K. Irving),,10,6
19,1,8:44.0,,W. Barton makes 2-pt jump shot from 2 ft,10,8
20,1,8:33.0,K. Irving misses 3-pt jump shot from 25 ft,,10,8
21,1,8:27.0,,Defensive rebound by P. Millsap,10,8
22,1,8:20.0,,G. Harris makes 3-pt jump shot from 23 ft (assist by P. Millsap),10,11
23,1,7:53.0,T. Prince makes 2-pt layup from 2 ft,,12,11
24,1,7:33.0,,P. Millsap makes 3-pt jump shot from 26 ft (assist by G. Harris),12,14
25,1,7:30.0,Brooklyn full timeout,,12,14
26,1,7:13.0,K. Irving misses 2-pt jump shot from 16 ft,,12,14
27,1,7:10.0,,Defensive rebound by J. Murray,12,14
28,1,7:01.0,,W. Barton makes 2-pt jump shot from 17 ft (assist by N. Jokić),12,16
29,1,6:44.0,G. Temple misses 3-pt jump shot from 24 ft,,12,16
30,1,6:42.0,,Defensive rebound by G. Harris,12,16
31,1,6:35.0,,P. Millsap misses 2-pt layup from 3 ft,12,16
