,QUARTER,TIME_REMAINING,TORONTO_ACTION,DALLAS_ACTION,TORONTO_SCORE,DALLAS_SCORE
0,1,11:38.0,P. Siakam misses 2-pt jump shot from 21 ft,,0,0
1,1,11:35.0,,Defensive rebound by S. Curry,0,0
2,1,11:18.0,,D. Finney-Smith misses 3-pt jump shot from 23 ft,0,0
3,1,11:14.0,Defensive rebound by N. Powell,,0,0
4,1,11:11.0,Shooting foul by S. Curry (drawn by N. Powell),,0,0
5,1,11:11.0,N. Powell makes free throw 1 of 2,,1,0
6,1,11:11.0,N. Powell makes free throw 2 of 2,,2,0
7,1,10:55.0,,K. Porziņģis misses 3-pt jump shot from 26 ft,2,0
8,1,10:51.0,Defensive rebound by N. Powell,,2,0
9,1,10:39.0,P. Siakam misses 3-pt jump shot from 23 ft,,2,0
10,1,10:34.0,,Defensive rebound by M. Kleber,2,0
11,1,10:30.0,,Turnover by L. Dončić (bad pass; steal by M. Gasol),2,0
12,1,10:22.0,Shooting foul by D. Finney-Smith (drawn by F. VanVleet),,2,0
13,1,10:22.0,F. VanVleet makes free throw 1 of 2,,3,0
14,1,10:22.0,F. VanVleet makes free throw 2 of 2,,4,0
15,1,10:11.0,,L. Dončić makes 3-pt jump shot from 28 ft,4,3
16,1,9:58.0,P. Siakam makes 3-pt jump shot from 23 ft (assist by M. Gasol),,7,3
17,1,9:48.0,,S. Curry misses 3-pt jump shot from 25 ft,7,3
18,1,9:44.0,Defensive rebound by F. VanVleet,,7,3
19,1,9:41.0,N. Powell makes 3-pt jump shot from 25 ft (assist by F. VanVleet),,10,3
20,1,9:39.0,,Dallas full timeout,10,3
21,1,9:21.0,,M. Kleber misses 3-pt jump shot from 23 ft,10,3
22,1,9:19.0,Defensive rebound by M. Gasol,,10,3
23,1,9:11.0,Turnover by N. Powell (bad pass),,10,3
24,1,8:51.0,,M. Kleber misses 3-pt jump shot from 23 ft,10,3
25,1,8:47.0,,Offensive rebound by K. Porziņģis,10,3
26,1,8:45.0,,M. Kleber makes 3-pt jump shot from 25 ft (assist by K. Porziņģis),10,6
27,1,8:33.0,Turnover by P. Siakam (lost ball; steal by L. Dončić),,10,6
28,1,8:25.0,,M. Kleber makes 2-pt layup from 1 ft (assist by L. Dončić),10,8
29,1,8:15.0,F. VanVleet misses 2-pt layup from 4 ft,,10,8
30,1,8:14.0,,Defensive rebound by K. Porziņģis,10,8
31,1,8:04.0,,K. Porziņģis makes 2-pt jump shot from 19 ft (assist by L. Dončić),10,10
32,1,8:04.0,,Shooting foul by P. Siakam (drawn by K. Porziņģis),10,10
33,1,8:04.0,,K. Porziņģis makes free throw 1 of 1,10,11
34,1,7:46.0,M. Gasol misses 2-pt jump shot from 15 ft,,10,11
35,1,7:42.0,,Defensive rebound by M. Kleber,10,11
36,1,7:37.0,,Shooting foul by N. Powell (drawn by L. Dončić),10,11
37,1,7:37.0,,L. Dončić misses free throw 1 of 2,10,11
38,1,7:37.0,,Offensive rebound by Team,10,11
39,1,7:37.0,,L. Dončić makes free throw 2 of 2,10,12
40,1,7:24.0,P. Siakam misses 2-pt jump shot from 12 ft,,10,12
41,1,7:21.0,,Defensive rebound by D. Finney-Smith,10,12
42,1,7:15.0,,L. Dončić misses 3-pt jump shot from 29 ft,10,12
43,1,7:11.0,Defensive rebound by N. Powell,,10,12
44,1,7:10.0,Turnover by N. Powell (palming),,10,12
45,1,6:59.0,,Turnover by S. Curry (out of bounds lost ball),10,12
46,1,6:44.0,F. VanVleet misses 3-pt jump shot from 27 ft,,10,12
47,1,6:39.0,,Defensive rebound by K. Porziņģis,10,12
48,1,6:33.0,,Shooting foul by O. Anunoby (drawn by L. Dončić),10,12
49,1,6:33.0,,L. Dončić misses free throw 1 of 2,10,12
50,1,6:33.0,,Offensive rebound by Team,10,12
51,1,6:33.0,,L. Dončić makes free throw 2 of 2,10,13
52,1,6:10.0,M. Gasol misses 2-pt hook shot from 10 ft,,10,13
53,1,6:08.0,,Defensive rebound by K. Porziņģis,10,13
54,1,5:59.0,,M. Kleber misses 3-pt jump shot from 26 ft,10,13
55,1,5:56.0,,Offensive rebound by K. Porziņģis,10,13
56,1,5:51.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by L. Dončić),10,16
57,1,5:43.0,Toronto full timeout,,10,16
58,1,5:31.0,P. Siakam misses 2-pt jump shot from 9 ft,,10,16
59,1,5:28.0,,Defensive rebound by S. Curry,10,16
60,1,5:15.0,,D. Finney-Smith makes 2-pt layup from 3 ft (assist by L. Dončić),10,18
61,1,5:05.0,M. Gasol makes 3-pt jump shot from 25 ft (assist by P. Siakam),,13,18
62,1,4:53.0,,Turnover by L. Dončić (bad pass),13,18
63,1,4:40.0,F. VanVleet makes 2-pt jump shot from 2 ft (assist by P. Siakam),,15,18
64,1,4:20.0,,L. Dončić makes 2-pt jump shot from 8 ft,15,20
65,1,4:10.0,P. Siakam misses 3-pt jump shot from 26 ft,,15,20
66,1,4:07.0,,Defensive rebound by S. Curry,15,20
67,1,4:03.0,,K. Porziņģis misses 3-pt jump shot from 27 ft,15,20
68,1,3:59.0,Defensive rebound by M. Gasol,,15,20
69,1,3:52.0,Shooting foul by L. Dončić (drawn by P. Siakam),,15,20
70,1,3:52.0,P. Siakam misses free throw 1 of 2,,15,20
71,1,3:52.0,Offensive rebound by Team,,15,20
72,1,3:52.0,T. Davis enters the game for O. Anunoby,,15,20
73,1,3:52.0,R. Hollis-Jefferson enters the game for N. Powell,,15,20
74,1,3:52.0,,D. Powell enters the game for S. Curry,15,20
75,1,3:52.0,,D. Wright enters the game for K. Porziņģis,15,20
76,1,3:52.0,P. Siakam makes free throw 2 of 2,,16,20
77,1,3:38.0,,L. Dončić misses 3-pt jump shot from 29 ft,16,20
78,1,3:37.0,,Offensive rebound by Team,16,20
79,1,3:37.0,,Personal foul by M. Gasol (drawn by D. Powell),16,20
80,1,3:37.0,,T. Hardaway enters the game for D. Finney-Smith,16,20
81,1,3:32.0,,Personal foul by R. Hollis-Jefferson (drawn by D. Powell),16,20
82,1,3:32.0,,D. Powell makes free throw 1 of 2,16,21
83,1,3:32.0,,D. Powell makes free throw 2 of 2,16,22
84,1,3:18.0,F. VanVleet misses 2-pt jump shot from 11 ft,,16,22
85,1,3:14.0,Offensive rebound by R. Hollis-Jefferson,,16,22
86,1,3:14.0,Turnover by R. Hollis-Jefferson (bad pass),,16,22
87,1,3:04.0,,M. Kleber misses 3-pt jump shot from 23 ft,16,22
88,1,3:01.0,Defensive rebound by Team,,16,22
89,1,3:01.0,C. Boucher enters the game for M. Gasol,,16,22
90,1,2:51.0,Turnover by F. VanVleet (bad pass; steal by D. Wright),,16,22
91,1,2:35.0,,L. Dončić makes 2-pt jump shot from 8 ft,16,24
92,1,2:23.0,P. Siakam misses 3-pt jump shot from 25 ft,,16,24
93,1,2:21.0,,Defensive rebound by T. Hardaway,16,24
94,1,2:11.0,,L. Dončić misses 2-pt jump shot from 5 ft,16,24
95,1,2:07.0,Defensive rebound by C. Boucher,,16,24
96,1,2:03.0,R. Hollis-Jefferson misses 2-pt layup from 3 ft,,16,24
97,1,2:01.0,,Defensive rebound by M. Kleber,16,24
98,1,1:59.0,,Personal foul by F. VanVleet (drawn by L. Dončić),16,24
99,1,1:59.0,,L. Dončić misses free throw 1 of 2,16,24
100,1,1:59.0,,Offensive rebound by Team,16,24
101,1,1:59.0,,L. Dončić makes free throw 2 of 2,16,25
102,1,1:45.0,F. VanVleet makes 3-pt jump shot from 25 ft,,19,25
103,1,1:26.0,,Turnover by L. Dončić (bad pass; steal by T. Davis),19,25
104,1,1:21.0,T. Davis misses 3-pt jump shot from 24 ft,,19,25
105,1,1:17.0,,Defensive rebound by D. Wright,19,25
106,1,1:05.0,,Shooting foul by R. Hollis-Jefferson (drawn by L. Dončić),19,25
107,1,1:05.0,,L. Dončić makes free throw 1 of 2,19,26
108,1,1:05.0,O. Anunoby enters the game for P. Siakam,,19,26
109,1,1:05.0,,D. Finney-Smith enters the game for M. Kleber,19,26
110,1,1:05.0,,L. Dončić makes free throw 2 of 2,19,27
111,1,0:55.0,T. Davis misses 3-pt jump shot from 26 ft,,19,27
112,1,0:53.0,,Defensive rebound by L. Dončić,19,27
113,1,0:34.0,,D. Wright makes 3-pt jump shot from 23 ft (assist by D. Powell),19,30
114,1,0:32.0,F. VanVleet makes 3-pt jump shot from 28 ft,,22,30
115,1,0:12.0,,D. Wright misses 3-pt jump shot from 25 ft,22,30
116,1,0:09.0,,Offensive rebound by L. Dončić,22,30
117,1,0:03.0,,L. Dončić makes 2-pt layup from 1 ft,22,32
118,1,0:02.0,Turnover by C. Boucher (bad pass),,22,32
119,1,0:00.0,,D. Finney-Smith misses 2-pt layup from 1 ft,22,32
120,1,0:00.0,,Offensive rebound by Team,22,32
121,2,11:47.0,,T. Hardaway misses 2-pt jump shot from 14 ft,22,32
122,2,11:43.0,Defensive rebound by M. Thomas,,22,32
123,2,11:24.0,O. Anunoby misses 2-pt layup from 3 ft,,22,32
124,2,11:24.0,Offensive rebound by C. Boucher,,22,32
125,2,11:24.0,Shooting foul by D. Powell (drawn by C. Boucher),,22,32
126,2,11:24.0,C. Boucher misses free throw 1 of 2,,22,32
127,2,11:24.0,Offensive rebound by Team,,22,32
128,2,11:24.0,C. Boucher makes free throw 2 of 2,,23,32
129,2,11:08.0,,J. Jackson misses 3-pt jump shot from 23 ft,23,32
130,2,11:04.0,Defensive rebound by T. Davis,,23,32
131,2,10:46.0,T. Davis misses 2-pt layup from 1 ft,,23,32
132,2,10:42.0,Offensive rebound by R. Hollis-Jefferson,,23,32
133,2,10:42.0,R. Hollis-Jefferson makes 2-pt layup at rim,,25,32
134,2,10:31.0,,J. Brunson makes 2-pt jump shot from 16 ft (assist by D. Wright),25,34
135,2,10:11.0,M. Thomas makes 2-pt jump shot from 6 ft (assist by T. Davis),,27,34
136,2,9:54.0,,J. Jackson makes 2-pt jump shot from 7 ft (assist by T. Hardaway),27,36
137,2,9:40.0,T. Davis makes 2-pt jump shot from 5 ft,,29,36
138,2,9:23.0,,D. Wright makes 2-pt layup from 2 ft,29,38
139,2,9:19.0,Turnover by R. Hollis-Jefferson (bad pass; steal by D. Wright),,29,38
140,2,9:16.0,,T. Hardaway misses 3-pt jump shot from 25 ft,29,38
141,2,9:12.0,Defensive rebound by T. Davis,,29,38
142,2,9:04.0,C. Boucher misses 3-pt jump shot from 26 ft,,29,38
143,2,9:01.0,,Defensive rebound by D. Powell,29,38
144,2,8:55.0,,T. Hardaway makes 2-pt jump shot from 19 ft,29,40
145,2,8:38.0,T. Davis misses 3-pt jump shot from 28 ft,,29,40
146,2,8:35.0,,Defensive rebound by Team,29,40
147,2,8:35.0,N. Powell enters the game for O. Anunoby,,29,40
148,2,8:35.0,P. Siakam enters the game for R. Hollis-Jefferson,,29,40
149,2,8:22.0,,J. Jackson misses 2-pt jump shot from 13 ft,29,40
150,2,8:18.0,Defensive rebound by M. Thomas,,29,40
151,2,8:15.0,P. Siakam makes 2-pt jump shot from 7 ft,,31,40
152,2,8:15.0,Shooting foul by J. Jackson (drawn by P. Siakam),,31,40
153,2,8:15.0,P. Siakam misses free throw 1 of 1,,31,40
154,2,8:13.0,,Defensive rebound by J. Jackson,31,40
155,2,8:03.0,,J. Jackson misses 3-pt jump shot from 25 ft,31,40
156,2,8:00.0,Defensive rebound by Team,,31,40
157,2,7:43.0,Personal foul by T. Hardaway (drawn by C. Boucher),,31,40
158,2,7:30.0,P. Siakam makes 3-pt jump shot from 23 ft,,34,40
159,2,7:19.0,,T. Hardaway misses 3-pt jump shot from 23 ft,34,40
160,2,7:15.0,Defensive rebound by N. Powell,,34,40
161,2,7:11.0,P. Siakam misses 3-pt jump shot from 26 ft,,34,40
162,2,7:08.0,Offensive rebound by C. Boucher,,34,40
163,2,7:08.0,C. Boucher makes 2-pt layup at rim,,36,40
164,2,7:08.0,,Dallas full timeout,36,40
165,2,7:08.0,,S. Curry enters the game for J. Brunson,36,40
166,2,7:08.0,,M. Kleber enters the game for J. Jackson,36,40
167,2,7:08.0,,K. Porziņģis enters the game for D. Powell,36,40
168,2,6:47.0,,T. Hardaway misses 2-pt layup from 3 ft (block by C. Boucher),36,40
169,2,6:46.0,,Offensive rebound by Team,36,40
170,2,6:43.0,,Instant Replay (Request: Ruling Stands),36,40
171,2,6:43.0,,Turnover by Team (shot clock),36,40
172,2,6:21.0,N. Powell makes 3-pt jump shot from 26 ft (assist by T. Davis),,39,40
173,2,6:00.0,,K. Porziņģis misses 2-pt jump shot from 9 ft,39,40
174,2,6:00.0,Defensive rebound by N. Powell,,39,40
175,2,5:54.0,N. Powell makes 2-pt jump shot from 7 ft,,41,40
176,2,5:42.0,,D. Wright makes 2-pt layup from 1 ft (assist by T. Hardaway),41,42
177,2,5:21.0,M. Thomas makes 2-pt jump shot from 17 ft (assist by P. Siakam),,43,42
178,2,5:21.0,M. Gasol enters the game for C. Boucher,,43,42
179,2,5:21.0,F. VanVleet enters the game for T. Davis,,43,42
180,2,5:21.0,,L. Dončić enters the game for D. Wright,43,42
181,2,5:12.0,,T. Hardaway makes 2-pt dunk at rim (assist by K. Porziņģis),43,44
182,2,4:58.0,M. Thomas makes 3-pt jump shot from 25 ft (assist by F. VanVleet),,46,44
183,2,4:35.0,,Turnover by L. Dončić (bad pass; steal by P. Siakam),46,44
184,2,4:32.0,N. Powell makes 3-pt jump shot from 26 ft (assist by P. Siakam),,49,44
185,2,4:30.0,,Dallas full timeout,49,44
186,2,4:30.0,,D. Finney-Smith enters the game for T. Hardaway,49,44
187,2,4:14.0,,K. Porziņģis misses 2-pt layup from 5 ft,49,44
188,2,4:10.0,,Offensive rebound by K. Porziņģis,49,44
189,2,4:09.0,,K. Porziņģis misses 2-pt layup from 1 ft,49,44
190,2,4:08.0,,Offensive rebound by K. Porziņģis,49,44
191,2,4:08.0,,K. Porziņģis makes 2-pt layup from 1 ft,49,46
192,2,3:50.0,P. Siakam misses 2-pt layup from 4 ft,,49,46
193,2,3:48.0,,Defensive rebound by L. Dončić,49,46
194,2,3:43.0,,D. Finney-Smith misses 2-pt layup from 3 ft,49,46
195,2,3:39.0,,Offensive rebound by D. Finney-Smith,49,46
196,2,3:39.0,,D. Finney-Smith misses 2-pt layup from 1 ft (block by P. Siakam),49,46
197,2,3:37.0,Defensive rebound by F. VanVleet,,49,46
198,2,3:34.0,P. Siakam makes 2-pt layup from 2 ft (assist by F. VanVleet),,51,46
199,2,3:19.0,,D. Finney-Smith misses 3-pt jump shot from 23 ft,51,46
200,2,3:16.0,Defensive rebound by M. Gasol,,51,46
201,2,3:10.0,Turnover by P. Siakam (bad pass; steal by S. Curry),,51,46
202,2,3:02.0,,K. Porziņģis misses 2-pt layup from 2 ft,51,46
203,2,3:00.0,Defensive rebound by M. Gasol,,51,46
204,2,2:56.0,N. Powell misses 3-pt jump shot from 23 ft,,51,46
205,2,2:52.0,,Defensive rebound by L. Dončić,51,46
206,2,2:43.0,,K. Porziņģis misses 3-pt jump shot from 27 ft,51,46
207,2,2:41.0,,Offensive rebound by Team,51,46
208,2,2:41.0,Loose ball foul by N. Powell (drawn by M. Kleber),,51,46
209,2,2:41.0,R. Hollis-Jefferson enters the game for N. Powell,,51,46
210,2,2:33.0,,S. Curry misses 3-pt jump shot from 25 ft,51,46
211,2,2:31.0,,Offensive rebound by K. Porziņģis,51,46
