,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,PHOENIX_ACTION,PHILADELPHIA_SCORE,PHOENIX_SCORE
0,1,11:59.0,Violation by Team (jump ball),,0,0
1,1,11:49.0,,Turnover by D. Šarić (bad pass; steal by B. Simmons),0,0
2,1,11:44.0,F. Korkmaz misses 3-pt jump shot from 25 ft,,0,0
3,1,11:41.0,,Defensive rebound by D. Šarić,0,0
4,1,11:38.0,,Turnover by D. Šarić (bad pass; steal by B. Simmons),0,0
5,1,11:36.0,B. Simmons makes 2-pt dunk at rim,,2,0
6,1,11:19.0,,D. Booker misses 2-pt jump shot from 14 ft,2,0
7,1,11:19.0,,Offensive rebound by A. Baynes,2,0
8,1,11:14.0,,A. Baynes makes 2-pt layup from 1 ft,2,2
9,1,11:03.0,T. Harris makes 2-pt jump shot from 18 ft,,4,2
10,1,10:38.0,,A. Baynes makes 2-pt hook shot from 7 ft,4,4
11,1,10:29.0,Personal foul by K. Oubre (drawn by B. Simmons),,4,4
12,1,10:18.0,B. Simmons misses 2-pt hook shot from 5 ft,,4,4
13,1,10:17.0,,Defensive rebound by K. Oubre,4,4
14,1,10:11.0,,Turnover by K. Oubre (lost ball; steal by B. Simmons),4,4
15,1,10:06.0,A. Horford makes 2-pt layup from 1 ft (assist by B. Simmons),,6,4
16,1,9:44.0,,D. Šarić misses 2-pt jump shot from 13 ft,6,4
17,1,9:41.0,Defensive rebound by B. Simmons,,6,4
18,1,9:25.0,J. Richardson misses 2-pt jump shot from 12 ft,,6,4
19,1,9:22.0,,Defensive rebound by K. Oubre,6,4
20,1,9:16.0,,K. Oubre misses 3-pt jump shot from 26 ft,6,4
21,1,9:14.0,Defensive rebound by B. Simmons,,6,4
22,1,9:06.0,B. Simmons misses 2-pt layup from 1 ft,,6,4
23,1,9:04.0,Offensive rebound by F. Korkmaz,,6,4
24,1,9:04.0,F. Korkmaz misses 2-pt layup at rim,,6,4
25,1,9:03.0,,Defensive rebound by D. Šarić,6,4
26,1,8:51.0,,R. Rubio makes 2-pt jump shot from 19 ft (assist by A. Baynes),6,6
27,1,8:35.0,J. Richardson makes 2-pt layup at rim,,8,6
28,1,8:20.0,,D. Booker makes 3-pt jump shot from 26 ft (assist by A. Baynes),8,9
29,1,8:09.0,Offensive foul by B. Simmons (drawn by R. Rubio),,8,9
30,1,8:09.0,Turnover by B. Simmons (offensive foul),,8,9
31,1,7:50.0,,K. Oubre makes 2-pt layup from 1 ft (assist by R. Rubio),8,11
32,1,7:27.0,T. Harris makes 3-pt jump shot from 25 ft (assist by A. Horford),,11,11
