,QUARTER,TIME_REMAINING,MIAMI_ACTION,TORONTO_ACTION,MIAMI_SCORE,TORONTO_SCORE
0,1,11:33.0,B. Adebayo misses 2-pt jump shot from 8 ft,,0,0
1,1,11:31.0,,Defensive rebound by P. Siakam,0,0
2,1,11:13.0,,O. Anunoby misses 3-pt jump shot from 26 ft,0,0
3,1,11:09.0,Defensive rebound by K. Nunn,,0,0
4,1,10:54.0,J. Butler misses 2-pt jump shot from 9 ft,,0,0
5,1,10:52.0,Offensive rebound by J. Butler,,0,0
6,1,10:50.0,K. Nunn misses 3-pt jump shot from 26 ft,,0,0
7,1,10:47.0,,Defensive rebound by P. Siakam,0,0
8,1,10:29.0,,P. Siakam makes 2-pt jump shot from 5 ft (assist by O. Anunoby),0,2
9,1,10:08.0,B. Adebayo makes 2-pt hook shot from 5 ft (assist by J. Butler),,2,2
10,1,9:54.0,,Shooting foul by M. Leonard (drawn by M. Gasol),2,2
11,1,9:54.0,,M. Gasol misses free throw 1 of 3,2,2
12,1,9:54.0,,Offensive rebound by Team,2,2
13,1,9:54.0,,M. Gasol makes free throw 2 of 3,2,3
14,1,9:54.0,,M. Gasol makes free throw 3 of 3,2,4
15,1,9:34.0,K. Nunn misses 3-pt jump shot from 24 ft,,2,4
16,1,9:31.0,,Defensive rebound by O. Anunoby,2,4
17,1,9:16.0,,M. Gasol makes 3-pt jump shot from 27 ft (assist by K. Lowry),2,7
18,1,9:03.0,K. Nunn makes 2-pt jump shot from 11 ft,,4,7
19,1,8:44.0,,K. Lowry misses 3-pt jump shot from 26 ft,4,7
20,1,8:42.0,Defensive rebound by M. Leonard,,4,7
21,1,8:27.0,M. Leonard makes 2-pt jump shot from 19 ft (assist by K. Nunn),,6,7
22,1,8:10.0,,K. Lowry misses 3-pt jump shot from 26 ft,6,7
23,1,8:07.0,Defensive rebound by M. Leonard,,6,7
24,1,7:59.0,D. Robinson makes 3-pt jump shot from 27 ft (assist by M. Leonard),,9,7
25,1,7:34.0,,M. Gasol makes 2-pt jump shot from 9 ft (assist by F. VanVleet),9,9
26,1,7:20.0,M. Leonard makes 3-pt jump shot from 28 ft (assist by K. Nunn),,12,9
27,1,7:07.0,,P. Siakam misses 2-pt jump shot from 21 ft,12,9
28,1,7:05.0,Defensive rebound by M. Leonard,,12,9
29,1,6:50.0,K. Nunn misses 3-pt jump shot from 26 ft,,12,9
30,1,6:47.0,,Defensive rebound by K. Lowry,12,9
31,1,6:43.0,,F. VanVleet makes 3-pt jump shot from 24 ft (assist by O. Anunoby),12,12
32,1,6:29.0,Turnover by B. Adebayo (traveling),,12,12
33,1,6:29.0,,Toronto full timeout,12,12
34,1,6:16.0,,F. VanVleet makes 3-pt jump shot from 24 ft (assist by K. Lowry),12,15
35,1,6:03.0,K. Nunn makes 2-pt dunk at rim (assist by J. Butler),,14,15
36,1,5:43.0,,M. Gasol makes 2-pt hook shot from 5 ft (assist by F. VanVleet),14,17
37,1,5:31.0,D. Robinson makes 3-pt jump shot from 27 ft (assist by K. Nunn),,17,17
38,1,5:18.0,,P. Siakam misses 3-pt jump shot from 26 ft,17,17
39,1,5:16.0,Defensive rebound by M. Leonard,,17,17
40,1,5:14.0,Shooting foul by M. Gasol (drawn by B. Adebayo),,17,17
41,1,5:14.0,B. Adebayo makes free throw 1 of 2,,18,17
42,1,5:14.0,J. Winslow enters the game for K. Nunn,,18,17
43,1,5:14.0,B. Adebayo makes free throw 2 of 2,,19,17
44,1,5:03.0,,Shooting foul by J. Winslow (drawn by F. VanVleet),19,17
45,1,5:03.0,,F. VanVleet makes free throw 1 of 2,19,18
46,1,5:03.0,,F. VanVleet makes free throw 2 of 2,19,19
47,1,4:47.0,B. Adebayo makes 2-pt jump shot from 12 ft (assist by D. Robinson),,21,19
48,1,4:22.0,,P. Siakam misses 2-pt jump shot from 18 ft (block by B. Adebayo),21,19
49,1,4:22.0,,Offensive rebound by Team,21,19
50,1,4:22.0,,Turnover by Team (shot clock),21,19
51,1,4:22.0,,N. Powell enters the game for K. Lowry,21,19
52,1,4:11.0,J. Butler misses 2-pt jump shot from 4 ft,,21,19
53,1,4:10.0,,Defensive rebound by M. Gasol,21,19
54,1,3:56.0,,P. Siakam misses 2-pt jump shot from 18 ft,21,19
55,1,3:53.0,Defensive rebound by J. Butler,,21,19
56,1,3:42.0,B. Adebayo misses 2-pt layup from 2 ft,,21,19
57,1,3:40.0,Offensive rebound by B. Adebayo,,21,19
