,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,BOSTON_ACTION,MEMPHIS_SCORE,BOSTON_SCORE
0,1,11:39.0,J. Valančiūnas misses 2-pt jump shot from 12 ft,,0,0
1,1,11:36.0,,Defensive rebound by K. Walker,0,0
2,1,11:29.0,,K. Walker misses 2-pt jump shot from 16 ft,0,0
3,1,11:26.0,Defensive rebound by J. Crowder,,0,0
4,1,11:12.0,J. Valančiūnas makes 2-pt hook shot from 5 ft,,2,0
5,1,10:51.0,,M. Smart misses 3-pt jump shot from 27 ft,2,0
6,1,10:48.0,Defensive rebound by J. Valančiūnas,,2,0
7,1,10:38.0,J. Crowder misses 3-pt jump shot from 26 ft,,2,0
8,1,10:37.0,Offensive rebound by Team,,2,0
9,1,10:37.0,,Loose ball foul by D. Theis (drawn by J. Valančiūnas),2,0
10,1,10:29.0,J. Morant misses 3-pt jump shot from 25 ft,,2,0
11,1,10:25.0,,Defensive rebound by J. Tatum,2,0
12,1,10:18.0,,D. Theis makes 3-pt jump shot from 25 ft (assist by J. Tatum),2,3
13,1,9:56.0,J. Jackson misses 3-pt jump shot from 24 ft,,2,3
14,1,9:55.0,,Defensive rebound by G. Hayward,2,3
15,1,9:55.0,,Personal foul by J. Valančiūnas (drawn by G. Hayward),2,3
16,1,9:41.0,,D. Theis makes 2-pt layup from 3 ft (assist by M. Smart),2,5
17,1,9:29.0,D. Brooks misses 2-pt jump shot from 12 ft,,2,5
18,1,9:26.0,,Defensive rebound by J. Tatum,2,5
19,1,9:18.0,,M. Smart misses 3-pt jump shot from 22 ft,2,5
20,1,9:15.0,Defensive rebound by J. Crowder,,2,5
21,1,9:01.0,D. Brooks misses 3-pt jump shot from 27 ft,,2,5
22,1,8:57.0,Offensive rebound by J. Valančiūnas,,2,5
23,1,8:53.0,Turnover by J. Crowder (bad pass; steal by M. Smart),,2,5
24,1,8:42.0,,J. Tatum makes 2-pt jump shot from 7 ft (assist by G. Hayward),2,7
25,1,8:22.0,Turnover by D. Brooks (lost ball),,2,7
26,1,8:22.0,Loose ball foul by D. Brooks (drawn by M. Smart),,2,7
27,1,8:03.0,,K. Walker misses 3-pt jump shot from 26 ft,2,7
28,1,7:59.0,Defensive rebound by J. Crowder,,2,7
29,1,7:51.0,Turnover by J. Jackson (bad pass; steal by D. Theis),,2,7
30,1,7:43.0,,J. Tatum misses 3-pt jump shot from 23 ft,2,7
31,1,7:39.0,Defensive rebound by J. Jackson,,2,7
32,1,7:29.0,Shooting foul by G. Hayward (drawn by D. Brooks),,2,7
33,1,7:29.0,D. Brooks makes free throw 1 of 2,,3,7
34,1,7:29.0,D. Brooks misses free throw 2 of 2,,3,7
35,1,7:26.0,Offensive rebound by D. Brooks,,3,7
36,1,7:18.0,J. Valančiūnas misses 2-pt layup from 3 ft,,3,7
37,1,7:17.0,,Defensive rebound by M. Smart,3,7
38,1,7:14.0,,G. Hayward misses 3-pt jump shot from 26 ft (block by J. Jackson),3,7
39,1,7:14.0,Defensive rebound by J. Jackson,,3,7
40,1,6:54.0,J. Morant misses 2-pt layup from 4 ft,,3,7
41,1,6:51.0,,Defensive rebound by K. Walker,3,7
42,1,6:48.0,,K. Walker misses 2-pt layup from 3 ft (block by J. Jackson),3,7
43,1,6:46.0,Defensive rebound by D. Brooks,,3,7
44,1,6:34.0,J. Crowder makes 3-pt jump shot from 24 ft (assist by J. Morant),,6,7
45,1,6:25.0,,Boston full timeout,6,7
46,1,6:25.0,,E. Freedom enters the game for J. Tatum,6,7
47,1,6:25.0,,S. Ojeleye enters the game for D. Theis,6,7
48,1,6:13.0,,S. Ojeleye misses 3-pt jump shot from 24 ft,6,7
49,1,6:08.0,Defensive rebound by J. Morant,,6,7
50,1,6:02.0,J. Crowder misses 3-pt jump shot from 26 ft,,6,7
51,1,6:01.0,,Defensive rebound by G. Hayward,6,7
52,1,5:56.0,,E. Freedom makes 2-pt layup from 2 ft (assist by G. Hayward),6,9
53,1,5:37.0,J. Jackson makes 3-pt jump shot from 24 ft (assist by J. Morant),,9,9
54,1,5:19.0,,M. Smart misses 2-pt jump shot from 13 ft,9,9
55,1,5:16.0,,Offensive rebound by M. Smart,9,9
56,1,5:12.0,,M. Smart misses 3-pt jump shot from 25 ft,9,9
57,1,5:09.0,Defensive rebound by J. Valančiūnas,,9,9
58,1,5:01.0,J. Valančiūnas makes 3-pt jump shot from 26 ft (assist by J. Jackson),,12,9
59,1,4:36.0,,K. Walker misses 2-pt layup from 3 ft,12,9
60,1,4:32.0,,Offensive rebound by E. Freedom,12,9
61,1,4:32.0,,E. Freedom misses 2-pt layup from 1 ft,12,9
62,1,4:30.0,Defensive rebound by J. Crowder,,12,9
63,1,4:24.0,J. Jackson makes 3-pt jump shot from 25 ft (assist by J. Crowder),,15,9
64,1,4:03.0,,M. Smart misses 3-pt jump shot from 25 ft,15,9
65,1,3:59.0,Defensive rebound by J. Valančiūnas,,15,9
66,1,3:51.0,Turnover by D. Brooks (discontinued dribble),,15,9
67,1,3:51.0,B. Clarke enters the game for D. Brooks,,15,9
68,1,3:51.0,T. Jones enters the game for J. Morant,,15,9
69,1,3:51.0,D. Melton enters the game for J. Valančiūnas,,15,9
70,1,3:51.0,,B. Wanamaker enters the game for K. Walker,15,9
71,1,3:42.0,,S. Ojeleye makes 3-pt jump shot from 23 ft (assist by G. Hayward),15,12
72,1,3:20.0,J. Jackson makes 2-pt layup from 6 ft (assist by D. Melton),,17,12
73,1,3:01.0,,Shooting foul by J. Jackson (drawn by G. Hayward),17,12
74,1,3:01.0,,G. Hayward makes free throw 1 of 2,17,13
75,1,3:01.0,K. Anderson enters the game for J. Crowder,,17,13
76,1,3:01.0,,G. Hayward makes free throw 2 of 2,17,14
77,1,2:51.0,J. Jackson makes 2-pt layup from 2 ft (assist by T. Jones),,19,14
78,1,2:29.0,,S. Ojeleye makes 2-pt layup from 6 ft (assist by G. Hayward),19,16
79,1,2:17.0,D. Melton makes 2-pt jump shot from 18 ft,,21,16
80,1,1:54.0,,M. Smart makes 2-pt layup from 3 ft (assist by B. Wanamaker),21,18
81,1,1:53.0,Memphis full timeout,,21,18
82,1,1:53.0,,J. Tatum enters the game for G. Hayward,21,18
83,1,1:42.0,Turnover by D. Melton (bad pass; steal by B. Wanamaker),,21,18
84,1,1:37.0,,B. Wanamaker makes 2-pt layup from 2 ft,21,20
85,1,1:19.0,D. Melton makes 2-pt jump shot from 10 ft (assist by K. Anderson),,23,20
86,1,1:06.0,,Offensive foul by E. Freedom (drawn by J. Jackson),23,20
87,1,1:06.0,,Turnover by E. Freedom (offensive foul),23,20
88,1,0:57.0,J. Jackson misses 2-pt layup from 9 ft (block by J. Tatum),,23,20
89,1,0:57.0,Offensive rebound by Team,,23,20
90,1,0:55.0,B. Clarke makes 2-pt jump shot from 10 ft (assist by T. Jones),,25,20
91,1,0:46.0,,B. Wanamaker misses 3-pt jump shot from 26 ft,25,20
92,1,0:42.0,,Offensive rebound by E. Freedom,25,20
93,1,0:35.0,,E. Freedom makes 2-pt layup from 3 ft,25,22
94,1,0:29.0,Shooting foul by M. Smart (drawn by K. Anderson),,25,22
95,1,0:29.0,K. Anderson makes free throw 1 of 2,,26,22
96,1,0:29.0,K. Anderson makes free throw 2 of 2,,27,22
97,1,0:10.0,,J. Tatum makes 3-pt jump shot from 24 ft (assist by E. Freedom),27,25
98,1,0:02.0,J. Jackson misses 3-pt jump shot from 28 ft,,27,25
99,1,0:02.0,,Defensive rebound by J. Tatum,27,25
