,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,ORLANDO_ACTION,PHILADELPHIA_SCORE,ORLANDO_SCORE
0,1,11:46.0,A. Horford misses 2-pt jump shot from 21 ft,,0,0
1,1,11:41.0,,Defensive rebound by A. Gordon,0,0
2,1,11:39.0,,E. Fournier misses 3-pt jump shot from 27 ft,0,0
3,1,11:35.0,Defensive rebound by T. Harris,,0,0
4,1,11:28.0,T. Harris makes 2-pt jump shot from 12 ft (assist by B. Simmons),,2,0
5,1,11:10.0,,A. Gordon misses 2-pt jump shot from 11 ft,2,0
6,1,11:08.0,Defensive rebound by A. Horford,,2,0
7,1,10:59.0,J. Richardson misses 2-pt jump shot from 20 ft,,2,0
8,1,10:56.0,,Defensive rebound by A. Gordon,2,0
9,1,10:50.0,,Shooting foul by J. Richardson (drawn by E. Fournier),2,0
10,1,10:50.0,,E. Fournier misses free throw 1 of 2,2,0
11,1,10:50.0,,Offensive rebound by Team,2,0
12,1,10:50.0,,E. Fournier makes free throw 2 of 2,2,1
13,1,10:37.0,T. Harris misses 2-pt jump shot from 13 ft,,2,1
14,1,10:34.0,,Defensive rebound by M. Fultz,2,1
15,1,10:30.0,,M. Fultz makes 2-pt layup from 4 ft,2,3
16,1,10:13.0,Turnover by B. Simmons (bad pass; steal by M. Fultz),,2,3
17,1,10:10.0,,Shooting foul by T. Harris (drawn by M. Fultz),2,3
18,1,10:10.0,,M. Fultz makes free throw 1 of 2,2,4
19,1,10:10.0,,M. Fultz misses free throw 2 of 2,2,4
20,1,10:07.0,Defensive rebound by T. Harris,,2,4
21,1,9:55.0,B. Simmons makes 2-pt layup from 5 ft (assist by J. Richardson),,4,4
22,1,9:39.0,,J. Isaac makes 2-pt jump shot from 11 ft,4,6
23,1,9:13.0,T. Harris misses 2-pt layup from 7 ft (block by J. Isaac),,4,6
24,1,9:10.0,Offensive rebound by T. Harris,,4,6
25,1,9:07.0,A. Horford misses 2-pt jump shot from 18 ft,,4,6
26,1,9:07.0,,Defensive rebound by N. Vučević,4,6
27,1,9:04.0,,J. Isaac makes 2-pt dunk from 3 ft (assist by E. Fournier),4,8
28,1,8:42.0,J. Richardson makes 2-pt layup from 6 ft (assist by A. Horford),,6,8
29,1,8:28.0,,N. Vučević makes 3-pt jump shot from 26 ft (assist by A. Gordon),6,11
30,1,8:12.0,J. Richardson makes 2-pt jump shot from 10 ft (assist by T. Harris),,8,11
31,1,7:54.0,,E. Fournier makes 2-pt jump shot from 12 ft,8,13
32,1,7:43.0,F. Korkmaz makes 2-pt jump shot from 21 ft (assist by B. Simmons),,10,13
33,1,7:31.0,,A. Gordon makes 3-pt jump shot from 27 ft (assist by N. Vučević),10,16
34,1,7:16.0,F. Korkmaz makes 2-pt jump shot from 7 ft,,12,16
35,1,7:16.0,,Orlando full timeout,12,16
36,1,7:16.0,J. Ennis enters the game for A. Horford,,12,16
37,1,7:16.0,S. Milton enters the game for F. Korkmaz,,12,16
38,1,7:16.0,K. O'Quinn enters the game for J. Richardson,,12,16
39,1,6:59.0,,N. Vučević makes 2-pt jump shot from 11 ft (assist by E. Fournier),12,18
40,1,6:41.0,B. Simmons misses 2-pt hook shot from 9 ft,,12,18
41,1,6:41.0,,Defensive rebound by N. Vučević,12,18
42,1,6:37.0,,Offensive foul by A. Gordon (drawn by S. Milton),12,18
43,1,6:37.0,,Turnover by A. Gordon (offensive foul),12,18
44,1,6:24.0,K. O'Quinn misses 3-pt jump shot from 23 ft,,12,18
45,1,6:21.0,,Defensive rebound by A. Gordon,12,18
46,1,6:18.0,,E. Fournier makes 2-pt layup from 3 ft (assist by A. Gordon),12,20
47,1,6:02.0,S. Milton misses 3-pt jump shot from 25 ft,,12,20
48,1,6:00.0,,Defensive rebound by E. Fournier,12,20
49,1,5:51.0,,N. Vučević misses 2-pt layup from 4 ft (block by K. O'Quinn),12,20
50,1,5:48.0,Defensive rebound by J. Ennis,,12,20
51,1,5:44.0,B. Simmons makes 2-pt layup from 3 ft,,14,20
52,1,5:25.0,,J. Isaac makes 2-pt jump shot from 9 ft,14,22
53,1,5:11.0,J. Ennis makes 2-pt layup from 3 ft (assist by T. Harris),,16,22
54,1,5:11.0,Shooting foul by J. Isaac (drawn by J. Ennis),,16,22
55,1,5:11.0,,T. Ross enters the game for J. Isaac,16,22
56,1,5:11.0,J. Ennis makes free throw 1 of 1,,17,22
57,1,5:06.0,,Turnover by A. Gordon (bad pass),17,22
58,1,4:43.0,J. Ennis makes 3-pt jump shot from 23 ft (assist by K. O'Quinn),,20,22
59,1,4:21.0,,M. Fultz misses 2-pt jump shot from 11 ft,20,22
