,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,MEMPHIS_ACTION,MILWAUKEE_SCORE,MEMPHIS_SCORE
0,1,11:41.0,B. Lopez misses 3-pt jump shot from 26 ft,,0,0
1,1,11:38.0,,Defensive rebound by J. Crowder,0,0
2,1,11:17.0,,J. Crowder misses 2-pt jump shot from 22 ft,0,0
3,1,11:15.0,Defensive rebound by B. Lopez,,0,0
4,1,11:08.0,K. Middleton makes 2-pt jump shot from 13 ft,,2,0
5,1,10:54.0,,J. Jackson makes 3-pt jump shot from 26 ft (assist by T. Jones),2,3
6,1,10:44.0,W. Matthews makes 2-pt layup from 1 ft (assist by E. Bledsoe),,4,3
7,1,10:32.0,,T. Jones misses 2-pt jump shot from 9 ft,4,3
8,1,10:31.0,Defensive rebound by Team,,4,3
9,1,10:31.0,,Loose ball foul by J. Valančiūnas (drawn by G. Antetokounmpo),4,3
10,1,10:16.0,E. Bledsoe misses 2-pt layup from 3 ft,,4,3
11,1,10:14.0,,Defensive rebound by J. Jackson,4,3
12,1,10:08.0,,J. Valančiūnas misses 2-pt hook shot from 6 ft (block by B. Lopez),4,3
13,1,10:08.0,,Offensive rebound by Team,4,3
14,1,10:08.0,Loose ball foul by B. Lopez (drawn by J. Valančiūnas),,4,3
15,1,10:02.0,,J. Jackson misses 3-pt jump shot from 25 ft,4,3
16,1,9:59.0,Defensive rebound by W. Matthews,,4,3
17,1,9:51.0,W. Matthews misses 3-pt jump shot from 25 ft,,4,3
18,1,9:49.0,,Defensive rebound by J. Jackson,4,3
19,1,9:42.0,,D. Brooks makes 2-pt jump shot from 17 ft,4,5
20,1,9:32.0,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by K. Middleton),,6,5
21,1,9:32.0,Shooting foul by J. Jackson (drawn by G. Antetokounmpo),,6,5
22,1,9:32.0,G. Antetokounmpo makes free throw 1 of 1,,7,5
23,1,9:22.0,,Turnover by D. Brooks (lost ball; steal by E. Bledsoe),7,5
24,1,9:18.0,Shooting foul by D. Brooks (drawn by E. Bledsoe),,7,5
25,1,9:18.0,E. Bledsoe makes free throw 1 of 2,,8,5
26,1,9:18.0,E. Bledsoe makes free throw 2 of 2,,9,5
27,1,9:08.0,,J. Valančiūnas misses 2-pt jump shot from 4 ft,9,5
28,1,9:04.0,Defensive rebound by B. Lopez,,9,5
29,1,9:00.0,K. Middleton makes 3-pt jump shot from 26 ft,,12,5
30,1,9:00.0,,Memphis full timeout,12,5
31,1,8:47.0,,D. Brooks makes 3-pt jump shot from 26 ft (assist by J. Jackson),12,8
32,1,8:35.0,W. Matthews misses 3-pt jump shot from 23 ft,,12,8
33,1,8:34.0,,Defensive rebound by J. Crowder,12,8
34,1,8:27.0,,J. Crowder misses 3-pt jump shot from 26 ft,12,8
35,1,8:22.0,Defensive rebound by B. Lopez,,12,8
36,1,8:14.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,14,8
37,1,8:00.0,,J. Valančiūnas misses 2-pt layup from 2 ft (block by B. Lopez),14,8
38,1,7:57.0,Defensive rebound by B. Lopez,,14,8
39,1,7:54.0,K. Middleton makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),,17,8
40,1,7:39.0,,J. Valančiūnas makes 2-pt jump shot from 6 ft (assist by T. Jones),17,10
41,1,7:25.0,G. Antetokounmpo misses 3-pt jump shot from 25 ft,,17,10
42,1,7:22.0,,Defensive rebound by J. Valančiūnas,17,10
43,1,7:11.0,,Shooting foul by B. Lopez (drawn by J. Crowder),17,10
44,1,7:11.0,,J. Crowder makes free throw 1 of 2,17,11
45,1,7:11.0,R. Lopez enters the game for B. Lopez,,17,11
46,1,7:11.0,,K. Anderson enters the game for D. Brooks,17,11
47,1,7:11.0,,S. Hill enters the game for J. Valančiūnas,17,11
48,1,7:11.0,,J. Crowder makes free throw 2 of 2,17,12
49,1,7:01.0,E. Bledsoe makes 2-pt jump shot from 17 ft,,19,12
50,1,6:53.0,,Shooting foul by G. Antetokounmpo (drawn by J. Jackson),19,12
51,1,6:53.0,,J. Jackson makes free throw 1 of 2,19,13
52,1,6:53.0,,J. Jackson makes free throw 2 of 2,19,14
53,1,6:35.0,G. Antetokounmpo makes 2-pt dunk from 1 ft,,21,14
54,1,6:22.0,,Offensive foul by J. Jackson (drawn by G. Antetokounmpo),21,14
55,1,6:22.0,,Turnover by J. Jackson (offensive foul),21,14
56,1,6:22.0,D. Wilson enters the game for G. Antetokounmpo,,21,14
57,1,6:22.0,,B. Caboclo enters the game for J. Jackson,21,14
58,1,6:13.0,K. Middleton misses 2-pt jump shot from 18 ft,,21,14
59,1,6:10.0,,Defensive rebound by J. Crowder,21,14
60,1,5:58.0,,S. Hill misses 3-pt jump shot from 23 ft,21,14
61,1,5:55.0,Defensive rebound by K. Middleton,,21,14
62,1,5:51.0,Turnover by K. Middleton (lost ball; steal by T. Jones),,21,14
63,1,5:48.0,,T. Jones makes 2-pt layup from 1 ft,21,16
64,1,5:29.0,Turnover by E. Bledsoe (bad pass),,21,16
65,1,5:29.0,D. DiVincenzo enters the game for W. Matthews,,21,16
66,1,5:20.0,,S. Hill makes 3-pt jump shot from 27 ft,21,19
67,1,5:08.0,D. Wilson makes 3-pt jump shot from 23 ft (assist by E. Bledsoe),,24,19
68,1,4:56.0,,S. Hill misses 2-pt layup from 1 ft,24,19
69,1,4:54.0,Defensive rebound by E. Bledsoe,,24,19
70,1,4:50.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,24,19
71,1,4:45.0,,Defensive rebound by J. Crowder,24,19
72,1,4:38.0,,K. Anderson makes 2-pt jump shot from 9 ft (assist by T. Jones),24,21
73,1,4:14.0,D. Wilson makes 2-pt layup at rim (assist by D. DiVincenzo),,26,21
74,1,4:00.0,,Turnover by T. Jones (bad pass),26,21
75,1,4:00.0,S. Brown enters the game for E. Bledsoe,,26,21
76,1,4:00.0,G. Hill enters the game for K. Middleton,,26,21
77,1,4:00.0,,M. Guduric enters the game for J. Crowder,26,21
78,1,4:00.0,,D. Melton enters the game for T. Jones,26,21
