,QUARTER,TIME_REMAINING,DENVER_ACTION,BOSTON_ACTION,DENVER_SCORE,BOSTON_SCORE
0,1,11:44.0,,K. Walker makes 2-pt layup from 3 ft,0,2
1,1,11:29.0,Turnover by G. Harris (lost ball; steal by K. Walker),,0,2
2,1,11:28.0,,Personal foul by N. Jokić (drawn by K. Walker),0,2
3,1,11:18.0,,D. Theis makes 3-pt jump shot from 26 ft (assist by J. Tatum),0,5
4,1,10:59.0,P. Millsap misses 3-pt jump shot from 26 ft,,0,5
5,1,10:57.0,,Defensive rebound by J. Tatum,0,5
6,1,10:45.0,,Personal foul by P. Millsap (drawn by K. Walker),0,5
7,1,10:40.0,,J. Tatum misses 3-pt jump shot from 25 ft,0,5
8,1,10:35.0,,Offensive rebound by M. Smart,0,5
9,1,10:34.0,,K. Walker misses 3-pt jump shot from 25 ft,0,5
10,1,10:32.0,Defensive rebound by N. Jokić,,0,5
11,1,10:26.0,Personal foul by D. Theis (drawn by N. Jokić),,0,5
12,1,10:15.0,W. Barton misses 3-pt jump shot from 28 ft,,0,5
13,1,10:11.0,Offensive rebound by N. Jokić,,0,5
14,1,10:10.0,N. Jokić makes 2-pt layup from 4 ft,,2,5
15,1,9:58.0,,J. Brown misses 3-pt jump shot from 26 ft,2,5
16,1,9:56.0,Defensive rebound by J. Murray,,2,5
17,1,9:50.0,N. Jokić misses 3-pt jump shot from 27 ft,,2,5
18,1,9:48.0,,Defensive rebound by J. Brown,2,5
19,1,9:37.0,,J. Tatum misses 2-pt jump shot from 6 ft,2,5
20,1,9:35.0,,Offensive rebound by Team,2,5
21,1,9:25.0,,J. Brown makes 3-pt jump shot from 23 ft (assist by J. Tatum),2,8
22,1,9:10.0,J. Murray misses 3-pt jump shot from 26 ft,,2,8
23,1,9:08.0,Offensive rebound by P. Millsap,,2,8
24,1,8:58.0,W. Barton misses 3-pt jump shot from 27 ft,,2,8
25,1,8:51.0,,Defensive rebound by J. Brown,2,8
26,1,8:44.0,,M. Smart misses 2-pt jump shot from 21 ft,2,8
27,1,8:41.0,Defensive rebound by G. Harris,,2,8
28,1,8:36.0,G. Harris makes 2-pt layup from 3 ft,,4,8
29,1,8:21.0,,J. Brown makes 3-pt jump shot from 26 ft (assist by K. Walker),4,11
30,1,8:06.0,J. Murray misses 2-pt jump shot from 2 ft,,4,11
31,1,8:05.0,,Defensive rebound by J. Brown,4,11
32,1,8:00.0,,J. Tatum misses 3-pt jump shot from 23 ft,4,11
33,1,7:58.0,Defensive rebound by N. Jokić,,4,11
34,1,7:47.0,N. Jokić misses 2-pt hook shot from 5 ft,,4,11
35,1,7:46.0,Offensive rebound by N. Jokić,,4,11
36,1,7:45.0,N. Jokić makes 2-pt layup from 3 ft,,6,11
37,1,7:27.0,,J. Brown makes 3-pt jump shot from 24 ft (assist by K. Walker),6,14
38,1,7:26.0,Denver full timeout,,6,14
39,1,7:11.0,N. Jokić makes 2-pt jump shot from 13 ft,,8,14
40,1,6:57.0,,D. Theis makes 2-pt dunk from 1 ft (assist by M. Smart),8,16
41,1,6:44.0,N. Jokić makes 2-pt hook shot from 7 ft,,10,16
42,1,6:25.0,,D. Theis makes 2-pt jump shot from 8 ft (assist by J. Brown),10,18
43,1,6:07.0,Personal foul by J. Brown (drawn by P. Millsap),,10,18
44,1,5:52.0,J. Murray misses 2-pt layup from 3 ft,,10,18
45,1,5:49.0,Offensive rebound by J. Murray,,10,18
46,1,5:42.0,N. Jokić makes 2-pt hook shot from 7 ft,,12,18
47,1,5:28.0,,D. Theis misses 2-pt hook shot from 5 ft,12,18
