,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,ATLANTA_ACTION,PHILADELPHIA_SCORE,ATLANTA_SCORE
0,1,11:46.0,T. Harris misses 2-pt layup from 1 ft,,0,0
1,1,11:43.0,,Defensive rebound by D. Jones,0,0
2,1,11:41.0,,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young),0,2
3,1,11:24.0,T. Harris makes 2-pt jump shot from 16 ft (assist by S. Milton),,2,2
4,1,11:04.0,,Shooting foul by M. Thybulle (drawn by T. Young),2,2
5,1,11:04.0,,T. Young makes free throw 1 of 3,2,3
6,1,11:04.0,,T. Young makes free throw 2 of 3,2,4
7,1,11:04.0,,T. Young misses free throw 3 of 3,2,4
8,1,11:01.0,Defensive rebound by J. Embiid,,2,4
9,1,10:53.0,B. Simmons makes 2-pt dunk from 1 ft,,4,4
10,1,10:36.0,,Turnover by D. Hunter (lost ball; steal by B. Simmons),4,4
11,1,10:33.0,B. Simmons makes 2-pt dunk from 1 ft,,6,4
12,1,10:24.0,,T. Young makes 2-pt jump shot from 19 ft,6,6
13,1,10:14.0,M. Thybulle makes 2-pt jump shot from 7 ft (assist by B. Simmons),,8,6
14,1,10:05.0,,T. Young misses 3-pt jump shot from 25 ft,8,6
15,1,10:02.0,Defensive rebound by J. Embiid,,8,6
16,1,9:58.0,B. Simmons makes 2-pt layup from 2 ft (assist by J. Embiid),,10,6
17,1,9:39.0,,K. Huerter makes 2-pt jump shot from 8 ft (assist by T. Young),10,8
18,1,9:25.0,Shooting foul by K. Huerter (drawn by M. Thybulle),,10,8
19,1,9:25.0,M. Thybulle misses free throw 1 of 3,,10,8
20,1,9:25.0,Offensive rebound by Team,,10,8
21,1,9:25.0,M. Thybulle makes free throw 2 of 3,,11,8
22,1,9:25.0,M. Thybulle misses free throw 3 of 3,,11,8
23,1,9:24.0,,Defensive rebound by T. Young,11,8
24,1,9:11.0,,D. Hunter makes 3-pt jump shot from 25 ft (assist by T. Young),11,11
25,1,8:55.0,T. Harris misses 2-pt jump shot from 20 ft,,11,11
26,1,8:52.0,,Defensive rebound by T. Young,11,11
27,1,8:44.0,,Turnover by T. Young (lost ball; steal by M. Thybulle),11,11
28,1,8:37.0,M. Thybulle misses 3-pt jump shot from 23 ft,,11,11
29,1,8:33.0,,Defensive rebound by J. Collins,11,11
30,1,8:24.0,,T. Young misses 2-pt jump shot from 8 ft,11,11
31,1,8:20.0,Defensive rebound by T. Harris,,11,11
32,1,8:04.0,S. Milton misses 3-pt jump shot from 26 ft,,11,11
33,1,8:00.0,,Defensive rebound by J. Collins,11,11
34,1,7:49.0,,D. Hunter misses 2-pt jump shot from 13 ft,11,11
35,1,7:45.0,Defensive rebound by B. Simmons,,11,11
36,1,7:39.0,B. Simmons makes 2-pt layup from 3 ft,,13,11
37,1,7:27.0,,Personal foul by B. Simmons (drawn by D. Hunter),13,11
38,1,7:24.0,,Shooting foul by M. Thybulle (drawn by T. Young),13,11
39,1,7:24.0,,T. Young makes free throw 1 of 3,13,12
40,1,7:24.0,,T. Young makes free throw 2 of 3,13,13
41,1,7:24.0,F. Korkmaz enters the game for M. Thybulle,,13,13
42,1,7:24.0,,T. Young makes free throw 3 of 3,13,14
43,1,7:11.0,J. Embiid makes 2-pt hook shot from 4 ft,,15,14
44,1,6:57.0,,D. Jones makes 2-pt dunk at rim (assist by T. Young),15,16
