,QUARTER,TIME_REMAINING,DENVER_ACTION,ATLANTA_ACTION,DENVER_SCORE,ATLANTA_SCORE
64,1,4:34.0,,A. Len makes free throw 1 of 1,18,20
65,1,4:30.0,N. Jokić misses 3-pt jump shot from 26 ft,,18,20
66,1,4:26.0,,Defensive rebound by C. Reddish,18,20
67,1,4:21.0,,Shooting foul by W. Barton (drawn by A. Len),18,20
68,1,4:21.0,,A. Len makes free throw 1 of 2,18,21
69,1,4:21.0,,V. Carter enters the game for J. Collins,18,21
70,1,4:21.0,,A. Len misses free throw 2 of 2,18,21
71,1,4:18.0,Defensive rebound by N. Jokić,,18,21
72,1,4:06.0,N. Jokić makes 3-pt jump shot from 26 ft (assist by W. Barton),,21,21
73,1,3:54.0,,T. Young makes 3-pt jump shot from 28 ft,21,24
74,1,3:43.0,J. Murray misses 2-pt jump shot from 15 ft,,21,24
75,1,3:41.0,,Defensive rebound by K. Huerter,21,24
76,1,3:32.0,,C. Reddish misses 3-pt jump shot from 23 ft,21,24
77,1,3:29.0,Defensive rebound by W. Barton,,21,24
78,1,3:11.0,Personal foul by A. Len (drawn by N. Jokić),,21,24
79,1,3:11.0,M. Morris enters the game for J. Murray,,21,24
80,1,3:11.0,,D. Jones enters the game for A. Len,21,24
81,1,3:01.0,Shooting foul by D. Jones (drawn by N. Jokić),,21,24
82,1,3:01.0,N. Jokić misses free throw 1 of 2,,21,24
83,1,3:01.0,Offensive rebound by Team,,21,24
84,1,3:01.0,G. Harris enters the game for W. Barton,,21,24
85,1,3:01.0,,D. Bembry enters the game for K. Huerter,21,24
86,1,3:01.0,N. Jokić makes free throw 2 of 2,,22,24
87,1,2:45.0,,V. Carter misses 3-pt jump shot from 27 ft,22,24
88,1,2:41.0,Defensive rebound by G. Harris,,22,24
89,1,2:34.0,N. Jokić makes 3-pt jump shot from 26 ft (assist by G. Harris),,25,24
90,1,2:19.0,,T. Young makes 2-pt jump shot from 11 ft,25,26
91,1,2:09.0,M. Morris makes 2-pt jump shot from 16 ft,,27,26
92,1,1:51.0,,T. Young makes 3-pt jump shot from 28 ft,27,29
93,1,1:24.0,N. Jokić misses 2-pt jump shot from 11 ft,,27,29
94,1,1:24.0,,Defensive rebound by Team,27,29
95,1,1:24.0,Loose ball foul by J. Grant (drawn by D. Jones),,27,29
96,1,1:24.0,Denver full timeout,,27,29
97,1,1:24.0,M. Plumlee enters the game for N. Jokić,,27,29
98,1,1:24.0,,B. Goodwin enters the game for T. Young,27,29
99,1,1:24.0,,D. Jones makes free throw 1 of 2,27,30
100,1,1:24.0,,D. Jones makes free throw 2 of 2,27,31
101,1,0:57.0,G. Harris misses 3-pt jump shot from 32 ft,,27,31
102,1,0:55.0,Offensive rebound by Team,,27,31
103,1,0:45.0,G. Harris makes 2-pt layup from 1 ft (assist by M. Plumlee),,29,31
104,1,0:28.0,,D. Jones misses 2-pt dunk from 1 ft (block by M. Porter),29,31
105,1,0:25.0,,Offensive rebound by D. Jones,29,31
106,1,0:23.0,,V. Carter misses 3-pt jump shot from 26 ft,29,31
107,1,0:21.0,Defensive rebound by M. Morris,,29,31
108,1,0:01.0,M. Morris misses 2-pt jump shot from 13 ft,,29,31
109,1,0:01.0,,Defensive rebound by D. Jones,29,31
110,2,11:40.0,M. Porter makes 2-pt layup from 1 ft (assist by M. Morris),,31,31
111,2,11:24.0,,J. Collins misses 2-pt layup at rim,31,31
112,2,11:21.0,Defensive rebound by M. Morris,,31,31
113,2,11:11.0,Def 3 sec tech foul by Team,,31,31
114,2,11:11.0,J. Murray makes technical free throw,,32,31
115,2,10:58.0,M. Porter misses 2-pt jump shot from 16 ft,,32,31
116,2,10:55.0,,Defensive rebound by B. Goodwin,32,31
117,2,10:50.0,,B. Fernando misses 2-pt layup from 1 ft (block by M. Plumlee),32,31
118,2,10:50.0,,Offensive rebound by Team,32,31
119,2,10:34.0,,B. Fernando misses 3-pt jump shot from 23 ft,32,31
120,2,10:30.0,Defensive rebound by J. Grant,,32,31
121,2,10:23.0,J. Grant misses 3-pt jump shot from 27 ft,,32,31
122,2,10:20.0,,Defensive rebound by D. Bembry,32,31
123,2,10:17.0,,Turnover by D. Bembry (bad pass),32,31
124,2,10:05.0,Shooting foul by J. Collins (drawn by J. Grant),,32,31
125,2,10:05.0,J. Grant misses free throw 1 of 2,,32,31
126,2,10:05.0,Offensive rebound by Team,,32,31
127,2,10:05.0,,K. Huerter enters the game for D. Bembry,32,31
128,2,10:05.0,,D. Hunter enters the game for B. Fernando,32,31
129,2,10:05.0,J. Grant makes free throw 2 of 2,,33,31
130,2,9:52.0,,A. Crabbe makes 3-pt jump shot from 25 ft (assist by K. Huerter),33,34
131,2,9:42.0,Personal foul by D. Hunter (drawn by M. Plumlee),,33,34
132,2,9:37.0,J. Grant makes 2-pt layup from 1 ft (assist by M. Porter),,35,34
133,2,9:37.0,Shooting foul by J. Collins (drawn by J. Grant),,35,34
134,2,9:37.0,J. Grant makes free throw 1 of 1,,36,34
135,2,9:10.0,,B. Goodwin misses 3-pt jump shot from 23 ft,36,34
136,2,9:07.0,Defensive rebound by M. Plumlee,,36,34
137,2,8:56.0,M. Plumlee makes 2-pt dunk at rim (assist by M. Porter),,38,34
138,2,8:55.0,,Atlanta full timeout,38,34
139,2,8:55.0,,T. Young enters the game for B. Goodwin,38,34
140,2,8:39.0,,J. Collins misses 3-pt jump shot from 26 ft,38,34
141,2,8:37.0,Defensive rebound by M. Morris,,38,34
142,2,8:25.0,Personal foul by T. Young (drawn by M. Porter),,38,34
143,2,8:13.0,Offensive foul by M. Porter (drawn by A. Crabbe),,38,34
144,2,8:13.0,Turnover by M. Porter (offensive foul),,38,34
145,2,7:59.0,,Turnover by T. Young (bad pass),38,34
146,2,7:46.0,M. Morris misses 2-pt layup from 1 ft (block by J. Collins),,38,34
147,2,7:45.0,Offensive rebound by Team,,38,34
148,2,7:45.0,W. Barton enters the game for J. Murray,,38,34
149,2,7:45.0,,A. Len enters the game for A. Crabbe,38,34
150,2,7:42.0,M. Morris makes 3-pt jump shot from 23 ft (assist by M. Plumlee),,41,34
151,2,7:31.0,,Turnover by T. Young (bad pass),41,34
152,2,7:19.0,W. Barton makes 2-pt jump shot from 16 ft,,43,34
153,2,7:04.0,,D. Hunter makes 3-pt jump shot from 23 ft (assist by T. Young),43,37
154,2,6:53.0,M. Morris makes 2-pt jump shot from 10 ft,,45,37
155,2,6:41.0,,D. Hunter misses 3-pt jump shot from 23 ft,45,37
156,2,6:36.0,Defensive rebound by J. Grant,,45,37
157,2,6:30.0,W. Barton makes 2-pt layup from 1 ft,,47,37
158,2,6:26.0,,Atlanta full timeout,47,37
159,2,6:26.0,G. Harris enters the game for J. Grant,,47,37
160,2,6:26.0,N. Jokić enters the game for M. Plumlee,,47,37
161,2,6:26.0,P. Millsap enters the game for M. Porter,,47,37
162,2,6:11.0,,T. Young makes 2-pt jump shot from 13 ft (assist by D. Hunter),47,39
163,2,5:56.0,W. Barton makes 2-pt jump shot from 18 ft (assist by M. Morris),,49,39
164,2,5:44.0,,J. Collins misses 3-pt jump shot from 26 ft,49,39
165,2,5:40.0,Defensive rebound by W. Barton,,49,39
166,2,5:32.0,P. Millsap misses 3-pt jump shot from 26 ft,,49,39
167,2,5:30.0,,Defensive rebound by T. Young,49,39
168,2,5:23.0,,K. Huerter makes 3-pt jump shot from 23 ft (assist by T. Young),49,42
169,2,5:07.0,G. Harris misses 2-pt jump shot from 16 ft,,49,42
170,2,5:03.0,,Defensive rebound by T. Young,49,42
171,2,4:55.0,,D. Hunter misses 3-pt jump shot from 26 ft,49,42
172,2,4:53.0,Defensive rebound by G. Harris,,49,42
173,2,4:49.0,W. Barton misses 3-pt jump shot from 26 ft,,49,42
174,2,4:46.0,,Defensive rebound by K. Huerter,49,42
