,QUARTER,TIME_REMAINING,UTAH_ACTION,DENVER_ACTION,UTAH_SCORE,DENVER_SCORE
0,1,11:44.0,,Personal foul by B. Bogdanović (drawn by J. Grant),0,0
1,1,11:35.0,,N. Jokić misses 2-pt layup from 3 ft (block by R. O'Neale),0,0
2,1,11:35.0,Defensive rebound by Team,,0,0
3,1,11:16.0,R. O'Neale makes 2-pt jump shot from 1 ft (assist by J. Ingles),,2,0
4,1,10:53.0,,N. Jokić misses 2-pt layup from 2 ft (block by R. Gobert),2,0
5,1,10:52.0,,Offensive rebound by Team,2,0
6,1,10:48.0,,Turnover by Team (shot clock),2,0
7,1,10:48.0,,Instant Replay (Request: Ruling Stands),2,0
8,1,10:35.0,Turnover by B. Bogdanović (lost ball; steal by N. Jokić),,2,0
9,1,10:31.0,,J. Grant misses 2-pt layup from 2 ft,2,0
10,1,10:30.0,,Offensive rebound by T. Craig,2,0
11,1,10:30.0,,T. Craig makes 2-pt layup at rim,2,2
12,1,10:14.0,Personal foul by N. Jokić (drawn by D. Mitchell),,2,2
13,1,10:06.0,B. Bogdanović makes 3-pt jump shot from 25 ft,,5,2
14,1,9:49.0,,W. Barton misses 3-pt jump shot from 25 ft,5,2
15,1,9:46.0,Defensive rebound by R. Gobert,,5,2
16,1,9:36.0,Turnover by D. Mitchell (bad pass; steal by N. Jokić),,5,2
17,1,9:32.0,,W. Barton makes 2-pt jump shot from 11 ft (assist by N. Jokić),5,4
18,1,9:16.0,Turnover by R. O'Neale (traveling),,5,4
19,1,8:59.0,,Turnover by N. Jokić (bad pass; steal by R. Gobert),5,4
20,1,8:38.0,B. Bogdanović misses 3-pt jump shot from 24 ft,,5,4
21,1,8:34.0,,Defensive rebound by T. Craig,5,4
22,1,8:23.0,,N. Jokić makes 2-pt jump shot from 18 ft (assist by M. Morris),5,6
23,1,8:04.0,D. Mitchell misses 3-pt jump shot from 27 ft,,5,6
24,1,8:01.0,,Defensive rebound by N. Jokić,5,6
25,1,7:54.0,,Turnover by M. Morris (bad pass),5,6
26,1,7:39.0,R. Gobert makes 2-pt dunk from 1 ft (assist by J. Ingles),,7,6
27,1,7:16.0,,T. Craig makes 2-pt layup from 2 ft (assist by N. Jokić),7,8
28,1,7:08.0,Utah full timeout,,7,8
