,QUARTER,TIME_REMAINING,CHICAGO_ACTION,ATLANTA_ACTION,CHICAGO_SCORE,ATLANTA_SCORE
0,1,11:35.0,,A. Len makes 2-pt jump shot from 8 ft (assist by D. Hunter),0,2
1,1,11:23.0,Z. LaVine misses 2-pt layup from 1 ft,,0,2
2,1,11:22.0,Offensive rebound by Z. LaVine,,0,2
3,1,11:21.0,Z. LaVine misses 2-pt layup from 2 ft,,0,2
4,1,11:21.0,,Defensive rebound by J. Parker,0,2
5,1,11:13.0,,J. Parker misses 2-pt layup from 6 ft (block by W. Carter),0,2
6,1,11:13.0,,Offensive rebound by J. Parker,0,2
7,1,11:12.0,,J. Parker makes 2-pt dunk at rim,0,4
8,1,10:59.0,L. Markkanen makes 2-pt layup from 3 ft (assist by O. Porter),,2,4
9,1,10:43.0,,Shooting foul by L. Markkanen (drawn by A. Len),2,4
10,1,10:43.0,,A. Len makes free throw 1 of 2,2,5
11,1,10:43.0,,A. Len makes free throw 2 of 2,2,6
12,1,10:34.0,T. Satoranský makes 2-pt layup from 2 ft,,4,6
13,1,10:24.0,,T. Young misses 3-pt jump shot from 27 ft,4,6
14,1,10:20.0,Defensive rebound by O. Porter,,4,6
15,1,10:13.0,O. Porter makes 2-pt jump shot from 8 ft,,6,6
16,1,10:01.0,,Personal foul by Z. LaVine (drawn by C. Reddish),6,6
17,1,9:52.0,,Turnover by C. Reddish (bad pass),6,6
18,1,9:43.0,T. Satoranský makes 2-pt jump shot from 20 ft,,8,6
19,1,9:17.0,,C. Reddish misses 3-pt jump shot from 26 ft,8,6
20,1,9:12.0,Defensive rebound by T. Satoranský,,8,6
21,1,9:09.0,O. Porter makes 3-pt jump shot from 25 ft (assist by Z. LaVine),,11,6
22,1,8:53.0,,D. Hunter misses 2-pt jump shot from 19 ft,11,6
23,1,8:50.0,Defensive rebound by Z. LaVine,,11,6
24,1,8:42.0,L. Markkanen misses 2-pt dunk at rim,,11,6
25,1,8:40.0,,Defensive rebound by C. Reddish,11,6
26,1,8:29.0,,Turnover by T. Young (bad pass),11,6
27,1,8:29.0,,Atlanta full timeout,11,6
28,1,8:15.0,W. Carter misses 3-pt jump shot from 25 ft,,11,6
29,1,8:12.0,,Defensive rebound by D. Hunter,11,6
30,1,7:59.0,,Shooting foul by W. Carter (drawn by C. Reddish),11,6
31,1,7:59.0,,C. Reddish makes free throw 1 of 2,11,7
32,1,7:59.0,,C. Reddish makes free throw 2 of 2,11,8
33,1,7:39.0,L. Markkanen makes 3-pt jump shot from 25 ft (assist by O. Porter),,14,8
34,1,7:25.0,,Turnover by C. Reddish (traveling),14,8
35,1,7:25.0,,B. Fernando enters the game for A. Len,14,8
36,1,7:25.0,,K. Huerter enters the game for C. Reddish,14,8
37,1,7:12.0,O. Porter makes 3-pt jump shot from 24 ft (assist by T. Satoranský),,17,8
38,1,6:59.0,,T. Young misses 3-pt jump shot from 26 ft,17,8
39,1,6:58.0,Defensive rebound by Team,,17,8
40,1,6:58.0,,Loose ball foul by K. Huerter (drawn by L. Markkanen),17,8
41,1,6:58.0,T. Young enters the game for W. Carter,,17,8
42,1,6:46.0,Personal foul by D. Hunter (drawn by T. Satoranský),,17,8
43,1,6:45.0,Offensive foul by T. Satoranský (drawn by K. Huerter),,17,8
44,1,6:45.0,Turnover by T. Satoranský (offensive foul),,17,8
45,1,6:30.0,,B. Fernando makes 2-pt dunk from 1 ft (assist by J. Parker),17,10
46,1,6:16.0,O. Porter makes 2-pt jump shot from 8 ft,,19,10
47,1,6:04.0,,Turnover by T. Young (bad pass; steal by O. Porter),19,10
48,1,5:57.0,Turnover by T. Satoranský (traveling),,19,10
49,1,5:42.0,,D. Hunter misses 2-pt jump shot from 11 ft,19,10
50,1,5:38.0,Defensive rebound by O. Porter,,19,10
51,1,5:29.0,T. Satoranský makes 3-pt jump shot from 24 ft (assist by T. Young),,22,10
52,1,5:14.0,,J. Parker misses 3-pt jump shot from 25 ft,22,10
53,1,5:12.0,Defensive rebound by Z. LaVine,,22,10
54,1,5:00.0,Z. LaVine misses 3-pt jump shot from 26 ft,,22,10
55,1,4:57.0,,Defensive rebound by D. Hunter,22,10
56,1,4:50.0,,J. Parker misses 2-pt layup from 5 ft,22,10
57,1,4:47.0,,Offensive rebound by B. Fernando,22,10
58,1,4:47.0,,B. Fernando makes 2-pt layup at rim,22,12
59,1,4:47.0,Chicago full timeout,,22,12
60,1,4:47.0,K. Dunn enters the game for O. Porter,,22,12
61,1,4:47.0,C. White enters the game for T. Satoranský,,22,12
62,1,4:47.0,,D. Bembry enters the game for T. Young,22,12
63,1,4:34.0,Turnover by Z. LaVine (bad pass),,22,12
64,1,4:15.0,,K. Huerter misses 2-pt jump shot from 10 ft,22,12
65,1,4:11.0,Defensive rebound by K. Dunn,,22,12
66,1,4:01.0,T. Young misses 3-pt jump shot from 25 ft,,22,12
67,1,3:58.0,,Defensive rebound by K. Huerter,22,12
