,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,UTAH_ACTION,GOLDEN STATE_SCORE,UTAH_SCORE
0,1,11:43.0,,D. Mitchell makes 2-pt jump shot from 4 ft,0,2
1,1,11:22.0,K. Looney misses 2-pt jump shot from 11 ft,,0,2
2,1,11:19.0,,Defensive rebound by R. Gobert,0,2
3,1,11:11.0,,J. Ingles misses 3-pt jump shot from 26 ft,0,2
4,1,11:07.0,Defensive rebound by D. Russell,,0,2
5,1,10:52.0,G. Robinson misses 3-pt jump shot from 24 ft,,0,2
6,1,10:48.0,Offensive rebound by K. Looney,,0,2
7,1,10:47.0,K. Looney makes 2-pt layup from 1 ft,,2,2
8,1,10:33.0,,R. O'Neale makes 3-pt jump shot from 26 ft (assist by J. Ingles),2,5
9,1,10:09.0,D. Russell misses 3-pt jump shot from 23 ft,,2,5
10,1,10:06.0,Offensive rebound by G. Robinson,,2,5
11,1,10:04.0,A. Burks misses 2-pt jump shot from 15 ft,,2,5
12,1,10:01.0,,Defensive rebound by R. Gobert,2,5
13,1,9:57.0,,R. O'Neale misses 3-pt jump shot from 27 ft,2,5
14,1,9:54.0,Defensive rebound by A. Burks,,2,5
15,1,9:44.0,A. Burks makes 3-pt jump shot from 25 ft,,5,5
16,1,9:28.0,,Turnover by B. Bogdanović (bad pass; steal by G. Robinson),5,5
17,1,9:22.0,G. Robinson makes 2-pt dunk from 2 ft (assist by D. Russell),,7,5
18,1,8:59.0,,D. Mitchell makes 2-pt dunk from 3 ft (assist by J. Ingles),7,7
19,1,8:48.0,Personal foul by R. Gobert (drawn by W. Cauley-Stein),,7,7
20,1,8:41.0,Turnover by D. Russell (lost ball),,7,7
21,1,8:40.0,Loose ball foul by D. Russell (drawn by R. O'Neale),,7,7
22,1,8:30.0,,Personal foul by K. Looney (drawn by R. Gobert),7,7
23,1,8:16.0,,Shooting foul by A. Burks (drawn by B. Bogdanović),7,7
24,1,8:16.0,,B. Bogdanović makes free throw 1 of 2,7,8
25,1,8:16.0,,B. Bogdanović misses free throw 2 of 2,7,8
26,1,8:14.0,Defensive rebound by K. Looney,,7,8
27,1,7:58.0,G. Robinson makes 2-pt jump shot from 18 ft,,9,8
28,1,7:45.0,,D. Mitchell makes 3-pt jump shot from 25 ft (assist by R. O'Neale),9,11
29,1,7:25.0,Offensive foul by W. Cauley-Stein (drawn by R. O'Neale),,9,11
30,1,7:25.0,Turnover by W. Cauley-Stein (offensive foul),,9,11
31,1,7:14.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,9,11
32,1,7:12.0,Defensive rebound by W. Cauley-Stein,,9,11
33,1,7:00.0,Turnover by D. Russell (bad pass; steal by J. Ingles),,9,11
34,1,6:52.0,,Turnover by B. Bogdanović (bad pass; steal by D. Russell),9,11
35,1,6:50.0,Personal foul by J. Ingles (drawn by D. Russell),,9,11
36,1,6:50.0,,Utah full timeout,9,11
37,1,6:50.0,O. Spellman enters the game for K. Looney,,9,11
38,1,6:34.0,Turnover by O. Spellman (bad pass; steal by R. O'Neale),,9,11
39,1,6:30.0,,R. O'Neale makes 2-pt dunk from 2 ft,9,13
40,1,6:16.0,A. Burks makes 3-pt jump shot from 26 ft,,12,13
41,1,6:02.0,,Personal foul by W. Cauley-Stein (drawn by R. Gobert),12,13
42,1,6:02.0,M. Chriss enters the game for W. Cauley-Stein,,12,13
43,1,6:02.0,,E. Mudiay enters the game for D. Mitchell,12,13
44,1,5:50.0,,R. O'Neale misses 2-pt jump shot from 7 ft,12,13
45,1,5:49.0,,Offensive rebound by R. O'Neale,12,13
46,1,5:48.0,,R. O'Neale misses 2-pt jump shot from 4 ft,12,13
47,1,5:47.0,,Offensive rebound by R. O'Neale,12,13
48,1,5:45.0,,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by R. O'Neale),12,16
49,1,5:27.0,A. Burks misses 2-pt jump shot from 11 ft,,12,16
50,1,5:26.0,Offensive rebound by M. Chriss,,12,16
51,1,5:26.0,M. Chriss misses 2-pt layup from 2 ft,,12,16
52,1,5:24.0,Offensive rebound by A. Burks,,12,16
53,1,5:24.0,A. Burks makes 2-pt layup from 2 ft,,14,16
54,1,5:07.0,,R. Gobert misses 2-pt layup from 2 ft,14,16
55,1,5:05.0,Defensive rebound by D. Russell,,14,16
56,1,4:56.0,M. Chriss makes 2-pt layup from 2 ft,,16,16
57,1,4:38.0,,Turnover by B. Bogdanović (bad pass; steal by D. Russell),16,16
58,1,4:38.0,D. Lee enters the game for G. Robinson,,16,16
59,1,4:38.0,J. Poole enters the game for D. Russell,,16,16
60,1,4:29.0,J. Poole misses 3-pt jump shot from 24 ft,,16,16
61,1,4:25.0,,Defensive rebound by E. Mudiay,16,16
62,1,4:14.0,,J. Ingles makes 2-pt layup from 6 ft,16,18
63,1,4:04.0,Shooting foul by J. Ingles (drawn by D. Lee),,16,18
64,1,4:04.0,D. Lee makes free throw 1 of 2,,17,18
65,1,4:04.0,,J. Green enters the game for J. Ingles,17,18
66,1,4:04.0,D. Lee makes free throw 2 of 2,,18,18
67,1,3:49.0,,B. Bogdanović misses 2-pt layup from 3 ft (block by M. Chriss),18,18
68,1,3:46.0,Defensive rebound by O. Spellman,,18,18
69,1,3:43.0,O. Spellman makes 2-pt layup from 3 ft,,20,18
70,1,3:28.0,,Personal foul by A. Burks (drawn by E. Mudiay),20,18
71,1,3:28.0,,E. Mudiay makes free throw 1 of 2,20,19
72,1,3:28.0,J. Evans enters the game for A. Burks,,20,19
73,1,3:28.0,,D. Mitchell enters the game for R. O'Neale,20,19
74,1,3:28.0,,E. Mudiay makes free throw 2 of 2,20,20
75,1,3:17.0,J. Evans makes 2-pt jump shot from 11 ft (assist by J. Poole),,22,20
76,1,2:59.0,,Personal foul by J. Poole (drawn by B. Bogdanović),22,20
77,1,2:59.0,Golden State full timeout,,22,20
78,1,2:59.0,,E. Davis enters the game for R. Gobert,22,20
79,1,2:59.0,,B. Bogdanović makes free throw 1 of 2,22,21
80,1,2:59.0,,B. Bogdanović makes free throw 2 of 2,22,22
81,1,2:47.0,J. Evans misses 2-pt jump shot from 21 ft,,22,22
82,1,2:44.0,Offensive rebound by M. Chriss,,22,22
83,1,2:41.0,M. Chriss misses 2-pt jump shot from 2 ft,,22,22
84,1,2:41.0,Offensive rebound by O. Spellman,,22,22
85,1,2:39.0,O. Spellman misses 2-pt jump shot from 2 ft (block by D. Mitchell),,22,22
86,1,2:39.0,Offensive rebound by Team,,22,22
87,1,2:39.0,,G. Niang enters the game for B. Bogdanović,22,22
88,1,2:32.0,J. Evans misses 2-pt jump shot from 18 ft,,22,22
89,1,2:27.0,Offensive rebound by M. Chriss,,22,22
90,1,2:26.0,M. Chriss makes 2-pt dunk from 2 ft,,24,22
91,1,2:10.0,,G. Niang misses 3-pt jump shot from 25 ft,24,22
92,1,2:07.0,Defensive rebound by M. Chriss,,24,22
93,1,1:51.0,D. Lee makes 3-pt jump shot from 27 ft (assist by J. Poole),,27,22
94,1,1:23.0,,J. Green misses 3-pt jump shot from 25 ft,27,22
95,1,1:20.0,Defensive rebound by M. Chriss,,27,22
96,1,1:14.0,J. Evans misses 2-pt jump shot from 13 ft,,27,22
97,1,1:12.0,,Defensive rebound by Team,27,22
98,1,1:00.0,,E. Mudiay misses 2-pt layup from 3 ft (block by J. Evans),27,22
99,1,1:00.0,Defensive rebound by Team,,27,22
100,1,0:40.0,Shooting foul by J. Green (drawn by M. Chriss),,27,22
101,1,0:40.0,M. Chriss makes free throw 1 of 2,,28,22
102,1,0:40.0,M. Chriss misses free throw 2 of 2,,28,22
103,1,0:38.0,,Defensive rebound by E. Davis,28,22
104,1,0:27.0,,Turnover by D. Mitchell (bad pass),28,22
105,1,0:07.0,J. Evans misses 2-pt jump shot from 21 ft,,28,22
106,1,0:03.0,Offensive rebound by O. Spellman,,28,22
107,1,0:03.0,Shooting foul by D. Mitchell (drawn by D. Lee),,28,22
108,1,0:03.0,D. Lee makes free throw 1 of 2,,29,22
109,1,0:03.0,G. Robinson enters the game for J. Poole,,29,22
110,1,0:03.0,D. Lee misses free throw 2 of 2,,29,22
111,1,0:01.0,,Defensive rebound by J. Green,29,22
112,1,0:00.0,,J. Green misses 3-pt jump shot from 50 ft,29,22
113,1,0:00.0,,Offensive rebound by Team,29,22
114,2,12:00.0,Violation by Team (delay of game),,29,22
115,2,11:45.0,D. Russell makes 2-pt jump shot from 18 ft,,31,22
116,2,11:28.0,,Personal foul by D. Lee (drawn by D. Mitchell),31,22
117,2,11:28.0,J. Evans enters the game for J. Poole,,31,22
118,2,11:18.0,,Turnover by D. Mitchell (bad pass; steal by M. Chriss),31,22
119,2,11:14.0,Turnover by D. Russell (out of bounds lost ball),,31,22
120,2,10:59.0,,D. Mitchell misses 3-pt jump shot from 25 ft,31,22
121,2,10:55.0,Defensive rebound by M. Chriss,,31,22
122,2,10:46.0,O. Spellman misses 3-pt jump shot from 23 ft,,31,22
123,2,10:43.0,,Defensive rebound by E. Davis,31,22
124,2,10:27.0,,G. Niang makes 3-pt jump shot from 25 ft (assist by J. Ingles),31,25
125,2,10:11.0,D. Lee makes 2-pt jump shot from 19 ft,,33,25
126,2,9:53.0,,D. Mitchell makes 2-pt dunk from 2 ft,33,27
127,2,9:34.0,Turnover by D. Russell (bad pass; steal by E. Davis),,33,27
128,2,9:34.0,,Turnover by E. Davis (bad pass),33,27
129,2,9:34.0,K. Looney enters the game for O. Spellman,,33,27
130,2,9:24.0,D. Russell makes 3-pt jump shot from 25 ft (assist by M. Chriss),,36,27
131,2,9:10.0,,J. Green misses 2-pt layup from 3 ft,36,27
132,2,9:07.0,Defensive rebound by K. Looney,,36,27
133,2,9:03.0,J. Evans misses 2-pt jump shot from 16 ft,,36,27
134,2,9:00.0,,Defensive rebound by E. Davis,36,27
135,2,8:53.0,,Shooting foul by M. Chriss (drawn by D. Mitchell),36,27
136,2,8:53.0,,D. Mitchell makes free throw 1 of 2,36,28
137,2,8:53.0,W. Cauley-Stein enters the game for M. Chriss,,36,28
138,2,8:53.0,,B. Bogdanović enters the game for E. Davis,36,28
139,2,8:53.0,,R. Gobert enters the game for G. Niang,36,28
140,2,8:53.0,,D. Mitchell makes free throw 2 of 2,36,29
141,2,8:36.0,Shooting foul by D. Mitchell (drawn by D. Lee),,36,29
142,2,8:36.0,D. Lee misses free throw 1 of 2,,36,29
143,2,8:36.0,Offensive rebound by Team,,36,29
144,2,8:36.0,,E. Mudiay enters the game for D. Mitchell,36,29
145,2,8:36.0,D. Lee makes free throw 2 of 2,,37,29
146,2,8:19.0,,J. Green misses 3-pt jump shot from 25 ft,37,29
147,2,8:17.0,,Offensive rebound by Team,37,29
148,2,8:17.0,Loose ball foul by W. Cauley-Stein (drawn by R. Gobert),,37,29
149,2,8:17.0,G. Robinson enters the game for D. Lee,,37,29
150,2,8:17.0,,R. O'Neale enters the game for J. Ingles,37,29
151,2,8:04.0,,B. Bogdanović misses 2-pt layup from 7 ft,37,29
152,2,8:02.0,Defensive rebound by G. Robinson,,37,29
153,2,7:52.0,D. Russell makes 2-pt layup from 2 ft,,39,29
154,2,7:51.0,,Utah full timeout,39,29
155,2,7:51.0,,G. Niang enters the game for J. Green,39,29
156,2,7:28.0,,R. O'Neale makes 3-pt jump shot from 22 ft (assist by B. Bogdanović),39,32
157,2,7:09.0,G. Robinson makes 2-pt jump shot from 5 ft (assist by W. Cauley-Stein),,41,32
158,2,6:52.0,,Shooting foul by K. Looney (drawn by E. Mudiay),41,32
159,2,6:52.0,,E. Mudiay makes free throw 1 of 2,41,33
160,2,6:52.0,,E. Mudiay misses free throw 2 of 2,41,33
161,2,6:50.0,Defensive rebound by G. Robinson,,41,33
162,2,6:36.0,W. Cauley-Stein misses 2-pt layup from 3 ft,,41,33
163,2,6:35.0,,Defensive rebound by R. Gobert,41,33
164,2,6:35.0,,Personal foul by D. Russell (drawn by R. Gobert),41,33
165,2,6:35.0,,R. Gobert makes free throw 1 of 2,41,34
166,2,6:35.0,A. Burks enters the game for D. Russell,,41,34
167,2,6:35.0,,R. Gobert makes free throw 2 of 2,41,35
168,2,6:21.0,A. Burks misses 2-pt jump shot from 17 ft,,41,35
169,2,6:18.0,,Defensive rebound by B. Bogdanović,41,35
170,2,5:58.0,,Turnover by B. Bogdanović (lost ball; steal by W. Cauley-Stein),41,35
171,2,5:50.0,J. Evans misses 2-pt jump shot from 10 ft,,41,35
172,2,5:49.0,,Defensive rebound by R. Gobert,41,35
