,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,PHILADELPHIA_ACTION,SACRAMENTO_SCORE,PHILADELPHIA_SCORE
0,1,11:48.0,,B. Simmons misses 2-pt hook shot from 10 ft,0,0
1,1,11:45.0,,Offensive rebound by J. Embiid,0,0
2,1,11:37.0,,J. Embiid makes 2-pt dunk from 1 ft,0,2
3,1,11:22.0,N. Bjelica misses 3-pt jump shot from 25 ft (block by A. Horford),,0,2
4,1,11:17.0,,Defensive rebound by J. Embiid,0,2
5,1,11:15.0,,J. Embiid makes 2-pt jump shot from 19 ft,0,4
6,1,10:55.0,B. Hield misses 2-pt jump shot from 7 ft,,0,4
7,1,10:50.0,Offensive rebound by N. Bjelica,,0,4
8,1,10:50.0,N. Bjelica misses 2-pt layup at rim,,0,4
9,1,10:49.0,,Defensive rebound by J. Embiid,0,4
10,1,10:46.0,,J. Embiid misses 3-pt jump shot from 25 ft,0,4
11,1,10:43.0,Defensive rebound by H. Barnes,,0,4
12,1,10:36.0,H. Barnes misses 2-pt jump shot from 4 ft,,0,4
13,1,10:33.0,,Defensive rebound by B. Simmons,0,4
14,1,10:30.0,,T. Harris makes 2-pt layup from 1 ft (assist by B. Simmons),0,6
15,1,10:13.0,H. Barnes misses 2-pt layup from 1 ft,,0,6
16,1,10:11.0,,Defensive rebound by J. Embiid,0,6
17,1,10:07.0,,Turnover by J. Embiid (bad pass; steal by C. Joseph),0,6
18,1,10:02.0,C. Joseph makes 2-pt jump shot from 6 ft,,2,6
19,1,9:50.0,,T. Harris makes 2-pt jump shot from 21 ft (assist by A. Horford),2,8
20,1,9:42.0,B. Hield misses 3-pt jump shot from 26 ft,,2,8
21,1,9:39.0,,Defensive rebound by T. Harris,2,8
22,1,9:29.0,,T. Harris misses 2-pt layup from 3 ft,2,8
23,1,9:27.0,,Offensive rebound by B. Simmons,2,8
24,1,9:23.0,,B. Simmons misses 2-pt layup from 3 ft,2,8
25,1,9:21.0,Defensive rebound by R. Holmes,,2,8
26,1,9:13.0,C. Joseph misses 2-pt layup from 3 ft (block by J. Richardson),,2,8
27,1,9:09.0,,Defensive rebound by T. Harris,2,8
28,1,8:59.0,,A. Horford misses 3-pt jump shot from 25 ft,2,8
29,1,8:56.0,,Offensive rebound by J. Embiid,2,8
30,1,8:53.0,,J. Richardson makes 3-pt jump shot from 24 ft,2,11
31,1,8:31.0,N. Bjelica misses 3-pt jump shot from 25 ft,,2,11
32,1,8:28.0,,Defensive rebound by J. Embiid,2,11
33,1,8:21.0,,J. Richardson misses 3-pt jump shot from 27 ft,2,11
34,1,8:15.0,Defensive rebound by C. Joseph,,2,11
35,1,8:11.0,H. Barnes misses 3-pt jump shot from 27 ft,,2,11
36,1,8:09.0,,Defensive rebound by Team,2,11
37,1,7:58.0,,J. Embiid misses 2-pt jump shot from 1 ft (block by R. Holmes),2,11
38,1,7:55.0,Defensive rebound by R. Holmes,,2,11
39,1,7:49.0,Turnover by N. Bjelica (lost ball; steal by A. Horford),,2,11
40,1,7:45.0,,Personal foul by R. Holmes (drawn by J. Embiid),2,11
41,1,7:39.0,,T. Harris misses 3-pt jump shot from 26 ft,2,11
42,1,7:35.0,Defensive rebound by R. Holmes,,2,11
43,1,7:28.0,B. Hield misses 3-pt jump shot from 27 ft,,2,11
44,1,7:25.0,,Defensive rebound by J. Embiid,2,11
45,1,7:08.0,,J. Embiid misses 2-pt jump shot from 12 ft,2,11
46,1,7:07.0,,Offensive rebound by Team,2,11
47,1,7:07.0,Loose ball foul by C. Joseph (drawn by T. Harris),,2,11
48,1,7:01.0,,J. Richardson misses 3-pt jump shot from 26 ft,2,11
49,1,6:58.0,Defensive rebound by B. Hield,,2,11
50,1,6:48.0,B. Hield makes 2-pt jump shot from 19 ft,,4,11
51,1,6:24.0,,T. Harris makes 2-pt hook shot from 3 ft (assist by J. Richardson),4,13
52,1,6:10.0,Turnover by R. Holmes (traveling),,4,13
53,1,6:10.0,,Philadelphia full timeout,4,13
54,1,6:10.0,,J. Ennis enters the game for J. Embiid,4,13
55,1,6:10.0,,F. Korkmaz enters the game for J. Richardson,4,13
56,1,6:00.0,,B. Simmons misses 2-pt hook shot from 7 ft,4,13
57,1,5:57.0,Defensive rebound by H. Barnes,,4,13
58,1,5:42.0,B. Hield makes 3-pt jump shot from 24 ft (assist by C. Joseph),,7,13
59,1,5:19.0,,A. Horford makes 2-pt hook shot from 7 ft,7,15
60,1,5:00.0,C. Joseph misses 2-pt jump shot from 21 ft,,7,15
61,1,4:55.0,,Defensive rebound by A. Horford,7,15
62,1,4:38.0,,A. Horford makes 2-pt jump shot from 11 ft,7,17
63,1,4:36.0,Sacramento full timeout,,7,17
64,1,4:36.0,B. Bogdanović enters the game for N. Bjelica,,7,17
65,1,4:36.0,D. Dedmon enters the game for R. Holmes,,7,17
66,1,4:36.0,J. James enters the game for C. Joseph,,7,17
67,1,4:36.0,,M. Scott enters the game for T. Harris,7,17
68,1,4:20.0,H. Barnes misses 2-pt layup from 3 ft (block by J. Ennis),,7,17
69,1,4:20.0,,Defensive rebound by Team,7,17
70,1,4:06.0,,M. Scott misses 3-pt jump shot from 24 ft,7,17
71,1,4:03.0,Defensive rebound by H. Barnes,,7,17
72,1,3:55.0,J. James makes 2-pt layup from 1 ft (assist by B. Hield),,9,17
73,1,3:43.0,,B. Simmons makes 2-pt dunk from 1 ft (assist by A. Horford),9,19
74,1,3:34.0,B. Hield makes 2-pt layup from 2 ft (assist by B. Bogdanović),,11,19
75,1,3:34.0,Shooting foul by F. Korkmaz (drawn by B. Hield),,11,19
76,1,3:34.0,,J. Embiid enters the game for J. Ennis,11,19
77,1,3:34.0,,R. Neto enters the game for A. Horford,11,19
78,1,3:34.0,,J. Richardson enters the game for B. Simmons,11,19
79,1,3:34.0,B. Hield makes free throw 1 of 1,,12,19
80,1,3:20.0,,J. Richardson makes 2-pt jump shot from 21 ft,12,21
81,1,3:04.0,D. Dedmon misses 3-pt jump shot from 27 ft,,12,21
82,1,3:00.0,,Defensive rebound by J. Embiid,12,21
83,1,2:45.0,,J. Embiid makes 2-pt jump shot from 17 ft,12,23
84,1,2:20.0,H. Barnes makes 2-pt jump shot from 20 ft,,14,23
85,1,2:04.0,,J. Richardson makes 2-pt jump shot from 18 ft (assist by M. Scott),14,25
86,1,1:39.0,B. Hield makes 2-pt jump shot from 3 ft,,16,25
87,1,1:29.0,,Turnover by F. Korkmaz (step out of bounds),16,25
88,1,1:29.0,N. Bjelica enters the game for H. Barnes,,16,25
89,1,1:29.0,Y. Ferrell enters the game for J. James,,16,25
90,1,1:19.0,B. Bogdanović makes 2-pt jump shot from 20 ft,,18,25
91,1,1:03.0,,Personal foul by B. Hield (drawn by J. Richardson),18,25
92,1,0:51.0,,J. Embiid misses 2-pt layup at rim,18,25
93,1,0:49.0,Defensive rebound by B. Bogdanović,,18,25
94,1,0:39.0,B. Hield misses 2-pt jump shot from 14 ft,,18,25
95,1,0:35.0,,Defensive rebound by M. Scott,18,25
96,1,0:27.0,,J. Embiid misses 3-pt jump shot from 26 ft,18,25
97,1,0:23.0,,Offensive rebound by M. Scott,18,25
98,1,0:14.0,,M. Scott misses 3-pt jump shot from 25 ft,18,25
99,1,0:11.0,Defensive rebound by N. Bjelica,,18,25
100,1,0:11.0,Personal foul by J. Richardson (drawn by N. Bjelica),,18,25
101,1,0:00.0,D. Dedmon misses 2-pt jump shot from 19 ft,,18,25
102,1,0:00.0,Offensive rebound by Team,,18,25
103,2,11:42.0,N. Bjelica misses 2-pt layup from 2 ft,,18,25
104,2,11:39.0,Offensive rebound by D. Dedmon,,18,25
105,2,11:38.0,D. Dedmon makes 2-pt layup from 2 ft,,20,25
106,2,11:17.0,,J. Embiid makes 2-pt layup from 3 ft (assist by J. Richardson),20,27
107,2,10:55.0,D. Dedmon misses 3-pt jump shot from 25 ft,,20,27
108,2,10:52.0,Offensive rebound by Y. Ferrell,,20,27
109,2,10:49.0,D. Dedmon makes 2-pt hook shot from 1 ft (assist by Y. Ferrell),,22,27
110,2,10:26.0,,J. Embiid misses 2-pt jump shot from 16 ft,22,27
111,2,10:23.0,Defensive rebound by Y. Ferrell,,22,27
112,2,10:11.0,J. James misses 2-pt jump shot from 21 ft,,22,27
113,2,10:09.0,,Defensive rebound by J. Embiid,22,27
114,2,9:57.0,,Personal foul by D. Dedmon (drawn by J. Embiid),22,27
115,2,9:57.0,R. Holmes enters the game for D. Dedmon,,22,27
116,2,9:57.0,,M. Thybulle enters the game for M. Scott,22,27
117,2,9:51.0,,Shooting foul by J. James (drawn by T. Harris),22,27
118,2,9:51.0,,T. Harris misses free throw 1 of 2,22,27
119,2,9:51.0,,Offensive rebound by Team,22,27
120,2,9:51.0,B. Hield enters the game for B. Bogdanović,,22,27
121,2,9:51.0,,T. Harris makes free throw 2 of 2,22,28
122,2,9:38.0,Turnover by N. Bjelica (bad pass),,22,28
123,2,9:15.0,,Turnover by J. Embiid (bad pass),22,28
124,2,8:55.0,B. Hield misses 3-pt jump shot from 26 ft,,22,28
125,2,8:52.0,,Defensive rebound by T. Harris,22,28
126,2,8:47.0,,T. Harris misses 2-pt layup from 1 ft,22,28
127,2,8:47.0,,Offensive rebound by J. Embiid,22,28
128,2,8:43.0,,J. Embiid makes 2-pt layup from 1 ft,22,30
129,2,8:35.0,Y. Ferrell misses 2-pt jump shot from 12 ft,,22,30
130,2,8:31.0,,Defensive rebound by T. Harris,22,30
131,2,8:30.0,,Personal foul by N. Bjelica (drawn by T. Harris),22,30
132,2,8:30.0,H. Barnes enters the game for Y. Ferrell,,22,30
133,2,8:30.0,C. Joseph enters the game for J. James,,22,30
134,2,8:30.0,,A. Horford enters the game for J. Embiid,22,30
135,2,8:30.0,,F. Korkmaz enters the game for R. Neto,22,30
136,2,8:30.0,,B. Simmons enters the game for J. Richardson,22,30
137,2,8:28.0,,Turnover by B. Simmons (bad pass; steal by C. Joseph),22,30
138,2,8:17.0,N. Bjelica makes 2-pt jump shot from 15 ft (assist by H. Barnes),,24,30
139,2,7:56.0,,T. Harris makes 2-pt jump shot from 15 ft,24,32
140,2,7:32.0,B. Hield misses 2-pt jump shot from 20 ft,,24,32
141,2,7:29.0,Offensive rebound by B. Hield,,24,32
142,2,7:29.0,B. Hield misses 2-pt layup from 11 ft,,24,32
143,2,7:29.0,Offensive rebound by Team,,24,32
144,2,7:17.0,C. Joseph misses 2-pt jump shot from 17 ft,,24,32
145,2,7:14.0,,Defensive rebound by F. Korkmaz,24,32
146,2,7:07.0,,A. Horford misses 2-pt jump shot from 22 ft,24,32
147,2,7:05.0,Defensive rebound by B. Hield,,24,32
148,2,7:00.0,B. Hield misses 2-pt jump shot from 22 ft,,24,32
149,2,6:56.0,Offensive rebound by N. Bjelica,,24,32
150,2,6:56.0,N. Bjelica misses 2-pt layup from 2 ft (block by T. Harris),,24,32
151,2,6:54.0,,Defensive rebound by B. Simmons,24,32
152,2,6:54.0,,Personal foul by B. Hield (drawn by F. Korkmaz),24,32
153,2,6:54.0,,Philadelphia full timeout,24,32
154,2,6:40.0,,B. Simmons makes 2-pt jump shot from 12 ft,24,34
155,2,6:21.0,Turnover by C. Joseph (lost ball; steal by M. Thybulle),,24,34
156,2,6:21.0,,Turnover by M. Thybulle (traveling),24,34
157,2,6:21.0,B. Bogdanović enters the game for B. Hield,,24,34
158,2,6:16.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,24,34
159,2,6:14.0,,Defensive rebound by Team,24,34
160,2,5:55.0,,B. Simmons misses 2-pt jump shot from 18 ft,24,34
161,2,5:53.0,Defensive rebound by R. Holmes,,24,34
162,2,5:41.0,Shooting foul by M. Thybulle (drawn by R. Holmes),,24,34
163,2,5:41.0,R. Holmes misses free throw 1 of 2,,24,34
164,2,5:41.0,Offensive rebound by Team,,24,34
165,2,5:41.0,,J. Ennis enters the game for M. Thybulle,24,34
166,2,5:41.0,R. Holmes makes free throw 2 of 2,,25,34
167,2,5:26.0,,A. Horford makes 2-pt jump shot from 8 ft (assist by B. Simmons),25,36
168,2,5:03.0,C. Joseph misses 2-pt jump shot from 16 ft,,25,36
169,2,4:59.0,,Defensive rebound by B. Simmons,25,36
170,2,4:55.0,,Turnover by B. Simmons (bad pass; steal by B. Bogdanović),25,36
171,2,4:50.0,B. Bogdanović makes 2-pt layup at rim,,27,36
172,2,4:50.0,Shooting foul by B. Simmons (drawn by B. Bogdanović),,27,36
173,2,4:50.0,B. Bogdanović misses free throw 1 of 1,,27,36
174,2,4:48.0,,Defensive rebound by B. Simmons,27,36
175,2,4:27.0,,A. Horford makes 2-pt jump shot from 12 ft (assist by B. Simmons),27,38
176,2,4:20.0,Personal foul by F. Korkmaz (drawn by B. Bogdanović),,27,38
177,2,4:20.0,D. Dedmon enters the game for N. Bjelica,,27,38
178,2,4:20.0,B. Hield enters the game for R. Holmes,,27,38
179,2,4:20.0,,J. Embiid enters the game for T. Harris,27,38
180,2,4:20.0,,J. Richardson enters the game for A. Horford,27,38
181,2,4:20.0,,M. Scott enters the game for F. Korkmaz,27,38
182,2,4:14.0,B. Bogdanović makes 2-pt jump shot from 20 ft (assist by B. Hield),,29,38
183,2,4:04.0,,J. Ennis misses 3-pt jump shot from 23 ft (block by C. Joseph),29,38
184,2,4:01.0,Defensive rebound by B. Bogdanović,,29,38
185,2,3:57.0,B. Bogdanović misses 3-pt jump shot from 27 ft,,29,38
186,2,3:57.0,,Defensive rebound by Team,29,38
187,2,3:47.0,,Turnover by B. Simmons (bad pass; steal by D. Dedmon),29,38
188,2,3:44.0,D. Dedmon makes 2-pt dunk from 2 ft,,31,38
189,2,3:26.0,,Turnover by J. Richardson (bad pass; steal by H. Barnes),31,38
190,2,3:22.0,B. Hield makes 2-pt layup from 2 ft (assist by C. Joseph),,33,38
191,2,3:22.0,,Philadelphia full timeout,33,38
192,2,3:09.0,,Turnover by J. Embiid (3 sec),33,38
193,2,3:01.0,Turnover by C. Joseph (back court),,33,38
194,2,2:55.0,,Personal foul by D. Dedmon (drawn by J. Embiid),33,38
195,2,2:55.0,,J. Embiid makes free throw 1 of 2,33,39
196,2,2:55.0,,J. Embiid misses free throw 2 of 2,33,39
197,2,2:52.0,Defensive rebound by H. Barnes,,33,39
198,2,2:42.0,B. Hield misses 2-pt jump shot from 23 ft,,33,39
199,2,2:41.0,Offensive rebound by C. Joseph,,33,39
200,2,2:31.0,H. Barnes makes 3-pt jump shot from 26 ft (assist by C. Joseph),,36,39
201,2,2:11.0,,Turnover by B. Simmons (bad pass),36,39
202,2,1:56.0,B. Bogdanović makes 2-pt layup from 1 ft,,38,39
203,2,1:56.0,Shooting foul by J. Ennis (drawn by B. Bogdanović),,38,39
204,2,1:56.0,B. Bogdanović makes free throw 1 of 1,,39,39
205,2,1:37.0,,Shooting foul by D. Dedmon (drawn by J. Embiid),39,39
206,2,1:37.0,,J. Embiid makes free throw 1 of 2,39,40
