,QUARTER,TIME_REMAINING,NEW YORK_ACTION,PHOENIX_ACTION,NEW YORK_SCORE,PHOENIX_SCORE
0,1,11:46.0,M. Morris misses 2-pt jump shot from 16 ft,,0,0
1,1,11:43.0,,Defensive rebound by D. Ayton,0,0
2,1,11:24.0,,K. Oubre makes 2-pt jump shot from 17 ft (assist by D. Ayton),0,2
3,1,11:12.0,E. Payton makes 2-pt jump shot from 7 ft,,2,2
4,1,10:57.0,,A. Baynes misses 3-pt jump shot from 25 ft,2,2
5,1,10:54.0,Defensive rebound by E. Payton,,2,2
6,1,10:46.0,M. Morris misses 3-pt jump shot from 25 ft,,2,2
7,1,10:43.0,,Defensive rebound by A. Baynes,2,2
8,1,10:35.0,,D. Booker misses 2-pt jump shot from 10 ft,2,2
9,1,10:31.0,Defensive rebound by J. Randle,,2,2
10,1,10:20.0,J. Randle makes 2-pt jump shot from 10 ft,,4,2
11,1,10:02.0,,D. Booker makes 2-pt layup from 1 ft,4,4
12,1,9:51.0,J. Randle misses 3-pt jump shot from 25 ft,,4,4
13,1,9:48.0,,Defensive rebound by A. Baynes,4,4
14,1,9:41.0,,D. Ayton misses 2-pt jump shot from 18 ft,4,4
15,1,9:38.0,Defensive rebound by T. Gibson,,4,4
16,1,9:33.0,Shooting foul by R. Rubio (drawn by E. Payton),,4,4
17,1,9:33.0,E. Payton misses free throw 1 of 2,,4,4
18,1,9:33.0,Offensive rebound by Team,,4,4
19,1,9:33.0,E. Payton misses free throw 2 of 2,,4,4
20,1,9:30.0,,Defensive rebound by R. Rubio,4,4
21,1,9:26.0,,R. Rubio makes 2-pt layup at rim,4,6
22,1,9:26.0,,Shooting foul by E. Payton (drawn by R. Rubio),4,6
23,1,9:26.0,,R. Rubio misses free throw 1 of 1,4,6
24,1,9:24.0,Defensive rebound by J. Randle,,4,6
25,1,9:11.0,J. Randle misses 2-pt hook shot from 6 ft,,4,6
26,1,9:07.0,Offensive rebound by T. Gibson,,4,6
27,1,9:01.0,R. Barrett misses 2-pt jump shot from 20 ft,,4,6
28,1,8:58.0,,Defensive rebound by D. Ayton,4,6
29,1,8:54.0,,D. Booker misses 3-pt jump shot from 25 ft,4,6
30,1,8:52.0,Defensive rebound by T. Gibson,,4,6
31,1,8:46.0,E. Payton makes 2-pt layup from 3 ft,,6,6
32,1,8:36.0,,A. Baynes misses 3-pt jump shot from 27 ft,6,6
33,1,8:33.0,Defensive rebound by J. Randle,,6,6
34,1,8:26.0,E. Payton makes 2-pt layup from 1 ft (assist by J. Randle),,8,6
35,1,8:12.0,,Personal foul by R. Barrett (drawn by D. Booker),8,6
36,1,7:59.0,,D. Ayton misses 2-pt jump shot from 4 ft,8,6
37,1,7:57.0,Defensive rebound by T. Gibson,,8,6
38,1,7:50.0,Turnover by R. Barrett (traveling),,8,6
39,1,7:39.0,,D. Booker makes 2-pt jump shot from 14 ft (assist by R. Rubio),8,8
40,1,7:21.0,M. Morris misses 2-pt jump shot from 5 ft,,8,8
41,1,7:19.0,,Defensive rebound by A. Baynes,8,8
42,1,7:15.0,,Personal foul by J. Randle (drawn by D. Ayton),8,8
43,1,7:15.0,M. Robinson enters the game for T. Gibson,,8,8
44,1,7:07.0,,Turnover by R. Rubio (lost ball; steal by M. Morris),8,8
45,1,7:06.0,Turnover by J. Randle (out of bounds lost ball),,8,8
46,1,7:06.0,,E. Okobo enters the game for R. Rubio,8,8
