,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,DETROIT_ACTION,CHARLOTTE_SCORE,DETROIT_SCORE
0,1,11:40.0,M. Bridges makes 2-pt hook shot from 6 ft,,2,0
1,1,11:20.0,,T. Maker makes 2-pt jump shot from 18 ft (assist by T. Snell),2,2
2,1,11:01.0,D. Graham misses 3-pt jump shot from 24 ft,,2,2
3,1,10:58.0,Offensive rebound by M. Bridges,,2,2
4,1,10:58.0,M. Bridges makes 2-pt layup from 1 ft,,4,2
5,1,10:46.0,,T. Maker misses 3-pt jump shot from 25 ft,4,2
6,1,10:43.0,Defensive rebound by T. Rozier,,4,2
7,1,10:38.0,M. Bridges misses 3-pt jump shot from 27 ft,,4,2
8,1,10:34.0,,Defensive rebound by B. Brown,4,2
9,1,10:20.0,,B. Brown misses 3-pt jump shot from 23 ft,4,2
10,1,10:16.0,Defensive rebound by T. Rozier,,4,2
11,1,10:08.0,C. Zeller misses 2-pt hook shot from 4 ft,,4,2
12,1,10:05.0,,Defensive rebound by T. Maker,4,2
13,1,10:00.0,,Offensive foul by C. Wood (drawn by D. Graham),4,2
14,1,10:00.0,,Turnover by C. Wood (offensive foul),4,2
15,1,9:47.0,P. Washington makes 2-pt hook shot from 6 ft,,6,2
16,1,9:26.0,,C. Wood misses 2-pt jump shot from 12 ft,6,2
17,1,9:23.0,,Offensive rebound by T. Maker,6,2
18,1,9:13.0,,R. Jackson misses 3-pt jump shot from 23 ft,6,2
19,1,9:10.0,Defensive rebound by C. Zeller,,6,2
20,1,9:01.0,T. Rozier misses 2-pt jump shot from 13 ft,,6,2
21,1,8:57.0,,Defensive rebound by T. Maker,6,2
22,1,8:41.0,,Personal foul by M. Bridges (drawn by T. Snell),6,2
23,1,8:30.0,,R. Jackson makes 3-pt jump shot from 25 ft (assist by T. Maker),6,5
24,1,8:16.0,Def 3 sec tech foul by Team,,6,5
25,1,8:16.0,T. Rozier makes technical free throw,,7,5
26,1,8:10.0,D. Graham misses 3-pt jump shot from 25 ft,,7,5
27,1,8:07.0,,Defensive rebound by B. Brown,7,5
