,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,CHICAGO_ACTION,MINNESOTA_SCORE,CHICAGO_SCORE
0,1,11:36.0,,L. Kornet misses 3-pt jump shot from 29 ft,0,0
1,1,11:34.0,,Offensive rebound by K. Dunn,0,0
2,1,11:33.0,,Z. LaVine misses 3-pt jump shot from 24 ft,0,0
3,1,11:33.0,Defensive rebound by K. Towns,,0,0
4,1,11:22.0,Turnover by A. Wiggins (step out of bounds),,0,0
5,1,11:07.0,,L. Markkanen makes 3-pt jump shot from 24 ft (assist by T. Satoranský),0,3
6,1,10:49.0,K. Towns makes 3-pt jump shot from 27 ft (assist by A. Wiggins),,3,3
7,1,10:33.0,,L. Markkanen misses 3-pt jump shot from 26 ft,3,3
8,1,10:30.0,Defensive rebound by R. Covington,,3,3
9,1,10:16.0,K. Towns makes 2-pt layup from 2 ft (assist by R. Covington),,5,3
10,1,10:16.0,Shooting foul by L. Kornet (drawn by K. Towns),,5,3
11,1,10:16.0,K. Towns makes free throw 1 of 1,,6,3
12,1,10:06.0,,T. Satoranský misses 3-pt jump shot from 25 ft,6,3
13,1,10:02.0,Defensive rebound by K. Towns,,6,3
14,1,9:56.0,Turnover by R. Covington (lost ball; steal by L. Markkanen),,6,3
15,1,9:51.0,,Turnover by L. Markkanen (bad pass),6,3
16,1,9:41.0,Turnover by J. Culver (step out of bounds),,6,3
17,1,9:30.0,,L. Kornet makes 2-pt dunk from 1 ft (assist by T. Satoranský),6,5
18,1,9:13.0,Turnover by R. Covington (bad pass; steal by L. Kornet),,6,5
19,1,8:58.0,,T. Satoranský makes 2-pt jump shot from 8 ft (assist by L. Kornet),6,7
20,1,8:40.0,S. Napier makes 2-pt layup from 2 ft (assist by K. Towns),,8,7
21,1,8:24.0,,L. Markkanen misses 2-pt jump shot from 4 ft (block by R. Covington),8,7
22,1,8:23.0,,Offensive rebound by L. Markkanen,8,7
23,1,8:19.0,,L. Kornet makes 3-pt jump shot from 26 ft (assist by K. Dunn),8,10
24,1,8:05.0,Turnover by A. Wiggins (lost ball; steal by T. Satoranský),,8,10
25,1,8:00.0,,L. Kornet misses 3-pt jump shot from 27 ft,8,10
26,1,7:55.0,Defensive rebound by R. Covington,,8,10
27,1,7:49.0,R. Covington misses 3-pt jump shot from 26 ft,,8,10
28,1,7:45.0,,Defensive rebound by K. Dunn,8,10
29,1,7:42.0,,L. Kornet makes 2-pt dunk from 1 ft (assist by Z. LaVine),8,12
30,1,7:14.0,K. Towns makes 2-pt jump shot from 2 ft,,10,12
31,1,6:58.0,,Z. LaVine misses 2-pt layup from 5 ft,10,12
32,1,6:56.0,Defensive rebound by S. Napier,,10,12
33,1,6:50.0,K. Towns misses 2-pt jump shot from 14 ft,,10,12
34,1,6:47.0,,Defensive rebound by L. Markkanen,10,12
35,1,6:36.0,,Personal foul by J. Culver (drawn by T. Satoranský),10,12
36,1,6:36.0,,Chicago full timeout,10,12
37,1,6:36.0,J. Okogie enters the game for J. Culver,,10,12
38,1,6:25.0,,Turnover by Z. LaVine (traveling),10,12
