,QUARTER,TIME_REMAINING,CHICAGO_ACTION,INDIANA_ACTION,CHICAGO_SCORE,INDIANA_SCORE
0,1,11:48.0,W. Carter makes 2-pt jump shot from 9 ft (assist by Z. LaVine),,2,0
1,1,11:32.0,,G. Bitadze makes 2-pt jump shot from 18 ft (assist by M. Brogdon),2,2
2,1,11:09.0,W. Carter makes 2-pt jump shot from 4 ft (assist by O. Porter),,4,2
3,1,10:54.0,,M. Brogdon makes 3-pt jump shot from 28 ft (assist by G. Bitadze),4,5
4,1,10:35.0,Z. LaVine makes 2-pt jump shot from 18 ft (assist by T. Satoranský),,6,5
5,1,10:18.0,,G. Bitadze misses 2-pt jump shot from 13 ft,6,5
6,1,10:15.0,Defensive rebound by W. Carter,,6,5
7,1,9:58.0,Z. LaVine misses 2-pt layup from 3 ft (block by J. Sampson),,6,5
8,1,9:58.0,,Defensive rebound by J. Sampson,6,5
9,1,9:56.0,,Turnover by J. Sampson (bad pass; steal by T. Satoranský),6,5
10,1,9:53.0,O. Porter misses 2-pt layup from 5 ft,,6,5
11,1,9:50.0,,Defensive rebound by M. Brogdon,6,5
12,1,9:44.0,,M. Brogdon makes 2-pt dunk from 2 ft,6,7
13,1,9:26.0,Shooting foul by G. Bitadze (drawn by W. Carter),,6,7
14,1,9:26.0,W. Carter misses free throw 1 of 2,,6,7
15,1,9:26.0,Offensive rebound by Team,,6,7
16,1,9:26.0,W. Carter makes free throw 2 of 2,,7,7
17,1,9:13.0,,J. Sampson makes 2-pt dunk from 1 ft (assist by J. Lamb),7,9
18,1,9:02.0,Personal foul by T. Warren (drawn by T. Satoranský),,7,9
19,1,8:54.0,T. Satoranský misses 3-pt jump shot from 23 ft,,7,9
20,1,8:51.0,,Defensive rebound by G. Bitadze,7,9
21,1,8:38.0,,T. Warren makes 2-pt jump shot from 14 ft (assist by M. Brogdon),7,11
22,1,8:20.0,Turnover by T. Satoranský (bad pass; steal by J. Lamb),,7,11
23,1,8:16.0,,Shooting foul by L. Markkanen (drawn by J. Lamb),7,11
24,1,8:16.0,,J. Lamb makes free throw 1 of 2,7,12
25,1,8:16.0,,J. Lamb makes free throw 2 of 2,7,13
26,1,8:00.0,Z. LaVine makes 3-pt jump shot from 25 ft (assist by T. Satoranský),,10,13
27,1,7:40.0,,T. Warren makes 2-pt jump shot from 13 ft (assist by G. Bitadze),10,15
28,1,7:40.0,,Shooting foul by T. Satoranský (drawn by T. Warren),10,15
29,1,7:40.0,T. Young enters the game for L. Markkanen,,10,15
30,1,7:40.0,,T. Warren makes free throw 1 of 1,10,16
31,1,7:20.0,T. Satoranský makes 2-pt jump shot from 7 ft,,12,16
32,1,7:10.0,,J. Sampson misses 2-pt jump shot from 11 ft,12,16
33,1,7:10.0,Defensive rebound by T. Satoranský,,12,16
34,1,6:55.0,Z. LaVine misses 2-pt jump shot at rim,,12,16
35,1,6:54.0,Offensive rebound by Team,,12,16
36,1,6:54.0,,Indiana full timeout,12,16
37,1,6:54.0,L. Kornet enters the game for W. Carter,,12,16
38,1,6:48.0,Z. LaVine misses 2-pt layup from 1 ft (block by G. Bitadze),,12,16
39,1,6:46.0,,Defensive rebound by M. Brogdon,12,16
40,1,6:41.0,,Shooting foul by L. Kornet (drawn by J. Sampson),12,16
41,1,6:41.0,,Offensive rebound by Team,12,16
42,1,6:41.0,,J. Sampson misses free throw 1 of 2,12,16
43,1,6:41.0,,T. Leaf enters the game for G. Bitadze,12,16
44,1,6:41.0,,J. Sampson misses free throw 2 of 2,12,16
45,1,6:39.0,Defensive rebound by L. Kornet,,12,16
46,1,6:20.0,O. Porter misses 2-pt layup from 1 ft,,12,16
47,1,6:18.0,,Defensive rebound by J. Sampson,12,16
48,1,6:10.0,,Turnover by M. Brogdon (out of bounds lost ball),12,16
49,1,6:10.0,,J. Holiday enters the game for J. Sampson,12,16
50,1,5:55.0,T. Young makes 2-pt layup from 5 ft (assist by O. Porter),,14,16
51,1,5:45.0,,Turnover by J. Holiday (out of bounds lost ball),14,16
52,1,5:45.0,K. Dunn enters the game for T. Satoranský,,14,16
53,1,5:34.0,O. Porter misses 3-pt jump shot from 27 ft,,14,16
54,1,5:31.0,,Defensive rebound by J. Lamb,14,16
55,1,5:20.0,,J. Holiday misses 3-pt jump shot from 25 ft,14,16
56,1,5:17.0,Defensive rebound by O. Porter,,14,16
57,1,5:09.0,Turnover by Z. LaVine (out of bounds lost ball),,14,16
58,1,5:09.0,C. White enters the game for O. Porter,,14,16
59,1,4:59.0,,T. Warren misses 3-pt jump shot from 28 ft,14,16
60,1,4:56.0,Defensive rebound by C. White,,14,16
61,1,4:49.0,C. White misses 3-pt jump shot from 28 ft,,14,16
62,1,4:47.0,,Defensive rebound by T. Leaf,14,16
63,1,4:39.0,,T. Warren makes 2-pt layup from 3 ft (assist by M. Brogdon),14,18
64,1,4:28.0,T. Young makes 2-pt jump shot from 7 ft (assist by L. Kornet),,16,18
65,1,4:13.0,,Personal foul by L. Kornet (drawn by T. Warren),16,18
66,1,4:13.0,R. Arcidiacono enters the game for L. Kornet,,16,18
67,1,4:13.0,L. Markkanen enters the game for Z. LaVine,,16,18
68,1,4:13.0,,A. Holiday enters the game for M. Brogdon,16,18
69,1,4:13.0,,T. McConnell enters the game for J. Lamb,16,18
70,1,4:02.0,,T. Leaf misses 2-pt jump shot from 10 ft,16,18
71,1,4:00.0,Defensive rebound by L. Markkanen,,16,18
72,1,3:52.0,K. Dunn misses 2-pt layup from 3 ft (block by J. Holiday),,16,18
73,1,3:49.0,,Defensive rebound by T. Leaf,16,18
