,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,INDIANA_ACTION,LA CLIPPERS_SCORE,INDIANA_SCORE
0,1,11:42.0,,D. Sabonis misses 2-pt layup from 1 ft (block by I. Zubac),0,0
1,1,11:39.0,Defensive rebound by P. George,,0,0
2,1,11:30.0,I. Zubac misses 2-pt layup from 2 ft,,0,0
3,1,11:29.0,,Defensive rebound by D. Sabonis,0,0
4,1,11:18.0,,M. Brogdon makes 2-pt jump shot from 16 ft,0,2
5,1,11:02.0,P. George misses 3-pt jump shot from 24 ft,,0,2
6,1,10:59.0,,Defensive rebound by T. Warren,0,2
7,1,10:38.0,,D. Sabonis misses 2-pt jump shot from 21 ft,0,2
8,1,10:35.0,Defensive rebound by M. Harkless,,0,2
9,1,10:28.0,P. George makes 2-pt layup from 1 ft,,2,2
10,1,10:22.0,,Shooting foul by M. Harkless (drawn by T. Warren),2,2
11,1,10:22.0,,T. Warren makes free throw 1 of 2,2,3
12,1,10:22.0,,T. Warren makes free throw 2 of 2,2,4
13,1,10:13.0,P. Beverley makes 2-pt jump shot from 6 ft,,4,4
14,1,9:59.0,,M. Turner misses 3-pt jump shot from 28 ft,4,4
15,1,9:56.0,Defensive rebound by P. George,,4,4
16,1,9:49.0,P. George misses 3-pt jump shot from 26 ft,,4,4
17,1,9:46.0,,Defensive rebound by D. Sabonis,4,4
18,1,9:36.0,,M. Brogdon misses 3-pt jump shot from 28 ft (block by M. Harkless),4,4
19,1,9:31.0,,Offensive rebound by Team,4,4
20,1,9:26.0,,D. Sabonis misses 2-pt jump shot from 16 ft,4,4
21,1,9:23.0,Defensive rebound by P. George,,4,4
22,1,9:14.0,Turnover by P. George (lost ball; steal by T. Warren),,4,4
23,1,9:10.0,,Turnover by T. Warren (bad pass; steal by P. Patterson),4,4
24,1,9:04.0,I. Zubac misses 2-pt jump shot from 15 ft,,4,4
25,1,9:01.0,Offensive rebound by Team,,4,4
26,1,8:59.0,P. George misses 3-pt jump shot from 24 ft,,4,4
27,1,8:56.0,,Defensive rebound by D. Sabonis,4,4
28,1,8:50.0,,J. Lamb misses 2-pt jump shot from 17 ft,4,4
29,1,8:46.0,Defensive rebound by I. Zubac,,4,4
30,1,8:37.0,Turnover by P. Beverley (bad pass; steal by J. Lamb),,4,4
31,1,8:32.0,,Turnover by J. Lamb (bad pass),4,4
32,1,8:32.0,Turnover by P. Beverley (inbound),,4,4
33,1,8:28.0,,T. Warren misses 2-pt jump shot from 11 ft,4,4
34,1,8:26.0,Defensive rebound by Team,,4,4
35,1,8:12.0,P. George misses 3-pt jump shot from 27 ft,,4,4
36,1,8:09.0,,Defensive rebound by M. Turner,4,4
37,1,8:01.0,,M. Brogdon makes 2-pt jump shot from 16 ft,4,6
38,1,7:47.0,LA Clippers full timeout,,4,6
39,1,7:42.0,P. Patterson misses 3-pt jump shot from 30 ft,,4,6
40,1,7:38.0,,Defensive rebound by Team,4,6
41,1,7:28.0,,Turnover by M. Brogdon (bad pass; steal by P. George),4,6
42,1,7:22.0,P. Beverley misses 2-pt layup from 1 ft,,4,6
43,1,7:19.0,Offensive rebound by I. Zubac,,4,6
44,1,7:19.0,I. Zubac makes 2-pt dunk at rim,,6,6
45,1,7:05.0,,M. Brogdon misses 3-pt jump shot from 27 ft,6,6
46,1,7:02.0,Defensive rebound by I. Zubac,,6,6
47,1,6:50.0,Turnover by P. George (bad pass; steal by D. Sabonis),,6,6
48,1,6:44.0,,D. Sabonis makes 2-pt layup from 1 ft,6,8
49,1,6:32.0,P. Patterson misses 3-pt jump shot from 24 ft,,6,8
50,1,6:29.0,,Defensive rebound by T. Warren,6,8
51,1,6:21.0,,J. Lamb misses 3-pt jump shot from 24 ft,6,8
52,1,6:18.0,Defensive rebound by M. Harkless,,6,8
53,1,6:10.0,Shooting foul by D. Sabonis (drawn by M. Harkless),,6,8
54,1,6:10.0,M. Harkless misses free throw 1 of 2,,6,8
55,1,6:10.0,Offensive rebound by Team,,6,8
56,1,6:10.0,M. Harrell enters the game for P. Patterson,,6,8
57,1,6:10.0,L. Williams enters the game for I. Zubac,,6,8
58,1,6:10.0,M. Harkless misses free throw 2 of 2,,6,8
59,1,6:09.0,,Defensive rebound by D. Sabonis,6,8
60,1,5:57.0,,T. Warren misses 2-pt jump shot from 11 ft,6,8
61,1,5:55.0,Defensive rebound by M. Harkless,,6,8
62,1,5:46.0,L. Williams misses 2-pt jump shot from 19 ft,,6,8
63,1,5:44.0,,Defensive rebound by D. Sabonis,6,8
64,1,5:36.0,,D. Sabonis misses 2-pt layup from 1 ft,6,8
65,1,5:32.0,Defensive rebound by P. Beverley,,6,8
66,1,5:26.0,M. Harrell misses 2-pt jump shot from 7 ft,,6,8
67,1,5:24.0,,Defensive rebound by D. Sabonis,6,8
68,1,5:19.0,,M. Brogdon makes 3-pt jump shot from 27 ft,6,11
69,1,5:03.0,,Violation by Team (kicked ball),6,11
70,1,5:03.0,,J. Holiday enters the game for D. Sabonis,6,11
71,1,4:55.0,M. Harrell makes 2-pt hook shot from 8 ft,,8,11
72,1,4:38.0,,J. Lamb misses 2-pt layup from 1 ft (block by M. Harrell),8,11
73,1,4:36.0,Defensive rebound by P. Beverley,,8,11
74,1,4:26.0,P. George makes 3-pt jump shot from 27 ft,,11,11
75,1,4:09.0,,M. Brogdon makes 2-pt layup from 1 ft,11,13
76,1,4:00.0,Personal foul by T. Warren (drawn by P. George),,11,13
77,1,3:54.0,Personal foul by T. Warren (drawn by L. Williams),,11,13
78,1,3:54.0,,D. McDermott enters the game for T. Warren,11,13
79,1,3:49.0,M. Harrell misses 2-pt layup from 1 ft,,11,13
80,1,3:47.0,Offensive rebound by M. Harrell,,11,13
81,1,3:47.0,M. Harrell makes 2-pt layup at rim,,13,13
82,1,3:43.0,,Indiana full timeout,13,13
83,1,3:43.0,,A. Holiday enters the game for M. Brogdon,13,13
84,1,3:33.0,,J. Lamb misses 3-pt jump shot from 23 ft,13,13
85,1,3:31.0,Defensive rebound by L. Williams,,13,13
86,1,3:19.0,M. Harrell makes 2-pt dunk from 2 ft,,15,13
87,1,3:10.0,,Offensive foul by M. Turner (drawn by M. Harrell),15,13
88,1,3:10.0,,Turnover by M. Turner (offensive foul),15,13
89,1,2:57.0,Shooting foul by D. McDermott (drawn by P. George),,15,13
90,1,2:57.0,P. George makes free throw 1 of 2,,16,13
91,1,2:57.0,P. George makes free throw 2 of 2,,17,13
92,1,2:42.0,,M. Turner makes 2-pt jump shot from 14 ft,17,15
93,1,2:27.0,P. George makes 3-pt jump shot from 27 ft (assist by L. Williams),,20,15
94,1,2:27.0,J. Robinson enters the game for P. George,,20,15
95,1,2:27.0,,T. McConnell enters the game for J. Lamb,20,15
96,1,2:13.0,,J. Holiday misses 3-pt jump shot from 27 ft,20,15
97,1,2:10.0,Defensive rebound by P. Beverley,,20,15
98,1,2:01.0,Offensive foul by J. Robinson (drawn by A. Holiday),,20,15
99,1,2:01.0,Turnover by J. Robinson (offensive foul),,20,15
100,1,1:47.0,,M. Turner misses 2-pt jump shot from 13 ft,20,15
101,1,1:44.0,Defensive rebound by J. Robinson,,20,15
102,1,1:31.0,M. Harrell misses 2-pt layup from 2 ft,,20,15
103,1,1:29.0,,Defensive rebound by D. McDermott,20,15
104,1,1:22.0,,A. Holiday misses 2-pt layup from 2 ft,20,15
105,1,1:19.0,Defensive rebound by M. Harrell,,20,15
106,1,1:11.0,Personal foul by A. Holiday (drawn by M. Harkless),,20,15
107,1,1:11.0,M. Harkless makes free throw 1 of 2,,21,15
108,1,1:11.0,D. Walton enters the game for P. Beverley,,21,15
109,1,1:11.0,,D. Sabonis enters the game for M. Turner,21,15
110,1,1:11.0,M. Harkless makes free throw 2 of 2,,22,15
111,1,1:03.0,,A. Holiday misses 3-pt jump shot from 26 ft,22,15
112,1,0:59.0,Defensive rebound by M. Harkless,,22,15
113,1,0:52.0,M. Harrell misses 2-pt layup from 4 ft (block by D. Sabonis),,22,15
114,1,0:49.0,,Defensive rebound by D. McDermott,22,15
115,1,0:40.0,,T. McConnell makes 2-pt jump shot from 4 ft (assist by D. Sabonis),22,17
116,1,0:36.0,L. Williams misses 3-pt jump shot from 27 ft,,22,17
117,1,0:34.0,,Defensive rebound by D. Sabonis,22,17
118,1,0:29.0,,T. McConnell makes 2-pt jump shot from 10 ft,22,19
119,1,0:09.0,M. Harrell makes 2-pt dunk from 2 ft (assist by L. Williams),,24,19
120,1,0:02.0,,D. Sabonis misses 2-pt jump shot from 4 ft,24,19
121,1,0:00.0,,Offensive rebound by J. Holiday,24,19
122,1,0:00.0,,J. Holiday misses 2-pt jump shot from 13 ft,24,19
123,1,0:00.0,,Offensive rebound by Team,24,19
124,2,11:58.0,Turnover by J. Robinson (bad pass; steal by J. Holiday),,24,19
125,2,11:52.0,,D. McDermott makes 2-pt layup from 3 ft (assist by J. Holiday),24,21
126,2,11:27.0,J. Robinson misses 3-pt jump shot from 26 ft,,24,21
127,2,11:25.0,,Defensive rebound by D. Sabonis,24,21
128,2,11:23.0,,Turnover by T. McConnell (traveling),24,21
129,2,11:17.0,M. Harkless misses 3-pt jump shot from 24 ft,,24,21
130,2,11:13.0,,Defensive rebound by A. Holiday,24,21
131,2,11:07.0,,D. Sabonis makes 2-pt dunk from 1 ft,24,23
132,2,10:58.0,L. Williams misses 2-pt layup from 2 ft,,24,23
133,2,10:58.0,Offensive rebound by M. Harkless,,24,23
134,2,10:54.0,M. Harkless misses 2-pt layup at rim,,24,23
135,2,10:53.0,Offensive rebound by M. Harkless,,24,23
136,2,10:53.0,M. Harkless makes 2-pt layup at rim,,26,23
137,2,10:48.0,,A. Holiday misses 3-pt jump shot from 27 ft,26,23
138,2,10:45.0,Defensive rebound by J. Robinson,,26,23
139,2,10:37.0,J. Robinson makes 2-pt jump shot from 11 ft,,28,23
140,2,10:25.0,,D. McDermott makes 3-pt jump shot from 27 ft (assist by D. Sabonis),28,26
141,2,10:07.0,M. Harrell misses 2-pt layup from 2 ft,,28,26
142,2,10:06.0,,Defensive rebound by T. McConnell,28,26
143,2,10:01.0,,Shooting foul by D. Walton (drawn by D. Sabonis),28,26
144,2,10:01.0,,D. Sabonis makes free throw 1 of 2,28,27
145,2,10:01.0,P. Beverley enters the game for M. Harkless,,28,27
146,2,10:01.0,,D. Sabonis makes free throw 2 of 2,28,28
147,2,9:40.0,Turnover by M. Harrell (lost ball; steal by A. Holiday),,28,28
148,2,9:36.0,,A. Holiday makes 2-pt layup from 2 ft,28,30
149,2,9:25.0,L. Williams makes 2-pt layup from 2 ft,,30,30
150,2,9:15.0,,J. Holiday misses 2-pt layup from 1 ft,30,30
151,2,9:15.0,,Offensive rebound by D. Sabonis,30,30
152,2,9:15.0,,D. Sabonis misses 2-pt layup from 2 ft,30,30
153,2,9:14.0,,Offensive rebound by D. Sabonis,30,30
154,2,9:13.0,,Shooting foul by M. Harrell (drawn by D. Sabonis),30,30
155,2,9:13.0,,D. Sabonis misses free throw 1 of 2,30,30
156,2,9:13.0,,Offensive rebound by Team,30,30
157,2,9:13.0,,D. Sabonis makes free throw 2 of 2,30,31
158,2,8:52.0,L. Williams misses 2-pt jump shot from 13 ft,,30,31
159,2,8:49.0,,Defensive rebound by A. Holiday,30,31
160,2,8:41.0,,Turnover by D. McDermott (bad pass),30,31
161,2,8:35.0,Personal foul by J. Holiday (drawn by L. Williams),,30,31
162,2,8:30.0,Shooting foul by D. Sabonis (drawn by M. Harrell),,30,31
163,2,8:30.0,M. Harrell misses free throw 1 of 2,,30,31
164,2,8:30.0,Offensive rebound by Team,,30,31
165,2,8:30.0,M. Harrell misses free throw 2 of 2,,30,31
166,2,8:28.0,,Defensive rebound by J. Holiday,30,31
167,2,8:16.0,,T. McConnell misses 2-pt jump shot from 17 ft,30,31
168,2,8:13.0,Defensive rebound by J. Robinson,,30,31
169,2,8:06.0,M. Harrell makes 2-pt layup from 5 ft (assist by L. Williams),,32,31
170,2,7:49.0,,D. McDermott makes 3-pt jump shot from 27 ft (assist by A. Holiday),32,34
171,2,7:39.0,Shooting foul by J. Holiday (drawn by L. Williams),,32,34
172,2,7:39.0,L. Williams makes free throw 1 of 2,,33,34
173,2,7:39.0,P. George enters the game for M. Harrell,,33,34
174,2,7:39.0,I. Zubac enters the game for J. Robinson,,33,34
175,2,7:39.0,,J. Lamb enters the game for A. Holiday,33,34
176,2,7:39.0,L. Williams makes free throw 2 of 2,,34,34
177,2,7:33.0,,Indiana full timeout,34,34
178,2,7:33.0,,M. Brogdon enters the game for T. McConnell,34,34
179,2,7:21.0,,J. Lamb misses 2-pt jump shot from 18 ft,34,34
180,2,7:18.0,Defensive rebound by I. Zubac,,34,34
181,2,7:11.0,D. Walton makes 3-pt jump shot from 26 ft (assist by P. George),,37,34
182,2,6:58.0,,J. Holiday misses 3-pt jump shot from 24 ft,37,34
183,2,6:55.0,Defensive rebound by I. Zubac,,37,34
184,2,6:49.0,L. Williams misses 2-pt jump shot from 16 ft,,37,34
185,2,6:46.0,,Defensive rebound by D. Sabonis,37,34
186,2,6:33.0,,J. Lamb makes 2-pt layup from 1 ft (assist by M. Brogdon),37,36
187,2,6:33.0,,Shooting foul by L. Williams (drawn by J. Lamb),37,36
188,2,6:33.0,,T. Warren enters the game for J. Holiday,37,36
189,2,6:33.0,,J. Lamb makes free throw 1 of 1,37,37
190,2,6:22.0,P. George misses 2-pt jump shot from 19 ft,,37,37
191,2,6:19.0,,Defensive rebound by T. Warren,37,37
192,2,6:08.0,,D. Sabonis misses 2-pt jump shot from 10 ft,37,37
193,2,6:04.0,Defensive rebound by D. Walton,,37,37
194,2,6:03.0,,Violation by Team (kicked ball),37,37
195,2,5:52.0,I. Zubac makes 2-pt layup from 1 ft (assist by P. George),,39,37
196,2,5:52.0,Shooting foul by J. Lamb (drawn by I. Zubac),,39,37
197,2,5:52.0,I. Zubac makes free throw 1 of 1,,40,37
198,2,5:42.0,,D. McDermott misses 3-pt jump shot from 27 ft,40,37
199,2,5:39.0,Defensive rebound by P. George,,40,37
200,2,5:34.0,Shooting foul by M. Brogdon (drawn by P. George),,40,37
201,2,5:34.0,P. George makes free throw 1 of 2,,41,37
202,2,5:34.0,,M. Turner enters the game for D. Sabonis,41,37
203,2,5:34.0,P. George makes free throw 2 of 2,,42,37
204,2,5:18.0,,Turnover by M. Brogdon (lost ball; steal by P. Beverley),42,37
205,2,5:16.0,P. George misses 3-pt jump shot from 28 ft,,42,37
206,2,5:13.0,,Defensive rebound by Team,42,37
207,2,4:59.0,,D. McDermott makes 3-pt jump shot from 24 ft (assist by M. Turner),42,40
208,2,4:39.0,L. Williams makes 2-pt jump shot from 17 ft (assist by I. Zubac),,44,40
209,2,4:24.0,,M. Brogdon misses 2-pt jump shot from 19 ft,44,40
210,2,4:22.0,,Offensive rebound by M. Turner,44,40
211,2,4:20.0,,M. Turner misses 2-pt jump shot from 9 ft,44,40
212,2,4:18.0,Defensive rebound by P. Beverley,,44,40
213,2,4:13.0,L. Williams misses 3-pt jump shot from 27 ft,,44,40
214,2,4:11.0,Offensive rebound by I. Zubac,,44,40
215,2,4:09.0,I. Zubac makes 2-pt dunk from 2 ft,,46,40
216,2,3:58.0,,T. Warren misses 3-pt jump shot from 28 ft,46,40
217,2,3:56.0,,Offensive rebound by Team,46,40
218,2,3:54.0,,M. Brogdon misses 3-pt jump shot from 27 ft,46,40
219,2,3:51.0,Defensive rebound by D. Walton,,46,40
220,2,3:40.0,P. Beverley misses 3-pt jump shot from 24 ft,,46,40
221,2,3:35.0,,Defensive rebound by M. Turner,46,40
222,2,3:27.0,,J. Lamb makes 2-pt jump shot from 18 ft (assist by M. Turner),46,42
223,2,3:25.0,LA Clippers full timeout,,46,42
224,2,3:25.0,M. Harkless enters the game for L. Williams,,46,42
225,2,3:16.0,P. George misses 3-pt jump shot from 27 ft,,46,42
226,2,3:13.0,Offensive rebound by M. Harkless,,46,42
227,2,3:12.0,M. Harkless misses 2-pt layup from 1 ft,,46,42
228,2,3:11.0,,Defensive rebound by D. McDermott,46,42
229,2,2:56.0,,M. Turner misses 3-pt jump shot from 27 ft,46,42
230,2,2:53.0,Defensive rebound by M. Harkless,,46,42
231,2,2:47.0,Turnover by P. Beverley (bad pass; steal by M. Brogdon),,46,42
232,2,2:43.0,,T. Warren misses 2-pt layup from 1 ft,46,42
233,2,2:40.0,Defensive rebound by P. George,,46,42
234,2,2:35.0,Offensive foul by P. George (drawn by J. Lamb),,46,42
235,2,2:35.0,Turnover by P. George (offensive foul),,46,42
236,2,2:35.0,M. Harrell enters the game for D. Walton,,46,42
237,2,2:25.0,,J. Lamb makes 3-pt jump shot from 27 ft (assist by M. Turner),46,45
238,2,2:10.0,Shooting foul by J. Lamb (drawn by P. George),,46,45
239,2,2:10.0,P. George makes free throw 1 of 3,,47,45
240,2,2:10.0,P. George makes free throw 2 of 3,,48,45
241,2,2:10.0,L. Williams enters the game for M. Harkless,,48,45
242,2,2:10.0,,G. Bitadze enters the game for D. McDermott,48,45
243,2,2:10.0,P. George makes free throw 3 of 3,,49,45
244,2,1:51.0,,Shooting foul by L. Williams (drawn by T. Warren),49,45
245,2,1:51.0,,T. Warren misses free throw 1 of 2,49,45
246,2,1:51.0,,Offensive rebound by Team,49,45
247,2,1:51.0,,T. Warren makes free throw 2 of 2,49,46
248,2,1:27.0,P. George makes 3-pt jump shot from 23 ft (assist by M. Harrell),,52,46
249,2,1:10.0,,M. Brogdon misses 2-pt layup from 1 ft,52,46
250,2,1:08.0,Defensive rebound by P. Beverley,,52,46
251,2,1:02.0,P. George makes 3-pt jump shot from 26 ft,,55,46
252,2,0:45.0,,Turnover by M. Turner (lost ball; steal by P. Beverley),55,46
253,2,0:41.0,Shooting foul by M. Brogdon (drawn by M. Harrell),,55,46
254,2,0:41.0,M. Harrell misses free throw 1 of 2,,55,46
255,2,0:41.0,Offensive rebound by Team,,55,46
256,2,0:41.0,M. Harkless enters the game for L. Williams,,55,46
257,2,0:41.0,M. Harrell makes free throw 2 of 2,,56,46
258,2,0:40.0,,Personal foul by P. Beverley (drawn by M. Brogdon),56,46
259,2,0:40.0,,M. Brogdon makes free throw 1 of 2,56,47
260,2,0:40.0,L. Williams enters the game for M. Harkless,,56,47
261,2,0:40.0,,M. Brogdon makes free throw 2 of 2,56,48
262,2,0:33.0,Shooting foul by T. Warren (drawn by I. Zubac),,56,48
263,2,0:33.0,I. Zubac makes free throw 1 of 2,,57,48
264,2,0:33.0,M. Harkless enters the game for P. Beverley,,57,48
265,2,0:33.0,J. Robinson enters the game for L. Williams,,57,48
266,2,0:33.0,,D. McDermott enters the game for T. Warren,57,48
267,2,0:33.0,I. Zubac makes free throw 2 of 2,,58,48
268,2,0:13.0,,M. Brogdon misses 2-pt layup from 1 ft,58,48
269,2,0:10.0,Defensive rebound by M. Harkless,,58,48
270,2,0:02.0,P. George misses 2-pt layup from 2 ft,,58,48
271,2,0:01.0,Offensive rebound by I. Zubac,,58,48
272,2,0:01.0,I. Zubac makes 2-pt layup at rim,,60,48
273,3,11:44.0,P. George misses 2-pt jump shot from 14 ft,,60,48
274,3,11:41.0,,Defensive rebound by D. Sabonis,60,48
275,3,11:25.0,,Turnover by M. Turner (traveling),60,48
276,3,11:15.0,P. George misses 2-pt jump shot from 9 ft,,60,48
277,3,11:13.0,,Defensive rebound by D. Sabonis,60,48
278,3,10:58.0,,Turnover by J. Lamb (bad pass; steal by P. Beverley),60,48
279,3,10:53.0,Shooting foul by M. Turner (drawn by P. Patterson),,60,48
280,3,10:53.0,P. Patterson makes free throw 1 of 2,,61,48
281,3,10:53.0,P. Patterson makes free throw 2 of 2,,62,48
282,3,10:42.0,,Shooting foul by P. George (drawn by T. Warren),62,48
283,3,10:42.0,,T. Warren makes free throw 1 of 2,62,49
284,3,10:42.0,,T. Warren makes free throw 2 of 2,62,50
285,3,10:34.0,P. Patterson makes 3-pt jump shot from 25 ft (assist by P. Beverley),,65,50
286,3,10:20.0,,T. Warren makes 2-pt dunk from 2 ft (assist by D. Sabonis),65,52
287,3,9:59.0,P. George makes 2-pt layup from 1 ft (assist by I. Zubac),,67,52
288,3,9:48.0,,J. Lamb misses 2-pt jump shot from 17 ft,67,52
289,3,9:46.0,,Offensive rebound by J. Lamb,67,52
290,3,9:44.0,,J. Lamb makes 2-pt layup from 1 ft,67,54
291,3,9:27.0,P. Beverley makes 2-pt layup from 1 ft,,69,54
292,3,9:24.0,,Indiana full timeout,69,54
293,3,9:07.0,,D. Sabonis misses 2-pt jump shot from 3 ft,69,54
294,3,9:07.0,Defensive rebound by Team,,69,54
295,3,8:57.0,P. George misses 2-pt jump shot from 4 ft (block by M. Turner),,69,54
296,3,8:57.0,Offensive rebound by Team,,69,54
297,3,8:54.0,P. George makes 3-pt jump shot from 24 ft (assist by P. Beverley),,72,54
298,3,8:36.0,,M. Turner makes 3-pt jump shot from 26 ft (assist by D. Sabonis),72,57
299,3,8:15.0,P. Patterson misses 2-pt jump shot from 11 ft,,72,57
300,3,8:13.0,,Defensive rebound by J. Lamb,72,57
301,3,8:06.0,,M. Turner misses 3-pt jump shot from 26 ft,72,57
302,3,8:02.0,Defensive rebound by I. Zubac,,72,57
303,3,7:48.0,P. George misses 3-pt jump shot from 27 ft,,72,57
304,3,7:45.0,,Defensive rebound by D. Sabonis,72,57
305,3,7:39.0,,J. Lamb misses 3-pt jump shot from 27 ft,72,57
306,3,7:37.0,,Offensive rebound by M. Turner,72,57
307,3,7:24.0,,T. Warren misses 2-pt jump shot from 12 ft,72,57
308,3,7:20.0,Defensive rebound by P. Beverley,,72,57
309,3,7:11.0,M. Harkless makes 2-pt dunk from 2 ft (assist by P. Beverley),,74,57
310,3,6:49.0,,Shooting foul by P. Patterson (drawn by J. Lamb),74,57
311,3,6:49.0,,J. Lamb misses free throw 1 of 2,74,57
312,3,6:49.0,,Offensive rebound by Team,74,57
313,3,6:49.0,,J. Lamb misses free throw 2 of 2,74,57
314,3,6:48.0,Defensive rebound by M. Harkless,,74,57
