,QUARTER,TIME_REMAINING,DETROIT_ACTION,CHICAGO_ACTION,DETROIT_SCORE,CHICAGO_SCORE
0,1,11:39.0,Turnover by M. Morris (bad pass; steal by O. Porter),,0,0
1,1,11:25.0,,O. Porter misses 2-pt jump shot from 12 ft,0,0
2,1,11:23.0,,Offensive rebound by O. Porter,0,0
3,1,11:22.0,,L. Markkanen misses 3-pt jump shot from 24 ft,0,0
4,1,11:18.0,,Offensive rebound by O. Porter,0,0
5,1,11:10.0,,W. Carter misses 2-pt jump shot from 8 ft,0,0
6,1,11:08.0,Defensive rebound by A. Drummond,,0,0
7,1,11:02.0,T. Snell makes 2-pt dunk at rim (assist by T. Frazier),,2,0
8,1,10:39.0,,W. Carter makes 2-pt hook shot from 7 ft (assist by Z. LaVine),2,2
9,1,10:19.0,T. Frazier misses 2-pt jump shot from 23 ft,,2,2
10,1,10:19.0,,Defensive rebound by Team,2,2
11,1,9:56.0,,Shooting foul by L. Kennard (drawn by O. Porter),2,2
12,1,9:56.0,,O. Porter misses free throw 1 of 2,2,2
13,1,9:56.0,,Offensive rebound by Team,2,2
14,1,9:56.0,,O. Porter makes free throw 2 of 2,2,3
15,1,9:36.0,T. Frazier misses 2-pt layup from 2 ft,,2,3
16,1,9:35.0,,Defensive rebound by W. Carter,2,3
17,1,9:32.0,,Shooting foul by T. Frazier (drawn by L. Markkanen),2,3
18,1,9:32.0,,L. Markkanen makes free throw 1 of 2,2,4
19,1,9:32.0,,L. Markkanen makes free throw 2 of 2,2,5
20,1,9:15.0,Turnover by A. Drummond (traveling),,2,5
21,1,9:01.0,,Turnover by O. Porter (bad pass; steal by L. Kennard),2,5
22,1,8:56.0,Turnover by M. Morris (traveling),,2,5
23,1,8:43.0,,O. Porter misses 2-pt layup from 2 ft,2,5
24,1,8:40.0,,Offensive rebound by Z. LaVine,2,5
25,1,8:37.0,,Z. LaVine misses 2-pt layup from 2 ft (block by A. Drummond),2,5
26,1,8:37.0,,Offensive rebound by Team,2,5
27,1,8:33.0,,W. Carter makes 2-pt jump shot from 14 ft (assist by Z. LaVine),2,7
28,1,8:10.0,Turnover by A. Drummond (bad pass),,2,7
29,1,7:58.0,,T. Satoranský misses 2-pt jump shot from 5 ft,2,7
30,1,7:56.0,Defensive rebound by A. Drummond,,2,7
31,1,7:42.0,M. Morris makes 2-pt layup from 1 ft,,4,7
32,1,7:34.0,,W. Carter misses 2-pt jump shot from 7 ft,4,7
33,1,7:33.0,,Offensive rebound by W. Carter,4,7
34,1,7:25.0,,Z. LaVine makes 3-pt jump shot from 25 ft (assist by W. Carter),4,10
35,1,7:05.0,Shooting foul by O. Porter (drawn by A. Drummond),,4,10
36,1,7:05.0,A. Drummond makes free throw 1 of 2,,5,10
37,1,7:05.0,,L. Kornet enters the game for W. Carter,5,10
38,1,7:05.0,,T. Young enters the game for L. Markkanen,5,10
39,1,7:05.0,A. Drummond makes free throw 2 of 2,,6,10
40,1,6:54.0,,Turnover by Z. LaVine (bad pass; steal by A. Drummond),6,10
41,1,6:42.0,A. Drummond misses 2-pt layup at rim,,6,10
42,1,6:41.0,Offensive rebound by A. Drummond,,6,10
43,1,6:40.0,A. Drummond makes 2-pt layup from 3 ft,,8,10
44,1,6:39.0,,Shooting foul by M. Morris (drawn by Z. LaVine),8,10
45,1,6:39.0,,Chicago full timeout,8,10
46,1,6:39.0,D. Rose enters the game for T. Frazier,,8,10
47,1,6:39.0,,Z. LaVine makes free throw 1 of 2,8,11
48,1,6:39.0,,Z. LaVine makes free throw 2 of 2,8,12
49,1,6:23.0,M. Morris misses 3-pt jump shot from 25 ft,,8,12
50,1,6:17.0,Offensive rebound by A. Drummond,,8,12
51,1,6:17.0,A. Drummond makes 2-pt layup from 1 ft,,10,12
52,1,6:08.0,,L. Kornet makes 2-pt layup from 1 ft (assist by O. Porter),10,14
53,1,5:48.0,Personal foul by L. Kornet (drawn by A. Drummond),,10,14
54,1,5:48.0,,K. Dunn enters the game for T. Satoranský,10,14
55,1,5:36.0,L. Kennard misses 3-pt jump shot from 26 ft,,10,14
56,1,5:33.0,,Defensive rebound by T. Young,10,14
57,1,5:25.0,,O. Porter makes 2-pt layup from 2 ft,10,16
58,1,5:04.0,T. Snell misses 3-pt jump shot from 23 ft,,10,16
59,1,5:01.0,,Defensive rebound by O. Porter,10,16
60,1,4:55.0,,K. Dunn makes 2-pt dunk from 1 ft (assist by Z. LaVine),10,18
61,1,4:34.0,A. Drummond makes 2-pt layup from 2 ft,,12,18
62,1,4:25.0,,Z. LaVine misses 3-pt jump shot from 25 ft,12,18
63,1,4:22.0,Defensive rebound by L. Kennard,,12,18
64,1,4:13.0,Turnover by L. Kennard (bad pass; steal by T. Young),,12,18
65,1,4:09.0,,Z. LaVine makes 2-pt layup from 2 ft (assist by T. Young),12,20
66,1,3:59.0,D. Rose makes 2-pt layup from 1 ft,,14,20
67,1,3:59.0,Shooting foul by K. Dunn (drawn by D. Rose),,14,20
68,1,3:59.0,B. Brown enters the game for M. Morris,,14,20
69,1,3:59.0,C. Wood enters the game for T. Snell,,14,20
70,1,3:59.0,,C. White enters the game for O. Porter,14,20
71,1,3:59.0,D. Rose makes free throw 1 of 1,,15,20
72,1,3:48.0,,Z. LaVine misses 2-pt layup from 2 ft (block by C. Wood),15,20
73,1,3:48.0,,Offensive rebound by Z. LaVine,15,20
74,1,3:48.0,,Z. LaVine makes 2-pt layup from 2 ft,15,22
75,1,3:48.0,,Shooting foul by B. Brown (drawn by Z. LaVine),15,22
76,1,3:48.0,,Z. LaVine misses free throw 1 of 1,15,22
77,1,3:45.0,Defensive rebound by A. Drummond,,15,22
78,1,3:22.0,A. Drummond makes 2-pt layup from 2 ft,,17,22
79,1,3:10.0,,Z. LaVine makes 2-pt layup from 1 ft (assist by L. Kornet),17,24
80,1,3:02.0,Detroit full timeout,,17,24
81,1,3:02.0,L. Galloway enters the game for L. Kennard,,17,24
82,1,3:00.0,Turnover by B. Brown (out of bounds lost ball),,17,24
83,1,2:50.0,,L. Kornet misses 2-pt dunk from 1 ft,17,24
84,1,2:49.0,Defensive rebound by A. Drummond,,17,24
