,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,CLEVELAND_ACTION,NEW ORLEANS_SCORE,CLEVELAND_SCORE
0,1,11:50.0,Turnover by (8 sec),,0,0
1,1,11:24.0,,Turnover by Team (shot clock),0,0
2,1,11:01.0,D. Favors misses 2-pt jump shot from 13 ft,,0,0
3,1,10:57.0,,Defensive rebound by T. Thompson,0,0
4,1,10:50.0,,C. Osman makes 3-pt jump shot from 26 ft,0,3
5,1,10:34.0,D. Favors makes 2-pt layup from 2 ft (assist by B. Ingram),,2,3
6,1,10:10.0,,C. Osman misses 3-pt jump shot from 25 ft,2,3
7,1,10:07.0,Defensive rebound by Z. Williamson,,2,3
8,1,9:59.0,B. Ingram makes 3-pt jump shot from 28 ft,,5,3
9,1,9:48.0,,C. Sexton misses 3-pt jump shot from 26 ft,5,3
10,1,9:46.0,Defensive rebound by J. Holiday,,5,3
11,1,9:41.0,L. Ball misses 3-pt jump shot from 27 ft,,5,3
12,1,9:37.0,,Defensive rebound by C. Osman,5,3
13,1,9:33.0,,K. Love makes 3-pt jump shot from 31 ft (assist by C. Osman),5,6
14,1,9:20.0,L. Ball misses 2-pt layup at rim,,5,6
15,1,9:20.0,Offensive rebound by Team,,5,6
16,1,9:13.0,J. Holiday misses 3-pt jump shot from 25 ft,,5,6
17,1,9:10.0,,Defensive rebound by C. Osman,5,6
18,1,9:03.0,,C. Osman makes 2-pt layup from 1 ft,5,8
19,1,8:52.0,J. Holiday makes 2-pt layup from 1 ft,,7,8
20,1,8:52.0,Shooting foul by C. Osman (drawn by J. Holiday),,7,8
21,1,8:52.0,J. Holiday makes free throw 1 of 1,,8,8
22,1,8:45.0,,Shooting foul by D. Favors (drawn by C. Sexton),8,8
23,1,8:45.0,,C. Sexton makes free throw 1 of 2,8,9
24,1,8:45.0,,C. Sexton makes free throw 2 of 2,8,10
25,1,8:41.0,New Orleans full timeout,,8,10
26,1,8:29.0,L. Ball misses 3-pt jump shot from 24 ft,,8,10
27,1,8:28.0,Offensive rebound by Team,,8,10
28,1,8:19.0,Z. Williamson misses 2-pt jump shot from 2 ft,,8,10
29,1,8:16.0,,Defensive rebound by D. Exum,8,10
30,1,8:04.0,,K. Love misses 3-pt jump shot from 29 ft,8,10
31,1,8:00.0,,Offensive rebound by C. Osman,8,10
32,1,7:47.0,,C. Sexton misses 2-pt jump shot from 15 ft,8,10
33,1,7:47.0,,Offensive rebound by Team,8,10
34,1,7:47.0,,Turnover by Team (shot clock),8,10
35,1,7:31.0,B. Ingram makes 2-pt jump shot from 14 ft,,10,10
36,1,7:13.0,,Turnover by C. Osman (bad pass; steal by B. Ingram),10,10
37,1,7:10.0,L. Ball makes 2-pt layup from 2 ft (assist by J. Holiday),,12,10
38,1,6:50.0,,C. Sexton misses 2-pt layup from 3 ft (block by J. Holiday),12,10
39,1,6:47.0,,Offensive rebound by C. Sexton,12,10
40,1,6:46.0,,C. Sexton makes 2-pt layup from 1 ft,12,12
41,1,6:41.0,J. Holiday makes 3-pt jump shot from 23 ft,,15,12
42,1,6:25.0,,K. Love makes 2-pt jump shot from 16 ft (assist by C. Osman),15,14
43,1,6:13.0,L. Ball misses 3-pt jump shot from 27 ft,,15,14
44,1,6:10.0,,Defensive rebound by T. Thompson,15,14
45,1,6:02.0,,D. Exum misses 2-pt layup from 4 ft,15,14
46,1,5:58.0,,Offensive rebound by T. Thompson,15,14
47,1,5:58.0,,T. Thompson misses 2-pt layup from 1 ft,15,14
48,1,5:56.0,,Offensive rebound by T. Thompson,15,14
49,1,5:55.0,,C. Sexton misses 3-pt jump shot from 26 ft,15,14
50,1,5:54.0,Defensive rebound by Z. Williamson,,15,14
51,1,5:54.0,Turnover by B. Ingram (bad pass),,15,14
52,1,5:54.0,,K. Porter enters the game for D. Exum,15,14
53,1,5:38.0,,K. Love makes 2-pt hook shot from 10 ft (assist by C. Osman),15,16
54,1,5:23.0,B. Ingram misses 2-pt layup from 1 ft,,15,16
55,1,5:23.0,Offensive rebound by Team,,15,16
56,1,5:23.0,J. Redick enters the game for Z. Williamson,,15,16
57,1,5:16.0,J. Redick misses 2-pt jump shot from 21 ft,,15,16
58,1,5:14.0,Offensive rebound by D. Favors,,15,16
59,1,5:06.0,J. Holiday makes 2-pt layup from 3 ft,,17,16
60,1,4:50.0,,K. Love misses 2-pt jump shot from 17 ft,17,16
61,1,4:48.0,Defensive rebound by L. Ball,,17,16
62,1,4:44.0,B. Ingram makes 3-pt jump shot from 24 ft (assist by J. Holiday),,20,16
63,1,4:26.0,,K. Love misses 3-pt jump shot from 23 ft (block by J. Holiday),20,16
64,1,4:21.0,Defensive rebound by J. Holiday,,20,16
65,1,4:13.0,J. Redick makes 2-pt layup from 1 ft (assist by D. Favors),,22,16
66,1,4:13.0,,Cleveland full timeout,22,16
67,1,4:13.0,J. Hayes enters the game for D. Favors,,22,16
68,1,4:13.0,,A. McKinnie enters the game for K. Love,22,16
69,1,4:13.0,,L. Nance enters the game for C. Osman,22,16
70,1,3:57.0,,K. Porter misses 2-pt jump shot from 21 ft,22,16
71,1,3:53.0,,Offensive rebound by L. Nance,22,16
72,1,3:52.0,,K. Porter makes 3-pt jump shot from 26 ft (assist by L. Nance),22,19
73,1,3:36.0,Turnover by J. Redick (lost ball; steal by A. McKinnie),,22,19
74,1,3:31.0,,C. Sexton makes 2-pt dunk at rim (assist by A. McKinnie),22,21
75,1,3:26.0,J. Holiday makes 3-pt jump shot from 26 ft (assist by L. Ball),,25,21
76,1,3:11.0,,C. Sexton misses 2-pt jump shot from 8 ft,25,21
77,1,3:07.0,,Offensive rebound by T. Thompson,25,21
78,1,3:07.0,,T. Thompson makes 2-pt layup from 1 ft,25,23
79,1,2:54.0,L. Ball makes 3-pt jump shot from 25 ft,,28,23
80,1,2:36.0,,Turnover by L. Nance (lost ball; steal by J. Holiday),28,23
81,1,2:34.0,Personal foul by K. Porter (drawn by L. Ball),,28,23
82,1,2:34.0,J. Hart enters the game for L. Ball,,28,23
83,1,2:34.0,,M. Dellavedova enters the game for C. Sexton,28,23
84,1,2:22.0,B. Ingram makes 3-pt jump shot from 26 ft (assist by J. Holiday),,31,23
85,1,2:06.0,,M. Dellavedova makes 2-pt jump shot from 5 ft (assist by K. Porter),31,25
86,1,1:57.0,B. Ingram makes 3-pt jump shot from 25 ft,,34,25
87,1,1:57.0,Shooting foul by K. Porter (drawn by B. Ingram),,34,25
88,1,1:57.0,,J. Henson enters the game for T. Thompson,34,25
89,1,1:57.0,B. Ingram makes free throw 1 of 1,,35,25
90,1,1:48.0,,L. Nance makes 2-pt dunk from 1 ft (assist by M. Dellavedova),35,27
91,1,1:38.0,J. Holiday misses 3-pt jump shot from 26 ft,,35,27
92,1,1:36.0,,Defensive rebound by L. Nance,35,27
93,1,1:28.0,,Personal foul by J. Hart (drawn by K. Porter),35,27
94,1,1:16.0,,K. Porter makes 3-pt jump shot from 23 ft,35,30
95,1,1:06.0,J. Hayes makes 2-pt layup from 1 ft (assist by J. Holiday),,37,30
96,1,1:06.0,Shooting foul by J. Henson (drawn by J. Hayes),,37,30
97,1,1:06.0,J. Hayes makes free throw 1 of 1,,38,30
98,1,0:57.0,,Personal foul by J. Hart (drawn by L. Nance),38,30
99,1,0:57.0,,L. Nance makes free throw 1 of 2,38,31
100,1,0:57.0,,L. Nance makes free throw 2 of 2,38,32
101,1,0:43.0,J. Hayes makes 2-pt dunk from 1 ft (assist by B. Ingram),,40,32
102,1,0:23.0,,K. Porter makes 2-pt jump shot from 6 ft,40,34
103,1,0:00.0,B. Ingram misses 2-pt jump shot from 16 ft,,40,34
104,1,0:00.0,Offensive rebound by Team,,40,34
105,2,11:42.0,,K. Porter misses 2-pt jump shot from 4 ft (block by J. Hart),40,34
106,2,11:39.0,,Offensive rebound by K. Porter,40,34
107,2,11:36.0,,J. Henson misses 2-pt hook shot from 7 ft,40,34
108,2,11:34.0,Defensive rebound by J. Hayes,,40,34
109,2,11:24.0,Shooting foul by A. McKinnie (drawn by J. Redick),,40,34
110,2,11:24.0,J. Redick makes free throw 1 of 3,,41,34
111,2,11:24.0,J. Redick makes free throw 2 of 3,,42,34
112,2,11:24.0,J. Redick makes free throw 3 of 3,,43,34
113,2,11:14.0,,J. Henson makes 2-pt dunk at rim (assist by M. Dellavedova),43,36
114,2,11:05.0,Personal foul by M. Dellavedova (drawn by L. Ball),,43,36
115,2,10:56.0,Turnover by L. Ball (bad pass; steal by L. Nance),,43,36
116,2,10:51.0,,K. Porter misses 2-pt layup from 1 ft (block by J. Hart),43,36
117,2,10:46.0,Defensive rebound by Z. Williamson,,43,36
118,2,10:30.0,J. Hart misses 3-pt jump shot from 23 ft,,43,36
119,2,10:28.0,,Defensive rebound by L. Nance,43,36
120,2,10:22.0,,Shooting foul by J. Hayes (drawn by A. McKinnie),43,36
121,2,10:22.0,,A. McKinnie makes free throw 1 of 2,43,37
122,2,10:22.0,,C. Sexton enters the game for K. Porter,43,37
123,2,10:22.0,,A. McKinnie makes free throw 2 of 2,43,38
124,2,10:13.0,Turnover by L. Ball (traveling),,43,38
125,2,10:00.0,,J. Henson makes 2-pt hook shot from 4 ft (assist by M. Dellavedova),43,40
126,2,9:48.0,L. Ball misses 3-pt jump shot from 24 ft,,43,40
127,2,9:46.0,,Defensive rebound by C. Sexton,43,40
128,2,9:41.0,,C. Sexton misses 2-pt layup from 1 ft,43,40
129,2,9:39.0,,Offensive rebound by L. Nance,43,40
130,2,9:39.0,,Shooting foul by J. Hayes (drawn by L. Nance),43,40
131,2,9:39.0,,L. Nance makes free throw 1 of 2,43,41
132,2,9:39.0,N. Melli enters the game for J. Hayes,,43,41
133,2,9:39.0,,L. Nance makes free throw 2 of 2,43,42
134,2,9:28.0,Personal foul by M. Dellavedova (drawn by J. Redick),,43,42
135,2,9:25.0,J. Redick makes 3-pt jump shot from 26 ft (assist by L. Ball),,46,42
136,2,9:10.0,,C. Sexton makes 2-pt layup at rim (assist by M. Dellavedova),46,44
137,2,8:59.0,Turnover by J. Redick (bad pass; steal by J. Henson),,46,44
138,2,8:55.0,,C. Sexton makes 2-pt layup from 1 ft (assist by L. Nance),46,46
139,2,8:48.0,Z. Williamson makes 2-pt layup from 1 ft (assist by L. Ball),,48,46
140,2,8:48.0,Shooting foul by J. Henson (drawn by Z. Williamson),,48,46
141,2,8:48.0,Z. Williamson misses free throw 1 of 1,,48,46
142,2,8:44.0,,Defensive rebound by L. Nance,48,46
143,2,8:31.0,,L. Nance misses 3-pt jump shot from 26 ft,48,46
144,2,8:28.0,Defensive rebound by J. Redick,,48,46
145,2,8:20.0,Z. Williamson makes 2-pt layup from 1 ft (assist by J. Hart),,50,46
146,2,8:06.0,,M. Dellavedova misses 3-pt jump shot from 30 ft,50,46
147,2,8:03.0,,Offensive rebound by J. Henson,50,46
148,2,8:01.0,,A. McKinnie misses 3-pt jump shot from 26 ft,50,46
149,2,7:59.0,Defensive rebound by J. Redick,,50,46
150,2,7:52.0,Z. Williamson misses 2-pt dunk from 1 ft (block by C. Sexton),,50,46
151,2,7:52.0,Offensive rebound by Team,,50,46
152,2,7:52.0,,D. Exum enters the game for M. Dellavedova,50,46
153,2,7:52.0,,K. Love enters the game for J. Henson,50,46
154,2,7:49.0,J. Redick misses 3-pt jump shot from 24 ft,,50,46
155,2,7:47.0,Offensive rebound by L. Ball,,50,46
156,2,7:45.0,N. Melli makes 3-pt jump shot from 25 ft (assist by L. Ball),,53,46
157,2,7:30.0,,Personal foul by N. Melli (drawn by K. Love),53,46
158,2,7:30.0,,Cleveland full timeout,53,46
159,2,7:26.0,,Turnover by D. Exum (bad pass; steal by J. Hart),53,46
160,2,7:09.0,Z. Williamson misses 2-pt jump shot from 12 ft,,53,46
161,2,7:07.0,,Defensive rebound by K. Love,53,46
162,2,6:58.0,,Shooting foul by J. Hart (drawn by C. Sexton),53,46
163,2,6:58.0,,C. Sexton makes free throw 1 of 2,53,47
164,2,6:58.0,F. Jackson enters the game for J. Hart,,53,47
