,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,GOLDEN STATE_ACTION,MILWAUKEE_SCORE,GOLDEN STATE_SCORE
0,1,11:39.0,,D. Green makes 3-pt jump shot from 27 ft (assist by G. Robinson),0,3
1,1,11:24.0,E. Bledsoe misses 2-pt layup from 2 ft,,0,3
2,1,11:23.0,,Defensive rebound by W. Cauley-Stein,0,3
3,1,11:19.0,,D. Green misses 3-pt jump shot from 26 ft,0,3
4,1,11:17.0,Defensive rebound by K. Middleton,,0,3
5,1,11:08.0,B. Lopez misses 3-pt jump shot from 28 ft,,0,3
6,1,11:06.0,,Defensive rebound by D. Green,0,3
7,1,10:54.0,,K. Bowman misses 2-pt jump shot from 18 ft,0,3
8,1,10:53.0,Defensive rebound by G. Antetokounmpo,,0,3
9,1,10:45.0,G. Antetokounmpo makes 2-pt jump shot from 6 ft,,2,3
10,1,10:32.0,,Personal foul by B. Lopez (drawn by W. Cauley-Stein),2,3
11,1,10:23.0,,W. Cauley-Stein makes 2-pt jump shot from 16 ft (assist by D. Lee),2,5
12,1,10:07.0,B. Lopez misses 3-pt jump shot from 25 ft,,2,5
13,1,10:05.0,,Defensive rebound by W. Cauley-Stein,2,5
14,1,9:58.0,,G. Robinson misses 3-pt jump shot from 27 ft,2,5
15,1,9:56.0,Defensive rebound by G. Antetokounmpo,,2,5
16,1,9:46.0,G. Antetokounmpo makes 3-pt jump shot from 23 ft (assist by B. Lopez),,5,5
17,1,9:36.0,,D. Lee makes 3-pt jump shot from 29 ft (assist by K. Bowman),5,8
18,1,9:16.0,G. Antetokounmpo misses 3-pt jump shot from 28 ft,,5,8
19,1,9:14.0,,Defensive rebound by D. Lee,5,8
20,1,9:02.0,,Turnover by G. Robinson (bad pass; steal by B. Lopez),5,8
21,1,8:58.0,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by K. Middleton),,7,8
22,1,8:43.0,,G. Robinson misses 2-pt jump shot from 11 ft,7,8
23,1,8:42.0,Defensive rebound by E. Bledsoe,,7,8
24,1,8:33.0,Personal foul by G. Robinson (drawn by B. Lopez),,7,8
25,1,8:27.0,E. Bledsoe makes 2-pt jump shot from 13 ft (assist by K. Middleton),,9,8
26,1,8:11.0,,D. Lee misses 2-pt jump shot from 18 ft,9,8
27,1,8:10.0,,Offensive rebound by G. Robinson,9,8
28,1,8:07.0,,G. Robinson makes 2-pt jump shot from 21 ft (assist by K. Bowman),9,10
29,1,7:51.0,K. Middleton misses 3-pt jump shot from 26 ft,,9,10
30,1,7:49.0,,Defensive rebound by D. Lee,9,10
31,1,7:47.0,,Turnover by D. Green (lost ball; steal by E. Bledsoe),9,10
32,1,7:38.0,E. Bledsoe misses 2-pt jump shot from 18 ft,,9,10
33,1,7:37.0,,Defensive rebound by W. Cauley-Stein,9,10
34,1,7:16.0,,Turnover by G. Robinson (bad pass; steal by B. Lopez),9,10
35,1,7:15.0,Personal foul by D. Green (drawn by G. Antetokounmpo),,9,10
36,1,7:15.0,Milwaukee full timeout,,9,10
37,1,7:07.0,E. Bledsoe makes 2-pt layup from 3 ft (assist by G. Antetokounmpo),,11,10
38,1,6:45.0,,G. Robinson misses 2-pt layup from 7 ft (block by B. Lopez),11,10
39,1,6:44.0,,Offensive rebound by G. Robinson,11,10
40,1,6:40.0,,Turnover by Team (shot clock),11,10
41,1,6:29.0,W. Matthews misses 3-pt jump shot from 26 ft,,11,10
42,1,6:27.0,,Defensive rebound by W. Cauley-Stein,11,10
43,1,6:16.0,,K. Bowman misses 3-pt jump shot from 26 ft,11,10
44,1,6:14.0,Defensive rebound by W. Matthews,,11,10
45,1,6:04.0,G. Antetokounmpo misses 2-pt jump shot from 18 ft,,11,10
46,1,6:03.0,,Defensive rebound by Team,11,10
47,1,6:03.0,Loose ball foul by G. Antetokounmpo (drawn by W. Cauley-Stein),,11,10
48,1,6:03.0,P. Connaughton enters the game for G. Antetokounmpo,,11,10
49,1,6:03.0,E. İlyasova enters the game for W. Matthews,,11,10
50,1,5:47.0,,Shooting foul by E. İlyasova (drawn by D. Green),11,10
51,1,5:47.0,,D. Green makes free throw 1 of 2,11,11
52,1,5:47.0,,D. Green makes free throw 2 of 2,11,12
53,1,5:35.0,K. Middleton misses 2-pt jump shot from 18 ft,,11,12
54,1,5:34.0,,Defensive rebound by W. Cauley-Stein,11,12
55,1,5:19.0,,D. Lee misses 2-pt jump shot from 18 ft (block by E. Bledsoe),11,12
56,1,5:17.0,Defensive rebound by B. Lopez,,11,12
57,1,5:07.0,Shooting foul by W. Cauley-Stein (drawn by E. Bledsoe),,11,12
58,1,5:07.0,E. Bledsoe makes free throw 1 of 2,,12,12
59,1,5:07.0,,A. Burks enters the game for K. Bowman,12,12
60,1,5:07.0,,J. Evans enters the game for W. Cauley-Stein,12,12
61,1,5:07.0,,O. Spellman enters the game for G. Robinson,12,12
62,1,5:07.0,E. Bledsoe makes free throw 2 of 2,,13,12
63,1,4:59.0,,Turnover by J. Evans (bad pass; steal by E. Bledsoe),13,12
64,1,4:54.0,K. Middleton misses 3-pt jump shot from 27 ft,,13,12
65,1,4:52.0,,Defensive rebound by Team,13,12
66,1,4:52.0,D. DiVincenzo enters the game for E. Bledsoe,,13,12
67,1,4:41.0,,D. Lee misses 2-pt jump shot from 19 ft,13,12
68,1,4:40.0,Defensive rebound by E. İlyasova,,13,12
69,1,4:24.0,E. İlyasova misses 2-pt jump shot from 18 ft,,13,12
70,1,4:22.0,,Defensive rebound by O. Spellman,13,12
71,1,4:16.0,,A. Burks misses 3-pt jump shot from 26 ft,13,12
72,1,4:14.0,Defensive rebound by E. İlyasova,,13,12
73,1,3:59.0,B. Lopez makes 2-pt jump shot from 11 ft,,15,12
74,1,3:40.0,,Shooting foul by E. İlyasova (drawn by A. Burks),15,12
75,1,3:40.0,,A. Burks makes free throw 1 of 2,15,13
76,1,3:40.0,R. Lopez enters the game for B. Lopez,,15,13
77,1,3:40.0,,A. Burks makes free throw 2 of 2,15,14
78,1,3:27.0,K. Middleton makes 2-pt jump shot from 12 ft,,17,14
79,1,3:11.0,,Turnover by D. Green (bad pass),17,14
80,1,3:11.0,,E. Paschall enters the game for D. Green,17,14
81,1,3:01.0,K. Middleton misses 2-pt jump shot from 19 ft,,17,14
82,1,2:59.0,,Defensive rebound by O. Spellman,17,14
83,1,2:50.0,,O. Spellman makes 3-pt jump shot from 27 ft (assist by A. Burks),17,17
84,1,2:46.0,D. DiVincenzo misses 3-pt jump shot from 29 ft,,17,17
85,1,2:44.0,,Defensive rebound by O. Spellman,17,17
86,1,2:17.0,,E. Paschall makes 2-pt jump shot from 13 ft (assist by A. Burks),17,19
87,1,2:00.0,Personal foul by A. Burks (drawn by E. İlyasova),,17,19
88,1,2:00.0,,Golden State full timeout,17,19
89,1,2:00.0,G. Antetokounmpo enters the game for E. İlyasova,,17,19
90,1,2:00.0,K. Korver enters the game for K. Middleton,,17,19
91,1,2:00.0,,J. Poole enters the game for D. Lee,17,19
92,1,1:57.0,K. Korver misses 3-pt jump shot from 27 ft,,17,19
93,1,1:55.0,,Defensive rebound by J. Poole,17,19
94,1,1:48.0,,Turnover by O. Spellman (traveling),17,19
95,1,1:36.0,D. DiVincenzo misses 3-pt jump shot from 27 ft,,17,19
96,1,1:34.0,,Defensive rebound by O. Spellman,17,19
97,1,1:23.0,,Offensive foul by E. Paschall (drawn by D. DiVincenzo),17,19
98,1,1:23.0,,Turnover by E. Paschall (offensive foul),17,19
99,1,1:09.0,D. DiVincenzo misses 2-pt layup from 3 ft (block by O. Spellman),,17,19
100,1,1:07.0,,Defensive rebound by E. Paschall,17,19
101,1,0:56.0,,J. Evans misses 2-pt jump shot from 20 ft,17,19
102,1,0:54.0,Defensive rebound by P. Connaughton,,17,19
103,1,0:49.0,K. Korver misses 3-pt jump shot from 26 ft,,17,19
104,1,0:47.0,Offensive rebound by Team,,17,19
105,1,0:43.0,G. Antetokounmpo misses 2-pt jump shot from 20 ft,,17,19
106,1,0:42.0,,Defensive rebound by J. Evans,17,19
107,1,0:28.0,,O. Spellman misses 2-pt dunk from 3 ft,17,19
108,1,0:27.0,Defensive rebound by Team,,17,19
109,1,0:12.0,P. Connaughton makes 2-pt dunk from 1 ft (assist by K. Korver),,19,19
110,1,0:03.0,,A. Burks misses 2-pt layup from 4 ft,19,19
111,1,0:02.0,Defensive rebound by K. Korver,,19,19
112,1,0:00.0,D. DiVincenzo misses 3-pt jump shot from 68 ft,,19,19
113,1,0:00.0,Offensive rebound by Team,,19,19
114,2,11:50.0,R. Lopez makes 2-pt hook shot from 6 ft (assist by K. Korver),,21,19
115,2,11:50.0,,Violation by Team (def goaltending),21,19
116,2,11:29.0,,J. Poole misses 2-pt jump shot from 17 ft,21,19
117,2,11:28.0,Defensive rebound by G. Antetokounmpo,,21,19
118,2,11:17.0,Shooting foul by J. Poole (drawn by P. Connaughton),,21,19
119,2,11:17.0,P. Connaughton makes free throw 1 of 2,,22,19
120,2,11:17.0,P. Connaughton makes free throw 2 of 2,,23,19
121,2,11:08.0,,E. Paschall misses 2-pt jump shot from 11 ft,23,19
122,2,11:06.0,,Offensive rebound by E. Paschall,23,19
