,QUARTER,TIME_REMAINING,TORONTO_ACTION,MILWAUKEE_ACTION,TORONTO_SCORE,MILWAUKEE_SCORE
0,1,11:43.0,,B. Lopez misses 2-pt layup from 4 ft,0,0
1,1,11:38.0,Defensive rebound by M. Gasol,,0,0
2,1,11:25.0,M. Gasol misses 2-pt jump shot from 14 ft,,0,0
3,1,11:22.0,,Defensive rebound by E. Bledsoe,0,0
4,1,11:20.0,,E. Bledsoe misses 3-pt jump shot from 26 ft,0,0
5,1,11:16.0,,Offensive rebound by K. Middleton,0,0
6,1,11:08.0,,E. Bledsoe makes 3-pt jump shot from 27 ft (assist by B. Lopez),0,3
7,1,10:46.0,Turnover by K. Lowry (lost ball; steal by W. Matthews),,0,3
8,1,10:43.0,,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by E. Bledsoe),0,5
9,1,10:43.0,,Shooting foul by P. Siakam (drawn by G. Antetokounmpo),0,5
10,1,10:43.0,,G. Antetokounmpo makes free throw 1 of 1,0,6
11,1,10:24.0,Personal foul by E. Bledsoe (drawn by M. Gasol),,0,6
12,1,10:13.0,Personal foul by K. Middleton (drawn by F. VanVleet),,0,6
13,1,10:06.0,Shooting foul by W. Matthews (drawn by O. Anunoby),,0,6
14,1,10:06.0,O. Anunoby makes free throw 1 of 2,,1,6
15,1,10:06.0,O. Anunoby misses free throw 2 of 2,,1,6
16,1,10:04.0,,Defensive rebound by G. Antetokounmpo,1,6
17,1,9:59.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,1,8
18,1,9:48.0,K. Lowry misses 3-pt jump shot from 27 ft,,1,8
19,1,9:45.0,,Defensive rebound by W. Matthews,1,8
20,1,9:37.0,,G. Antetokounmpo misses 2-pt jump shot from 19 ft,1,8
21,1,9:33.0,Defensive rebound by M. Gasol,,1,8
22,1,9:15.0,F. VanVleet misses 2-pt jump shot from 15 ft,,1,8
23,1,9:10.0,,Defensive rebound by W. Matthews,1,8
24,1,9:02.0,,G. Antetokounmpo misses 3-pt jump shot from 25 ft,1,8
25,1,9:00.0,Defensive rebound by M. Gasol,,1,8
26,1,9:00.0,Turnover by M. Gasol (bad pass),,1,8
27,1,8:54.0,,K. Middleton makes 2-pt jump shot from 10 ft,1,10
28,1,8:41.0,Personal foul by G. Antetokounmpo (drawn by P. Siakam),,1,10
29,1,8:29.0,P. Siakam misses 2-pt jump shot from 12 ft,,1,10
30,1,8:26.0,,Defensive rebound by B. Lopez,1,10
31,1,8:21.0,,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by E. Bledsoe),1,12
32,1,8:21.0,,Shooting foul by F. VanVleet (drawn by G. Antetokounmpo),1,12
33,1,8:21.0,,G. Antetokounmpo misses free throw 1 of 1,1,12
34,1,8:18.0,Defensive rebound by M. Gasol,,1,12
35,1,8:05.0,F. VanVleet misses 3-pt jump shot from 26 ft,,1,12
36,1,8:01.0,Offensive rebound by O. Anunoby,,1,12
37,1,7:59.0,O. Anunoby misses 3-pt jump shot from 27 ft,,1,12
38,1,7:56.0,,Defensive rebound by E. Bledsoe,1,12
39,1,7:44.0,,W. Matthews misses 3-pt jump shot from 24 ft,1,12
